column,protocol,seed,method,normalized_aulc
8g,row,769539383,scale_only,0.9552686559917961
8g,row,769539383,target_head_only,0.7560290017916944
8g,row,769539383,zero_shot,1.3753011298467896
8g,row,1362771960,affine,0.7736122531641931
8g,row,1362771960,affine_condition_residual,0.780024264984176
8g,row,1362771960,column_mass_ratio_scaling,0.7092928927889892
8g,row,1362771960,scale_only,0.7184369684557849
8g,row,1362771960,target_head_only,0.6526086067114127
8g,row,1362771960,zero_shot,1.5056679952556866
8g,row,1425370602,affine,0.6659249201979217
8g,row,1425370602,affine_condition_residual,0.6621551799185089
8g,row,1425370602,column_mass_ratio_scaling,0.6528503400759329
8g,row,1425370602,scale_only,0.6170142301382201
8g,row,1425370602,target_head_only,0.622539622964791
8g,row,1425370602,zero_shot,1.2634787809722192
8g,row,2767143051,affine,0.7549456063621419
8g,row,2767143051,affine_condition_residual,0.8622563282173845
8g,row,2767143051,column_mass_ratio_scaling,0.8171872938345651
8g,row,2767143051,scale_only,0.7307271322537541
8g,row,2767143051,target_head_only,0.8254678128068083
8g,row,2767143051,zero_shot,1.6616269334998113
