column,protocol,seed,planned_budget,actual_budget,method,V1_r2,V1_rmse,V1_mae,V2_r2,V2_rmse,V2_mae,combined_normalized_rmse,normalized_rmse
8g,row,2767143051,100,100,target_head_only,0.8293914368548031,8.007257097407043,4.156831781691399,0.8609426277615225,10.212192890394263,5.977972969386888,0.8473957452296247,0.82570892870799
8g,row,1362771960,30,30,zero_shot,0.27601428512788806,13.927034366286533,9.741048020763674,0.4411124598092293,19.99707772538805,14.151899654001426,1.5282586937050109,1.5056679952556868
8g,row,1362771960,30,30,column_mass_ratio_scaling,0.8676100959601936,5.955539129042463,3.3212302655759074,0.8413259830586064,10.655092615625328,6.574179152336673,0.7108167237242943,0.7092928927889892
8g,row,1362771960,30,30,scale_only,0.8100182407640747,7.13427098173403,4.947147127943358,0.7631463115124304,13.01800389083063,8.893841416676002,0.8589108368525324,0.8575783209356612
8g,row,1362771960,30,30,affine,0.7839965571900531,7.607185127913181,4.293312870983331,0.7663568115763226,12.929474767994915,7.313585042466826,0.8884956905232165,0.8848334932750717
8g,row,1362771960,30,30,affine_condition_residual,0.7825797157472759,7.6320934309832955,4.253352036415422,0.7708866269020488,12.803524606398623,7.102837381642218,0.8866855429625171,0.8824968267022978
8g,row,1362771960,30,30,target_head_only,0.8660256493415057,5.99107117475091,3.7840582963694693,0.8679736412980237,9.719292305572665,5.314517383299011,0.6868722009014484,0.6824429757670694
8g,row,1362771960,50,50,zero_shot,0.27601428512788806,13.927034366286533,9.741048020763674,0.4411124598092293,19.99707772538805,14.151899654001426,1.5282586937050109,1.5056679952556868
8g,row,1362771960,50,50,column_mass_ratio_scaling,0.8676100959601936,5.955539129042463,3.3212302655759074,0.8413259830586064,10.655092615625328,6.574179152336673,0.7108167237242943,0.7092928927889892
8g,row,1362771960,50,50,scale_only,0.8614960827447044,6.091506009334599,3.8818793102247255,0.8390876462652384,10.729982523230344,6.652790308702035,0.7221837880639532,0.720249778096681
8g,row,1362771960,50,50,affine,0.8279798674019816,6.788647956369626,3.949122069657848,0.8113471575152544,11.61812373456119,6.796861074451883,0.7951461014980807,0.7921089144366933
8g,row,1362771960,50,50,affine_condition_residual,0.82161423216529,6.913114495137764,3.9947759969196777,0.8113078191809082,11.619334990661997,6.77074654777705,0.8037694745707092,0.8000445508109303
8g,row,1362771960,50,50,target_head_only,0.8816033684466771,5.632008765095779,3.2188872052621154,0.8745849242729795,9.472817997061192,4.936928720336029,0.6550067773864446,0.6519931759854988
8g,row,1362771960,70,70,zero_shot,0.27601428512788806,13.927034366286533,9.741048020763674,0.4411124598092293,19.99707772538805,14.151899654001426,1.5282586937050109,1.5056679952556868
8g,row,1362771960,70,70,column_mass_ratio_scaling,0.8676100959601936,5.955539129042463,3.3212302655759074,0.8413259830586064,10.655092615625328,6.574179152336673,0.7108167237242943,0.7092928927889892
8g,row,1362771960,70,70,scale_only,0.8752329141715589,5.781541727015923,3.528394508994605,0.8550728763008569,10.18308003990777,6.05517077555723,0.6854095230811699,0.683571776214903
8g,row,1362771960,70,70,affine,0.8411382880663638,6.523839498473083,3.836207062218391,0.826697958527107,11.1354086672632,6.364984093664188,0.7632956043737703,0.7602925645213385
