column,protocol,seed,method,lambda_C,lambda_W,fold_scores,mean_cv_score,rank,selected
pooled_25g_40g,compound,769539383,HIER_CW_SEPARATE_LAMBDA_LEGACY_OBJECTIVE,1.0,0.0,"[0.5756247424045844, 0.49658339599314966, 0.45845864145320975, 0.44249466928901976, 0.3825446858864189]",0.47114122700527644,20,False
pooled_25g_40g,compound,769539383,HIER_CW_SEPARATE_LAMBDA_LEGACY_OBJECTIVE,1.0,0.1,"[0.5755772842529105, 0.4966086577333157, 0.45700902855277087, 0.4440480147208515, 0.3825902277518913]",0.471166642602348,21,False
pooled_25g_40g,compound,769539383,HIER_CW_SEPARATE_LAMBDA_LEGACY_OBJECTIVE,1.0,1.0,"[0.5758665187808651, 0.497823875432664, 0.45697477890976695, 0.4442772001733611, 0.38323539489061914]",0.4716355536374553,22,False
pooled_25g_40g,compound,769539383,HIER_CW_SEPARATE_LAMBDA_LEGACY_OBJECTIVE,1.0,10.0,"[0.5763805008551917, 0.5000438361404317, 0.45741808076686896, 0.4444569486844177, 0.38407666644903]",0.4724752065791879,23,False
pooled_25g_40g,compound,769539383,HIER_CW_SEPARATE_LAMBDA_LEGACY_OBJECTIVE,1.0,100.0,"[0.5766427563780457, 0.5009351488850224, 0.4577256831424427, 0.44473815816569034, 0.38447815265995433]",0.47290397984623117,24,False
pooled_25g_40g,compound,769539383,HIER_CW_SEPARATE_LAMBDA_LEGACY_OBJECTIVE,10.0,0.01,"[0.5772003865798918, 0.5112312241698377, 0.4608308320096334, 0.4466401975977045, 0.3899231930436613]",0.4771651666801457,25,False
pooled_25g_40g,compound,769539383,HIER_CW_SEPARATE_LAMBDA_LEGACY_OBJECTIVE,10.0,0.0,"[0.5772393213316627, 0.5113812276582083, 0.4613853850858419, 0.4461575979109852, 0.3900576644324203]",0.47724423928382365,26,False
pooled_25g_40g,compound,769539383,HIER_CW_SEPARATE_LAMBDA_LEGACY_OBJECTIVE,10.0,0.1,"[0.5773119921378407, 0.5115050532791368, 0.46013940079742083, 0.44779662458531927, 0.390131698823779]",0.47737695392469937,27,False
pooled_25g_40g,compound,769539383,HIER_CW_SEPARATE_LAMBDA_LEGACY_OBJECTIVE,10.0,1.0,"[0.5778697802754886, 0.5129879005933164, 0.4604454937474928, 0.44836617058493167, 0.3910255619359555]",0.47813898142743694,28,False
pooled_25g_40g,compound,769539383,HIER_CW_SEPARATE_LAMBDA_LEGACY_OBJECTIVE,10.0,10.0,"[0.5788233395087665, 0.5156135391275175, 0.46147694466996203, 0.44922717578312166, 0.39237198700670917]",0.47950259721921534,29,False
pooled_25g_40g,compound,769539383,HIER_CW_SEPARATE_LAMBDA_LEGACY_OBJECTIVE,10.0,100.0,"[0.5792491004336462, 0.5166436222458285, 0.4619970035033405, 0.44975486809742893, 0.3929668930648398]",0.4801222974690168,30,False
