column,protocol,seed,method,V1_rmse,V1_mae,V1_r2,V2_rmse,V2_mae,V2_r2,combined_normalized_rmse,normalized_rmse,nrmse,combined_nrmse,all_outputs_finite
25g,row,1425370602,HIER_CW_ENDPOINT_ALIGNED_CORRECTED,10.192751839629704,4.442954011340769,-0.29699640016627193,14.014518360717474,7.57411770285402,0.3235015091407183,1.1029973874569394,1.1029973874569394,1.0826456367638957,1.0826456367638957,True
25g,row,1425370602,CORRECTED_JOINT_FULL128,9.994556917464463,4.629711505871777,-0.24704739782354435,14.096611823342458,7.392422523955285,0.3155527862115559,1.0903429277829961,1.0903429277829961,1.072622484293203,1.072622484293203,True
25g,row,1425370602,M3_CENTER_WIDTH_FULL,10.092911030928192,4.414072331290106,-0.2717119704281381,13.861254583217427,7.503441864670529,0.33821707349054686,1.0918003947799837,1.0918003947799837,1.0715435865217078,1.0715435865217078,True
25g,row,1425370602,conditional_EA,9.448845614532237,4.121364139569787,-0.11458546560475447,13.508650762161295,7.5330093365459385,0.3714578215042823,1.0353753743631997,1.0353753743631997,1.0197082935702224,1.0197082935702224,True
25g,row,1425370602,paper_style_current_v2,8.561660804846218,4.4503824324324315,0.08489294125726432,13.862068305909792,7.608212445945947,0.3381393714920742,0.9808366930977654,0.9808366930977654,0.9744041427062262,0.9744041427062262,True
25g,row,1425370602,scale_only,10.804877450362499,5.385633147857933,-0.4574563616840044,13.851414333653178,7.913138822987909,0.3391563532084021,1.145127325582601,1.145127325582601,1.116415031225293,1.116415031225293,True
25g,row,536279090,OLD_HIER_REFERENCE,11.1108275962225,5.173687804168085,-0.7044452032449906,14.136364175572096,7.985449979187299,0.24857672866935498,1.175049376902559,1.175049376902559,1.1446912559567037,1.1446912559567037,True
25g,row,536279090,HIER_CW_SHARED_LAMBDA_CORRECTED,10.62894733393563,5.039050461470422,-0.5598065372949115,13.611237992493095,7.912006223134795,0.3033663531051195,1.1261393440254825,1.1261393440254825,1.097781678466079,1.097781678466079,True
25g,row,536279090,HIER_CW_SEPARATE_LAMBDA_LEGACY_OBJECTIVE,10.598810838221866,5.056689447946881,-0.5509739668817812,13.626468088052116,7.903493855233288,0.3018065048596855,1.1242066676889908,1.1242066676889908,1.0963430569691748,1.0963430569691748,True
25g,row,536279090,HIER_CW_ENDPOINT_ALIGNED_CORRECTED,10.513183779935664,5.04435671348954,-0.5260147751914772,13.522982676583624,7.891308737960304,0.31237101514734233,1.1152791142156986,1.1152791142156986,1.0876911042921416,1.0876911042921416,True
25g,row,536279090,CORRECTED_JOINT_FULL128,10.035333178775733,5.101153524371559,-0.39044500940609383,13.336656138630957,7.660385892287527,0.3311894748905,1.0747523742823881,1.0747523742823881,1.0515743291225013,1.0515743291225013,True
25g,row,536279090,M3_CENTER_WIDTH_FULL,10.986362847328621,5.4142637985796025,-0.6664723131940817,15.099831027685127,8.53865586981816,0.14265944810495212,1.1887330467158324,1.1887330467158324,1.1667584556084933,1.1667584556084933,True
25g,row,536279090,conditional_EA,13.040940703380588,6.175252867636812,-1.348053923158417,16.266213009584114,8.975757992408344,0.005093881486001317,1.3716428888082026,1.3716428888082026,1.3334066827995399,1.3334066827995399,True
25g,row,536279090,paper_style_current_v2,9.110250888056642,4.7527877499999995,-0.14591103147149265,13.812179174374366,7.042253756756757,0.2826458777768779,1.0185480329463346,1.0185480329463346,1.0076630486086633,1.0076630486086633,True
25g,row,536279090,scale_only,11.431547523006685,6.102125572606909,-0.8042648072010021,13.065816798566816,7.703962856128968,0.35807791105968967,1.1758507040868664,1.1758507040868664,1.131746993648219,1.131746993648219,True
25g,row,2767143051,OLD_HIER_REFERENCE,6.4335732515188875,4.339811148438732,0.65593554931245,9.231197425515004,7.168506004078904,0.6826506546827349,0.7058143134101469,0.7058143134101469,0.6953413588983395,0.6953413588983395,True
25g,row,2767143051,HIER_CW_SHARED_LAMBDA_CORRECTED,6.533583148942936,4.379779632944305,0.6451554432561406,9.113799693070979,6.895009484352394,0.6906711074330516,0.7102470280364946,0.7102470280364946,0.6980362196003551,0.6980362196003551,True
25g,row,2767143051,HIER_CW_SEPARATE_LAMBDA_LEGACY_OBJECTIVE,6.6710545013057505,4.4891386995731,0.6300659729114539,9.209490695297479,6.943408463695181,0.6841413643222307,0.7228146925063966,0.7228146925063966,0.7097355111003391,0.7097355111003391,True
25g,row,2767143051,HIER_CW_ENDPOINT_ALIGNED_CORRECTED,6.679946093040541,4.478064430189251,0.6290791740690028,9.260811412984275,6.942267112252252,0.6806112542416624,0.7247419293680547,0.7247419293680547,0.7118958627370541,0.7118958627370541,True
25g,row,2767143051,CORRECTED_JOINT_FULL128,6.586385052457567,4.215938487770396,0.6393968332929563,9.486191742924264,7.187567729763515,0.6648761584518109,0.7234842355381684,0.7234842355381684,0.7129686079969344,0.7129686079969344,True
25g,row,2767143051,M3_CENTER_WIDTH_FULL,6.63894131443831,4.403020059748741,0.6336189845335108,10.71244801116958,8.462348167833502,0.5726349695036282,0.7595682059368063,0.7595682059368063,0.7544416781351486,0.7544416781351486,True
25g,row,2767143051,conditional_EA,6.45797836093595,4.206634794909231,0.653320250880286,12.093573294903134,9.423308176032435,0.455333317150303,0.7866341067460443,0.7866341067460443,0.7859135223776506,0.7859135223776506,True
25g,row,2767143051,paper_style_current_v2,6.610322984583623,4.599930156626505,0.6367708767031357,9.654902498891754,7.3853687349397585,0.6528498853688852,0.7295346014251538,0.7295346014251538,0.719734698242554,0.719734698242554,True
25g,row,2767143051,scale_only,7.329592531224995,4.874636894141167,0.5534244246308004,9.797024734420472,7.4772865394669905,0.6425544149600174,0.7863284083831014,0.7863284083831014,0.7697957869560318,0.7697957869560318,True
25g,row,1362771960,OLD_HIER_REFERENCE,5.32146860395472,3.740203263107443,0.6796913428027285,8.623942411688782,6.126357676485225,0.7096301671295505,0.6098548980347139,0.6098548980347139,0.605886882459308,0.605886882459308,True
25g,row,1362771960,HIER_CW_SHARED_LAMBDA_CORRECTED,5.388600386252651,3.8721453569619477,0.6715588045580465,8.875625909689587,6.375998880816418,0.6924343872919205,0.6214768904079405,0.6214768904079405,0.6179743761873384,0.6179743761873384,True
25g,row,1362771960,HIER_CW_SEPARATE_LAMBDA_LEGACY_OBJECTIVE,5.388600386252651,3.8721453569619477,0.6715588045580465,8.875625909689587,6.375998880816418,0.6924343872919205,0.6214768904079405,0.6214768904079405,0.6179743761873384,0.6179743761873384,True
25g,row,1362771960,HIER_CW_ENDPOINT_ALIGNED_CORRECTED,5.366030738507126,3.8660888034878704,0.6743043331341414,8.933152169482721,6.42292274393641,0.6884345708673725,0.6214988086106306,0.6214988086106306,0.6183313701945148,0.6183313701945148,True
