column,outer_seed,method,inner_fold,stage,n_inner_train,n_inner_validation,inner_train_group_hash,inner_validation_group_hash,best_epoch,epochs_run,validation_score,last_20_validation_slope,train_loss,parameter_drift,bn_buffer_drift,trainable_parameter_count,quantile_crossing_count,runtime_seconds,inner_validation_combined_nrmse,epoch_150_validation_score,epoch_300_validation_score,epoch_500_validation_score
40g,536279090,P1,2,A,278,70,28efed75b35d500efdfbd6fd46448c4f54c02679c6749d8a5ab9c0535d6a159a,780b96c4f52d4b75dc65ad014f33291f2910a75b39bd6acbe59a138df524f23c,500,500,1.6323860880552497,-0.0009388449596179,4229.40234375,1.3275372943919717,0.0,774,5,987.791835784912,1.6323860880552497,1.995713245437801,1.8310631063674856,1.6323860880552497
40g,536279090,P1,2,B,278,70,28efed75b35d500efdfbd6fd46448c4f54c02679c6749d8a5ab9c0535d6a159a,780b96c4f52d4b75dc65ad014f33291f2910a75b39bd6acbe59a138df524f23c,206,286,0.6109557916300642,4.882312771953958e-05,218.1522216796875,2.06325006755503,206.05336922434495,36387,0,569.6417391300201,0.6109557916300642,0.6135988354071039,,
40g,536279090,P0,3,B,279,69,39ea8665dd612a8e73f647f442fcc46e3d270cdcc169b9ed2c51ddef72d368ef,3918e37ea6e38c615a68e48fb77b66860b8c50534eff14b19a85d24e259bd761,228,308,0.3985662719415921,0.0001237968365916,309.8821716308594,2.5147324281040437,228.05328942452172,36387,9,631.7183640003204,0.3985662719415921,0.4601649671393238,0.4035310996178463,
40g,536279090,P1,3,A,279,69,39ea8665dd612a8e73f647f442fcc46e3d270cdcc169b9ed2c51ddef72d368ef,3918e37ea6e38c615a68e48fb77b66860b8c50534eff14b19a85d24e259bd761,500,500,1.225312454276373,-0.000852021274186,4711.09326171875,1.3291506334281256,0.0,774,4,1040.1818189620972,1.225312454276373,1.5547508390918692,1.4055654849837216,1.225312454276373
40g,536279090,P1,3,B,279,69,39ea8665dd612a8e73f647f442fcc46e3d270cdcc169b9ed2c51ddef72d368ef,3918e37ea6e38c615a68e48fb77b66860b8c50534eff14b19a85d24e259bd761,164,244,0.4113370637721193,0.0001439080931616,310.4969482421875,1.9366289503660057,164.05551285460933,36387,0,557.3306591510773,0.4113370637721193,0.4117229218465044,,
40g,536279090,P0,4,B,278,70,d41cb95cac913349fcce681c1a6c2bf34c0e8e81dc5772abb6681f03ba95e149,b8689c589bfc03744e70afe251e7cdc5a4faf9e5d9cd68bba85b45600e4ad1e5,168,248,0.4179960183402617,7.79532759878757e-05,366.2415466308594,2.246881481250843,168.06156553417915,36387,40,605.8101887702942,0.4179960183402617,0.4264845673696466,,
40g,536279090,P1,4,A,278,70,d41cb95cac913349fcce681c1a6c2bf34c0e8e81dc5772abb6681f03ba95e149,b8689c589bfc03744e70afe251e7cdc5a4faf9e5d9cd68bba85b45600e4ad1e5,500,500,1.213102589266147,-0.000887834865671,4752.921875,1.3235503517066125,0.0,774,5,1040.8917508125303,1.213102589266147,1.5546587723443723,1.4004300901153444,1.213102589266147
40g,536279090,P1,4,B,278,70,d41cb95cac913349fcce681c1a6c2bf34c0e8e81dc5772abb6681f03ba95e149,b8689c589bfc03744e70afe251e7cdc5a4faf9e5d9cd68bba85b45600e4ad1e5,209,289,0.4327138040504966,4.848271714593543e-05,281.3688659667969,2.0735770790514363,209.0521093092868,36387,0,605.0981969833374,0.4327138040504966,0.4350973876541461,,
40g,536279090,P0,5,B,279,69,fa0351f0edf572d35792a883cf293beb9a2cabb24589f4c9f524bc80bb5bffcd,f828b915932d73dd76d119488fc2c16dcff393281aef6d532ff65562f5c41244,211,291,0.5651978566387797,0.0001598226579724,294.12481689453125,2.4231125893472876,211.05713765813587,36387,7,608.7843000888824,0.5651978566387797,0.6232680962981904,,
40g,536279090,P1,5,A,279,69,fa0351f0edf572d35792a883cf293beb9a2cabb24589f4c9f524bc80bb5bffcd,f828b915932d73dd76d119488fc2c16dcff393281aef6d532ff65562f5c41244,500,500,1.3992904558650303,-0.0009185595053654,4485.0732421875,1.321931565415354,0.0,774,0,956.0942199230194,1.3992904558650303,1.7539244171964388,1.5934368527055929,1.3992904558650303
40g,536279090,P1,5,B,279,69,fa0351f0edf572d35792a883cf293beb9a2cabb24589f4c9f524bc80bb5bffcd,f828b915932d73dd76d119488fc2c16dcff393281aef6d532ff65562f5c41244,131,211,0.5387910942191195,0.0001413986126877,305.5972900390625,1.8227305773239488,131.06605840753986,36387,0,305.85344409942627,0.5387910942191195,0.5399497370572344,,
40g,2767143051,P0,1,B,287,72,94e4944ea8797f43cfd138ee0e4bf4f2da5aeb43f93a39e45665a3aea8bf5610,522eef4083e28019758dd3f83585c50d1970feba0655df43b29f474a1177176c,193,273,0.5513399687105642,0.0002196705636917,324.765869140625,2.3099564266885753,193.0532723713376,36387,12,571.548581123352,0.5513399687105642,0.5800550330651236,,
40g,2767143051,P1,1,A,287,72,94e4944ea8797f43cfd138ee0e4bf4f2da5aeb43f93a39e45665a3aea8bf5610,522eef4083e28019758dd3f83585c50d1970feba0655df43b29f474a1177176c,500,500,1.530212318101212,-0.0009596232503412,4404.171875,1.3256862935412823,0.0,774,5,1040.017716884613,1.530212318101212,1.89796419706955,1.7321773237744202,1.530212318101212
40g,2767143051,P1,1,B,287,72,94e4944ea8797f43cfd138ee0e4bf4f2da5aeb43f93a39e45665a3aea8bf5610,522eef4083e28019758dd3f83585c50d1970feba0655df43b29f474a1177176c,75,155,0.5111243297191866,0.0002903812188932,379.2750244140625,1.6350199870219868,75.08096055661173,36387,6,321.98310708999634,0.5111243297191866,0.5315459337741124,,
40g,2767143051,P0,2,B,287,72,c427fb69d7091cf48ea02f9db8c011f5e7d3953a629b02ce6eee2c9781a90b06,df65fc962721017276ad4723f6076f66195b25e01b998c6b4b18202736cc86fd,198,278,0.5474483884900258,0.0001699814411279,297.31573486328125,2.4134012589952047,198.06041580649227,36387,16,561.3695940971375,0.5474483884900258,0.5921405773229926,,
