dataset,effective_group_id,canonical_smiles,PE/EA,rows,distinct_loading_conditions,ignored_loading_conditions_differ,V1_range,V2_range
4g,76082c968afef0d4,C1=Cc2ccccc2C1,1/1,4,3,True,2.166666666666667,5.308333333333332
4g,fdb092d2269226e7,C1=Cc2ccccc2C1,10/1,6,3,True,0.8416666666666668,5.600000000000001
4g,ffe69c1108c3992d,C1=Cc2ccccc2C1,2/1,6,3,True,4.175,15.370833333333334
4g,7f32be0b9d5d29d6,C1=Cc2ccccc2C1,20/1,6,3,True,1.5499999999999998,5.199999999999999
4g,93565e8045586e45,C1=Cc2ccccc2C1,5/1,6,3,True,1.7708333333333335,11.966666666666669
4g,0de46c658796c65f,C1=Cc2ccccc2C1,50/1,6,3,True,1.0166666666666666,5.366666666666667
4g,5e74a898db9427ff,C=C(C)C(=O)OCCOC(=O)CC(C)=O,0/1,3,3,True,0.2666666666666666,0.2833333333333332
4g,4513c0edbe2cc40e,C=C(C)C(=O)OCCOC(=O)CC(C)=O,1/1,3,3,True,1.908333333333334,4.758333333333333
4g,f1154929b4ea8407,C=C(C)C(=O)OCCOC(=O)CC(C)=O,10/1,3,3,True,16.083333333333336,2.35833333333332
4g,608fa7506c6dd289,C=C(C)C(=O)OCCOC(=O)CC(C)=O,2/1,3,3,True,1.0416666666666679,4.700000000000003
4g,4003d2348422c95f,C=C(C)C(=O)OCCOC(=O)CC(C)=O,5/1,3,3,True,6.049999999999997,3.758333333333333
4g,08b9435f5830051f,C=C(c1ccccc1)c1ccccc1,0/1,3,3,True,0.10833333333333339,5.024999999999999
4g,a0a92c8bc4323b08,C=C(c1ccccc1)c1ccccc1,1/1,3,3,True,1.2666666666666666,1.5583333333333336
4g,6159ad83c0fb4d48,C=C(c1ccccc1)c1ccccc1,10/1,3,3,True,1.75,1.049999999999999
4g,a6b064daa11af3f8,C=C(c1ccccc1)c1ccccc1,2/1,3,3,True,1.375,2.641666666666664
4g,976a66c4a0bfa35b,C=C(c1ccccc1)c1ccccc1,20/1,3,3,True,1.5583333333333336,2.183333333333332
4g,a106654b0ebe25fe,C=C(c1ccccc1)c1ccccc1,5/1,3,3,True,1.2749999999999995,1.5999999999999979
4g,e05aa87d4b87b8a4,C=C(c1ccccc1)c1ccccc1,50/1,3,3,True,0.8583333333333334,0.45000000000000107
