column,protocol,seed,method,V1_rmse,V1_mae,V1_r2,V2_rmse,V2_mae,V2_r2,combined_normalized_rmse,normalized_rmse,nrmse,combined_nrmse,all_outputs_finite
25g,row,1425370602,paper_style_current_v2,8.561660804846218,4.4503824324324315,0.08489294125726432,13.862068305909792,7.608212445945947,0.3381393714920742,0.9808366930977654,0.9808366930977654,0.9744041427062262,0.9744041427062262,True
25g,row,536279090,OLD_HIER_REFERENCE,11.1108275962225,5.173687804168085,-0.7044452032449906,14.136364175572096,7.985449979187299,0.24857672866935498,1.175049376902559,1.175049376902559,1.1446912559567037,1.1446912559567037,True
25g,row,536279090,HIER_CW_SHARED_LAMBDA_CORRECTED,10.62894733393563,5.039050461470422,-0.5598065372949115,13.611237992493095,7.912006223134795,0.3033663531051195,1.1261393440254825,1.1261393440254825,1.097781678466079,1.097781678466079,True
25g,row,536279090,CORRECTED_JOINT_FULL128,10.035333178775733,5.101153524371559,-0.39044500940609383,13.336656138630957,7.660385892287527,0.3311894748905,1.0747523742823881,1.0747523742823881,1.0515743291225013,1.0515743291225013,True
25g,row,536279090,BALANCED_JOINT_FULL128,9.692498394806687,5.035681771447024,-0.29706488325309244,13.442905716700377,7.484678486951357,0.3204905565541003,1.0517280644960094,1.0517280644960094,1.033124409386728,1.033124409386728,True
25g,row,536279090,A2_HIER_SHRINK_ORIGINAL,10.230777491691724,4.901711333804072,-0.44513195575463693,13.351197006059008,7.612383232650806,0.3297302805202197,1.0898349951684605,1.0898349951684605,1.0644283942032544,1.0644283942032544,True
25g,row,536279090,A3_HIER_SHRINK_BALANCED,9.872227144244066,4.949386032919139,-0.345614022916787,13.418422442235988,7.493731325241554,0.322963454393309,1.064507674421607,1.064507674421607,1.0437675501911752,1.0437675501911752,True
25g,row,536279090,paper_style_current_v2,9.110250888056642,4.7527877499999995,-0.14591103147149265,13.812179174374366,7.042253756756757,0.2826458777768779,1.0185480329463346,1.0185480329463346,1.0076630486086633,1.0076630486086633,True
25g,row,2767143051,OLD_HIER_REFERENCE,6.4335732515188875,4.339811148438732,0.65593554931245,9.231197425515004,7.168506004078904,0.6826506546827349,0.7058143134101469,0.7058143134101469,0.6953413588983395,0.6953413588983395,True
25g,row,2767143051,HIER_CW_SHARED_LAMBDA_CORRECTED,6.533583148942936,4.379779632944305,0.6451554432561406,9.113799693070979,6.895009484352394,0.6906711074330516,0.7102470280364946,0.7102470280364946,0.6980362196003551,0.6980362196003551,True
25g,row,2767143051,CORRECTED_JOINT_FULL128,6.586385052457567,4.215938487770396,0.6393968332929563,9.486191742924264,7.187567729763515,0.6648761584518109,0.7234842355381684,0.7234842355381684,0.7129686079969344,0.7129686079969344,True
25g,row,2767143051,BALANCED_JOINT_FULL128,6.603043671781815,4.440998068004878,0.6375704148164117,9.360424706625137,7.0970489065686,0.673703333670922,0.7215353872946813,0.7215353872946813,0.7101141571137236,0.7101141571137236,True
25g,row,2767143051,A2_HIER_SHRINK_ORIGINAL,6.371287903742199,4.203222406458934,0.6625652827969475,9.077899274967109,6.742474688000038,0.6931032794954358,0.6973673991386401,0.6973673991386401,0.6866213034434968,0.6866213034434968,True
25g,row,2767143051,A3_HIER_SHRINK_BALANCED,6.475013969778334,4.350767110155597,0.6514888138868751,9.20288828484175,6.939281502253764,0.6845940887760746,0.7081469724122016,0.7081469724122016,0.6970905094131015,0.6970905094131015,True
25g,row,2767143051,paper_style_current_v2,6.610322984583623,4.599930156626505,0.6367708767031357,9.654902498891754,7.3853687349397585,0.6528498853688852,0.7295346014251538,0.7295346014251538,0.719734698242554,0.719734698242554,True
25g,row,1362771960,OLD_HIER_REFERENCE,5.32146860395472,3.740203263107443,0.6796913428027285,8.623942411688782,6.126357676485225,0.7096301671295505,0.6098548980347139,0.6098548980347139,0.605886882459308,0.605886882459308,True
25g,row,1362771960,HIER_CW_SHARED_LAMBDA_CORRECTED,5.388600386252651,3.8721453569619477,0.6715588045580465,8.875625909689587,6.375998880816418,0.6924343872919205,0.6214768904079405,0.6214768904079405,0.6179743761873384,0.6179743761873384,True
25g,row,1362771960,CORRECTED_JOINT_FULL128,5.498377163430319,4.066048272364525,0.6580404612222583,8.68673611774882,6.100295927608141,0.7053862195970098,0.6240514659128722,0.6240514659128722,0.6190654951297725,0.6190654951297725,True
25g,row,1362771960,BALANCED_JOINT_FULL128,5.583299390696593,4.133121566128522,0.6473957835715076,8.67102311742967,6.104511524932841,0.7064510797560228,0.6296753674128076,0.6296753674128076,0.623965500096282,0.623965500096282,True
25g,row,1362771960,A2_HIER_SHRINK_ORIGINAL,5.321026924347836,3.9293470998849713,0.6797445115578932,8.596631962657847,5.983845136512014,0.7114663514420041,0.609077423245774,0.609077423245774,0.6050094660111538,0.6050094660111538,True
25g,row,1362771960,A3_HIER_SHRINK_BALANCED,5.583299390696593,4.133121566128522,0.6473957835715076,8.67102311742967,6.104511524932841,0.7064510797560228,0.6296753674128076,0.6296753674128076,0.623965500096282,0.623965500096282,True
25g,row,1362771960,paper_style_current_v2,5.660511443624723,3.958606889534883,0.6375759461294832,9.037774999359858,6.132694337209303,0.6810938832002287,0.6450169608076108,0.6450169608076108,0.6402714064303496,0.6402714064303496,True
40g,row,769539383,OLD_HIER_REFERENCE,16.306957425092893,9.745176385334682,0.5111101391850226,16.903413706910378,12.18019331147606,0.7302974787540548,1.641394007387614,1.641394007387614,1.5604679700398016,1.5604679700398016,True
40g,row,769539383,HIER_CW_SHARED_LAMBDA_CORRECTED,16.480874578355923,9.73432653473324,0.5006263018211126,16.957175281968734,12.171558628939147,0.7285791642471307,1.6563866939738774,1.6563866939738774,1.5731758536368081,1.5731758536368081,True
40g,row,769539383,CORRECTED_JOINT_FULL128,15.746300512359875,8.575485325599622,0.5441497189944106,16.908852330478993,11.388480946477115,0.7301238988506131,1.5968128844207623,1.5968128844207623,1.5250609016090628,1.5250609016090628,True
40g,row,769539383,BALANCED_JOINT_FULL128,15.80192125142754,8.337554799053295,0.5409236266389148,16.665798719281067,10.804584249051846,0.7378267188679455,1.5962941999365101,1.5962941999365101,1.521031010998885,1.521031010998885,True
40g,row,769539383,A2_HIER_SHRINK_ORIGINAL,15.746300512359875,8.575485325599622,0.5441497189944106,16.908852330478993,11.388480946477115,0.7301238988506131,1.5968128844207623,1.5968128844207623,1.5250609016090628,1.5250609016090628,True
40g,row,769539383,A3_HIER_SHRINK_BALANCED,15.80192125142754,8.337554799053295,0.5409236266389148,16.665798719281067,10.804584249051846,0.7378267188679455,1.5962941999365101,1.5962941999365101,1.521031010998885,1.521031010998885,True
40g,row,769539383,paper_style_current_v2,14.47478585148574,7.819261609195403,0.6147971867377773,15.961347115154641,10.290737839080458,0.7595220564007742,1.4765203362717207,1.4765203362717207,1.4149089226674607,1.4149089226674607,True
40g,row,1425370602,OLD_HIER_REFERENCE,16.490194700347615,10.029215192714481,0.6098276509377779,20.474723434348064,14.457625200740823,0.7302498541849582,1.7322859578113214,1.7322859578113214,1.683167502045762,1.683167502045762,True
40g,row,1425370602,HIER_CW_SHARED_LAMBDA_CORRECTED,16.663705709577584,10.194597136303463,0.6015736106186075,20.513366759834412,14.495949489346687,0.7292306580314831,1.7464833233767285,1.7464833233767285,1.6953794170776681,1.6953794170776681,True
40g,row,1425370602,CORRECTED_JOINT_FULL128,16.01423409214049,9.127033770238592,0.6320258872731032,19.90070249014112,13.089062962222513,0.7451630408986089,1.6826741611263616,1.6826741611263616,1.635112863796809,1.635112863796809,True
40g,row,1425370602,BALANCED_JOINT_FULL128,15.664543406332893,9.228892801433142,0.6479207726311518,19.78664185831884,13.377716589505392,0.7480758593172107,1.6533076434849674,1.6533076434849674,1.6093759769034277,1.6093759769034277,True
40g,row,1425370602,A2_HIER_SHRINK_ORIGINAL,16.10256834279578,9.259396106850716,0.6279552130138042,19.930752855994612,13.330318259504786,0.7443928444028727,1.6901343922210128,1.6901343922210128,1.641652676271352,1.641652676271352,True
40g,row,1425370602,A3_HIER_SHRINK_BALANCED,15.664543406332893,9.228892801433142,0.6479207726311518,19.78664185831884,13.377716589505392,0.7480758593172107,1.6533076434849674,1.6533076434849674,1.6093759769034277,1.6093759769034277,True
40g,row,1425370602,paper_style_current_v2,16.02823220015688,8.767093364583333,0.6313823107427392,19.06873193872977,11.788728020833332,0.7660251233169535,1.6650172826967968,1.6650172826967968,1.6101257592792724,1.6101257592792724,True
40g,row,536279090,OLD_HIER_REFERENCE,10.145130593266273,7.3595600270565935,0.825098473042456,14.908155117800804,10.924552845878617,0.8045992551756187,1.12196508992395,1.12196508992395,1.1074170989321555,1.1074170989321555,True
40g,row,536279090,HIER_CW_SHARED_LAMBDA_CORRECTED,10.125387651738098,7.286441157308426,0.825778545252948,14.704516936227316,10.769356321751461,0.809900955994548,1.1153101984535154,1.1153101984535154,1.0998309122219823,1.0998309122219823,True
40g,row,536279090,CORRECTED_JOINT_FULL128,9.097420898872121,6.5725102827366255,0.8593580453623288,13.64055068908184,9.640529131795462,0.8364154752566835,1.0131356240270886,1.0131356240270886,1.001511062464078,1.001511062464078,True
40g,row,536279090,BALANCED_JOINT_FULL128,8.961009332497559,6.655142618771231,0.8635441444945213,13.380811790551693,9.620938896026262,0.8425860077968692,0.9965081429185637,0.9965081429185637,0.9847769198769728,0.9847769198769728,True
40g,row,536279090,A2_HIER_SHRINK_ORIGINAL,9.194922751261304,6.604713805855803,0.856327222631641,13.756780756724787,9.787626200964894,0.8336158160886458,1.023214052086388,1.023214052086388,1.0113128996287615,1.0113128996287615,True
40g,row,536279090,A3_HIER_SHRINK_BALANCED,8.961009332497559,6.655142618771231,0.8635441444945213,13.380811790551693,9.620938896026262,0.8425860077968692,0.9965081429185637,0.9965081429185637,0.9847769198769728,0.9847769198769728,True
40g,row,536279090,paper_style_current_v2,10.109055726062499,7.716983489999999,0.8263401192293771,15.201236769767034,10.58797157,0.7968409113176415,1.1269398156904662,1.1269398156904662,1.1142431995304087,1.1142431995304087,True
40g,row,2767143051,OLD_HIER_REFERENCE,12.33225044464215,7.937257556902924,0.7354178654102599,15.967739295219001,11.114640868413462,0.7459285491688286,1.3107194983337096,1.3107194983337096,1.2791541668682107,1.2791541668682107,True
