outer_seed,strategy,round,member_seed,init_source_sha256,expected_source_sha256,source_reset_pass,checkpoint_sha256
42,pretrained_coverage,2,525,719b2eb695e473c024c11eeb070a7835db78a3d5b01b6d50e8c3aa8f694d5916,719b2eb695e473c024c11eeb070a7835db78a3d5b01b6d50e8c3aa8f694d5916,True,4807fb47a934b35082f93c0738c34a853381f3d0353de093b905df295a883d0d
42,pretrained_coverage,2,1101,23cdc24472d5458046eebaa20aa743228e55ee3d6f1c4c3730d4ff431ea08a60,23cdc24472d5458046eebaa20aa743228e55ee3d6f1c4c3730d4ff431ea08a60,True,27369af87cabbc6a4a759eea7f5e4a22ec847ebb5dbcb115fc96ad49c8630841
42,pretrained_coverage,3,42,7b9e3d0d4c8036c738ef220802e7ee46bc6ab8261cc541fb7d194e8c17044323,7b9e3d0d4c8036c738ef220802e7ee46bc6ab8261cc541fb7d194e8c17044323,True,4b75667d737852028e196aec866dea169837a6b7477f6978ed21a26164160b36
42,pretrained_coverage,3,525,719b2eb695e473c024c11eeb070a7835db78a3d5b01b6d50e8c3aa8f694d5916,719b2eb695e473c024c11eeb070a7835db78a3d5b01b6d50e8c3aa8f694d5916,True,0da4fcfacf9ea9e8749d804c72dc24a255f8a0396307f42f270dbac22cb90751
42,pretrained_coverage,3,1101,23cdc24472d5458046eebaa20aa743228e55ee3d6f1c4c3730d4ff431ea08a60,23cdc24472d5458046eebaa20aa743228e55ee3d6f1c4c3730d4ff431ea08a60,True,d76febd813622d53ed33f82bea9c4970025317ea060ad4a618f026212a0c909a
42,pretrained_coverage,4,42,7b9e3d0d4c8036c738ef220802e7ee46bc6ab8261cc541fb7d194e8c17044323,7b9e3d0d4c8036c738ef220802e7ee46bc6ab8261cc541fb7d194e8c17044323,True,2b10fc8d24cefff8d731c31300a2e10d7bb10d0bacf16ce1769046c8ebb892ba
42,pretrained_coverage,4,525,719b2eb695e473c024c11eeb070a7835db78a3d5b01b6d50e8c3aa8f694d5916,719b2eb695e473c024c11eeb070a7835db78a3d5b01b6d50e8c3aa8f694d5916,True,1636c05a1f9509f50c7ebf0c34353cd40e1e5f760b03cfa33d90eb03881870bf
42,pretrained_coverage,4,1101,23cdc24472d5458046eebaa20aa743228e55ee3d6f1c4c3730d4ff431ea08a60,23cdc24472d5458046eebaa20aa743228e55ee3d6f1c4c3730d4ff431ea08a60,True,b328f4a5b34b3268a7cfb269dc0be3e9b2d9291106bfb66a8d885412ea37b18b
42,pretrained_coverage,5,42,7b9e3d0d4c8036c738ef220802e7ee46bc6ab8261cc541fb7d194e8c17044323,7b9e3d0d4c8036c738ef220802e7ee46bc6ab8261cc541fb7d194e8c17044323,True,3958fd22a5da7ab5a157ec9e115a5eb6bd8c8597b64f3897933ceba07251ef9d
42,pretrained_coverage,5,525,719b2eb695e473c024c11eeb070a7835db78a3d5b01b6d50e8c3aa8f694d5916,719b2eb695e473c024c11eeb070a7835db78a3d5b01b6d50e8c3aa8f694d5916,True,3f4528b9d3b987b00cd0c9f4a408a8a78c5498e4c048fd092acd951f5ea3ce80
