config,mode,pretrained,learning_rate,v2_weight,loss_scaling,reinitialize_head,best_epoch,epochs_run,trainable_parameters,total_parameters,normalized_valid_score,legacy_valid_score,normalized_test_score,valid_V1_mae,valid_V1_rmse,valid_V1_r2,valid_V1_mean_pinball_loss,valid_V1_interval_80_coverage,valid_V1_interval_80_mean_width,valid_V2_mae,valid_V2_rmse,valid_V2_r2,valid_V2_mean_pinball_loss,valid_V2_interval_80_coverage,valid_V2_interval_80_mean_width,valid_quantile_crossing_rate,test_V1_mae,test_V1_rmse,test_V1_r2,test_V1_mean_pinball_loss,test_V1_interval_80_coverage,test_V1_interval_80_mean_width,test_V2_mae,test_V2_rmse,test_V2_r2,test_V2_mean_pinball_loss,test_V2_interval_80_coverage,test_V2_interval_80_mean_width,test_quantile_crossing_rate,split_mode,seed,scaler,train_rows,valid_rows,test_rows
last2_head_lr1e-4,last2_head,True,0.0001,0.5,legacy,False,69,169,186134,775476,0.31292463340820403,39.473601078301954,0.2966380671940599,2.115919828414917,3.499600887298584,0.5180105101124653,0.7810935378074646,0.8545454545454545,7.8140459060668945,4.135880947113037,7.379213333129883,0.5499952861317998,1.4926882982254028,0.6727272727272727,6.712575435638428,0.0,2.2500340938568115,4.293674468994141,0.7959595514123239,0.9045477509498596,0.875,9.40595531463623,3.814927816390991,5.66734504699707,0.8872030393596232,1.2002559900283813,0.6428571428571429,7.3551459312438965,0.0,row,525,source_4g,441,55,56
full_lr1e-4,full,True,0.0001,0.5,legacy,False,42,142,775476,775476,0.31857487740984336,39.423271673075476,0.4537129699476977,2.3274524211883545,3.774866819381714,0.43920545520309784,0.8574507236480713,0.8363636363636363,9.26065731048584,4.299931526184082,7.095583438873291,0.5839235084092107,1.6324148178100586,0.509090909090909,4.609095096588135,0.18181818181818182,2.5887107849121094,4.963217258453369,0.7273630868325827,1.0563111305236816,0.8392857142857143,10.739852905273438,4.691403388977051,7.701173782348633,0.7917179186480783,1.6210795640945435,0.42857142857142855,4.938072204589844,0.16071428571428573,row,525,source_4g,441,55,56
scratch_lr1e-3,full,False,0.001,0.5,legacy,False,62,162,775476,775476,1.0170153781165725,100.4469091119197,1.9109075002540918,3.423474073410034,7.278600215911865,0.5935989900594103,1.2673300504684448,0.7272727272727273,10.538134574890137,5.342067718505859,9.74360179901123,0.7315586420527856,2.0107128620147705,0.6545454545454545,14.846704483032227,0.03636363636363636,4.494044780731201,8.717175483703613,0.34036598872670976,1.8327945470809937,0.5,11.99478816986084,7.959907531738281,15.686517715454102,0.3738902775364432,3.2542660236358643,0.5535714285714286,16.46788215637207,0.07142857142857142,row,1101,target_train,441,55,56
head_only_lr1e-4,head_only,True,0.0001,0.5,legacy,False,500,500,774,775476,0.9848458986300825,99.16055697814636,0.9373317473936529,3.690375804901123,6.853738784790039,0.6396586308731707,1.3891741037368774,0.8363636363636363,9.924027442932129,5.615063667297363,10.216341972351074,0.7048782777646687,2.0934813022613525,0.7090909090909091,11.748833656311035,0.0,3.3973968029022217,6.495263576507568,0.63377750741621,1.0941860675811768,0.8571428571428571,10.28614616394043,5.66428804397583,10.323615074157715,0.7288179653149109,1.9901577234268188,0.7321428571428571,12.021279335021973,0.0,row,1101,source_4g,441,55,56
last2_head_lr1e-4,last2_head,True,0.0001,0.5,legacy,False,489,500,186134,775476,0.7712395171765506,75.85040255709123,1.0988780785183143,3.0464444160461426,6.396289348602295,0.6861549823218174,1.3419698476791382,0.2727272727272727,1.5820387601852417,4.380373954772949,8.359172821044922,0.8024227343699011,1.9674924612045288,0.32727272727272727,2.381423234939575,0.3090909090909091,3.639214038848877,6.686020851135254,0.6119506927712417,1.5859788656234741,0.21428571428571427,1.8509634733200073,6.321834087371826,11.773460388183594,0.647299855045429,2.8650317192077637,0.30357142857142855,2.1302006244659424,0.39285714285714285,row,1101,source_4g,441,55,56
full_lr1e-4,full,True,0.0001,0.5,legacy,False,53,153,775476,775476,0.6361873953865365,62.81033527655404,0.7065394759022807,3.0565168857574463,5.7614264488220215,0.745364414508777,1.2856552600860596,0.8,11.263509750366211,4.571724891662598,7.696271896362305,0.8325168312556794,1.8352172374725342,0.5818181818181818,5.967369079589844,0.01818181818181818,2.986035108566284,4.585229873657227,0.8174954588415007,1.0344754457473755,0.8571428571428571,11.897175788879395,6.226794719696045,10.550041198730469,0.7167919008253021,2.463533401489258,0.48214285714285715,6.298046588897705,0.03571428571428571,row,1101,source_4g,441,55,56
scratch_lr1e-3,full,False,0.001,0.5,legacy,False,75,175,775476,775476,1.2621671031986992,143.9278285996304,0.3866841911962968,3.873687267303467,7.181530475616455,0.5251903016711594,1.511419653892517,0.9473684210526315,19.28803253173828,6.738320350646973,13.590691566467285,0.5281173791043302,2.8136558532714844,0.40350877192982454,11.082287788391113,0.05263157894736842,2.2402265071868896,3.80889892578125,0.8093413753368445,1.049579381942749,0.9814814814814815,19.642494201660156,5.7609944343566895,7.76064920425415,0.7241885596973449,2.0210392475128174,0.46296296296296297,10.00341796875,0.018518518518518517,compound,42,target_train,441,57,54
head_only_lr1e-4,head_only,True,0.0001,0.5,legacy,False,500,500,774,775476,1.138154713984141,132.14586282699815,0.37264957608052385,3.0923547744750977,6.381160259246826,0.625126350562015,1.1366345882415771,0.8245614035087719,8.51005744934082,5.800699710845947,13.522326469421387,0.5328528501504198,2.339202880859375,0.7719298245614035,10.449056625366211,0.0,3.1463358402252197,4.547092437744141,0.7282777850595461,1.010589599609375,0.8333333333333334,9.898823738098145,4.3850250244140625,6.26046895980835,0.8205142714128751,1.4440199136734009,0.7407407407407407,11.945804595947266,0.0,compound,42,source_4g,441,57,54
last2_head_lr1e-4,last2_head,True,0.0001,0.5,legacy,False,28,128,186134,775476,1.0244941325279053,118.41711269806387,0.17358180364306242,3.110774278640747,6.161022663116455,0.6505450434183788,1.3761558532714844,0.6140350877192983,10.811005592346191,5.570560455322266,12.685338973999023,0.5888928320751807,2.3285107612609863,0.5964912280701754,5.836343288421631,0.3333333333333333,2.143455982208252,3.0623157024383545,0.8767583589188797,0.9622857570648193,0.6666666666666666,11.24581527709961,3.422231912612915,4.355384826660156,0.9131301184879201,1.2782208919525146,0.5370370370370371,6.417266845703125,0.48148148148148145,compound,42,source_4g,441,57,54
full_lr1e-4,full,True,0.0001,0.5,legacy,False,74,174,775476,775476,1.1826384782023893,136.36950433419975,0.10922437214676253,3.4175620079040527,6.679773807525635,0.5892201568785613,1.2957268953323364,0.8070175438596491,8.527657508850098,6.398779392242432,13.546226501464844,0.5312000530141652,2.7158665657043457,0.2982456140350877,4.437792778015137,0.017543859649122806,1.2796152830123901,1.6872286796569824,0.9625884690299128,0.5517451763153076,0.8888888888888888,8.884048461914062,3.478957176208496,4.531509876251221,0.90596228918685,1.2743289470672607,0.4074074074074074,4.578959941864014,0.05555555555555555,compound,42,source_4g,441,57,54
scratch_lr1e-3,full,False,0.001,0.5,legacy,False,91,191,775476,775476,0.8817821134256104,99.36204540586027,0.27198966814040176,3.423577070236206,7.2828545570373535,0.5010528415566963,1.3725279569625854,0.5102040816326531,5.743796348571777,5.465487957000732,9.62518310546875,0.6542728586843054,2.181689977645874,0.4489795918367347,9.106029510498047,0.10204081632653061,2.1916019916534424,3.3623154163360596,0.7636847098391539,0.9483779668807983,0.46551724137931033,5.471262454986572,4.153589725494385,6.575211048126221,0.7897782670572351,1.8066480159759521,0.5172413793103449,7.702279090881348,0.15517241379310345,compound,525,target_train,445,49,58
head_only_lr1e-4,head_only,True,0.0001,0.5,legacy,False,500,500,774,775476,0.8169177335327789,93.47181542356725,0.22660034468037105,3.968488931655884,6.781069278717041,0.567438712978884,1.4566009044647217,0.6122448979591837,8.026406288146973,6.129823684692383,9.745656967163086,0.6455640695269207,2.2312920093536377,0.5714285714285714,10.99986457824707,0.04081632653061224,2.1181886196136475,3.2006101608276367,0.7858685142303719,0.7099140286445618,0.8793103448275862,8.287336349487305,3.5034987926483154,5.798770427703857,0.8364953698249425,1.2248822450637817,0.8103448275862069,10.22938060760498,0.0,compound,525,source_4g,445,49,58
last2_head_lr1e-4,last2_head,True,0.0001,0.5,legacy,False,32,132,186134,775476,0.6117188468432851,69.42127938027261,0.15077238554499195,3.361837387084961,5.975273132324219,0.6641333726166705,1.4761406183242798,0.7551020408163265,10.407770156860352,5.170565128326416,8.211868286132812,0.7483485876284397,2.0111958980560303,0.4897959183673469,6.6434245109558105,0.1836734693877551,1.526544213294983,2.267082452774048,0.892564066567691,0.6574722528457642,0.8793103448275862,10.260900497436523,3.448767900466919,5.2185821533203125,0.8675770609005011,1.23930823802948,0.6379310344827587,5.718857288360596,0.20689655172413793,compound,525,source_4g,445,49,58
full_lr1e-4,full,True,0.0001,0.5,legacy,False,40,140,775476,775476,0.7467075567530911,86.48603042896912,0.20370826375799314,3.706275463104248,6.300874710083008,0.6265324040193117,1.4509462118148804,0.7959183673469388,11.364232063293457,5.7870893478393555,9.6731595993042,0.6508177537772175,2.406541585922241,0.3673469387755102,5.218084812164307,0.08163265306122448,2.0071048736572266,2.704395055770874,0.8471183979752739,0.7242387533187866,0.896551724137931,10.509891510009766,4.10973596572876,5.976936340332031,0.826293728032468,1.4674921035766602,0.4482758620689655,4.97966194152832,0.034482758620689655,compound,525,source_4g,445,49,58
scratch_lr1e-3,full,False,0.001,0.5,legacy,False,51,151,775476,775476,1.8202094856850721,193.28583997705573,1.3776711080430217,5.260158061981201,8.56753921508789,0.5280935046971413,1.7590866088867188,0.7058823529411765,13.917391777038574,9.910393714904785,15.484386444091797,0.5058936191387089,3.795731782913208,0.5490196078431373,16.13762664794922,0.0196078431372549,5.162264823913574,8.474799156188965,0.20750983117339272,1.991310477256775,0.5964912280701754,14.030885696411133,7.032175064086914,11.585624694824219,0.4578976830436994,2.6960651874542236,0.6491228070175439,15.277945518493652,0.05263157894736842,compound,1101,target_train,444,51,57
head_only_lr1e-4,head_only,True,0.0001,0.5,legacy,False,500,500,774,775476,0.7038746169475804,69.51069886378457,0.28283853754660926,4.121486186981201,6.320850372314453,0.7431410066900479,1.3924853801727295,0.7254901960784313,10.434456825256348,6.140681743621826,7.688634395599365,0.8781765681809518,2.0172762870788574,0.45098039215686275,11.65429401397705,0.0,2.4273056983947754,3.728300094604492,0.846624219300292,0.7591617703437805,0.9473684210526315,9.54637622833252,3.8784961700439453,5.478277206420898,0.8787922558235279,1.227508783340454,0.7894736842105263,10.739361763000488,0.0,compound,1101,source_4g,444,51,57
last2_head_lr1e-4,last2_head,True,0.0001,0.5,legacy,False,104,204,186134,775476,0.7637098250248224,76.30843637468251,0.17365743059079208,4.071511745452881,6.433097839355469,0.7339372589730961,1.3948354721069336,0.7647058823529411,9.387341499328613,6.8292236328125,8.357474327087402,0.8560596431652446,2.4381344318389893,0.39215686274509803,8.699649810791016,0.0392156862745098,1.7403721809387207,2.447585105895996,0.9338985978408282,0.6006131768226624,0.8421052631578947,7.720534801483154,4.156721115112305,5.08089017868042,0.8957389730939687,1.3058059215545654,0.40350877192982454,6.978200435638428,0.0,compound,1101,source_4g,444,51,57
full_lr1e-4,full,True,0.0001,0.5,legacy,False,45,145,775476,775476,0.9672637658722943,97.45624794371952,0.4106200537780721,4.829100131988525,7.115230560302734,0.6745219593963476,1.6814969778060913,0.8235294117647058,13.27137565612793,7.611443042755127,9.677783012390137,0.8069880475012562,3.0807528495788574,0.21568627450980393,6.387250900268555,0.058823529411764705,2.4360437393188477,3.5491044521331787,0.8610134875456681,0.8697916865348816,0.8421052631578947,11.460373878479004,5.476681232452393,8.099337577819824,0.7350637448407331,2.033867359161377,0.3157894736842105,5.739940643310547,0.03508771929824561,compound,1101,source_4g,444,51,57
