split_mode,seed,config,excluded_source_row_1based,remaining_test_rows,V1_mae,V1_rmse,V1_r2,V1_mean_pinball_loss,V1_interval_80_coverage,V1_interval_80_mean_width,V2_mae,V2_rmse,V2_r2,V2_mean_pinball_loss,V2_interval_80_coverage,V2_interval_80_mean_width,quantile_crossing_rate
compound,1101,last2_head_lr1e-4,224,57,1.7403721809387207,2.447585105895996,0.9338985978408282,0.6006131768226624,0.8421052631578947,7.720534801483154,4.156721115112305,5.08089017868042,0.8957389730939687,1.3058059215545654,0.40350877192982454,6.978200435638428,0.0
compound,1101,scratch_lr1e-3,224,57,5.162264823913574,8.474799156188965,0.20750983117339272,1.991310477256775,0.5964912280701754,14.030885696411133,7.032175064086914,11.585624694824219,0.4578976830436994,2.6960654258728027,0.6491228070175439,15.277945518493652,0.05263157894736842
row,42,full_lr1e-4,224,55,2.8414793014526367,5.121022701263428,0.5810203464645464,1.0099122524261475,0.7818181818181819,10.904848098754883,5.070854663848877,8.688392639160156,0.6458023415151734,1.9786136150360107,0.45454545454545453,4.752686023712158,0.10909090909090909
row,42,head_only_lr1e-4,224,55,2.6127383708953857,3.558838129043579,0.7976533778736622,0.8028093576431274,0.8363636363636363,8.782394409179688,3.566200017929077,5.189958095550537,0.8736153134739095,1.1762456893920898,0.8,10.831692695617676,0.0
row,42,head_reinit_lr1e-4,224,55,2.887500047683716,4.000887870788574,0.7442637211745535,0.893554151058197,0.7090909090909091,8.400983810424805,6.968995094299316,9.645750999450684,0.5634451254868715,3.369821310043335,0.12727272727272726,2.9532721042633057,0.4909090909090909
row,42,last2_head_equal_v2_lr1e-4,224,55,2.006408929824829,3.3721039295196533,0.8183307461240262,0.7799721360206604,0.8545454545454545,10.288280487060547,3.6056010723114014,5.170362949371338,0.8745678640838819,1.2143718004226685,0.6545454545454545,7.419162750244141,0.0
row,42,last2_head_lr1e-4,224,55,1.9808112382888794,3.500544786453247,0.8042278905300196,0.7909185290336609,0.8727272727272727,10.578154563903809,3.592595338821411,5.191591739654541,0.8735357303171962,1.2305268049240112,0.6,7.299126148223877,0.0
row,42,last2_head_reinit_lr1e-4,224,55,2.3761799335479736,4.079488277435303,0.7341168172339982,0.9277787804603577,0.7090909090909091,8.74978256225586,4.388310432434082,6.351498603820801,0.8107137007496688,3.427191972732544,0.16363636363636364,4.807768821716309,0.9636363636363636
row,42,last2_head_standardized_loss_lr1e-4,224,55,2.1088993549346924,3.604658842086792,0.7924093236267301,0.735022246837616,0.8727272727272727,8.735799789428711,3.580578327178955,5.131766319274902,0.8764335694543307,1.164124608039856,0.7090909090909091,8.939168930053711,0.0
row,42,scratch_lr1e-3,224,55,2.2181644439697266,3.95953369140625,0.7495231291831466,1.1758666038513184,0.9636363636363636,21.871549606323242,4.610696792602539,7.2576398849487305,0.7528517054830858,1.8200730085372925,0.6,9.681044578552246,0.01818181818181818
row,525,full_lr1e-4,224,56,2.5887107849121094,4.963217258453369,0.7273630868325827,1.0563112497329712,0.8392857142857143,10.739852905273438,4.691403388977051,7.701173782348633,0.7917179186480783,1.6210795640945435,0.42857142857142855,4.938072204589844,0.16071428571428573
row,525,head_only_lr1e-4,224,56,2.9242541790008545,5.004353046417236,0.7228250406349347,1.0510902404785156,0.8571428571428571,8.350312232971191,3.8161633014678955,6.571653366088867,0.8483343098385983,1.3477832078933716,0.7857142857142857,10.183807373046875,0.0
row,525,last2_head_lr1e-4,224,56,2.2500340938568115,4.293674468994141,0.7959595514123239,0.9045477509498596,0.875,9.40595531463623,3.814927816390991,5.66734504699707,0.8872030393596232,1.200256109237671,0.6428571428571429,7.3551459312438965,0.0
