outer_seed,budget,method,mode,source_member,best_epoch,epochs_run,hit_max_epoch,early_stopped,normalized_valid_score,trainable_parameter_count
2767143051,30,target_head_only,head_only,1101,245,345,False,True,0.05847842975275454,774
2767143051,30,last1_head,last1_head,42,43,143,False,True,0.039287814605819,93454
2767143051,30,last1_head,last1_head,525,47,147,False,True,0.06268410890996597,93454
2767143051,30,last1_head,last1_head,1101,32,132,False,True,0.08364883195467404,93454
2767143051,30,current_last2_head,last2_head,42,78,178,False,True,0.04251099855734276,186134
2767143051,30,current_last2_head,last2_head,525,25,125,False,True,0.05762436874164281,186134
2767143051,30,current_last2_head,last2_head,1101,16,116,False,True,0.10566452885068443,186134
2767143051,50,target_head_only,head_only,42,464,500,True,False,0.07224495259711292,774
2767143051,50,target_head_only,head_only,525,465,500,True,False,0.07259261923653704,774
2767143051,50,target_head_only,head_only,1101,269,369,False,True,0.08056266731680847,774
2767143051,50,last1_head,last1_head,42,53,153,False,True,0.0689295579775066,93454
2767143051,50,last1_head,last1_head,525,42,142,False,True,0.104802508999215,93454
2767143051,50,last1_head,last1_head,1101,37,137,False,True,0.10702642137488025,93454
2767143051,50,current_last2_head,last2_head,42,409,500,True,False,0.13497524494122518,186134
2767143051,50,current_last2_head,last2_head,525,70,170,False,True,0.06204273686057121,186134
2767143051,50,current_last2_head,last2_head,1101,56,156,False,True,0.12198676653226143,186134
2767143051,70,target_head_only,head_only,42,500,500,True,False,0.09506085159535559,774
2767143051,70,target_head_only,head_only,525,475,500,True,False,0.09836446017711545,774
2767143051,70,target_head_only,head_only,1101,270,370,False,True,0.11326267303184209,774
2767143051,70,last1_head,last1_head,42,500,500,True,False,0.04276887407163276,93454
2767143051,70,last1_head,last1_head,525,34,134,False,True,0.1336120345709198,93454
2767143051,70,last1_head,last1_head,1101,29,129,False,True,0.15462400019674272,93454
2767143051,70,current_last2_head,last2_head,42,398,498,False,True,0.05045341694846215,186134
2767143051,70,current_last2_head,last2_head,525,153,253,False,True,0.047129326027288185,186134
2767143051,70,current_last2_head,last2_head,1101,14,114,False,True,0.2053540115666041,186134
2767143051,100,target_head_only,head_only,42,500,500,True,False,0.09960744638038059,774
2767143051,100,target_head_only,head_only,525,500,500,True,False,0.10546005280573123,774
2767143051,100,target_head_only,head_only,1101,285,385,False,True,0.11135686421833084,774
2767143051,100,last1_head,last1_head,42,217,317,False,True,0.027757615380628146,93454
2767143051,100,last1_head,last1_head,525,38,138,False,True,0.12347441759539299,93454
2767143051,100,last1_head,last1_head,1101,84,184,False,True,0.1049962893031878,93454
2767143051,100,current_last2_head,last2_head,42,81,181,False,True,0.06424446179113719,186134
2767143051,100,current_last2_head,last2_head,525,44,144,False,True,0.06364329646242271,186134
2767143051,100,current_last2_head,last2_head,1101,62,162,False,True,0.11962177614984146,186134
1362771960,30,target_head_only,head_only,42,408,500,True,False,0.3651106002453553,774
1362771960,30,target_head_only,head_only,525,376,476,False,True,0.38319202577954975,774
1362771960,30,target_head_only,head_only,1101,437,500,True,False,0.3829128346902937,774
1362771960,30,last1_head,last1_head,42,447,500,True,False,0.4093965164558945,93454
1362771960,30,last1_head,last1_head,525,18,118,False,True,0.6562444853334132,93454
1362771960,30,last1_head,last1_head,1101,28,128,False,True,0.5393435373397667,93454
1362771960,30,current_last2_head,last2_head,42,64,164,False,True,0.43324461783256796,186134
1362771960,30,current_last2_head,last2_head,525,13,113,False,True,0.6368528730082618,186134
1362771960,30,current_last2_head,last2_head,1101,73,173,False,True,0.5642709225807114,186134
1362771960,50,target_head_only,head_only,42,348,448,False,True,0.17681435823937536,774
1362771960,50,target_head_only,head_only,525,373,473,False,True,0.17923606662583935,774
1362771960,50,target_head_only,head_only,1101,381,481,False,True,0.18262422800601627,774
1362771960,50,last1_head,last1_head,42,32,132,False,True,0.2556063239113946,93454
1362771960,50,last1_head,last1_head,525,24,124,False,True,0.3433594934745218,93454
1362771960,50,last1_head,last1_head,1101,30,130,False,True,0.31952463927625463,93454
1362771960,50,current_last2_head,last2_head,42,8,108,False,True,0.4108634002024053,186134
1362771960,50,current_last2_head,last2_head,525,13,113,False,True,0.44267558831361375,186134
1362771960,50,current_last2_head,last2_head,1101,10,110,False,True,0.4222726277687896,186134
1362771960,70,target_head_only,head_only,42,337,437,False,True,0.10119630985999395,774
1362771960,70,target_head_only,head_only,525,367,467,False,True,0.10870724411821342,774
1362771960,70,target_head_only,head_only,1101,356,456,False,True,0.10854313529245879,774
1362771960,70,last1_head,last1_head,42,33,133,False,True,0.14384294949993895,93454
1362771960,70,last1_head,last1_head,525,29,129,False,True,0.1769789756021732,93454
1362771960,70,last1_head,last1_head,1101,29,129,False,True,0.1864208878556933,93454
1362771960,70,current_last2_head,last2_head,42,76,176,False,True,0.2046346748444547,186134
1362771960,70,current_last2_head,last2_head,525,68,168,False,True,0.1433032544673319,186134
1362771960,70,current_last2_head,last2_head,1101,58,158,False,True,0.2484699710973547,186134
1362771960,100,target_head_only,head_only,42,324,424,False,True,0.08751609841220317,774
1362771960,100,target_head_only,head_only,525,350,450,False,True,0.09304487438654889,774
1362771960,100,target_head_only,head_only,1101,338,438,False,True,0.09159624419051626,774
1362771960,100,last1_head,last1_head,42,36,136,False,True,0.12009023337673608,93454
1362771960,100,last1_head,last1_head,525,31,131,False,True,0.14629584489587621,93454
1362771960,100,last1_head,last1_head,1101,168,268,False,True,0.13747747129285395,93454
1362771960,100,current_last2_head,last2_head,42,488,500,True,False,0.08618162760401657,186134
1362771960,100,current_last2_head,last2_head,525,62,162,False,True,0.12549529993730607,186134
1362771960,100,current_last2_head,last2_head,1101,69,169,False,True,0.16105310025017916,186134
