phase,candidate_id,member_seed,init_source_sha256,expected_source_sha256,source_reset_pass,checkpoint_sha256
candidate,a433dc0f6a13e9ace41d,1101,23cdc24472d5458046eebaa20aa743228e55ee3d6f1c4c3730d4ff431ea08a60,23cdc24472d5458046eebaa20aa743228e55ee3d6f1c4c3730d4ff431ea08a60,True,35915fcf68bee238f7b4e6020858442b446a3da714ef68b8381f8ddc0b63366f
candidate,a82e55e1cd19814ea307,42,7b9e3d0d4c8036c738ef220802e7ee46bc6ab8261cc541fb7d194e8c17044323,7b9e3d0d4c8036c738ef220802e7ee46bc6ab8261cc541fb7d194e8c17044323,True,3c7466d6b6507f60a3116d200b6faf3895013606819ccea99a6eb645bb04688b
candidate,a82e55e1cd19814ea307,525,719b2eb695e473c024c11eeb070a7835db78a3d5b01b6d50e8c3aa8f694d5916,719b2eb695e473c024c11eeb070a7835db78a3d5b01b6d50e8c3aa8f694d5916,True,2ab98be9bcc1140b09a01780d6be924be8481bf5a3c52f5bfbffd6f1e6df35bb
candidate,a82e55e1cd19814ea307,1101,23cdc24472d5458046eebaa20aa743228e55ee3d6f1c4c3730d4ff431ea08a60,23cdc24472d5458046eebaa20aa743228e55ee3d6f1c4c3730d4ff431ea08a60,True,082a8cd1f99bb159f7426e8b4bef5cd17c7a867e027e187799f5e2a362a74ba0
candidate,be7d68067464e72d0b8d,42,7b9e3d0d4c8036c738ef220802e7ee46bc6ab8261cc541fb7d194e8c17044323,7b9e3d0d4c8036c738ef220802e7ee46bc6ab8261cc541fb7d194e8c17044323,True,49bcfca3a45732bfe77517b58149d0f56106b4ab93dc38bbd1ff368a141f9a83
candidate,be7d68067464e72d0b8d,525,719b2eb695e473c024c11eeb070a7835db78a3d5b01b6d50e8c3aa8f694d5916,719b2eb695e473c024c11eeb070a7835db78a3d5b01b6d50e8c3aa8f694d5916,True,2adaf4a18a278fc6ac2a27e895a280125e6d5b50a796698562701140f57dc4bf
candidate,be7d68067464e72d0b8d,1101,23cdc24472d5458046eebaa20aa743228e55ee3d6f1c4c3730d4ff431ea08a60,23cdc24472d5458046eebaa20aa743228e55ee3d6f1c4c3730d4ff431ea08a60,True,19ba253bb556e3c893b9a3bb5dc86648c9cda22871b36b5e065a6585ec28d034
candidate,f72724ff299c47641488,42,7b9e3d0d4c8036c738ef220802e7ee46bc6ab8261cc541fb7d194e8c17044323,7b9e3d0d4c8036c738ef220802e7ee46bc6ab8261cc541fb7d194e8c17044323,True,452a1b95fc9e9a13a74b2f6b79f3a425c49b37349b3058458459fe5d88f69882
candidate,f72724ff299c47641488,525,719b2eb695e473c024c11eeb070a7835db78a3d5b01b6d50e8c3aa8f694d5916,719b2eb695e473c024c11eeb070a7835db78a3d5b01b6d50e8c3aa8f694d5916,True,78c5e1d3b1361119ae16821ce822e3e6ae5e8240286a64b44758e91967032cdf
candidate,f72724ff299c47641488,1101,23cdc24472d5458046eebaa20aa743228e55ee3d6f1c4c3730d4ff431ea08a60,23cdc24472d5458046eebaa20aa743228e55ee3d6f1c4c3730d4ff431ea08a60,True,78ce9c53ff4f66ecf65e41ade80023f8b1936d2679b881554cd54dfcc83626a9
candidate,fff65bc451d163b1b106,42,7b9e3d0d4c8036c738ef220802e7ee46bc6ab8261cc541fb7d194e8c17044323,7b9e3d0d4c8036c738ef220802e7ee46bc6ab8261cc541fb7d194e8c17044323,True,1678c1db5399a35094751638116d5e93a09c7fb0b26988238ef0dd9062a64976
candidate,fff65bc451d163b1b106,525,719b2eb695e473c024c11eeb070a7835db78a3d5b01b6d50e8c3aa8f694d5916,719b2eb695e473c024c11eeb070a7835db78a3d5b01b6d50e8c3aa8f694d5916,True,d9898b351437522c053785ebb1240ba5f20e4540222c14ca54a66fbdd5202d06
candidate,fff65bc451d163b1b106,1101,23cdc24472d5458046eebaa20aa743228e55ee3d6f1c4c3730d4ff431ea08a60,23cdc24472d5458046eebaa20aa743228e55ee3d6f1c4c3730d4ff431ea08a60,True,6ed9db43295efb23e4efa97b8ae42b1b6862649239fd709b6d2e08fda26fdb1c
