outer_seed,source_round,active_label_count,representation,effective_rank,pairwise_kernel_abs_corr,latent_mean_direction_ratio
6101,0,333,latent_a080_trajectory,3.4672110158866536,0.6935430365181943,0.5024292359729164
6101,0,333,centered_latent_diagnostic,6.948070856659693,0.35292497411288215,0.5024292359729164
6101,0,333,fused_a050_counterfactual_on_a080_trajectory,13.196018955740977,0.4405129506477042,0.5024292359729164
6101,0,333,fused_a080,20.24110091358882,0.3032479800837107,0.5024292359729164
6101,1,365,gradient_a080_trajectory,26.193224801897358,0.192992659970494,0.4469001682192919
6101,1,365,latent_a080_trajectory,3.103808388386896,0.733499954519854,0.4469001682192919
6101,1,365,centered_latent_diagnostic,5.62137442932979,0.4417642985013773,0.4469001682192919
6101,1,365,fused_a050_counterfactual_on_a080_trajectory,12.878599709528192,0.4820306779138905,0.4469001682192919
6101,1,365,fused_a080,21.37359059127023,0.3212352666901537,0.4469001682192919
6101,2,397,gradient_a080_trajectory,27.502297979248947,0.19560715764758024,0.4520100481428797
6101,2,397,latent_a080_trajectory,3.023335987281699,0.7247505514344568,0.4520100481428797
6101,2,397,centered_latent_diagnostic,4.971124126082427,0.5148688239440397,0.4520100481428797
6101,2,397,fused_a050_counterfactual_on_a080_trajectory,12.904937498077848,0.4778567236710207,0.4520100481428797
6101,2,397,fused_a080,21.99646085310653,0.3208552940431483,0.4520100481428797
6101,3,429,gradient_a080_trajectory,18.722354293417165,0.2174026942749791,0.5148968040042995
6101,3,429,latent_a080_trajectory,2.6468844351235354,0.7812270087312113,0.5148968040042995
6101,3,429,centered_latent_diagnostic,4.4581287658667295,0.5454250198565863,0.5148968040042995
6101,3,429,fused_a050_counterfactual_on_a080_trajectory,8.865934310693333,0.6138952485964636,0.5148968040042995
6101,3,429,fused_a080,15.161097419202074,0.4453386679869813,0.5148968040042995
6101,4,461,gradient_a080_trajectory,26.303643146261347,0.19144913459312854,0.4822625014844206
6101,4,461,latent_a080_trajectory,2.772173606368883,0.7619228718169987,0.4822625014844206
6101,4,461,centered_latent_diagnostic,3.7714194892208637,0.6333655286887933,0.4822625014844206
