outer_seed,method,alpha,source_round,active_label_count,gradient_block_scale,latent_block_scale,gradient_feature_mean_norm,latent_feature_mean_norm,fused_feature_mean_norm,gradient_effective_rank,latent_effective_rank,fused_effective_rank,fused_a050_counterfactual_effective_rank,gradient_pairwise_kernel_abs_corr,latent_pairwise_kernel_abs_corr,fused_pairwise_kernel_abs_corr,fused_a050_counterfactual_pairwise_kernel_abs_corr,latent_mean_direction_ratio,latent_mean_norm_sq,latent_labeled_mean_norm_sq,centered_latent_effective_rank,centered_latent_pairwise_kernel_abs_corr,selected_gradient_norm_mean,selected_latent_norm_mean,selected_fused_norm_mean,nearest_L_gradient_distance,nearest_L_latent_distance,nearest_L_fused_distance,gradient_maxdet_overlap_count,gradient_maxdet_overlap_fraction,a050_fusion_overlap_count,a050_fusion_overlap_fraction,normalization_scale,selector_seconds,gradient_seconds,latent_seconds,fusion_seconds
6101,gradient_latent_fusion_a080_maxdet,0.8,0,333,167.37476610445023,66.92554382387625,147.64492797851562,57.955081939697266,0.8879669904708862,23.972047050414382,3.4672110158866536,20.24110091358882,13.196018955740977,0.20779601118042376,0.6935430365181943,0.3032479800837107,0.4405129506477042,0.5024292359729164,2250.394825012948,4479.02841612158,6.948070856659693,0.35292497411288215,472.5740966796875,148.95059204101562,2.735952377319336,265.1309103613053,35.273888557211386,1.4614434405457468,24,0.75,30,0.9375,0.9999999999635751,0.10073087499995381,104.41058604198042,0.0,0.0
6101,gradient_latent_fusion_a080_maxdet,0.8,1,365,246.62114315001898,77.96280716036313,158.3047332763672,53.3376579284668,0.6583784818649292,26.193224801897358,3.103808388386896,21.37359059127023,12.878599709528192,0.192992659970494,0.733499954519854,0.3212352666901537,0.4820306779138905,0.4469001682192919,2716.3482897851636,6078.199300323968,5.62137442932979,0.4417642985013773,589.138671875,133.91749572753906,2.2789039611816406,259.1125880046691,26.908124960685058,0.9725603698742805,8,0.25,13,0.40625,0.9999999998572104,0.10150762500006749,49.633224332999816,0.0,0.0
6101,gradient_latent_fusion_a080_maxdet,0.8,2,397,312.9915409309395,84.53748546088575,180.9495086669922,51.958534240722656,0.5923030972480774,27.502297979248947,3.023335987281699,21.99646085310653,12.904937498077848,0.19560715764758024,0.7247505514344568,0.3208552940431483,0.4778567236710207,0.4520100481428797,3230.3288844400918,7146.586448049468,4.971124126082427,0.5148688239440397,596.9441528320312,126.96224975585938,1.8534773588180542,243.68788831579195,21.33506913905631,0.7277333222163468,8,0.25,6,0.1875,0.9999999998910893,0.10800970899981621,69.38284254199971,0.0,0.0
6101,gradient_latent_fusion_a080_maxdet,0.8,3,429,365.8212416994944,88.83930691097393,154.28440856933594,54.3190803527832,0.4762507379055023,18.722354293417165,2.6468844351235354,15.161097419202074,8.865934310693333,0.2174026942749791,0.7812270087312113,0.4453386679869813,0.6138952485964636,0.5148968040042995,4063.7830966039774,7892.422452422222,4.4581287658667295,0.5454250198565863,767.5321655273438,151.9923858642578,2.046452522277832,164.35101944351237,10.889229430297407,0.41033928086453464,2,0.0625,9,0.28125,1.000000000124026,0.12082358400039084,70.44343600000002,0.0,0.0
6101,gradient_latent_fusion_a080_maxdet,0.8,4,461,410.34628730015294,92.1246108685339,181.4892120361328,48.957523345947266,0.46727922558784485,26.303643146261347,2.772173606368883,20.466713613525712,11.328282937134185,0.19144913459312854,0.7619228718169987,0.36095634606343724,0.5393511250695723,0.4822625014844206,4092.934808520389,8486.943927678794,3.7714194892208637,0.6333655286887933,658.7217407226562,114.88981628417969,1.5538002252578735,221.58005423738433,17.929402709821424,0.5000616904836104,4,0.125,1,0.03125,1.000000000034513,0.16220254200015916,76.3129675830005,0.0,0.0
6101,gradient_latent_fusion_a080_maxdet,0.8,5,493,404.7447010583809,91.86052403145288,188.30166625976562,46.39866256713867,0.47788915038108826,33.25561888951646,2.7585003340740415,25.32637988260131,13.4551066029723,0.1834631865628936,0.7695681847104673,0.32675118474947445,0.5064380107661164,0.4870246211212022,4109.687073069989,8438.355875333133,3.5244431339618427,0.6731644013861832,553.9320068359375,104.32373046875,1.3396849632263184,215.46003083800994,17.80461196418112,0.5054739439160858,6,0.1875,2,0.0625,1.000000000129094,0.1743601669995769,71.06717629200011,0.0,0.0
6101,gradient_latent_fusion_a080_maxdet,0.8,6,525,456.2503982128619,92.26621331903947,162.9486846923828,48.071929931640625,0.40359359979629517,18.24257296711349,2.595024773346757,14.853016087924054,8.65000190059399,0.19537079829108406,0.7870774779991938,0.4362107789408877,0.6147026142798044,0.530188069104505,4513.519726189278,8513.054120234496,3.374520215177598,0.6709300547920609,594.8650512695312,115.55147552490234,1.3084287643432617,70.16644661015204,5.868030256005977,0.1489733145957855,3,0.09375,2,0.0625,1.0000000000880387,0.12747570900046412,73.72377345899986,0.0,0.0
6101,gradient_latent_fusion_a080_maxdet,0.8,7,557,397.86826874001235,92.81915291351116,143.01942443847656,49.6416015625,0.4092913568019867,20.58433063383876,2.7419638908602533,16.04786666925058,9.016871233915777,0.20535620731637808,0.7719980296694897,0.439535505625508,0.6091994492513081,0.5460202769805107,4704.180444779144,8615.395147581767,3.454424793871309,0.6690093406808395,477.58489990234375,108.58570861816406,1.205224633216858,79.99330829291154,8.74964484850117,0.19890470947054711,2,0.0625,1,0.03125,0.9999999999689329,0.15042608299972926,67.61081449999983,0.0,0.0
6101,gradient_latent_fusion_a080_maxdet,0.8,8,589,433.95221334910866,94.46974673535625,159.24786376953125,47.75324249267578,0.4054873585700989,24.435227121004797,2.9018307062401205,19.015536180011335,10.543922411078714,0.18027034626382657,0.7633550960542628,0.39390393151730324,0.5755137300326079,0.5370884003346955,4793.26317861461,8924.533048242354,3.372153115969142,0.6878416714464538,409.54400634765625,83.92906188964844,0.9483080506324768,136.8358400336805,10.456523965146067,0.29017329161964084,0,0.0,7,0.21875,1.0000000000429747,0.14115129099991464,70.26888041600068,0.0,0.0
6101,gradient_latent_fusion_a080_maxdet,0.8,9,621,401.97184861315793,91.95535837124991,160.6671142578125,47.8123779296875,0.43273118138313293,27.28285386722234,3.015210603625904,21.192475197521336,11.668267993843576,0.17168731965957473,0.732970481806634,0.3534400834489901,0.5312511820230436,0.5455381327997156,4612.9547604201125,8455.787933185002,3.4793518749483723,0.6711593203443491,404.0724182128906,79.63046264648438,0.9906880259513855,92.30377914657804,9.743866538312577,0.21600591876936068,0,0.0,3,0.09375,1.0000000001157492,0.1762290420001591,71.40753316700011,0.0,0.0
