column,target,normalization,matching,groups,mean_absolute_difference,median_relative_discrepancy
40g,V1_ml,raw,canonical_smiles,80,69.99196459975556,8.28463568448823
40g,V1_ml,raw,canonical_smiles+EA_bin,233,62.21708735425875,6.565172234723906
40g,V1_ml,raw,canonical_smiles+Flow mL/min,0,,
40g,V1_ml,mass_normalized,canonical_smiles,80,0.44801386727206066,0.18226798658677637
40g,V1_ml,mass_normalized,canonical_smiles+EA_bin,233,0.5291577913100848,0.27885730057963004
40g,V1_ml,mass_normalized,canonical_smiles+Flow mL/min,0,,
40g,V2_ml,raw,canonical_smiles,80,97.04392104352864,5.096867808300413
40g,V2_ml,raw,canonical_smiles+EA_bin,233,88.57703110292782,4.795781399808246
40g,V2_ml,raw,canonical_smiles+Flow mL/min,0,,
40g,V2_ml,mass_normalized,canonical_smiles,80,1.7075561901565863,0.39031321916995865
40g,V2_ml,mass_normalized,canonical_smiles+EA_bin,233,1.5037364819377292,0.42464664310954064
40g,V2_ml,mass_normalized,canonical_smiles+Flow mL/min,0,,
40g,center,raw,canonical_smiles,80,83.5179428216421,6.149080495137968
40g,center,raw,canonical_smiles+EA_bin,233,75.39705922859329,5.4079084287200825
40g,center,raw,canonical_smiles+Flow mL/min,0,,
40g,center,mass_normalized,canonical_smiles,80,0.9821127262132793,0.2972446934750239
40g,center,mass_normalized,canonical_smiles+EA_bin,233,0.902868634971371,0.3646456020495303
40g,center,mass_normalized,canonical_smiles+Flow mL/min,0,,
40g,width,raw,canonical_smiles,80,27.051956443773076,2.6610827128766097
40g,width,raw,canonical_smiles+EA_bin,233,26.434454955154525,2.5548705302096173
40g,width,raw,canonical_smiles+Flow mL/min,0,,
40g,width,mass_normalized,canonical_smiles,80,1.552947942628159,0.6338917287123391
40g,width,mass_normalized,canonical_smiles+EA_bin,233,1.3289952462693877,0.6445129469790383
40g,width,mass_normalized,canonical_smiles+Flow mL/min,0,,
