column,target,normalization,dimension,level,n,mean,median,std,cv
4g,width,raw,EA_bin,high,477,5.719523060796645,4.5583333333333345,4.142086552914931,0.7242013903757212
4g,width,raw,Flow mL/min,4,7,6.189047619047618,5.703333333333333,2.625775874251064,0.424261701617853
4g,width,raw,Flow mL/min,5,299,8.452940356744705,6.387500000000002,8.570437740469572,1.0139001789633018
4g,width,raw,Flow mL/min,6,11,7.774545454545457,6.4,4.552009696027379,0.5855017148772351
4g,width,raw,Flow mL/min,8,11,6.957575757575754,6.079999999999999,3.433003573454816,0.4934195031533492
4g,width,raw,Flow mL/min,10,3002,9.754016766600044,6.616666666666669,9.612695864515828,0.9855115174121772
4g,width,mass_normalized,overall,all,3330,2.4034807932932933,1.6479166666666667,2.3741146466152414,0.9877818259417775
4g,width,mass_normalized,EA_bin,low,1305,3.223194763729247,2.3791666666666664,2.8797157411547296,0.8934352256836287
4g,width,mass_normalized,EA_bin,mid,1548,2.0124475129198967,1.4458333333333329,1.9485540074364092,0.96825084625895
4g,width,mass_normalized,EA_bin,high,477,1.4298807651991612,1.1395833333333336,1.0355216382287327,0.7242013903757212
4g,width,mass_normalized,Flow mL/min,4,7,1.5472619047619045,1.4258333333333333,0.656443968562766,0.424261701617853
4g,width,mass_normalized,Flow mL/min,5,299,2.113235089186176,1.5968750000000005,2.142609435117393,1.0139001789633018
4g,width,mass_normalized,Flow mL/min,6,11,1.9436363636363643,1.6,1.1380024240068447,0.5855017148772351
4g,width,mass_normalized,Flow mL/min,8,11,1.7393939393939386,1.5199999999999998,0.858250893363704,0.4934195031533492
