column,protocol,seed,budget,actual_budget,method,V1_r2,V1_rmse,V1_mae,V2_r2,V2_rmse,V2_mae,combined_normalized_rmse,all_outputs_finite,normalized_rmse,V1_macro_compound_mae,V1_macro_compound_rmse,V1_median_relative_absolute_error,V1_relative_excluded_rows,V1_median_absolute_error,V2_macro_compound_mae,V2_macro_compound_rmse,V2_median_relative_absolute_error,V2_relative_excluded_rows,V2_median_absolute_error
8g,compound,1362771960,100,97,standard_shallow_finetune,0.7762855054698166,7.509395983372978,3.426678082318841,0.8815397777987688,8.321412664488884,4.166572159420291,0.766861115857885,True,0.7353117072623414,4.013287948664021,5.949605916392413,0.146031015625,0,1.5257053333333337,4.840682706878307,6.904223244045038,0.10194759936406993,0,2.1045000000000016
8g,compound,1362771960,100,97,packing_mass_physical_scale,0.8706108241136191,5.710931063731283,2.8840992352582404,0.8891358553125014,8.050193943609795,6.153057096730107,0.6229097122318128,True,0.6127557259403346,3.13285627233919,4.618166398415674,0.11519778794072363,0,1.2877791722615584,6.340079821009695,7.4366013221216525,0.21543424226124372,0,4.812819417317705
8g,compound,1362771960,100,97,physics_scale_residual,0.9159533659511455,4.602757635258589,3.1158590726125976,0.9307252054681586,6.363534620462488,4.559891332338991,0.4989436840846391,True,0.48997984915521053,3.2938357324788785,4.174806197904106,0.14772744924981238,0,1.9563468263627986,4.81146570138467,5.806034948313774,0.1479738614298968,0,3.153104294943759
8g,compound,1362771960,100,97,raw_column_conditioned,-0.10213798036796673,16.667709740628094,7.633236557681159,-0.2849698362994737,27.40673209752711,15.337658175362318,1.9210230838738969,True,1.9100259657249428,9.262914566741621,13.251693325818875,0.22563140376266277,0,2.444991999999999,17.645748523633156,23.87381662813876,0.34604616993464055,0,6.618133
8g,compound,1362771960,100,97,mass_normalized_column_conditioned,0.8781732542334159,5.541524609401762,3.297129195652174,0.9219783264276032,6.753336950264057,5.036222731884059,0.5792456219029561,True,0.5616722098553675,3.6378228269841273,4.9671661820833934,0.16539293156281923,0,1.8152566666666665,5.2313477111992945,6.332027593200625,0.17422962881857007,0,3.869156666666669
25g,row,769539383,100,100,scale_only,0.6991466059642499,17.55986773481639,9.664562201526314,0.743326312563241,25.924690990007015,15.175196374437789,1.9450784149097597,True,1.9205440519228811,10.499081654671262,11.006482178247733,0.25611383676384814,0,6.492176532386414,16.068873886149856,17.122782286310517,0.2396575853474228,0,9.550072735160047
25g,row,769539383,100,100,local_identity_shrinkage,0.7215048121925273,16.89478348192894,8.443874588621245,0.7689300727502737,24.597707190936887,13.546699627526216,1.8625508896439424,True,1.8370705557378655,9.419124957883453,9.920316036241427,0.17178066105980047,0,4.855968366016333,14.061521044240772,14.947091391362987,0.15237736424350973,0,7.289720115949608
25g,row,769539383,100,100,conditional_EA,0.741510972526413,16.276643034758084,7.81402018238255,0.7680767698087676,24.643082966029745,13.524560566326524,1.8188721072479745,True,1.7992579935584772,8.523563675913552,9.062324773661606,0.14680360431692363,0,4.362436891160371,14.08425710005157,14.97976432485901,0.1513292903278608,0,7.349022307193675
25g,row,769539383,100,100,conditional_policy,0.741510972526413,16.276643034758084,7.81402018238255,0.7680767698087676,24.643082966029745,13.524560566326524,1.8188721072479745,True,1.7992579935584772,8.523563675913552,9.062324773661606,0.14680360431692363,0,4.362436891160371,14.08425710005157,14.97976432485901,0.1513292903278608,0,7.349022307193675
25g,row,769539383,100,100,target_head_only,0.3556498950099508,25.698320107148998,14.73823156632653,0.22450053875193376,45.06233209020955,27.028978020408168,3.0408193505376016,True,3.0321707641229,15.375966693548387,16.287874865747856,0.3019477114890976,0,7.600217499999999,28.343600510752687,29.82625638031688,0.3714365429754084,0,15.460049
