column,protocol,seed,budget,actual_budget,method,epochs_run,best_epoch,validation_score,source_draws,source_unique_rows,target_rows,balanced_batches,shared_head,parameter_count,checkpoint_sha256,wall_seconds,fit_success
8g,row,2767143051,50,50,raw_column_conditioned,285,185,0.29417005477874475,11970,3227,42,True,True,461208,151582bb106752f8eb934cddda08c4d2627158a788adfce20cc4211ddc33b28f,87.60205120799947,True
8g,row,2767143051,50,50,mass_normalized_column_conditioned,271,171,0.20864189179232073,11382,3210,42,True,True,461208,9298632d9641c5bba36e2c90c33e9cbec3f10097ff277b17995b045b0326497a,91.2073002080142,True
8g,row,2767143051,70,70,raw_column_conditioned,314,214,0.35147401347969565,19468,3322,62,True,True,461208,76833bf789b8b60a4c184c8166b875994b3d045c16cfb9f2cf3daaacac68052b,142.7463416249957,True
8g,row,2767143051,70,70,mass_normalized_column_conditioned,301,201,0.22156571527919147,18662,3318,62,True,True,461208,0daa86e79233d46d298ce620fb16f17863ab0ba75d20110eb5c9e19dbf6a8d97,93.03136408299906,True
8g,row,2767143051,100,100,raw_column_conditioned,224,124,0.25815021432950735,20608,3326,92,True,True,461208,02d7cb46ada1f86814820ad9bab11eaa792cc7a20b1dc79a180167a1225c1b7e,262.39003870802117,True
8g,row,2767143051,100,100,mass_normalized_column_conditioned,206,106,0.1591099647827085,18952,3325,92,True,True,461208,9bdfde904d197da76ba7dcf7bd8739f3a85ea08c7d993531b06a1c95ac014444,263.18822512502084,True
8g,row,1362771960,30,30,raw_column_conditioned,101,1,1.672271698432587,2222,1624,22,True,True,461208,db81a03d29aacfb5d1b3ce9a93ad956b865f85f84478e076f85b17cd63b82496,32.735512542014476,True
8g,row,1362771960,30,30,mass_normalized_column_conditioned,102,2,1.2896427653192752,2244,1633,22,True,True,461208,b8418bfcb011a762065a2866524f0691730ecd60bf0785389350b3f735ada97c,31.720775207999395,True
8g,row,1362771960,50,50,raw_column_conditioned,101,1,1.865965822190505,4242,2432,42,True,True,461208,5cb2e7635ca2d159e4ea5b6cf0420fe746ef5aaeb4d2e1b563c0e7d59944c415,54.35974012501538,True
8g,row,1362771960,50,50,mass_normalized_column_conditioned,101,1,0.5712654717469776,4242,2432,42,True,True,461208,4d41aabb31248d691e48fabc0f5aa51090a858e2b0a786cddfae18dac16e5e08,54.18053766700905,True
8g,row,1362771960,70,70,raw_column_conditioned,101,1,1.910753192470638,6262,2876,62,True,True,461208,71f5923920417552f0c8528c54f05ba7555af38be5a0b4dcf38f1c2cef3d474f,76.20196775000659,True
8g,row,1362771960,70,70,mass_normalized_column_conditioned,102,2,0.7178461672841719,6324,2883,62,True,True,461208,f631241969895c6819d1c52572bf04de57805cd33306352be8f421d8c93c9cc3,73.56193825000082,True
8g,row,1362771960,100,100,raw_column_conditioned,101,1,1.990660370346745,9292,3145,92,True,True,461208,2bb016a5297db501517d6715e812ce68923ae468746a31652288fa326ee7c7db,114.32385037501808,True
8g,row,1362771960,100,100,mass_normalized_column_conditioned,119,19,0.5604366301656022,10948,3207,92,True,True,461208,0206bc1b0aa43973aba6a2a89980c5d531f505e3761584628fd037f9a481852d,135.96996645801119,True
8g,compound,769539383,30,31,raw_column_conditioned,103,3,0.34284811968267537,2472,1763,24,True,True,461208,7e1ccedd30504a7998290b1cd9bfcbebaecb97b86babe50b5fc346a25bc068eb,36.48242075002054,True
8g,compound,769539383,30,31,mass_normalized_column_conditioned,188,88,0.1521235219242579,4512,2466,24,True,True,461208,2aecc54ed44b7c4d260da67e9300343459307db7f296c82762e14507bcc68e8f,63.76242541600368,True
8g,compound,769539383,50,51,raw_column_conditioned,113,13,0.33619387564435216,4972,2588,44,True,True,461208,7b5e4eedc2ece61444848a8353eda95602cadb7e1151386f3fec2eadfcad61df,64.17947233299492,True
8g,compound,769539383,50,51,mass_normalized_column_conditioned,129,29,0.14593462990722922,5676,2717,44,True,True,461208,f412310bb2ac561a259819bae065e9419e30ccf9d739fc510d28fb3c34046e79,75.57996379199903,True
8g,compound,769539383,70,72,raw_column_conditioned,185,85,0.2179492140147872,12025,3243,65,True,True,461208,b8d3fd3006f9507874277d97807254fcd7372235e2cd9b627f1eb954481082e2,157.50706395800808,True
8g,compound,769539383,70,72,mass_normalized_column_conditioned,138,38,0.18800397787316625,8970,3111,65,True,True,461208,08b1517bf4ef76e500ad25c4614d49fe3ef07934ece980f3dbb96c10ae13daba,119.45951349998359,True
8g,compound,769539383,100,99,raw_column_conditioned,105,5,0.26568635819698905,9660,3161,92,True,True,461208,6c46377b242119c265d20336bc5a5ab99530eab8a4d58e9d6ddf12935b057e8a,130.68939445799333,True
8g,compound,769539383,100,99,mass_normalized_column_conditioned,123,23,0.17554225557942157,11316,3228,92,True,True,461208,94412651840dafede8fbf5844141341aff46aea5720a517bfbc200f84f4ba21f,155.34300583298318,True
8g,compound,1425370602,30,31,raw_column_conditioned,144,44,0.15542319373692526,3456,2170,24,True,True,461208,3eded1c3603ca87c4cbdc565cdf9253b7c01f41ae5804d2c37b75f8063b22ff1,58.247563875018386,True
8g,compound,1425370602,30,31,mass_normalized_column_conditioned,182,82,0.10542078440962277,4368,2443,24,True,True,461208,7c50b3f094edec70675e6259519e5791a0b4262abb1e6f441f0e01ec66669184,68.4231093339913,True
8g,compound,1425370602,50,52,raw_column_conditioned,117,17,0.15192925759016454,5265,2673,45,True,True,461208,40ae06074bd4778c4c019540a34b6a90fcebd84db8e07dd8bbb6c996ac71818b,74.94201025000075,True
8g,compound,1425370602,50,52,mass_normalized_column_conditioned,101,1,0.12629357304396108,4545,2513,45,True,True,461208,3d6b4006d398be48b113b8bf621f2d35f29e10dfadcab140cfca343aa3a22846,67.8863020830031,True
8g,compound,1425370602,70,63,raw_column_conditioned,114,14,0.1636396620070249,6384,2872,56,True,True,461208,55dbc7cf81abec766a54c921a5fbd3decdc59bac330cc7cda7505de8dc160562,86.81283795900526,True
8g,compound,1425370602,70,63,mass_normalized_column_conditioned,101,1,0.1375834569775039,5656,2750,56,True,True,461208,da1fc5ae6161dbe4a579913c92291090e20a281fdfdaee379ecbca1b4bb05dee,74.29860687500332,True
8g,compound,1425370602,100,97,raw_column_conditioned,115,15,0.1571918589384782,10350,3195,90,True,True,461208,d1d675bedd79b74e4cf09d5fb7a499b181d42fad85eda693d8bb81d3665b4890,133.18315883298055,True
8g,compound,1425370602,100,97,mass_normalized_column_conditioned,120,20,0.12740658831234672,10800,3211,90,True,True,461208,809cfc507d9eac3f4034222b79be63428dacee7fdc8d1cf1f0e1ea7459c8160b,158.35580608301098,True
8g,compound,536279090,30,28,raw_column_conditioned,103,3,0.27136601170465585,2163,1585,21,True,True,461208,dddad2bfbb0b598e030d668f0822ff652a5c853e6cf8973513466217f6457d8f,37.14681504201144,True
8g,compound,536279090,30,28,mass_normalized_column_conditioned,138,38,0.2578612322764939,2898,1931,21,True,True,461208,90499604ea9f5a791cdbe93f239b94c976a68ca448d0865a83662ea292c5840c,64.57266799997888,True
8g,compound,536279090,50,53,raw_column_conditioned,106,6,0.29918397959928344,4876,2610,46,True,True,461208,881c0a54790bbc62e4c0f48c21d1e7911a9317a11b503764645f6ff47f5ad49e,88.98977591597941,True
8g,compound,536279090,50,53,mass_normalized_column_conditioned,254,154,0.1265214104890238,11684,3225,46,True,True,461208,f8005f2c639356e9b47e2467a8c1355d5abecfd2f84e2d0ee1c05027dc7af94d,175.0657868750277,True
8g,compound,536279090,70,67,raw_column_conditioned,106,6,0.275540999903112,6360,2874,60,True,True,461208,4db6d577b7ed5b9ed7a2f9459a670b80513d0cf4a386ed561dd56fdb290370d6,104.11625691698282,True
8g,compound,536279090,70,67,mass_normalized_column_conditioned,324,224,0.1209604360255665,19440,3318,60,True,True,461208,3ca50a83fa1375d47b7bdc66d525ae476bfba0c93dbc8035c30a27fc515141a3,390.7583692499902,True
8g,compound,536279090,100,97,raw_column_conditioned,105,5,0.3270596551418899,9450,3132,90,True,True,461208,9ad015edbfdb559a07a13529c493bd0dc9882dd0980d2bced038b0e634639a87,138.15098162498907,True
8g,compound,536279090,100,97,mass_normalized_column_conditioned,326,226,0.1164606866635481,29340,3328,90,True,True,461208,6ad47712016472defe3651649040e6e87331a04f78afa14a57dad039a2a2f67c,1015.6705220420263,True
8g,compound,2767143051,30,27,raw_column_conditioned,109,9,0.21444239772011808,2180,1606,20,True,True,461208,9e766298cbbd0f62a05931a20ab67ac8a5e8cfbef07356ffe76d282f6f98ffc7,30.738030208012788,True
8g,compound,2767143051,30,27,mass_normalized_column_conditioned,332,232,0.10791554539128621,6640,2857,20,True,True,461208,cabf4ccf03a4c00612c65999027c5e395542bd93361f746a8ef6d95aa80bcde9,120.79546187500819,True
8g,compound,2767143051,50,47,raw_column_conditioned,105,5,0.33771300827239814,4200,2396,40,True,True,461208,8821f50c4f357a6857782a2f6da4c41dec986fdece8d9aa7d28f6e31581104dc,58.16253074997803,True
8g,compound,2767143051,50,47,mass_normalized_column_conditioned,257,157,0.1418211294615944,10280,3164,40,True,True,461208,edf811a340d57cf1be01462d8e487adb9930c7764be00ecc64df39da71b09fa7,196.98141708300682,True
8g,compound,2767143051,70,71,raw_column_conditioned,174,74,0.3547571237018289,11136,3218,64,True,True,461208,60b87aacc82550670c045b010733776d3ff95ba46f0e6d4e55906428bacc56e0,271.7988264580199,True
8g,compound,2767143051,70,71,mass_normalized_column_conditioned,214,114,0.14309434567647653,13696,3286,64,True,True,461208,c0212efaa73f86c6d636dff65c52f9b3c161a1d46b838bb7988a7d877c04ae73,601.2861415410007,True
8g,compound,2767143051,100,98,raw_column_conditioned,106,6,0.3819695842210206,9646,3141,91,True,True,461208,3e95e718fc14ac7e76f882a763d5f22429d548c4f523c09f8792c49abb1e49c3,299.727192958002,True
8g,compound,2767143051,100,98,mass_normalized_column_conditioned,356,256,0.11711578736399332,32396,3330,91,True,True,461208,cac25583ab4a971d22dc3f05ea353796b25e38de6edcc7d07e0ba262948b91ad,1104.196312791988,True
8g,compound,1362771960,30,28,raw_column_conditioned,106,6,0.2772455005721705,2226,1625,21,True,True,461208,179db2520972b0a3d3d7a94e938296063fc446d7795760f55a1c562eb18aa3e4,52.37406537501374,True
8g,compound,1362771960,30,28,mass_normalized_column_conditioned,133,33,0.1387380276292708,2793,1890,21,True,True,461208,f3c2f318d66d1217fd273478802caa84245ef319ff2b3ead3032c11c9972dd4b,110.78861520800274,True
8g,compound,1362771960,50,48,raw_column_conditioned,118,18,0.16779134624274558,4838,2604,41,True,True,461208,2b1078f36e22ee66fd337cb66483e64fed74a364f3adc55ab42c1f9b042acee1,216.30878316698363,True
8g,compound,1362771960,50,48,mass_normalized_column_conditioned,298,198,0.1562826355112825,12218,3257,41,True,True,461208,6a93fc30ede135bd0c4e794f0ca3d66f3503a17a72d6e06b1e51d7b71414ee89,522.3428124999919,True
8g,compound,1362771960,70,69,raw_column_conditioned,107,7,0.29615220777247453,6634,2938,62,True,True,461208,5aeabd9d539b545613b377de4899d41709936658a8387020cb0202ba8878f16b,268.0427249579807,True
8g,compound,1362771960,70,69,mass_normalized_column_conditioned,146,46,0.12002712994748285,9052,3128,62,True,True,461208,c28f31b27cefa282f2c4bd8fd85aa6357e2fd03745b2e13f0dcad4d26cf27a99,370.6926839580119,True
8g,compound,1362771960,100,97,raw_column_conditioned,107,7,0.3135809811941482,9630,3168,90,True,True,461208,4a48fc9b0ff0daaff745f3d7e97a067d6d361bbe0f9b00653552082da8df1b24,375.02054254099494,True
8g,compound,1362771960,100,97,mass_normalized_column_conditioned,385,285,0.09490542766249938,34650,3329,90,True,True,461208,8abd04e9e69446c6863e747337041dabb958c1c1be2f7f96bf0b414b1d32952b,1002.1752799999958,True
25g,row,769539383,30,30,raw_column_conditioned,101,1,4.6289776288983155,2222,1643,22,True,True,461208,97aa749163a840b4d858595abba770d2ff0df35ca6f167d51af2d8003812d56c,174.72843204200035,True
25g,row,769539383,30,30,mass_normalized_column_conditioned,178,78,1.8579782571658656,3916,2299,22,True,True,461208,dc2cd32ead5f6e34056e56d1e4a7ffbfa969e8a1dd8d57b256da3d05ccdccbeb,180.34277824897435,True
25g,row,769539383,50,50,raw_column_conditioned,101,1,4.337388873417707,4242,2423,42,True,True,461208,ab4d0762c649ebce3c33d39b55dcf60c894d8df4112ccee6d4f5e90a0728ff99,282.33106108300854,True
25g,row,769539383,50,50,mass_normalized_column_conditioned,108,8,1.6974935257972041,4536,2494,42,True,True,461208,70b4d3b28c06c75b1a38e31087b6b01d6a2171cc22d7da4a437f195cfcb182db,138.31226008298108,True
25g,row,769539383,70,70,raw_column_conditioned,101,1,4.035690156884966,6262,2843,62,True,True,461208,ac7bd1bbd5f074760c5e04a2c790e546f446316ff7e64b9d085c2b22525da16b,175.23026549999486,True
25g,row,769539383,70,70,mass_normalized_column_conditioned,109,9,1.4194326226638148,6758,2910,62,True,True,461208,81e93dadcd19bcd660af4e80650dc27ee2421d3c29569cd8029a65725d4bfb37,185.4511503750109,True
25g,row,769539383,100,100,raw_column_conditioned,101,1,3.9786112117519656,9292,3141,92,True,True,461208,02477779b7de64ba5f438ea8a5253f049ebc49e5859af5d23d944fe64dd8c279,259.5103625830088,True
25g,row,769539383,100,100,mass_normalized_column_conditioned,163,63,1.261141796337865,14996,3299,92,True,True,461208,578d3df952ae5e5905e89bc2ad333435054a60bef52b632042aef867c7b0f458,399.02847891600686,True
25g,row,1425370602,30,30,raw_column_conditioned,101,1,2.0797997445064023,2222,1625,22,True,True,461208,b450d844ce4836e082a722fbf97da82fbe3a338135b34bea73d646d83eecde06,82.8585319169797,True
25g,row,1425370602,30,30,mass_normalized_column_conditioned,205,105,1.165214737930412,4510,2488,22,True,True,461208,08862026939db9ba7f986ac2c739b58262af81f3165b56636632dc839cc7b678,157.6733903750137,True
25g,row,1425370602,50,50,raw_column_conditioned,108,8,2.190152273019803,4536,2505,42,True,True,461208,12f8a7327869bd88ebcc442ec0222c3c3738fd8c72703879f10b3c26e1b7bc37,153.6334427090187,True
25g,row,1425370602,50,50,mass_normalized_column_conditioned,102,2,1.285220670527671,4284,2428,42,True,True,461208,7c7c3f2f99d07ebf9324dda1440200fafc055a9918fc0086cce37a0e437ce0ab,122.34809720801422,True
25g,row,1425370602,70,70,raw_column_conditioned,101,1,2.2678080722105514,6262,2845,62,True,True,461208,4dd6e397749e35458691fe2f3aab0e69e93ba620d90c0b6b7ab8ee5b9aa660df,191.80984754199744,True
25g,row,1425370602,70,70,mass_normalized_column_conditioned,158,58,1.1251161803777796,9796,3180,62,True,True,461208,d09055c9efe40ef20191f3fdaf891aef80da51750b3c300682fc7e6bb74d25d0,269.25772125000367,True
25g,row,1425370602,100,100,raw_column_conditioned,101,1,1.9100188354018435,9292,3122,92,True,True,461208,d75013d56dfee2ee1f4de0490da6a383010550d03ee37333c73c638709c14a28,280.55207325000083,True
25g,row,1425370602,100,100,mass_normalized_column_conditioned,107,7,1.1126758645215613,9844,3156,92,True,True,461208,7e09d5e7ee286308a07a0084098ef0c159d8016a10117e81f61b3d1fc4ea6e6e,263.8818287079921,True
25g,row,536279090,30,30,raw_column_conditioned,107,7,1.0664134751397902,2354,1686,22,True,True,461208,98fba2c4cbd71354a8b08284c521ceda0cbc04a79714015bf56bc1f8ef03db7b,86.8923684170004,True
25g,row,536279090,30,30,mass_normalized_column_conditioned,101,1,1.2198077772879998,2222,1617,22,True,True,461208,72e6157f723dc1ad8732422bf10b96dc2b146e5b9b89b33ce3f1dd65b4015a2c,80.89198779198341,True
25g,row,536279090,50,50,raw_column_conditioned,108,8,1.154604007993693,4536,2501,42,True,True,461208,3715f197c929d4a26ffde5f3557783a0d66e0334e4bd7c3752bebd839c24ffdc,150.7584785830113,True
25g,row,536279090,50,50,mass_normalized_column_conditioned,156,56,0.8656988000410126,6552,2888,42,True,True,461208,662be9a25fa26944454e41a8287947f0a5529091ced03c09b07db80edccf7cf6,188.49008450002293,True
25g,row,536279090,70,70,raw_column_conditioned,177,77,1.2502273808806998,10974,3230,62,True,True,461208,c9a5e38121fbadb2da76991b481bf4dad94e54943324fbeeb11bf2c0088feadb,323.06769858300686,True
25g,row,536279090,70,70,mass_normalized_column_conditioned,339,239,0.7366791259349861,21018,3324,62,True,True,461208,c0a3e7a695aef141538ee63dba6d0695cba47661f0d577046425b6c25f917342,822.1757994579966,True
25g,row,536279090,100,100,raw_column_conditioned,108,8,1.1416749592605437,9936,3173,92,True,True,461208,daf3216b6782f5e1ac16b300b15e0dffc4366f7c8279981cbd27f6f577c8ada6,297.05276550000417,True
25g,row,536279090,100,100,mass_normalized_column_conditioned,172,72,0.7766265185269471,15824,3299,92,True,True,461208,0b05cdc6eb466b89306b62df66aed1af08c608926afee8426ae3acc574e45278,433.65812074998394,True
25g,row,2767143051,30,30,raw_column_conditioned,101,1,2.166240071365557,2222,1633,22,True,True,461208,21a4452843b358923f9b6cb862a857297542722691e3f6b36d3b0bebdd4bc121,75.81736212497344,True
25g,row,2767143051,30,30,mass_normalized_column_conditioned,108,8,1.655861705781858,2376,1711,22,True,True,461208,d3334ea53888b06144e67c7c3dba862c1c6919ece642dd3db08661da384dbcea,82.32087979200878,True
25g,row,2767143051,50,50,raw_column_conditioned,101,1,2.1928067616361986,4242,2430,42,True,True,461208,d5a889f3c61b9b959adeabcda5c4b35f24295729f14b3bc6721a69f5485f94ce,131.02959579098388,True
25g,row,2767143051,50,50,mass_normalized_column_conditioned,134,34,1.448624113249013,5628,2727,42,True,True,461208,1185bcee2b659bf8ac835b8f71ad161748156d8c51efcd9ccfed48bfe2d5840c,176.66491049999604,True
25g,row,2767143051,70,70,raw_column_conditioned,101,1,2.0765028203464198,6262,2842,62,True,True,461208,7c61603fe92ca4d26644c94f2d3179d527866f131ac289b03c0f23d39fc00f74,182.51587562501663,True
25g,row,2767143051,70,70,mass_normalized_column_conditioned,500,412,1.1799400570586418,31000,3330,62,True,True,461208,f70d6909fcf8df65ce22055d49ef3dea76349dfece3bb3f6b5d5c4a87057fd44,1230.3795407490106,True
25g,row,2767143051,100,100,raw_column_conditioned,155,55,1.6295167923599079,14260,3292,92,True,True,461208,801e5929793f2b8474dbbb3348eb4705c38140ed0812173370e807b04a673dfe,454.5515791250218,True
25g,row,2767143051,100,100,mass_normalized_column_conditioned,195,95,0.9737639400028043,17940,3322,92,True,True,461208,23a792779e4c2ec70c1d50f482913701419a994b588c026aeb016bd17e34abd2,1343.7495009999839,True
25g,row,1362771960,30,30,raw_column_conditioned,109,9,1.1418493507920127,2398,1705,22,True,True,461208,6936a028d53f83f733a16ed61827007ec4a005827f859f96190652bd970d6d13,86.0365667080041,True
25g,row,1362771960,30,30,mass_normalized_column_conditioned,359,259,0.6047438042745602,7898,3012,22,True,True,461208,646ddb5dd515445c8d5ae092168c75a6b59f8f8cdb0e50b3a55e679bfeaf85f6,359.5048834589834,True
25g,row,1362771960,50,50,raw_column_conditioned,109,9,1.370944781358238,4578,2524,42,True,True,461208,d6d27f6c612101281d22a22f706c79b8fea7400edd89db73a0d20e056a07a1e8,127.94964079101919,True
25g,row,1362771960,50,50,mass_normalized_column_conditioned,207,107,0.7810467590244523,8694,3089,42,True,True,461208,1f0f52b07206c66aa83888b2d08c8a79db31e559a2089a3d73e80f5c65265ebb,588.7836075839878,True
25g,row,1362771960,70,70,raw_column_conditioned,109,9,0.8854761326160544,6758,2956,62,True,True,461208,5531209528a7c5b5a0e6bfdbd3a9265d19ef3650a8c05b521c580cdf6e0a7dee,232.10192779201316,True
25g,row,1362771960,70,70,mass_normalized_column_conditioned,130,30,0.8741023233348941,8060,3059,62,True,True,461208,08da2611a8404a6544e3c0e47cbafb99ff48ac73b043640e533409fb4f093844,609.477731083025,True
25g,row,1362771960,100,100,raw_column_conditioned,109,9,0.9065577515403157,10028,3177,92,True,True,461208,918b01450517c7a9ba4457279a84ee00fc249d176ef31429781107ea109544e1,382.7761595839984,True
25g,row,1362771960,100,100,mass_normalized_column_conditioned,161,61,0.8858905584645735,14812,3290,92,True,True,461208,918ed69f60087a3eb8224284e7aa5360c564fc00982a25c5648e7811cdf728eb,905.7426254989987,True
25g,compound,769539383,30,30,raw_column_conditioned,102,2,3.0586704287614976,2244,1657,22,True,True,461208,419088123ddac924ebf4ac8c90b5d28ac10decdd24c1640d34557b2ad719ecec,257.26384899998084,True
25g,compound,769539383,30,30,mass_normalized_column_conditioned,101,1,1.3713804118825788,2222,1643,22,True,True,461208,3200700fd5f6bc84f5b8741bae04aa6247c1719c79a721043495f4dbd77c5e96,228.28547391601023,True
25g,compound,769539383,50,52,raw_column_conditioned,105,5,3.4085271756376367,4620,2521,44,True,True,461208,c6cda75007dd2e66ff628af79cc3685ab40ec82da1778cb67dfe843023947df0,181.54218533300445,True
25g,compound,769539383,50,52,mass_normalized_column_conditioned,101,1,1.0833890140709181,4444,2481,44,True,True,461208,43112a75b8f2558244b15b373aa2f57a19f59c8eb5661d5bf061e630dc0d34a9,243.1931965839758,True
25g,compound,769539383,70,70,raw_column_conditioned,106,6,3.3950877771835946,6572,2888,62,True,True,461208,105b68d7c2d9ab855552f3c47369912006cd317b5bcbffa749fa981f267af143,446.10488554200856,True
25g,compound,769539383,70,70,mass_normalized_column_conditioned,101,1,1.326742859880134,6262,2843,62,True,True,461208,3202a2a267f436cd8b4a7bf6fb160bf1a0c20827884dbaa85f8a4ee9bafe49d2,135.3531025830016,True
25g,compound,769539383,100,98,raw_column_conditioned,106,6,3.0360160687671676,9540,3146,90,True,True,461208,e57478fd7c15009c8d7202908e7f59bdb6ed6914e7a65d45b0ae81e33c542060,311.2057702089951,True
25g,compound,769539383,100,98,mass_normalized_column_conditioned,101,1,1.0893585001052983,9090,3115,90,True,True,461208,08efff67dfe3a864a433e45452ec66cd1e8ffb442dbacc82d0f7d47a41eae158,342.3219744170201,True
25g,compound,1425370602,30,33,raw_column_conditioned,101,1,3.517293893126483,2525,1767,25,True,True,461208,011d72a5bd32ec6645395e254b968feb292adf9ecec34db660a2671280232141,62.99914912501117,True
