column,protocol,seed,budget,actual_budget,method,target,dimension,level,q33,q67,q90,n,rmse,mae,median_absolute_error,compounds,eligible
8g,row,769539383,30,30,conditional_policy,V1,EA,low,,,,40,12.246343872355563,6.568805358708483,3.4660316411211225,,
8g,row,769539383,30,30,conditional_policy,V1,EA,mid,,,,55,5.358947034332838,3.6802322697508876,2.1845830700034092,,
8g,row,769539383,30,30,conditional_policy,V1,EA,high,,,,20,5.594219549667347,4.416334885140194,3.4260192463054353,,
8g,row,769539383,30,30,conditional_policy,V2,source_q50,low,11.6150533,16.86315068,28.017366000000006,48,4.9175249115608235,3.4990049713487976,2.614707841133021,,
8g,row,769539383,30,30,conditional_policy,V2,source_q50,mid,11.6150533,16.86315068,28.017366000000006,29,10.11801209753388,6.9548102416191,5.805888120904559,,
8g,row,769539383,30,30,conditional_policy,V2,source_q50,high,11.6150533,16.86315068,28.017366000000006,38,24.979044279906635,17.144299627292487,12.64280764331171,,
8g,row,769539383,30,30,conditional_policy,V2,source_q50,top10,11.6150533,16.86315068,28.017366000000006,17,34.51524967783144,25.52600983691282,17.9985027411753,,
8g,row,769539383,30,30,conditional_policy,V2,target_magnitude,low,18.405666666666665,29.608500000000006,63.74333333333334,38,16.98193186902565,5.972858444272709,2.707100614117137,,
8g,row,769539383,30,30,conditional_policy,V2,target_magnitude,mid,18.405666666666665,29.608500000000006,63.74333333333334,39,8.907120090212178,6.57119714556221,5.805888120904559,,
8g,row,769539383,30,30,conditional_policy,V2,target_magnitude,high,18.405666666666665,29.608500000000006,63.74333333333334,38,19.047715052189556,14.154731892355825,10.112246756052382,,
8g,row,769539383,30,30,conditional_policy,V2,target_magnitude,top10,18.405666666666665,29.608500000000006,63.74333333333334,12,30.02305868723215,25.486762981071053,23.002618044541137,,
8g,row,769539383,30,30,conditional_policy,V2,EA,low,,,,40,22.793676021782332,13.526279763937385,7.562109010021265,,
8g,row,769539383,30,30,conditional_policy,V2,EA,mid,,,,55,9.997800123053736,6.345091404736006,3.671963960916967,,
8g,row,769539383,30,30,conditional_policy,V2,EA,high,,,,20,8.83216595718996,6.554695182541747,4.739760640888334,,
8g,row,769539383,30,30,conditional_policy,V1,flow_ml_min,10,,,,115,8.446419673406258,4.812971190325582,2.9111169319142682,68.0,True
8g,row,769539383,30,30,conditional_policy,V2,flow_ml_min,10,,,,115,15.55908519018508,8.879348882337483,5.191106421460006,68.0,True
8g,row,769539383,30,30,target_head_only,V1,source_q50,low,5.393416254,7.247428477,15.695322000000013,54,3.901029970116447,2.4311396808641974,1.6343835833333333,,
8g,row,769539383,30,30,target_head_only,V1,source_q50,mid,5.393416254,7.247428477,15.695322000000013,30,2.448752375698925,1.821962161111111,1.243074,,
8g,row,769539383,30,30,target_head_only,V1,source_q50,high,5.393416254,7.247428477,15.695322000000013,31,10.274525815277059,6.256827569892471,3.4374566666666624,,
8g,row,769539383,30,30,target_head_only,V1,source_q50,top10,5.393416254,7.247428477,15.695322000000013,10,16.699774449612455,11.139101933333333,6.970667666666671,,
8g,row,769539383,30,30,target_head_only,V1,target_magnitude,low,9.839333333333332,13.844000000000005,30.655000000000022,38,7.923127898613768,3.5926042526315776,1.655841166666666,,
8g,row,769539383,30,30,target_head_only,V1,target_magnitude,mid,9.839333333333332,13.844000000000005,30.655000000000022,39,1.9990020027526019,1.5840523333333334,1.2550613333333338,,
8g,row,769539383,30,30,target_head_only,V1,target_magnitude,high,9.839333333333332,13.844000000000005,30.655000000000022,38,6.752927555057054,4.779080517543858,3.1296463333333318,,
8g,row,769539383,30,30,target_head_only,V1,target_magnitude,top10,9.839333333333332,13.844000000000005,30.655000000000022,12,8.954318910683947,6.739866277777776,3.944725000000002,,
8g,row,769539383,30,30,target_head_only,V1,EA,low,,,,40,8.879164306183354,4.780465212499999,2.531046,,
8g,row,769539383,30,30,target_head_only,V1,EA,mid,,,,55,3.8225009680607096,2.3345695806060602,1.5953966666666677,,
8g,row,769539383,30,30,target_head_only,V1,EA,high,,,,20,3.9811570389291018,3.0141063416666665,1.9374448333333323,,
8g,row,769539383,30,30,target_head_only,V2,source_q50,low,11.6150533,16.86315068,28.017366000000006,48,5.737203118223823,3.8735932222222225,2.4834931666666655,,
8g,row,769539383,30,30,target_head_only,V2,source_q50,mid,11.6150533,16.86315068,28.017366000000006,29,11.322030294521388,6.647300367816093,4.645536666666668,,
8g,row,769539383,30,30,target_head_only,V2,source_q50,high,11.6150533,16.86315068,28.017366000000006,38,16.983443667871892,11.080594885964912,8.127407166666666,,
8g,row,769539383,30,30,target_head_only,V2,source_q50,top10,11.6150533,16.86315068,28.017366000000006,17,21.902594961536987,15.105411156862745,12.764823333333325,,
8g,row,769539383,30,30,target_head_only,V2,target_magnitude,low,18.405666666666665,29.608500000000006,63.74333333333334,38,11.470986833332379,3.9168972631578938,1.9762751666666665,,
8g,row,769539383,30,30,target_head_only,V2,target_magnitude,mid,18.405666666666665,29.608500000000006,63.74333333333334,39,5.870806988966575,4.628266247863247,4.4968543333333315,,
8g,row,769539383,30,30,target_head_only,V2,target_magnitude,high,18.405666666666665,29.608500000000006,63.74333333333334,38,16.151961958297473,12.379534508771933,10.558343999999998,,
8g,row,769539383,30,30,target_head_only,V2,target_magnitude,top10,18.405666666666665,29.608500000000006,63.74333333333334,12,24.815282351227264,21.413738361111115,15.689138333333336,,
8g,row,769539383,30,30,target_head_only,V2,EA,low,,,,40,15.546886255384024,8.594604016666668,4.501253999999999,,
8g,row,769539383,30,30,target_head_only,V2,EA,mid,,,,55,9.796788180926074,6.173934660606061,4.398236666666666,,
8g,row,769539383,30,30,target_head_only,V2,EA,high,,,,20,8.09648451703391,5.820811200000001,3.5103843333333327,,
8g,row,769539383,30,30,target_head_only,V1,flow_ml_min,10,,,,115,6.096476408703276,3.3034961936231886,2.0093653333333332,68.0,True
8g,row,769539383,30,30,target_head_only,V2,flow_ml_min,10,,,,115,11.890085876243667,6.954493834782609,4.398236666666666,68.0,True
8g,row,769539383,30,30,standard_shallow_finetune,V1,source_q50,low,5.393416254,7.247428477,15.695322000000013,54,3.991754653321064,2.547947811111112,1.5308873500000004,,
8g,row,769539383,30,30,standard_shallow_finetune,V1,source_q50,mid,5.393416254,7.247428477,15.695322000000013,30,2.6394814339233834,2.0804388777777776,1.7618268333333313,,
8g,row,769539383,30,30,standard_shallow_finetune,V1,source_q50,high,5.393416254,7.247428477,15.695322000000013,31,11.105251715183206,7.85511547311828,5.186950666666666,,
8g,row,769539383,30,30,standard_shallow_finetune,V1,source_q50,top10,5.393416254,7.247428477,15.695322000000013,10,18.006581424692364,14.93514386666667,12.009314333333336,,
8g,row,769539383,30,30,standard_shallow_finetune,V1,target_magnitude,low,9.839333333333332,13.844000000000005,30.655000000000022,38,7.424007685893714,3.571908672807018,1.7978794999999996,,
8g,row,769539383,30,30,standard_shallow_finetune,V1,target_magnitude,mid,9.839333333333332,13.844000000000005,30.655000000000022,39,2.532008251673373,1.9064015401709395,1.2776736666666668,,
8g,row,769539383,30,30,standard_shallow_finetune,V1,target_magnitude,high,9.839333333333332,13.844000000000005,30.655000000000022,38,8.188787654963972,6.142861530701755,4.240522500000001,,
8g,row,769539383,30,30,standard_shallow_finetune,V1,target_magnitude,top10,9.839333333333332,13.844000000000005,30.655000000000022,12,12.097039414430963,10.61339438888889,9.830793000000003,,
8g,row,769539383,30,30,standard_shallow_finetune,V1,EA,low,,,,40,9.517623373867435,5.722944325,3.6892956666666663,,
8g,row,769539383,30,30,standard_shallow_finetune,V1,EA,mid,,,,55,4.196288587051569,2.8289062757575754,2.2625250000000037,,
8g,row,769539383,30,30,standard_shallow_finetune,V1,EA,high,,,,20,3.8773725753333497,2.9501654816666667,2.4296288333333336,,
8g,row,769539383,30,30,standard_shallow_finetune,V2,source_q50,low,11.6150533,16.86315068,28.017366000000006,48,5.520710523337878,3.849871395833334,2.6240553333333345,,
8g,row,769539383,30,30,standard_shallow_finetune,V2,source_q50,mid,11.6150533,16.86315068,28.017366000000006,29,10.314802554151962,5.951291229885059,3.7220486666666694,,
8g,row,769539383,30,30,standard_shallow_finetune,V2,source_q50,high,11.6150533,16.86315068,28.017366000000006,38,16.02232296552056,9.375567614035086,6.55447166666667,,
8g,row,769539383,30,30,standard_shallow_finetune,V2,source_q50,top10,11.6150533,16.86315068,28.017366000000006,17,21.38228894571926,11.930133470588235,7.775089999999999,,
8g,row,769539383,30,30,standard_shallow_finetune,V2,target_magnitude,low,18.405666666666665,29.608500000000006,63.74333333333334,38,13.328886564494226,5.105877692982455,2.1231075000000015,,
8g,row,769539383,30,30,standard_shallow_finetune,V2,target_magnitude,mid,18.405666666666665,29.608500000000006,63.74333333333334,39,5.520615813365857,4.087152401709401,3.6007956666666665,,
8g,row,769539383,30,30,standard_shallow_finetune,V2,target_magnitude,high,18.405666666666665,29.608500000000006,63.74333333333334,38,12.941078820782959,9.479751210526315,7.379330500000002,,
8g,row,769539383,30,30,standard_shallow_finetune,V2,target_magnitude,top10,18.405666666666665,29.608500000000006,63.74333333333334,12,19.420583070960344,14.208319944444446,8.844206666666661,,
8g,row,769539383,30,30,standard_shallow_finetune,V2,EA,low,,,,40,15.188129900760837,7.856951050000001,4.191406166666665,,
8g,row,769539383,30,30,standard_shallow_finetune,V2,EA,mid,,,,55,8.33549324510489,5.081728739393941,3.5303826666666662,,
8g,row,769539383,30,30,standard_shallow_finetune,V2,EA,high,,,,20,7.921434818096175,5.993985966666666,5.0077928333333315,,
8g,row,769539383,30,30,standard_shallow_finetune,V1,flow_ml_min,10,,,,115,6.522584599781655,3.8566167634782604,2.450490666666667,68.0,True
8g,row,769539383,30,30,standard_shallow_finetune,V2,flow_ml_min,10,,,,115,11.152530930143458,6.205676886956521,4.0492799999999995,68.0,True
8g,row,769539383,30,30,packing_mass_physical_scale,V1,source_q50,low,5.393416254,7.247428477,15.695322000000013,54,3.554596391000279,1.7867992283385472,0.742748896280923,,
8g,row,769539383,30,30,packing_mass_physical_scale,V1,source_q50,mid,5.393416254,7.247428477,15.695322000000013,30,2.3127478676046396,1.8878833262125652,1.680435625712076,,
8g,row,769539383,30,30,packing_mass_physical_scale,V1,source_q50,high,5.393416254,7.247428477,15.695322000000013,31,11.252094106541069,7.308023912163191,4.571632003784181,,
8g,row,769539383,30,30,packing_mass_physical_scale,V1,source_q50,top10,5.393416254,7.247428477,15.695322000000013,10,17.920929768274227,13.527802492777507,10.687431589762372,,
8g,row,769539383,30,30,packing_mass_physical_scale,V1,target_magnitude,low,9.839333333333332,13.844000000000005,30.655000000000022,38,7.798225823928955,3.00461222581696,1.025875186920166,,
8g,row,769539383,30,30,packing_mass_physical_scale,V1,target_magnitude,mid,9.839333333333332,13.844000000000005,30.655000000000022,39,1.4355780722338314,1.1384867423619975,0.9527395248413093,,
8g,row,769539383,30,30,packing_mass_physical_scale,V1,target_magnitude,high,9.839333333333332,13.844000000000005,30.655000000000022,38,7.908053645844916,5.81831978580408,3.532006390889485,,
8g,row,769539383,30,30,packing_mass_physical_scale,V1,target_magnitude,top10,9.839333333333332,13.844000000000005,30.655000000000022,12,11.185594484780452,9.662360212537978,9.07859992980957,,
8g,row,769539383,30,30,packing_mass_physical_scale,V1,EA,low,,,,40,9.685561836553646,5.220984226862589,1.5947620391845705,,
8g,row,769539383,30,30,packing_mass_physical_scale,V1,EA,mid,,,,55,3.7832102026870524,2.2515644651470756,1.4041227976481139,,
8g,row,769539383,30,30,packing_mass_physical_scale,V1,EA,high,,,,20,3.3768258818317416,2.349849236806233,1.373724428812661,,
8g,row,769539383,30,30,packing_mass_physical_scale,V2,source_q50,low,11.6150533,16.86315068,28.017366000000006,48,5.014309697059245,3.851560690667894,3.278863080342611,,
8g,row,769539383,30,30,packing_mass_physical_scale,V2,source_q50,mid,11.6150533,16.86315068,28.017366000000006,29,10.037905887154938,6.797633532820077,5.527262369791668,,
8g,row,769539383,30,30,packing_mass_physical_scale,V2,source_q50,high,11.6150533,16.86315068,28.017366000000006,38,21.02346938456091,13.543385335018762,10.360549926757816,,
8g,row,769539383,30,30,packing_mass_physical_scale,V2,source_q50,top10,11.6150533,16.86315068,28.017366000000006,17,28.435323217431765,18.721699479046993,14.108861287434898,,
8g,row,769539383,30,30,packing_mass_physical_scale,V2,target_magnitude,low,18.405666666666665,29.608500000000006,63.74333333333334,38,15.916328731506697,6.341681318115771,3.403047879536949,,
8g,row,769539383,30,30,packing_mass_physical_scale,V2,target_magnitude,mid,18.405666666666665,29.608500000000006,63.74333333333334,39,8.213022779098889,6.087059498648357,5.341846720377603,,
8g,row,769539383,30,30,packing_mass_physical_scale,V2,target_magnitude,high,18.405666666666665,29.608500000000006,63.74333333333334,38,15.10242737617141,11.00725573154918,7.359293047587075,,
8g,row,769539383,30,30,packing_mass_physical_scale,V2,target_magnitude,top10,18.405666666666665,29.608500000000006,63.74333333333334,12,23.38195811053786,18.54092411465115,13.985756174723306,,
8g,row,769539383,30,30,packing_mass_physical_scale,V2,EA,low,,,,40,19.436787721656046,11.170131085713706,5.7542898813883525,,
8g,row,769539383,30,30,packing_mass_physical_scale,V2,EA,mid,,,,55,8.937373218168053,5.793336429017963,3.7251777648925746,,
8g,row,769539383,30,30,packing_mass_physical_scale,V2,EA,high,,,,20,8.425021530264651,6.560809065500896,5.4236377398173,,
8g,row,769539383,30,30,packing_mass_physical_scale,V1,flow_ml_min,10,,,,115,6.438782462132647,3.3014991251627603,1.4217353820800778,68.0,True
8g,row,769539383,30,30,packing_mass_physical_scale,V2,flow_ml_min,10,,,,115,13.488927386829328,7.79699937682221,4.83813705444336,68.0,True
8g,row,769539383,30,30,physics_scale_residual,V1,source_q50,low,5.393416254,7.247428477,15.695322000000013,54,4.083185142215224,2.6629270326201064,1.8697173711230484,,
8g,row,769539383,30,30,physics_scale_residual,V1,source_q50,mid,5.393416254,7.247428477,15.695322000000013,30,2.765128406427531,2.0952056102065604,1.8187837971782477,,
8g,row,769539383,30,30,physics_scale_residual,V1,source_q50,high,5.393416254,7.247428477,15.695322000000013,31,15.156083011332269,8.807521988229889,5.008513323985625,,
8g,row,769539383,30,30,physics_scale_residual,V1,source_q50,top10,5.393416254,7.247428477,15.695322000000013,10,25.051565046450218,17.594381701532065,10.507773129640501,,
8g,row,769539383,30,30,physics_scale_residual,V1,target_magnitude,low,9.839333333333332,13.844000000000005,30.655000000000022,38,10.588285502274566,4.3014118077741665,2.2676237590120927,,
8g,row,769539383,30,30,physics_scale_residual,V1,target_magnitude,mid,9.839333333333332,13.844000000000005,30.655000000000022,39,2.569473190303775,2.0711974795423678,1.6977149067379589,,
8g,row,769539383,30,30,physics_scale_residual,V1,target_magnitude,high,9.839333333333332,13.844000000000005,30.655000000000022,38,9.911272954196535,6.196238402769431,3.0437496527707806,,
8g,row,769539383,30,30,physics_scale_residual,V1,target_magnitude,top10,9.839333333333332,13.844000000000005,30.655000000000022,12,14.932653160320893,10.330565765856752,6.06310074013707,,
8g,row,769539383,30,30,physics_scale_residual,V1,EA,low,,,,40,12.794699094228198,6.15042014790453,2.6673620065339305,,
8g,row,769539383,30,30,physics_scale_residual,V1,EA,mid,,,,55,4.883815882816412,3.1738828530142893,2.33060464498066,,
8g,row,769539383,30,30,physics_scale_residual,V1,EA,high,,,,20,4.419196524479855,2.955352343542098,1.9225696251967888,,
8g,row,769539383,30,30,physics_scale_residual,V2,source_q50,low,11.6150533,16.86315068,28.017366000000006,48,5.507422397176463,3.8702500755928004,2.660158916376181,,
