column,protocol,seed,budget,actual_budget,method,target,n,rmse,mae,median_absolute_error
8g,row,1425370602,30,30,local_identity_shrinkage,width,115,5.59783106460785,3.4783834046711504,1.7810066164665432
8g,row,1425370602,30,30,conditional_EA,center,115,5.9905823505724465,3.3161906388260287,2.074075758825071
8g,row,1425370602,30,30,conditional_EA,width,115,5.721601127469675,3.648715929042306,2.4524813265042376
8g,row,1425370602,30,30,conditional_policy,center,115,8.923626204478632,4.19857282658447,2.39945816619403
8g,row,1425370602,30,30,conditional_policy,width,115,5.597831028601659,3.478383392101258,1.7810066192766225
8g,row,1425370602,30,30,target_head_only,center,115,8.285517450711422,4.643016939275362,3.222442666666666
8g,row,1425370602,30,30,target_head_only,width,115,5.511932965924257,3.4895509179710147,2.043396666666659
8g,row,1425370602,30,30,standard_shallow_finetune,center,115,6.448990618869913,3.8047663389855075,2.9659720000000007
8g,row,1425370602,30,30,standard_shallow_finetune,width,115,5.400414781139558,3.3865342553623186,2.0956926666666646
8g,row,1425370602,30,30,packing_mass_physical_scale,center,115,6.69082557293545,4.029744258963545,2.533533795674643
8g,row,1425370602,30,30,packing_mass_physical_scale,width,115,9.616814076506442,6.680642865222434,4.607074610392253
8g,row,1425370602,30,30,physics_scale_residual,center,115,6.332574475909614,3.9503458107316884,2.805652317044917
8g,row,1425370602,30,30,physics_scale_residual,width,115,5.6002110430080405,3.6378199395081023,2.2193678205572933
8g,row,1425370602,30,30,raw_column_conditioned,center,115,11.318512093507096,5.535797091884058,2.8310343333333314
8g,row,1425370602,30,30,raw_column_conditioned,width,115,6.489698595961943,4.1037653652173915,2.508148666666667
8g,row,1425370602,30,30,mass_normalized_column_conditioned,center,115,7.320043859275431,5.249672325362319,3.639428500000001
8g,row,1425370602,30,30,mass_normalized_column_conditioned,width,115,8.394863266723975,5.942254311594204,4.179434333333333
8g,row,1425370602,50,50,scale_only,center,115,5.954994576404434,3.1739034658095915,1.8857562103007908
8g,row,1425370602,50,50,scale_only,width,115,5.644734145366859,3.5826451495016602,2.261242303142927
8g,row,1425370602,50,50,local_identity_shrinkage,center,115,5.978743383354454,3.3260827264296156,1.557890256102926
8g,row,1425370602,50,50,local_identity_shrinkage,width,115,6.733880552351414,4.277137567224849,2.613059781602015
8g,row,1425370602,50,50,conditional_EA,center,115,5.960649460796007,3.330066269738745,1.609225306365758
8g,row,1425370602,50,50,conditional_EA,width,115,5.994716058649341,3.834759322104201,2.4804135654467956
8g,row,1425370602,50,50,conditional_policy,center,115,5.954994576404434,3.1739034658095915,1.8857562103007908
8g,row,1425370602,50,50,conditional_policy,width,115,5.644734145366859,3.5826451495016602,2.261242303142927
8g,row,1425370602,50,50,target_head_only,center,115,6.2826158914711625,3.2582115855072464,1.8990256666666667
8g,row,1425370602,50,50,target_head_only,width,115,5.290439764375231,3.38202655652174,1.816218000000001
8g,row,1425370602,50,50,standard_shallow_finetune,center,115,6.512272814075383,3.4810340407246376,1.6838066666666673
8g,row,1425370602,50,50,standard_shallow_finetune,width,115,5.305748084478097,3.264684678550725,1.7088553333333358
8g,row,1425370602,50,50,packing_mass_physical_scale,center,115,6.69082557293545,4.029744258963545,2.533533795674643
8g,row,1425370602,50,50,packing_mass_physical_scale,width,115,9.616814076506442,6.680642865222434,4.607074610392253
8g,row,1425370602,50,50,physics_scale_residual,center,115,6.257584166769049,3.814627381367465,2.3257027230600045
8g,row,1425370602,50,50,physics_scale_residual,width,115,5.4418653521499385,3.427200394194691,1.9022278324937396
8g,row,1425370602,50,50,raw_column_conditioned,center,115,17.17732760407632,8.098427594202898,3.5046926666666653
8g,row,1425370602,50,50,raw_column_conditioned,width,115,10.048198247271907,6.035638574492754,3.9453873333333345
8g,row,1425370602,50,50,mass_normalized_column_conditioned,center,115,8.851068596496383,4.780244359275362,2.1527825000000007
8g,row,1425370602,50,50,mass_normalized_column_conditioned,width,115,7.1035266604511875,4.822701577101449,2.725137666666665
8g,row,1425370602,70,70,scale_only,center,115,6.8786000803537135,4.226707277926739,2.652320084352059
8g,row,1425370602,70,70,scale_only,width,115,6.385980467907639,4.187400513415021,2.827971928001011
8g,row,1425370602,70,70,local_identity_shrinkage,center,115,6.629631862999542,3.775445716023071,1.9635511079663281
8g,row,1425370602,70,70,local_identity_shrinkage,width,115,7.273537586792349,4.631959654323926,2.802652897515845
8g,row,1425370602,70,70,conditional_EA,center,115,6.913329951616079,3.9017447852573133,1.9239198212682762
8g,row,1425370602,70,70,conditional_EA,width,115,6.834981890250962,4.37422001834037,2.674389727405444
8g,row,1425370602,70,70,conditional_policy,center,115,6.629631862999542,3.775445716023071,1.9635511079663281
8g,row,1425370602,70,70,conditional_policy,width,115,7.273537586792349,4.631959654323926,2.802652897515845
