column,protocol,seed,budget,target,scale,train_rows,compounds,q50_min,q50_max,q50_q90,upper10_x2_leverage,without_upper10_scale,without_upper10_relative_change,leave_compound_min_scale,leave_compound_max_scale,leave_compound_max_relative_change,packing_mass_ratio,absolute_difference,relative_difference
25g,compound,2767143051,70,V1,5.701131726897906,61,9,3.8515,39.051468,13.702433,0.6536899740305935,5.16569770721807,-0.093917145810482,5.192327537521504,6.237941883980543,0.0941585254994146,6.25,0.5488682731020944,0.08781892369633511
25g,compound,2767143051,70,V2,4.398272745630581,61,9,6.6064596,73.57818,27.83332,0.5994681060099745,3.9122646827870913,-0.1104997554611203,3.924839266147858,4.627155879882715,0.1076407732906173,6.25,1.8517272543694192,0.29627636069910707
25g,compound,2767143051,100,V1,5.3835036753707355,94,14,3.5878193,39.051468,11.1603715,0.6370837435128002,4.932837632650151,-0.0837124055069117,4.973248070699123,5.722194423997468,0.0762060601070102,6.25,0.8664963246292645,0.13863941194068233
25g,compound,2767143051,100,V2,4.201883238730825,94,14,5.802376,73.57818,27.6769567,0.5829978886260734,3.751554401544473,-0.1071730963477161,3.835616195463808,4.348977359064564,0.0871673538881216,6.25,2.048116761269175,0.327698681803068
25g,row,536279090,30,V1,5.480745569221984,22,21,3.755535,14.927238,9.694897500000002,0.4414287434259801,4.5467907556574465,-0.1704065262232409,4.907114950230247,5.7717570492410575,0.1046628805783381,6.25,0.769254430778016,0.12308070892448257
25g,row,536279090,30,V2,3.806129276133836,22,21,5.9683657,33.21984,24.436061500000005,0.3925203422012636,3.142279264814269,-0.1744160440062319,3.4220486441596,3.9426507515510663,0.1009110842300066,6.25,2.443870723866164,0.39101931581858623
25g,row,536279090,50,V1,5.319074105665055,42,34,2.5635707,16.843067,9.6948975,0.4382831523903424,4.670855376600658,-0.1218668355031968,5.011791915962575,5.464232521983267,0.0577698643783155,6.25,0.930925894334945,0.1489481430935912
25g,row,536279090,50,V2,3.735748377516405,42,34,5.9683657,33.21984,23.235088,0.3628137983285633,3.273122590773154,-0.1238375125925405,3.510914940398164,3.811248072587438,0.0601843096476732,6.25,2.514251622483595,0.40228025959737523
25g,row,536279090,70,V1,5.490040056923337,62,44,2.5635707,16.843067,9.74268575,0.3824458817576689,5.128105153752491,-0.0659257308540799,5.272403889248679,5.593705254301173,0.039641999952296,6.25,0.7599599430766633,0.12159359089226612
25g,row,536279090,70,V2,3.8049569090886712,62,44,5.9683657,33.21984,24.552061499999997,0.3520137283183543,3.48279279811955,-0.0846695819864837,3.6427156693819898,3.857608509388789,0.0426394420707225,6.25,2.4450430909113288,0.3912068945458126
