column,protocol,method,target,rmse,mae
8g,row,mass_normalized_column_conditioned,width,6.739056142195574,4.538945684985507
8g,row,packing_mass_physical_scale,center,7.2265713522397075,4.230884309575178
8g,row,packing_mass_physical_scale,width,10.230132534771585,7.105861851346665
8g,row,physics_scale_residual,center,8.916381935490254,4.977849932137262
8g,row,physics_scale_residual,width,6.18313137490558,3.981380081678239
8g,row,raw_column_conditioned,center,17.361875257674278,9.325360766463769
8g,row,raw_column_conditioned,width,10.604738986536518,6.598152742202899
8g,row,scale_only,center,7.256141574083249,4.303962768099337
8g,row,scale_only,width,6.165750384768621,3.985652856992341
8g,row,standard_shallow_finetune,center,7.605755778367913,4.385035605449276
8g,row,standard_shallow_finetune,width,5.850265054753147,3.8325595273043476
8g,row,target_head_only,center,7.207820524723334,3.9876899280289857
8g,row,target_head_only,width,5.715040264025109,3.6637355665507245
