strategy,outer_seed,budget,V1_MAE,V1_RMSE,V1_R2,V2_MAE,V2_RMSE,V2_R2,NRMSE,test_rows
scratch_random,42,80,6.63649925600378,14.440139909820353,0.3487940839232133,9.146299685554943,19.376227604963752,0.40471494304962885,1.5349357857777914,58
scratch_random,42,90,6.0340942821601455,14.552793771914216,0.3385937642524278,8.388670826497316,19.89141679717,0.3726383584893147,1.5583024872374844,58
scratch_random,42,100,5.760275396543299,14.859734922584524,0.31039935392807216,10.091103205943966,20.626365965636992,0.32542232493983947,1.6010400248918506,58
scratch_random,42,110,6.392195521968451,15.719886529343242,0.2282540681134767,10.353454824617836,22.069434347680662,0.2277304159568101,1.70151174225595,58
scratch_random,42,120,5.906418039553295,14.527098758441637,0.34092731463554493,9.459420678312778,20.621590857027932,0.32573462511031626,1.5795005284085748,58
scratch_random,42,130,6.094175227256162,14.409770284147566,0.35153035701528845,8.91720790095713,19.710572963472497,0.38399388403000523,1.543446010283875,58
scratch_random,42,140,6.314251802832302,15.415183567545863,0.257882049195868,10.910431597113082,22.617296683011883,0.18891211198409363,1.6990629323888413,58
scratch_random,42,150,6.189766785837659,14.16992737508364,0.372937565979378,9.970935959185892,20.357437095124702,0.3428980905041259,1.5482662060997652,58
scratch_random,42,160,5.3485541576744415,13.92480309122219,0.3944449080710779,9.99545825706693,19.810898682936568,0.37770705113350667,1.515399981770531,58
scratch_random,42,170,5.194939476289469,13.586033620044635,0.4235509801505053,9.127359005353739,18.891395247314936,0.4341327035722663,1.4648402211599776,58
scratch_random,42,180,5.7322790724609085,14.298892695845936,0.3614714073594547,8.915617472664865,19.715050023758124,0.3837140129438644,1.5364561692179022,58
scratch_random,42,190,5.95180434717737,12.806995249716044,0.48776407718078596,7.447947019133074,16.784592118187817,0.5533080662937555,1.3488132914417352,58
scratch_random,42,200,4.961789872997366,12.699318953356554,0.4963412339814446,8.077065050112928,17.307751114752673,0.5250282179253519,1.3582611425327218,58
pretrained_coverage,525,50,4.405933954386875,7.094372699821116,0.7430759357278632,6.182891404491732,12.194958628671307,0.7706084046243409,0.837835147294058,58
pretrained_coverage,525,60,6.508150547948377,8.949585833400317,0.5911324364478969,9.91327207252897,15.427046852384432,0.6329016468552713,1.0582802608090196,58
pretrained_coverage,525,70,6.025635431895312,8.583779023236158,0.6238735796796522,10.11023654225229,16.10542806540414,0.5999066029722877,1.0559866959579,58
