canonical_smiles,sample_id,source_row_count,same_compound_condition_distance,global_condition_distance
CC(=O)CC(=O)c1ccccc1,760d0bf0ec31747d3969,19,0.1680522906902337,0.0
CC(=O)CC(=O)c1ccccc1,d71aab82a8179d05294a,19,0.1680522906902337,0.0
CC(=O)CCCCl,7c4153fe9561da818ae1,18,0.0,0.0
CC(=O)CCCCl,850a69ce73ac04035aa3,18,0.0,0.0
CC(=O)CCCCl,b418a712463f5abf8b81,18,0.0,0.0
CC(=O)c1c(C)cc(C)cc1C,45264f1c88b241fb888c,19,0.0,0.0
CC(=O)c1c(C)cc(C)cc1C,4ce730c9ad4e20a0386e,19,0.0,0.0
CC(=O)c1c(C)cc(C)cc1C,7b0fa77cbbcbd8e7c87a,19,0.0,0.0
CC(=O)c1c(C)cc(C)cc1C,823c667f35cddfcbc346,19,0.0,0.0
CC(=O)c1c(C)cc(C)cc1C,b63d546347919cb66716,19,0.0,0.0
CC(=O)c1c(C)cc(C)cc1C,c514f60c28973fc116c5,19,0.0,0.0
CC(=O)c1c(C)cc(C)cc1C,d2955aa36bd2b103c981,19,0.19275290857590927,0.0
CC(=O)c1ccc(Br)cc1,0e13b08b0f9c772699e1,7,0.0,0.0
CC(=O)c1ccc(Br)cc1,1254297404cc9db52ee2,7,0.0,0.0
CC(=O)c1ccc(Br)cc1,66c1ee6eed3d1587de50,7,0.0,0.0
CC(=O)c1ccc(Br)cc1,a26a131344d4dbd9645b,7,0.0,0.0
CC(=O)c1ccc(Br)cc1,bc8e1d805b36b63cbfbe,7,0.0,0.0
CC(=O)c1ccc(Br)cc1,ecc7e2759499addc038f,7,0.0,0.0
CC(=O)c1ccc(Br)cc1,f0edd899ac987a1de9dd,7,0.0,0.0
CC(=O)c1ccc(C)cc1,2797757b00a9f254ef2e,27,0.0,0.0
CC(=O)c1ccc(C)cc1,2a9d111386ac232bbf79,27,0.19275290857590927,0.0037347232841789535
CC(=O)c1ccc(C)cc1,6936556d392803de12ed,27,0.0,0.0
CC(=O)c1ccc(C)cc1,b71b23379d73c3637a76,27,0.0,0.0
CC(=O)c1ccc(C)cc1,bd93eaa60288fd0d5e89,27,0.0,0.0
CC(=O)c1ccc(C)cc1,fad37552a4a2eae19961,27,0.0,0.0
CC(=O)c1ccc(C)cc1,fd3f8b6ec11d13a8412d,27,0.0,0.0
CC(=O)c1ccc(C)cc1C,0a1949b42050f41b0db4,21,0.0,0.0
CC(=O)c1ccc(C)cc1C,4c36e8e7d179b4bfa11a,21,0.0,0.0
CC(=O)c1ccc(C)cc1C,77fe8c752e01feedccfa,21,0.0,0.0
CC(=O)c1ccc(C)cc1C,784ca4af1517dac8cd11,21,0.0,0.0
CC(=O)c1ccc(C)cc1C,a9a623a9853c6b493ce4,21,0.0,0.0
CC(=O)c1ccc(C)cc1C,c359fd726e50e2123f43,21,0.0,0.0
CC(=O)c1ccc(C)cc1C,f3531a1565c8159ac5e2,21,0.0,0.0
CC(=O)c1ccc2c(c1)Cc1ccccc1-2,118d66c0e53f510c51ed,17,0.08570659987136706,0.08570659987136706
CC(=O)c1ccc2c(c1)Cc1ccccc1-2,38aa81d53a6b39e9d8ef,17,0.08570659987136706,0.08570659987136706
