column,protocol,seed,target,variable,support,missingness,unique_levels,compound_levels,min,max,std,oof_residual_rank_corr,ratio_rank_corr,partial_source_rank_corr,compound_controlled_rank_corr,common_support_levels,note
25g,row,769539383,V1,EA_fraction,320,0.0,7,77,0.0196078431372549,1.0,0.3435169161322168,0.04188047554883205,-0.5174044747463076,0.24322468754803808,-0.21347751402896378,7,observational OOF association; no causal interpretation
25g,row,1425370602,V1,loading_amount,327,0.0,80,78,48.75,352.2,53.82879681190019,-0.105304798207898,-0.05004948602903555,-0.07958576251700009,0.021227065544071083,4,observational OOF association; no causal interpretation
25g,row,1425370602,V1,loading_solvent_volume,327,0.0,6,78,300.0,900.0,102.71223917139362,-0.15636343561650093,-0.060638098524587174,-0.10212343899478063,,2,observational OOF association; no causal interpretation
25g,row,1425370602,V2,EA_fraction,327,0.0,7,78,0.0196078431372549,1.0,0.3368916600764064,0.0997876110092346,-0.1373241804573285,0.14514750989905964,-0.048563897166107595,7,observational OOF association; no causal interpretation
25g,row,1425370602,V2,source_magnitude,327,0.0,325,78,0.3525278825324393,0.9741836358179342,0.11094960761796034,-0.013128960159243102,0.07524193167827208,,0.038125937893336626,0,observational OOF association; no causal interpretation
25g,row,1425370602,V2,source_width,327,0.0,325,78,1.7963569999999995,21.818364600000002,3.2964707311785215,-0.1417629116742405,-0.04644985264024984,-0.21823382796446525,0.031721879930777616,0,observational OOF association; no causal interpretation
25g,row,1425370602,V2,source_center,327,0.0,325,78,4.8763611,19.397289,2.612259343580921,-0.04696876488076155,0.04554621776639577,-0.12074353397425351,0.04413703517169787,0,observational OOF association; no causal interpretation
25g,row,1425370602,V2,loading_solvent,327,0.0,2,78,0.0,1.0,0.3967528988434705,0.13513723789083854,0.12354238122588443,0.06951536445262498,-0.02284737853158442,2,observational OOF association; no causal interpretation
25g,row,1425370602,V2,loading_amount,327,0.0,80,78,48.75,352.2,53.82879681190019,0.030628291261734518,0.05459372914307479,0.04529190958503389,0.06521188016218973,4,observational OOF association; no causal interpretation
25g,row,1425370602,V2,loading_solvent_volume,327,0.0,6,78,300.0,900.0,102.71223917139362,-0.22477916423256214,-0.23065548162311092,-0.05632291304702296,,2,observational OOF association; no causal interpretation
25g,row,536279090,V1,EA_fraction,326,0.0,7,77,0.0196078431372549,1.0,0.33713174717826083,0.030405169848583866,-0.5467076940024888,0.1658911435540523,-0.15346365047494026,7,observational OOF association; no causal interpretation
25g,row,536279090,V1,source_magnitude,326,0.0,325,77,0.3525278825324393,0.9741836358179342,0.116438660573959,0.12693213666929112,0.21805925575585378,,0.1583624055281756,0,observational OOF association; no causal interpretation
25g,row,536279090,V1,source_width,326,0.0,325,77,1.6459186,23.1617635,3.4728978565430086,0.16928550937438178,0.36657938586051075,0.12916652992510191,0.2548039584886388,0,observational OOF association; no causal interpretation
25g,row,536279090,V1,source_center,326,0.0,325,77,4.8763611,20.82877125,2.7897691129266873,0.13802132198599198,0.2617513247768192,0.17948419320903497,0.18896469158160112,0,observational OOF association; no causal interpretation
25g,row,536279090,V1,loading_solvent,326,0.0,2,77,0.0,1.0,0.4148255583896188,0.13145826636910662,0.1334226756095296,0.13244070748628295,-0.02016247539329386,2,observational OOF association; no causal interpretation
25g,row,536279090,V1,loading_amount,326,0.0,79,77,48.75,352.2,56.77324855875243,-0.1158974869477651,-0.044245702566668994,-0.1144696186507937,-0.007408303787509992,4,observational OOF association; no causal interpretation
25g,row,536279090,V1,loading_solvent_volume,326,0.0,6,77,300.0,900.0,99.69844252648625,-0.13455952912685332,-0.028253062829874356,-0.07352040503096997,,2,observational OOF association; no causal interpretation
25g,row,536279090,V2,EA_fraction,326,0.0,7,77,0.0196078431372549,1.0,0.33713174717826083,0.05889899601597888,-0.18530198621053234,0.16669609316287326,-0.030760901368036293,7,observational OOF association; no causal interpretation
25g,row,536279090,V2,source_magnitude,326,0.0,325,77,0.3525278825324393,0.9741836358179342,0.116438660573959,0.012655789051940687,0.04107303869949391,,0.0072965010582715034,0,observational OOF association; no causal interpretation
25g,row,536279090,V2,source_width,326,0.0,325,77,1.6459186,23.1617635,3.4728978565430086,-0.12227025230615596,-0.09430015840085226,-0.25080917091835614,-9.698188058084216e-06,0,observational OOF association; no causal interpretation
25g,row,536279090,V2,source_center,326,0.0,325,77,4.8763611,20.82877125,2.7897691129266873,-0.019306667876631153,0.010458976274855,-0.14137447050707463,0.013779047047382366,0,observational OOF association; no causal interpretation
25g,row,536279090,V2,loading_solvent,326,0.0,2,77,0.0,1.0,0.4148255583896188,0.07016869806790928,0.07299744737411838,0.006331704528421731,-0.04558971465834966,2,observational OOF association; no causal interpretation
25g,row,536279090,V2,loading_amount,326,0.0,79,77,48.75,352.2,56.77324855875243,0.05282676288540135,0.06538503312055247,0.06292859821610514,0.08836684146895192,4,observational OOF association; no causal interpretation
25g,row,536279090,V2,loading_solvent_volume,326,0.0,6,77,300.0,900.0,99.69844252648625,-0.20198314944417536,-0.2118150771521852,-0.04179209007122901,,2,observational OOF association; no causal interpretation
25g,row,2767143051,V1,EA_fraction,320,0.0,7,78,0.0196078431372549,1.0,0.34076929889944,0.03389890719162225,-0.4974237059711267,0.2509868339437462,-0.24678877389866313,7,observational OOF association; no causal interpretation
25g,row,2767143051,V1,source_magnitude,320,0.0,317,78,0.3525278825324393,1.1968594847882348,0.12001164331616596,0.28169026721491275,0.17100940741257475,,0.30016790132138615,0,observational OOF association; no causal interpretation
25g,row,2767143051,V1,source_width,320,0.0,317,78,1.6459186,23.1617635,3.4838451356693945,0.26251893215115363,0.3929823392086818,0.06671606291457463,0.37092797638487945,0,observational OOF association; no causal interpretation
25g,row,2767143051,V1,source_center,320,0.0,317,78,4.8763611,27.015292000000002,2.922231914276413,0.28179134244848675,0.23284730855605476,0.01737340441436993,0.321315465974016,0,observational OOF association; no causal interpretation
25g,row,2767143051,V1,loading_solvent,320,0.0,2,78,0.0,1.0,0.4112552241309525,0.06338025792870405,0.17928263745050024,0.19843283948988152,-0.03232697278957225,2,observational OOF association; no causal interpretation
25g,row,2767143051,V1,loading_amount,320,0.0,80,78,48.75,352.2,58.413641075817,-0.1595603653746588,-0.09227631302163322,-0.18941993161492113,0.015718850694587404,4,observational OOF association; no causal interpretation
25g,row,2767143051,V1,loading_solvent_volume,320,0.0,6,78,300.0,900.0,110.33993992997277,-0.17564864442635447,-0.03928510880293338,-0.2192334633730994,,2,observational OOF association; no causal interpretation
25g,row,2767143051,V2,EA_fraction,320,0.0,7,78,0.0196078431372549,1.0,0.34076929889944,0.025774786479772296,-0.13406635196902025,0.17795887904270705,-0.1259703451727968,7,observational OOF association; no causal interpretation
25g,row,2767143051,V2,source_magnitude,320,0.0,317,78,0.3525278825324393,1.1968594847882348,0.12001164331616596,0.1042576385730963,0.024882268867995862,,0.09434682778748456,0,observational OOF association; no causal interpretation
25g,row,2767143051,V2,source_width,320,0.0,317,78,1.6459186,23.1617635,3.4838451356693945,0.01755779347271955,-0.04686173759496236,-0.14167872962348085,0.1075837398570531,0,observational OOF association; no causal interpretation
25g,row,2767143051,V2,source_center,320,0.0,317,78,4.8763611,27.015292000000002,2.922231914276413,0.08337717990393956,0.005679073132784049,-0.10715348063645208,0.09710920232727582,0,observational OOF association; no causal interpretation
25g,row,2767143051,V2,loading_solvent,320,0.0,2,78,0.0,1.0,0.4112552241309525,0.09496756363230215,0.10187728675496426,0.13776828997093418,-0.02255724800542856,2,observational OOF association; no causal interpretation
25g,row,2767143051,V2,loading_amount,320,0.0,80,78,48.75,352.2,58.413641075817,0.005989257107023457,0.05532201981271763,0.0023974239731594884,0.07192543037031121,4,observational OOF association; no causal interpretation
25g,row,2767143051,V2,loading_solvent_volume,320,0.0,6,78,300.0,900.0,110.33993992997277,-0.17143370765006774,-0.21734853351340638,-0.14228188509339512,,2,observational OOF association; no causal interpretation
25g,row,1362771960,V1,EA_fraction,315,0.0,7,77,0.0196078431372549,1.0,0.34360126266237023,0.02066102540565449,-0.4872665698575499,0.1984821451110287,-0.31028695132547157,7,observational OOF association; no causal interpretation
25g,row,1362771960,V1,source_magnitude,315,0.0,314,77,0.3525278825324393,1.1968594847882348,0.12427044950577261,0.26052224889161435,0.1675512613644999,,0.3516606163779083,0,observational OOF association; no causal interpretation
25g,row,1362771960,V1,source_width,315,0.0,314,77,1.6459186,23.1617635,3.660802539336694,0.22419309308741586,0.36208946780247925,0.04294372357529915,0.40523602653008867,0,observational OOF association; no causal interpretation
25g,row,1362771960,V1,source_center,315,0.0,314,77,4.8763611,27.015292000000002,3.034196515613009,0.2556094585036523,0.21823600840004329,0.01993162367895101,0.37499408504727966,0,observational OOF association; no causal interpretation
25g,row,1362771960,V1,loading_solvent,315,0.0,2,77,0.0,1.0,0.41360096667825647,0.08592863970871241,0.17371428341898834,0.19054051732304847,0.012170405056396463,2,observational OOF association; no causal interpretation
25g,row,1362771960,V1,loading_amount,315,0.0,79,77,48.75,352.2,58.37646347989273,-0.08979584759001402,-0.054968876394977446,-0.118142127494321,-0.013298121805788031,4,observational OOF association; no causal interpretation
25g,row,1362771960,V1,loading_solvent_volume,315,0.0,6,77,300.0,900.0,93.8867085042481,-0.07235975085054702,-0.032545300064160954,-0.15969659411284923,,2,observational OOF association; no causal interpretation
25g,row,1362771960,V2,EA_fraction,315,0.0,7,77,0.0196078431372549,1.0,0.34360126266237023,0.01650165038616221,-0.13527865599636993,0.13222839061866726,-0.16942240235219633,7,observational OOF association; no causal interpretation
25g,row,1362771960,V2,source_magnitude,315,0.0,314,77,0.3525278825324393,1.1968594847882348,0.12427044950577261,0.09349159894990877,-0.006938798115164003,,0.13925003294616736,0,observational OOF association; no causal interpretation
25g,row,1362771960,V2,source_width,315,0.0,314,77,1.6459186,23.1617635,3.660802539336694,-0.003597440288778105,-0.09419764939719405,-0.1572522927682915,0.15939225864425424,0,observational OOF association; no causal interpretation
25g,row,1362771960,V2,source_center,315,0.0,314,77,4.8763611,27.015292000000002,3.034196515613009,0.07020153248268812,-0.031135327391542077,-0.10752238393959883,0.1486049206071777,0,observational OOF association; no causal interpretation
25g,row,1362771960,V2,loading_solvent,315,0.0,2,77,0.0,1.0,0.41360096667825647,0.09673302662690021,0.09943412335644716,0.11827707949661616,-0.043466745752968904,2,observational OOF association; no causal interpretation
25g,row,1362771960,V2,loading_amount,315,0.0,79,77,48.75,352.2,58.37646347989273,0.024529762218085883,0.06327230304274695,0.021732455447842546,0.03525317150793475,4,observational OOF association; no causal interpretation
25g,row,1362771960,V2,loading_solvent_volume,315,0.0,6,77,300.0,900.0,93.8867085042481,-0.12283463971435446,-0.20177668272496907,-0.10382128208433512,,2,observational OOF association; no causal interpretation
25g,compound,769539383,V1,EA_fraction,310,0.0,7,61,0.0196078431372549,1.0,0.33726671448324347,0.05001370671989712,-0.5043895933233894,0.16934612793459972,-0.21901210739891097,7,observational OOF association; no causal interpretation
25g,compound,769539383,V1,source_magnitude,310,0.0,310,61,0.3525278825324393,1.1968594847882348,0.11754538418403546,0.14312357317000715,0.15101422625659228,,0.16864604344511658,0,observational OOF association; no causal interpretation
25g,compound,769539383,V1,source_width,310,0.0,310,61,1.6459186,21.818364600000002,3.321669563395376,0.1811609600180459,0.3740068457628877,0.13865439169082688,0.25243947018347007,0,observational OOF association; no causal interpretation
25g,compound,769539383,V1,source_center,310,0.0,310,61,4.8763611,27.015292000000002,2.808573302186247,0.15129659635275317,0.20905477516633553,0.1291025484807502,0.19027051739989911,0,observational OOF association; no causal interpretation
25g,compound,769539383,V1,loading_solvent,310,0.0,2,61,0.0,1.0,0.35548328552144287,0.10515479133207908,0.14287666440395316,0.18379131198371038,,2,observational OOF association; no causal interpretation
25g,compound,769539383,V1,loading_amount,310,0.0,61,61,48.75,309.0,48.98790203929168,-0.10627705540595785,-0.016425545973963084,-0.092552740470261,-0.0265194127684341,2,observational OOF association; no causal interpretation
25g,compound,769539383,V1,loading_solvent_volume,310,0.0,3,61,300.0,600.0,52.99068302062841,-0.1684256168890436,-0.01541559599904804,0.06187711664281693,,1,observational OOF association; no causal interpretation
25g,compound,769539383,V2,EA_fraction,310,0.0,7,61,0.0196078431372549,1.0,0.33726671448324347,0.020783099125335665,-0.10990208926574654,0.09032117080873253,-0.10193590622092778,7,observational OOF association; no causal interpretation
25g,compound,769539383,V2,source_magnitude,310,0.0,310,61,0.3525278825324393,1.1968594847882348,0.11754538418403546,0.05328073972103365,0.01638209789702756,,-0.01904991123065629,0,observational OOF association; no causal interpretation
25g,compound,769539383,V2,source_width,310,0.0,310,61,1.6459186,21.818364600000002,3.321669563395376,-0.06130955677763758,-0.0735686887413484,-0.18436692805705407,0.006534591847318743,0,observational OOF association; no causal interpretation
25g,compound,769539383,V2,source_center,310,0.0,310,61,4.8763611,27.015292000000002,2.808573302186247,0.025466681033571227,-0.006990170419013457,-0.1740658574876916,-0.015949479518601286,0,observational OOF association; no causal interpretation
25g,compound,769539383,V2,loading_solvent,310,0.0,2,61,0.0,1.0,0.35548328552144287,0.029305433649923676,0.05323651441595133,0.11699809571379516,,2,observational OOF association; no causal interpretation
25g,compound,769539383,V2,loading_amount,310,0.0,61,61,48.75,309.0,48.98790203929168,0.015620192436430988,0.039635359529352716,-0.0021701410742752184,0.012403281202174491,2,observational OOF association; no causal interpretation
25g,compound,769539383,V2,loading_solvent_volume,310,0.0,3,61,300.0,600.0,52.99068302062841,-0.1549760873877497,-0.16585663079616378,0.03809559295202629,,1,observational OOF association; no causal interpretation
25g,compound,1425370602,V1,EA_fraction,318,0.0,7,61,0.0196078431372549,1.0,0.3410857744909824,0.030771959202233037,-0.5017700078845923,0.21986357357815137,-0.28928552687830583,7,observational OOF association; no causal interpretation
25g,compound,1425370602,V1,source_magnitude,318,0.0,318,61,0.3525278825324393,1.1968594847882348,0.1210007467879744,0.2888417785252744,0.17521926874407948,,0.3253178130350877,0,observational OOF association; no causal interpretation
25g,compound,1425370602,V1,source_width,318,0.0,318,61,1.6459186,21.818364600000002,3.4134938794384806,0.23389505662728322,0.37781692722798454,0.03188961546735817,0.35863013080091705,0,observational OOF association; no causal interpretation
25g,compound,1425370602,V1,source_center,318,0.0,318,61,4.8763611,27.015292000000002,2.90602760195295,0.2794849687070799,0.23380661585489299,-0.014094734993942554,0.3352496744577266,0,observational OOF association; no causal interpretation
25g,compound,1425370602,V1,loading_solvent,318,0.0,2,61,0.0,1.0,0.369841268628658,0.033715107123301814,0.17246574028458234,0.1839517688061186,,2,observational OOF association; no causal interpretation
25g,compound,1425370602,V1,loading_amount,318,0.0,62,61,48.75,352.2,55.994199165284826,-0.13704750291713655,-0.050104724569848005,-0.14394855209954477,-0.04849009208756808,3,observational OOF association; no causal interpretation
25g,compound,1425370602,V1,loading_solvent_volume,318,0.0,5,61,300.0,900.0,102.36175110014311,-0.22633465640789407,-0.08704943401117572,0.033397959779599626,,2,observational OOF association; no causal interpretation
25g,compound,1425370602,V2,EA_fraction,318,0.0,7,61,0.0196078431372549,1.0,0.3410857744909824,0.015313214333431555,-0.11246788774083313,0.1495359938083996,-0.13912942757958127,7,observational OOF association; no causal interpretation
25g,compound,1425370602,V2,source_magnitude,318,0.0,318,61,0.3525278825324393,1.1968594847882348,0.1210007467879744,0.14202412567247172,0.05299449446862676,,0.0993882100240712,0,observational OOF association; no causal interpretation
25g,compound,1425370602,V2,source_width,318,0.0,318,61,1.6459186,21.818364600000002,3.4134938794384806,0.0007834658296761334,-0.07885129243874313,-0.20630564048751393,0.07495168876162209,0,observational OOF association; no causal interpretation
25g,compound,1425370602,V2,source_center,318,0.0,318,61,4.8763611,27.015292000000002,2.90602760195295,0.1104884598785824,0.021456962835657456,-0.2132402180121015,0.09515088947347701,0,observational OOF association; no causal interpretation
25g,compound,1425370602,V2,loading_solvent,318,0.0,2,61,0.0,1.0,0.369841268628658,-0.022600236643092422,-0.018061664530340252,0.07761013628275225,,2,observational OOF association; no causal interpretation
25g,compound,1425370602,V2,loading_amount,318,0.0,62,61,48.75,352.2,55.994199165284826,0.010527904133486194,0.08695490834407445,0.013050984612611692,0.009952580633318364,3,observational OOF association; no causal interpretation
25g,compound,1425370602,V2,loading_solvent_volume,318,0.0,5,61,300.0,900.0,102.36175110014311,-0.24250579470762734,-0.2637724968733771,-0.010536206700638621,,2,observational OOF association; no causal interpretation
25g,compound,536279090,V1,EA_fraction,306,0.0,7,61,0.0196078431372549,1.0,0.3397643133332258,-0.01381205762483176,-0.4902362285418779,0.1945390790480768,-0.343606611490757,7,observational OOF association; no causal interpretation
25g,compound,536279090,V1,source_magnitude,306,0.0,306,61,0.3525278825324393,1.1968594847882348,0.12190236115805768,0.3349126824329348,0.2205696504051506,,0.3598911920190729,0,observational OOF association; no causal interpretation
25g,compound,536279090,V1,source_width,306,0.0,306,61,1.6459186,23.1617635,3.38880921461438,0.3158080447963882,0.4127271413718476,0.10033096807901354,0.4042763044236225,0,observational OOF association; no causal interpretation
25g,compound,536279090,V1,source_center,306,0.0,306,61,4.8763611,27.015292000000002,2.9546017142009107,0.3392553689388395,0.26893726893224323,0.045370792093202966,0.3756310747719818,0,observational OOF association; no causal interpretation
25g,compound,536279090,V1,loading_solvent,306,0.0,2,61,0.0,1.0,0.38396954487144164,0.0742379469864391,0.15170363079837554,0.23484787090464962,,2,observational OOF association; no causal interpretation
25g,compound,536279090,V1,loading_amount,306,0.0,62,61,48.75,352.2,58.672668652651815,-0.1385941426047582,-0.054587734444615725,-0.1274915006852851,-0.03632284017499638,3,observational OOF association; no causal interpretation
25g,compound,536279090,V1,loading_solvent_volume,306,0.0,4,61,300.0,900.0,110.65650946440944,-0.14347485153567652,0.0010651861792360191,0.10184456331793144,,2,observational OOF association; no causal interpretation
25g,compound,536279090,V2,EA_fraction,306,0.0,7,61,0.0196078431372549,1.0,0.3397643133332258,0.01473235196097239,-0.1570533765910382,0.1465211705443645,-0.17380657042404843,7,observational OOF association; no causal interpretation
25g,compound,536279090,V2,source_magnitude,306,0.0,306,61,0.3525278825324393,1.1968594847882348,0.12190236115805768,0.13355928370173298,0.060296080839555344,,0.11098225588093946,0,observational OOF association; no causal interpretation
25g,compound,536279090,V2,source_width,306,0.0,306,61,1.6459186,23.1617635,3.38880921461438,0.035631682052860665,-0.017398178366770434,-0.15480573817608426,0.09476366826967879,0,observational OOF association; no causal interpretation
25g,compound,536279090,V2,source_center,306,0.0,306,61,4.8763611,27.015292000000002,2.9546017142009107,0.11551340886651026,0.0451865137575295,-0.15637545454450272,0.10856946612681494,0,observational OOF association; no causal interpretation
25g,compound,536279090,V2,loading_solvent,306,0.0,2,61,0.0,1.0,0.38396954487144164,0.061712401096449376,0.03935911920046771,0.13194391656379542,,2,observational OOF association; no causal interpretation
25g,compound,536279090,V2,loading_amount,306,0.0,62,61,48.75,352.2,58.672668652651815,0.044085807664627386,0.09598051481601408,0.05161531478613767,0.008061995461761026,3,observational OOF association; no causal interpretation
25g,compound,536279090,V2,loading_solvent_volume,306,0.0,4,61,300.0,900.0,110.65650946440944,-0.2566383986393383,-0.25368794745900286,-0.023917024491219036,,2,observational OOF association; no causal interpretation
25g,compound,2767143051,V1,EA_fraction,334,0.0,7,61,0.0196078431372549,1.0,0.3390930545350999,0.029097566725479376,-0.4806800316742262,0.2093269393428467,-0.2967576543779246,7,observational OOF association; no causal interpretation
25g,compound,2767143051,V1,source_magnitude,334,0.0,331,61,0.3525278825324393,1.1968594847882348,0.1192231846845106,0.24383284512045886,0.1311964528860316,,0.28576512624573225,0,observational OOF association; no causal interpretation
25g,compound,2767143051,V1,source_width,334,0.0,331,61,1.6459186,21.818364600000002,3.3522791120138757,0.2137479491395527,0.3313087414462197,0.029808562739442383,0.3300116177515862,0,observational OOF association; no causal interpretation
25g,compound,2767143051,V1,source_center,334,0.0,331,61,4.8763611,27.015292000000002,2.859624298441458,0.24227919528733372,0.18773236610258037,0.009676172385243284,0.29828901252494167,0,observational OOF association; no causal interpretation
25g,compound,2767143051,V1,loading_solvent,334,0.0,2,61,0.0,1.0,0.4132712719878086,0.044519755823596706,0.14430411993116873,0.1451631980484088,,2,observational OOF association; no causal interpretation
25g,compound,2767143051,V1,loading_amount,334,0.0,65,61,48.75,352.2,58.537252011864254,-0.1404724175227142,-0.06038949799592331,-0.14810624369001285,-0.014148368127016009,2,observational OOF association; no causal interpretation
25g,compound,2767143051,V1,loading_solvent_volume,334,0.0,5,61,300.0,900.0,96.81220016705976,-0.14824670142658167,-0.09382796495187233,0.07088173090247246,,1,observational OOF association; no causal interpretation
25g,compound,2767143051,V2,EA_fraction,334,0.0,7,61,0.0196078431372549,1.0,0.3390930545350999,0.05565831459650146,-0.10662289446197097,0.16469525604586133,-0.1390272207718122,7,observational OOF association; no causal interpretation
25g,compound,2767143051,V2,source_magnitude,334,0.0,331,61,0.3525278825324393,1.1968594847882348,0.1192231846845106,0.06719020221522515,-0.028441389534298,,0.07122875778787718,0,observational OOF association; no causal interpretation
25g,compound,2767143051,V2,source_width,334,0.0,331,61,1.6459186,21.818364600000002,3.3522791120138757,-0.038998736451761544,-0.11595690006600291,-0.18052708955476174,0.06194518472821012,0,observational OOF association; no causal interpretation
25g,compound,2767143051,V2,source_center,334,0.0,331,61,4.8763611,27.015292000000002,2.859624298441458,0.04592767975811636,-0.04786201244836304,-0.11337714567891069,0.07033373438691223,0,observational OOF association; no causal interpretation
25g,compound,2767143051,V2,loading_solvent,334,0.0,2,61,0.0,1.0,0.4132712719878086,0.07765597914546363,0.09614013093045061,0.0926602042369997,,2,observational OOF association; no causal interpretation
25g,compound,2767143051,V2,loading_amount,334,0.0,65,61,48.75,352.2,58.537252011864254,-0.008543919647281517,0.07822593082703866,-0.003735329760486339,0.032210798755674154,2,observational OOF association; no causal interpretation
25g,compound,2767143051,V2,loading_solvent_volume,334,0.0,5,61,300.0,900.0,96.81220016705976,-0.1299632974015224,-0.15429822163211035,-0.009540260231516327,,1,observational OOF association; no causal interpretation
25g,compound,1362771960,V1,EA_fraction,311,0.0,7,61,0.0196078431372549,1.0,0.33959205784727126,0.055384024938858314,-0.44219919365790694,0.22121149258375689,-0.2644011094037859,7,observational OOF association; no causal interpretation
25g,compound,1362771960,V1,source_magnitude,311,0.0,311,61,0.3525278825324393,1.1968594847882348,0.11998063507896431,0.2330651145348791,0.1209011194178708,,0.22752970636817643,0,observational OOF association; no causal interpretation
25g,compound,1362771960,V1,source_width,311,0.0,311,61,1.6459186,18.3152463,3.2272472025626393,0.18069861887930555,0.3428099542817933,0.01764220117606696,0.2739273124251618,0,observational OOF association; no causal interpretation
25g,compound,1362771960,V1,source_center,311,0.0,311,61,4.8763611,27.015292000000002,2.8468172073289306,0.22646150654656,0.17876417224513894,-0.07353889239067125,0.23726936187384043,0,observational OOF association; no causal interpretation
25g,compound,1362771960,V1,loading_solvent,311,0.0,2,61,0.0,1.0,0.37315663219045675,0.05202118151821161,0.18850479797374098,0.2114311474232644,,2,observational OOF association; no causal interpretation
25g,compound,1362771960,V1,loading_amount,311,0.0,62,61,94.45,352.2,52.92853032111163,-0.1516486000984365,-0.05610742041814301,-0.1706150814230889,-0.02572782317514187,3,observational OOF association; no causal interpretation
25g,compound,1362771960,V1,loading_solvent_volume,311,0.0,3,61,300.0,500.0,32.43287719337429,-0.1739383121285938,-0.022896339548348587,0.15222407506402943,,1,observational OOF association; no causal interpretation
25g,compound,1362771960,V2,EA_fraction,311,0.0,7,61,0.0196078431372549,1.0,0.33959205784727126,0.03421439099763018,-0.072989878793601,0.1817250843752244,-0.16508188580083535,7,observational OOF association; no causal interpretation
25g,compound,1362771960,V2,source_magnitude,311,0.0,311,61,0.3525278825324393,1.1968594847882348,0.11998063507896431,0.15620467075710306,0.020721597663823577,,0.09516470027141699,0,observational OOF association; no causal interpretation
