column,candidate,reference,metric,mean_paired_delta,median_paired_delta,std,seed_wins,n
25g,P3,P0,V2_mae,0.23315702443715783,0.2450832289156626,0.3420303919492394,2,5
25g,P3,P0,V2_r2,-0.029939235965691723,-0.009551420269346633,0.06282223707194017,3,5
25g,P3,P0,combined_normalized_rmse,0.01104854642810118,0.014914847784223584,0.011550023614233197,1,5
40g,P1,P0,V1_rmse,-1.5890861552843791,-1.8908697094644786,0.630003391974553,5,5
40g,P1,P0,V1_mae,-1.8834996807318014,-1.8283782299999984,0.2905348996622574,5,5
40g,P1,P0,V1_r2,0.07317056809687775,0.07847792363236517,0.02608101314283056,0,5
40g,P1,P0,V2_rmse,-1.750727680319337,-1.3977880013860648,0.6455270858921165,5,5
40g,P1,P0,V2_mae,-1.9280328649521077,-1.8717409000000007,0.5996092424346134,5,5
40g,P1,P0,V2_r2,0.04901921521644823,0.04233265829359678,0.01900650051356668,0,5
40g,P1,P0,combined_normalized_rmse,-0.05326029995249254,-0.05556750898509455,0.019181473903304935,5,5
40g,P2,P1,V1_rmse,1.6730690890049391,1.771901996472078,1.092652420775174,0,5
40g,P2,P1,V1_mae,1.2110823018544068,1.2707739166666663,0.4716434084436218,0,5
40g,P2,P1,V1_r2,-0.07586654930308537,-0.07571009655396965,0.050310349140860196,5,5
40g,P2,P1,V2_rmse,2.1072007487526174,2.4038499676417118,0.9516939696746431,0,5
40g,P2,P1,V2_mae,1.978746198618775,2.1688250600000014,0.6799627347197167,0,5
40g,P2,P1,V2_r2,-0.058981415505089375,-0.057413136692824995,0.028490714699634098,5,5
40g,P2,P1,combined_normalized_rmse,0.05950393299651809,0.06678772809238143,0.03262365830134446,0,5
40g,P2,P0,V1_rmse,0.08398293372056002,0.22384512351703023,0.6428210159245769,2,5
40g,P2,P0,V1_mae,-0.6724173788773946,-0.7395440599999983,0.36342585774866787,5,5
40g,P2,P0,V1_r2,-0.0026959812062076205,-0.010741295018897423,0.03556593389670167,3,5
40g,P2,P0,V2_rmse,0.35647306843328047,0.574815496801218,0.6716440945022061,1,5
40g,P2,P0,V2_mae,0.05071333366666728,0.2970841600000007,0.8001358258873138,2,5
40g,P2,P0,V2_r2,-0.009962200288641143,-0.017720344907065422,0.020693483321240786,4,5
40g,P2,P0,combined_normalized_rmse,0.006243633044025554,0.012841269954115608,0.0198233061810878,2,5
40g,P3,P2,V1_rmse,-1.5530385527556114,-1.773967105898059,1.4514799968630279,4,5
40g,P3,P2,V1_mae,-1.281222773159962,-1.0834252222222212,1.0143555138376368,5,5
40g,P3,P2,V1_r2,0.06610018417657038,0.08974527278038347,0.06250504021059936,1,5
40g,P3,P2,V2_rmse,-1.7731758280888275,-1.2852056562207768,2.228260837296457,4,5
40g,P3,P2,V2_mae,-1.856277010090039,-1.4903060799999999,1.9177932477498827,4,5
40g,P3,P2,V2_r2,0.04413904049743407,0.04262766406275975,0.05612331323543772,1,5
40g,P3,P2,combined_normalized_rmse,-0.05340091842501114,-0.050471548220037576,0.05001345241943382,4,5
40g,P3,P0,V1_rmse,-1.4690556190350512,-0.8610565718087688,1.2916396416805616,5,5
40g,P3,P0,V1_mae,-1.9536401520373565,-1.4289622333333316,1.0544202002873986,5,5
40g,P3,P0,V1_r2,0.06340420297036276,0.042196592741757466,0.04953425641305157,0,5
40g,P3,P0,V2_rmse,-1.416702759655547,-0.7103901594195587,2.185331881166565,3,5
40g,P3,P0,V2_mae,-1.8055636764233718,-1.9193770777777779,1.3268014310080327,4,5
40g,P3,P0,V2_r2,0.03417684020879293,0.023155293984788772,0.0532889295691943,2,5
40g,P3,P0,combined_normalized_rmse,-0.04715728538098559,-0.025489554110210533,0.04558422169170083,5,5
