column,protocol,seed,method,V1_rmse,V1_mae,V1_r2,V2_rmse,V2_mae,V2_r2,combined_normalized_rmse,normalized_rmse,nrmse,combined_nrmse,all_outputs_finite,Center_rmse,Width_rmse,Var_eC,Var_eW,Cov_eC_eW
25g,compound,536279090,M3_CENTER_WIDTH_FULL,5.8478554966256375,3.9620118713777095,0.5524857218231966,7.733379445384753,6.180716349130538,0.7637050453483767,0.6253702621225713,0.6253702621225713,0.6115908644983273,0.6115908644983273,True,6.136699021868869,6.113006099408279,36.65970939852084,29.854860488283883,10.063577110700981
25g,compound,536279090,HIER_CW_25G_40G,5.856513927725508,3.9645216032254242,0.5511595467590892,7.7115967995452515,6.156229188613793,0.7650343168203396,0.6255023642724443,0.6255023642724443,0.611462812974258,0.611462812974258,True,6.142229887678371,6.052025214458466,36.91561410960631,29.623923744039445,10.201264990149024
25g,compound,536279090,HIER_CW_8G_25G_40G,5.87060057260437,4.0053654919725705,0.5489977624357305,8.056364164045537,6.446301580453064,0.7435551468699273,0.6349019066081143,0.6349019066081143,0.623079380097002,0.623079380097002,True,6.2911206639641275,6.358074584285248,37.80448255462401,30.335875887310635,10.990225193484365
25g,compound,536279090,M3_LATENT_RESIDUAL_RIDGE,6.474938564546509,4.4382802497509335,0.4513631988991369,8.228235962467496,6.5227744567018675,0.7324966135882323,0.6845415654101262,0.6845415654101262,0.6667727913478834,0.6667727913478834,True,6.754509754112439,6.063314676296258,43.22714277422933,29.894186855598882,8.832261404783187
25g,compound,536279090,M3_LATENT_TINY_ADAPTER,5.852272747664593,3.962705811281091,0.5518093954313235,7.743840790326762,6.1868780682585545,0.7630653159719326,0.6259531877946194,0.6259531877946194,0.6121965202548416,0.6121965202548416,True,6.141142691171844,6.130073309891096,36.70092209089204,29.94495023767091,10.078721982408016
25g,compound,2767143051,M3_CENTER_WIDTH_FULL,6.294244470752142,4.356314517343579,0.6658337747376434,8.975071975055227,6.477077387585398,0.7864906091270394,0.6891095822415257,0.6891095822415257,0.6785344887200776,0.6785344887200776,True,7.374646207261437,4.774644918832118,49.63099718897816,22.079431035047545,18.61984425588455
25g,compound,2767143051,HIER_CW_25G_40G,5.983554646978793,4.215525350808216,0.698009095929793,8.185530566185342,5.953320039445337,0.8224033495422716,0.6464841078185782,0.6464841078185782,0.634264067167576,0.634264067167576,True,6.809975955475717,4.4842595453477525,40.06580372998629,19.27841453525902,13.311249916045886
25g,compound,2767143051,HIER_CW_8G_25G_40G,5.825828092719165,4.186040048977425,0.7137202234175017,7.724170727263472,5.819554518173103,0.8418588727237822,0.623491655690966,0.623491655690966,0.6099067231993524,0.6099067231993524,True,6.477990843831994,4.3987170048293525,37.723056956126946,19.182662465733603,12.022065683080273
25g,compound,2767143051,M3_LATENT_RESIDUAL_RIDGE,6.037825683903304,4.191245827085812,0.6925061176865378,8.452172763140375,6.004712373933482,0.8106445399930039,0.6570981285855089,0.6570981285855089,0.6460007231027037,0.6460007231027037,True,6.960800227801088,4.688087837159856,44.04314996662755,21.730989332978567,16.44793378766414
25g,compound,2767143051,M3_LATENT_TINY_ADAPTER,6.294517435125607,4.356446552980753,0.6658047903368562,8.975194520513723,6.477007363296179,0.7864847785810792,0.6891327478107762,0.6891327478107762,0.6785556208644297,0.6785556208644297,True,7.374840174928543,4.774626940543042,49.630490629492535,22.078429778968516,18.617504282830737
