column,protocol,seed,method,stratum,rows,combined_normalized_rmse
25g,compound,1425370602,M3_LATENT_RESIDUAL_RIDGE,high,18,1.0539207803020527
25g,compound,1425370602,M3_LATENT_TINY_ADAPTER,low,37,0.5064263912198368
25g,compound,1425370602,M3_LATENT_TINY_ADAPTER,mid,29,0.7526030529637131
25g,compound,1425370602,M3_LATENT_TINY_ADAPTER,high,18,1.0097477224261209
25g,compound,536279090,M3_CENTER_WIDTH_FULL,low,49,0.3394966519136186
25g,compound,536279090,M3_CENTER_WIDTH_FULL,mid,37,0.734091369790992
25g,compound,536279090,M3_CENTER_WIDTH_FULL,high,9,1.1336656691244282
25g,compound,536279090,HIER_CW_25G_40G,low,49,0.33430285090276063
25g,compound,536279090,HIER_CW_25G_40G,mid,37,0.7441697983677952
25g,compound,536279090,HIER_CW_25G_40G,high,9,1.11568174657787
25g,compound,536279090,HIER_CW_8G_25G_40G,low,49,0.34925266681084205
25g,compound,536279090,HIER_CW_8G_25G_40G,mid,37,0.7641724811365641
25g,compound,536279090,HIER_CW_8G_25G_40G,high,9,1.0909294005908576
25g,compound,536279090,M3_LATENT_RESIDUAL_RIDGE,low,49,0.3867604091667576
25g,compound,536279090,M3_LATENT_RESIDUAL_RIDGE,mid,37,0.8584116056072946
25g,compound,536279090,M3_LATENT_RESIDUAL_RIDGE,high,9,1.0500224696523284
25g,compound,536279090,M3_LATENT_TINY_ADAPTER,low,49,0.3402208672478581
25g,compound,536279090,M3_LATENT_TINY_ADAPTER,mid,37,0.7346761433166297
25g,compound,536279090,M3_LATENT_TINY_ADAPTER,high,9,1.134321939494738
25g,compound,2767143051,M3_CENTER_WIDTH_FULL,low,33,0.3292393110995966
25g,compound,2767143051,M3_CENTER_WIDTH_FULL,mid,19,0.5070315762076122
25g,compound,2767143051,M3_CENTER_WIDTH_FULL,high,16,1.2203894474112065
25g,compound,2767143051,HIER_CW_25G_40G,low,33,0.30207838255636804
25g,compound,2767143051,HIER_CW_25G_40G,mid,19,0.5218126772545901
25g,compound,2767143051,HIER_CW_25G_40G,high,16,1.1245904881452022
25g,compound,2767143051,HIER_CW_8G_25G_40G,low,33,0.3247114960151676
25g,compound,2767143051,HIER_CW_8G_25G_40G,mid,19,0.5089972431231384
25g,compound,2767143051,HIER_CW_8G_25G_40G,high,16,1.0616178816966173
25g,compound,2767143051,M3_LATENT_RESIDUAL_RIDGE,low,33,0.3019901035490835
25g,compound,2767143051,M3_LATENT_RESIDUAL_RIDGE,mid,19,0.5152249860252069
25g,compound,2767143051,M3_LATENT_RESIDUAL_RIDGE,high,16,1.1540062541727767
25g,compound,2767143051,M3_LATENT_TINY_ADAPTER,low,33,0.3291994356663916
25g,compound,2767143051,M3_LATENT_TINY_ADAPTER,mid,19,0.5070739420197198
25g,compound,2767143051,M3_LATENT_TINY_ADAPTER,high,16,1.2204463238325307
25g,compound,1362771960,M3_CENTER_WIDTH_FULL,low,42,0.428457093544353
25g,compound,1362771960,M3_CENTER_WIDTH_FULL,mid,28,0.4959085082340839
25g,compound,1362771960,M3_CENTER_WIDTH_FULL,high,21,1.3087386446742995
25g,compound,1362771960,HIER_CW_25G_40G,low,42,0.4378998610717959
25g,compound,1362771960,HIER_CW_25G_40G,mid,28,0.5184023760903794
25g,compound,1362771960,HIER_CW_25G_40G,high,21,1.2018598325406373
25g,compound,1362771960,HIER_CW_8G_25G_40G,low,42,0.46894289328076555
25g,compound,1362771960,HIER_CW_8G_25G_40G,mid,28,0.5385603644134731
25g,compound,1362771960,HIER_CW_8G_25G_40G,high,21,1.1528355173716023
25g,compound,1362771960,M3_LATENT_RESIDUAL_RIDGE,low,42,0.4445029717676591
25g,compound,1362771960,M3_LATENT_RESIDUAL_RIDGE,mid,28,0.6149916006171149
25g,compound,1362771960,M3_LATENT_RESIDUAL_RIDGE,high,21,1.3255268676560827
25g,compound,1362771960,M3_LATENT_TINY_ADAPTER,low,42,0.42033216807834695
25g,compound,1362771960,M3_LATENT_TINY_ADAPTER,mid,28,0.5164781492718242
25g,compound,1362771960,M3_LATENT_TINY_ADAPTER,high,21,1.3244040957663135
25g,row,769539383,M3_CENTER_WIDTH_FULL,low,40,0.32167537640453653
25g,row,769539383,M3_CENTER_WIDTH_FULL,mid,25,0.9790781632434923
25g,row,769539383,M3_CENTER_WIDTH_FULL,high,18,1.0799084952755915
25g,row,769539383,HIER_CW_25G_40G,low,40,0.30523658170779705
25g,row,769539383,HIER_CW_25G_40G,mid,25,1.0531648394453346
25g,row,769539383,HIER_CW_25G_40G,high,18,1.0113488165581277
25g,row,769539383,HIER_CW_8G_25G_40G,low,40,0.3179810450370391
25g,row,769539383,HIER_CW_8G_25G_40G,mid,25,1.0938414152572615
25g,row,769539383,HIER_CW_8G_25G_40G,high,18,0.9595723832347857
25g,row,769539383,M3_LATENT_RESIDUAL_RIDGE,low,40,0.3121885813794429
25g,row,769539383,M3_LATENT_RESIDUAL_RIDGE,mid,25,1.03072220730639
25g,row,769539383,M3_LATENT_RESIDUAL_RIDGE,high,18,1.0445154779736325
25g,row,769539383,M3_LATENT_TINY_ADAPTER,low,40,0.31060760040461666
25g,row,769539383,M3_LATENT_TINY_ADAPTER,mid,25,1.02873661631506
25g,row,769539383,M3_LATENT_TINY_ADAPTER,high,18,1.0544969883466573
25g,row,1425370602,M3_CENTER_WIDTH_FULL,low,29,1.5288098921393096
25g,row,1425370602,M3_CENTER_WIDTH_FULL,mid,34,0.7221099725084932
25g,row,1425370602,M3_CENTER_WIDTH_FULL,high,11,0.4954789259649596
25g,row,1425370602,HIER_CW_25G_40G,low,29,1.5965321493741644
25g,row,1425370602,HIER_CW_25G_40G,mid,34,0.7593871039216452
25g,row,1425370602,HIER_CW_25G_40G,high,11,0.5390701903739828
25g,row,1425370602,HIER_CW_8G_25G_40G,low,29,1.653987596579418
25g,row,1425370602,HIER_CW_8G_25G_40G,mid,34,0.8011346429691701
25g,row,1425370602,HIER_CW_8G_25G_40G,high,11,0.5869302525737425
25g,row,1425370602,M3_LATENT_RESIDUAL_RIDGE,low,29,1.4171964043518628
25g,row,1425370602,M3_LATENT_RESIDUAL_RIDGE,mid,34,0.682139165851491
25g,row,1425370602,M3_LATENT_RESIDUAL_RIDGE,high,11,0.45703767645799354
25g,row,1425370602,M3_LATENT_TINY_ADAPTER,low,29,1.529024667901424
25g,row,1425370602,M3_LATENT_TINY_ADAPTER,mid,34,0.7231859533581092
25g,row,1425370602,M3_LATENT_TINY_ADAPTER,high,11,0.4947090255173604
25g,row,536279090,M3_CENTER_WIDTH_FULL,low,35,1.4574627062008119
25g,row,536279090,M3_CENTER_WIDTH_FULL,mid,28,0.8682852559939995
25g,row,536279090,M3_CENTER_WIDTH_FULL,high,11,0.9101313126865488
25g,row,536279090,HIER_CW_25G_40G,low,35,1.4337752334924019
25g,row,536279090,HIER_CW_25G_40G,mid,28,0.8855568229916665
25g,row,536279090,HIER_CW_25G_40G,high,11,0.8669189061732805
25g,row,536279090,HIER_CW_8G_25G_40G,low,35,1.4649917516420696
25g,row,536279090,HIER_CW_8G_25G_40G,mid,28,0.8985029983981375
25g,row,536279090,HIER_CW_8G_25G_40G,high,11,0.842794633478925
25g,row,536279090,M3_LATENT_RESIDUAL_RIDGE,low,35,1.3236224357518143
25g,row,536279090,M3_LATENT_RESIDUAL_RIDGE,mid,28,0.8452816777278741
25g,row,536279090,M3_LATENT_RESIDUAL_RIDGE,high,11,1.0025398596472133
25g,row,536279090,M3_LATENT_TINY_ADAPTER,low,35,1.3496813637838212
25g,row,536279090,M3_LATENT_TINY_ADAPTER,mid,28,0.857567720477723
25g,row,536279090,M3_LATENT_TINY_ADAPTER,high,11,1.0325806765189474
25g,row,2767143051,M3_CENTER_WIDTH_FULL,low,37,0.5316301009700056
25g,row,2767143051,M3_CENTER_WIDTH_FULL,mid,27,0.6550350645597097
25g,row,2767143051,M3_CENTER_WIDTH_FULL,high,19,1.166282763218202
25g,row,2767143051,HIER_CW_25G_40G,low,37,0.4182290648120641
25g,row,2767143051,HIER_CW_25G_40G,mid,27,0.57443407754003
25g,row,2767143051,HIER_CW_25G_40G,high,19,1.16905814557956
25g,row,2767143051,HIER_CW_8G_25G_40G,low,37,0.4533176940118093
25g,row,2767143051,HIER_CW_8G_25G_40G,mid,27,0.5977303200001572
25g,row,2767143051,HIER_CW_8G_25G_40G,high,19,1.1306892626216642
25g,row,2767143051,M3_LATENT_RESIDUAL_RIDGE,low,37,0.43411285791934373
25g,row,2767143051,M3_LATENT_RESIDUAL_RIDGE,mid,27,0.5651755080798128
25g,row,2767143051,M3_LATENT_RESIDUAL_RIDGE,high,19,1.1783559784836357
25g,row,2767143051,M3_LATENT_TINY_ADAPTER,low,37,0.3906299355209914
25g,row,2767143051,M3_LATENT_TINY_ADAPTER,mid,27,0.5895780399369493
25g,row,2767143051,M3_LATENT_TINY_ADAPTER,high,19,1.2365744540112433
25g,row,1362771960,M3_CENTER_WIDTH_FULL,low,45,0.39835574583010047
25g,row,1362771960,M3_CENTER_WIDTH_FULL,mid,25,0.5496538444582497
25g,row,1362771960,M3_CENTER_WIDTH_FULL,high,16,1.1138837047235535
25g,row,1362771960,HIER_CW_25G_40G,low,45,0.369842350372913
25g,row,1362771960,HIER_CW_25G_40G,mid,25,0.5457990232399276
25g,row,1362771960,HIER_CW_25G_40G,high,16,1.0718766248510538
25g,row,1362771960,HIER_CW_8G_25G_40G,low,45,0.3940900823299744
25g,row,1362771960,HIER_CW_8G_25G_40G,mid,25,0.5482175437761292
25g,row,1362771960,HIER_CW_8G_25G_40G,high,16,1.0249776772773795
25g,row,1362771960,M3_LATENT_RESIDUAL_RIDGE,low,45,0.3409224867566777
25g,row,1362771960,M3_LATENT_RESIDUAL_RIDGE,mid,25,0.60266488330232
25g,row,1362771960,M3_LATENT_RESIDUAL_RIDGE,high,16,1.1050839345176897
25g,row,1362771960,M3_LATENT_TINY_ADAPTER,low,45,0.39790773882679786
25g,row,1362771960,M3_LATENT_TINY_ADAPTER,mid,25,0.549771514455896
25g,row,1362771960,M3_LATENT_TINY_ADAPTER,high,16,1.1141152333704465
40g,compound,769539383,M3_CENTER_WIDTH_FULL,low,34,0.853250203601968
40g,compound,769539383,M3_CENTER_WIDTH_FULL,mid,30,1.271873502354499
40g,compound,769539383,M3_CENTER_WIDTH_FULL,high,18,2.716962265428567
40g,compound,769539383,HIER_CW_25G_40G,low,34,0.7340438057643904
40g,compound,769539383,HIER_CW_25G_40G,mid,30,1.3448328353815633
40g,compound,769539383,HIER_CW_25G_40G,high,18,2.697125455628871
40g,compound,769539383,HIER_CW_8G_25G_40G,low,34,0.7373223649531627
40g,compound,769539383,HIER_CW_8G_25G_40G,mid,30,1.3273402990650311
40g,compound,769539383,HIER_CW_8G_25G_40G,high,18,2.6921044623488175
40g,compound,769539383,M3_LATENT_RESIDUAL_RIDGE,low,34,0.6570303770492033
40g,compound,769539383,M3_LATENT_RESIDUAL_RIDGE,mid,30,1.2650664114545658
40g,compound,769539383,M3_LATENT_RESIDUAL_RIDGE,high,18,2.6898438957461974
40g,compound,769539383,M3_LATENT_TINY_ADAPTER,low,34,0.6566021949913232
40g,compound,769539383,M3_LATENT_TINY_ADAPTER,mid,30,1.2451936264754233
40g,compound,769539383,M3_LATENT_TINY_ADAPTER,high,18,2.725875381810861
40g,compound,1425370602,M3_CENTER_WIDTH_FULL,low,50,1.0964046431579664
40g,compound,1425370602,M3_CENTER_WIDTH_FULL,mid,22,1.2273984286748136
40g,compound,1425370602,M3_CENTER_WIDTH_FULL,high,14,3.0399547944914196
40g,compound,1425370602,HIER_CW_25G_40G,low,50,1.074825351200291
40g,compound,1425370602,HIER_CW_25G_40G,mid,22,1.2092154880720611
40g,compound,1425370602,HIER_CW_25G_40G,high,14,2.9786078806285867
40g,compound,1425370602,HIER_CW_8G_25G_40G,low,50,1.0701241650629318
40g,compound,1425370602,HIER_CW_8G_25G_40G,mid,22,1.2078818733104817
40g,compound,1425370602,HIER_CW_8G_25G_40G,high,14,2.9735770524704885
40g,compound,1425370602,M3_LATENT_RESIDUAL_RIDGE,low,50,1.0588413226925066
40g,compound,1425370602,M3_LATENT_RESIDUAL_RIDGE,mid,22,1.2651989609225878
40g,compound,1425370602,M3_LATENT_RESIDUAL_RIDGE,high,14,3.019377897433484
40g,compound,1425370602,M3_LATENT_TINY_ADAPTER,low,50,1.1606351665596826
40g,compound,1425370602,M3_LATENT_TINY_ADAPTER,mid,22,1.3809138009195077
40g,compound,1425370602,M3_LATENT_TINY_ADAPTER,high,14,2.911459558874606
40g,compound,536279090,M3_CENTER_WIDTH_FULL,low,43,1.0035401534184933
40g,compound,536279090,M3_CENTER_WIDTH_FULL,mid,24,2.293591814437978
40g,compound,536279090,M3_CENTER_WIDTH_FULL,high,23,3.0549307741330396
40g,compound,536279090,HIER_CW_25G_40G,low,43,0.8423429838585251
40g,compound,536279090,HIER_CW_25G_40G,mid,24,2.394894617626798
40g,compound,536279090,HIER_CW_25G_40G,high,23,2.855363326938632
40g,compound,536279090,HIER_CW_8G_25G_40G,low,43,0.8595126467691285
40g,compound,536279090,HIER_CW_8G_25G_40G,mid,24,2.3756638856955354
40g,compound,536279090,HIER_CW_8G_25G_40G,high,23,2.8734494639095898
40g,compound,536279090,M3_LATENT_RESIDUAL_RIDGE,low,43,0.6844684496081288
40g,compound,536279090,M3_LATENT_RESIDUAL_RIDGE,mid,24,2.437029253821394
40g,compound,536279090,M3_LATENT_RESIDUAL_RIDGE,high,23,2.8209804467116935
40g,compound,536279090,M3_LATENT_TINY_ADAPTER,low,43,0.7492616078666356
40g,compound,536279090,M3_LATENT_TINY_ADAPTER,mid,24,2.4564861387930588
40g,compound,536279090,M3_LATENT_TINY_ADAPTER,high,23,2.8681015604059517
40g,compound,2767143051,M3_CENTER_WIDTH_FULL,low,45,1.1851547922533394
40g,compound,2767143051,M3_CENTER_WIDTH_FULL,mid,27,0.9516866405645401
40g,compound,2767143051,M3_CENTER_WIDTH_FULL,high,17,2.7717085780449846
40g,compound,2767143051,HIER_CW_25G_40G,low,45,1.0106349416864298
40g,compound,2767143051,HIER_CW_25G_40G,mid,27,0.9780342907664722
40g,compound,2767143051,HIER_CW_25G_40G,high,17,2.7052718541270293
40g,compound,2767143051,HIER_CW_8G_25G_40G,low,45,1.0379428116105478
40g,compound,2767143051,HIER_CW_8G_25G_40G,mid,27,0.9741521489712583
40g,compound,2767143051,HIER_CW_8G_25G_40G,high,17,2.704763169569037
40g,compound,2767143051,M3_LATENT_RESIDUAL_RIDGE,low,45,1.0398704669713703
40g,compound,2767143051,M3_LATENT_RESIDUAL_RIDGE,mid,27,1.088736100218811
40g,compound,2767143051,M3_LATENT_RESIDUAL_RIDGE,high,17,2.588388992758271
40g,compound,2767143051,M3_LATENT_TINY_ADAPTER,low,45,0.8787646005192521
40g,compound,2767143051,M3_LATENT_TINY_ADAPTER,mid,27,1.1658221075183917
40g,compound,2767143051,M3_LATENT_TINY_ADAPTER,high,17,2.5626850374577583
40g,compound,1362771960,M3_CENTER_WIDTH_FULL,low,49,1.258299466222305
40g,compound,1362771960,M3_CENTER_WIDTH_FULL,mid,25,1.212040253034052
40g,compound,1362771960,M3_CENTER_WIDTH_FULL,high,20,2.9794342331290586
40g,compound,1362771960,HIER_CW_25G_40G,low,49,1.0343545831893524
40g,compound,1362771960,HIER_CW_25G_40G,mid,25,1.0489210205908732
40g,compound,1362771960,HIER_CW_25G_40G,high,20,2.821586342052766
40g,compound,1362771960,HIER_CW_8G_25G_40G,low,49,1.0678031256633123
40g,compound,1362771960,HIER_CW_8G_25G_40G,mid,25,1.0674403630612965
40g,compound,1362771960,HIER_CW_8G_25G_40G,high,20,2.830321200288504
40g,compound,1362771960,M3_LATENT_RESIDUAL_RIDGE,low,49,1.020528429916654
40g,compound,1362771960,M3_LATENT_RESIDUAL_RIDGE,mid,25,1.086574300383923
40g,compound,1362771960,M3_LATENT_RESIDUAL_RIDGE,high,20,2.796980411316301
40g,compound,1362771960,M3_LATENT_TINY_ADAPTER,low,49,0.9913052047926607
40g,compound,1362771960,M3_LATENT_TINY_ADAPTER,mid,25,1.115468283754149
40g,compound,1362771960,M3_LATENT_TINY_ADAPTER,high,20,2.650340949714316
40g,row,769539383,M3_CENTER_WIDTH_FULL,low,40,0.7561594304840548
40g,row,769539383,M3_CENTER_WIDTH_FULL,mid,27,2.275986517536522
40g,row,769539383,M3_CENTER_WIDTH_FULL,high,20,1.9592222979502594
40g,row,769539383,HIER_CW_25G_40G,low,40,0.7788859151151383
40g,row,769539383,HIER_CW_25G_40G,mid,27,2.216776849692084
40g,row,769539383,HIER_CW_25G_40G,high,20,1.9678153244770331
40g,row,769539383,HIER_CW_8G_25G_40G,low,40,0.7806468417896835
40g,row,769539383,HIER_CW_8G_25G_40G,mid,27,2.214332079988762
40g,row,769539383,HIER_CW_8G_25G_40G,high,20,1.9860043794849558
40g,row,769539383,M3_LATENT_RESIDUAL_RIDGE,low,40,0.6917939551196087
40g,row,769539383,M3_LATENT_RESIDUAL_RIDGE,mid,27,2.2661285414743997
40g,row,769539383,M3_LATENT_RESIDUAL_RIDGE,high,20,1.9172197489754954
40g,row,769539383,M3_LATENT_TINY_ADAPTER,low,40,0.5931026321779503
40g,row,769539383,M3_LATENT_TINY_ADAPTER,mid,27,2.248338388058889
40g,row,769539383,M3_LATENT_TINY_ADAPTER,high,20,1.8781837354472135
40g,row,1425370602,M3_CENTER_WIDTH_FULL,low,54,1.0928111269144545
40g,row,1425370602,M3_CENTER_WIDTH_FULL,mid,26,2.246115967367951
40g,row,1425370602,M3_CENTER_WIDTH_FULL,high,16,2.4108115053886223
40g,row,1425370602,HIER_CW_25G_40G,low,54,1.0907035340222602
40g,row,1425370602,HIER_CW_25G_40G,mid,26,2.2409671554866475
40g,row,1425370602,HIER_CW_25G_40G,high,16,2.414379838337669
40g,row,1425370602,HIER_CW_8G_25G_40G,low,54,1.0978976662752542
40g,row,1425370602,HIER_CW_8G_25G_40G,mid,26,2.231198936777465
40g,row,1425370602,HIER_CW_8G_25G_40G,high,16,2.4113457505934774
40g,row,1425370602,M3_LATENT_RESIDUAL_RIDGE,low,54,0.9874388411880373
40g,row,1425370602,M3_LATENT_RESIDUAL_RIDGE,mid,26,2.3018931342673348
40g,row,1425370602,M3_LATENT_RESIDUAL_RIDGE,high,16,2.4177779626833633
40g,row,1425370602,M3_LATENT_TINY_ADAPTER,low,54,0.9729406646735954
40g,row,1425370602,M3_LATENT_TINY_ADAPTER,mid,26,2.3265236142276606
40g,row,1425370602,M3_LATENT_TINY_ADAPTER,high,16,2.3675806383906313
40g,row,536279090,M3_CENTER_WIDTH_FULL,low,53,0.847031530969136
40g,row,536279090,M3_CENTER_WIDTH_FULL,mid,35,1.0749013292910332
40g,row,536279090,M3_CENTER_WIDTH_FULL,high,12,1.9563300152192107
40g,row,536279090,HIER_CW_25G_40G,low,53,0.8740423422086265
40g,row,536279090,HIER_CW_25G_40G,mid,35,1.0489181396656808
40g,row,536279090,HIER_CW_25G_40G,high,12,1.976596216226649
40g,row,536279090,HIER_CW_8G_25G_40G,low,53,0.9188395529593028
40g,row,536279090,HIER_CW_8G_25G_40G,mid,35,1.0340645669068365
40g,row,536279090,HIER_CW_8G_25G_40G,high,12,1.9879147103754777
40g,row,536279090,M3_LATENT_RESIDUAL_RIDGE,low,53,0.7873315168448607
40g,row,536279090,M3_LATENT_RESIDUAL_RIDGE,mid,35,0.9656803591564782
40g,row,536279090,M3_LATENT_RESIDUAL_RIDGE,high,12,1.8250096192004326
40g,row,536279090,M3_LATENT_TINY_ADAPTER,low,53,0.8466709329706124
40g,row,536279090,M3_LATENT_TINY_ADAPTER,mid,35,1.0744103180627074
40g,row,536279090,M3_LATENT_TINY_ADAPTER,high,12,1.9565604184444545
40g,row,2767143051,M3_CENTER_WIDTH_FULL,low,54,0.7562312568405384
40g,row,2767143051,M3_CENTER_WIDTH_FULL,mid,24,1.2830247468732063
40g,row,2767143051,M3_CENTER_WIDTH_FULL,high,12,2.6351197393736845
40g,row,2767143051,HIER_CW_25G_40G,low,54,0.7489136234175261
40g,row,2767143051,HIER_CW_25G_40G,mid,24,1.2632704335402716
40g,row,2767143051,HIER_CW_25G_40G,high,12,2.677548389720638
40g,row,2767143051,HIER_CW_8G_25G_40G,low,54,0.752579665274523
40g,row,2767143051,HIER_CW_8G_25G_40G,mid,24,1.285207821536283
40g,row,2767143051,HIER_CW_8G_25G_40G,high,12,2.6937812277106357
40g,row,2767143051,M3_LATENT_RESIDUAL_RIDGE,low,54,0.7204898547523276
40g,row,2767143051,M3_LATENT_RESIDUAL_RIDGE,mid,24,1.127176333309185
40g,row,2767143051,M3_LATENT_RESIDUAL_RIDGE,high,12,2.5637529063319473
40g,row,2767143051,M3_LATENT_TINY_ADAPTER,low,54,0.7045709666850716
40g,row,2767143051,M3_LATENT_TINY_ADAPTER,mid,24,1.1894629538818986
40g,row,2767143051,M3_LATENT_TINY_ADAPTER,high,12,2.5447101834824455
40g,row,1362771960,M3_CENTER_WIDTH_FULL,low,48,0.8578578186070176
40g,row,1362771960,M3_CENTER_WIDTH_FULL,mid,16,1.2287890756534043
40g,row,1362771960,M3_CENTER_WIDTH_FULL,high,23,2.8066158979645333
40g,row,1362771960,HIER_CW_25G_40G,low,48,0.8719790519970712
40g,row,1362771960,HIER_CW_25G_40G,mid,16,1.2148912534346628
40g,row,1362771960,HIER_CW_25G_40G,high,23,2.8078912826490594
40g,row,1362771960,HIER_CW_8G_25G_40G,low,48,0.861582472336632
40g,row,1362771960,HIER_CW_8G_25G_40G,mid,16,1.2146645642667002
40g,row,1362771960,HIER_CW_8G_25G_40G,high,23,2.797061971696896
40g,row,1362771960,M3_LATENT_RESIDUAL_RIDGE,low,48,0.7236029115205814
40g,row,1362771960,M3_LATENT_RESIDUAL_RIDGE,mid,16,1.102717358011055
40g,row,1362771960,M3_LATENT_RESIDUAL_RIDGE,high,23,2.764698868561554
40g,row,1362771960,M3_LATENT_TINY_ADAPTER,low,48,0.8019896202030473
40g,row,1362771960,M3_LATENT_TINY_ADAPTER,mid,16,1.1716793302021067
40g,row,1362771960,M3_LATENT_TINY_ADAPTER,high,23,2.798645173603147
