split_mode,seed,protocol,evaluation_split,slice,rows,V1_mae,V1_rmse,V1_r2,V1_mean_pinball_loss,V1_interval_80_coverage,V1_interval_80_mean_width,V2_mae,V2_rmse,V2_r2,V2_mean_pinball_loss,V2_interval_80_coverage,V2_interval_80_mean_width,quantile_crossing_rate,V1_calibrated_coverage,V1_calibrated_width,V1_auce,V2_calibrated_coverage,V2_calibrated_width,V2_auce,mean_normalized_rmse,mean_normalized_absolute_error,raw_width_error_spearman,calibrated_width_error_spearman,mean_auce,calibrated_crossing_rate
row,42,legacy_threshold,valid,common,55,2.0825841426849365,2.9043750762939453,0.8762077044106995,0.7362512946128845,0.8181818181818182,8.686237335205078,4.247082710266113,6.467934608459473,0.8425046489551707,1.5382254123687744,0.6363636363636364,7.507323265075684,0.0,0.8181818181818182,8.686236416209828,0.017045454545454516,0.8181818181818182,11.975810080822445,0.017045454545454516,0.3393462272357096,0.4632632471380777,0.4067821067821069,0.42157287157287165,0.017045454545454516,0.0
row,42,legacy_threshold,valid,tail,2,28.63937759399414,31.464244842529297,-0.1870399619213723,11.946464538574219,0.5,39.944515228271484,34.20646286010742,46.68974685668945,-0.2558922940154129,16.97110939025879,0.5,32.163536071777344,0.0,0.5,39.944515228271484,0.28125,0.5,51.307826262163175,0.19999999999999998,2.976417459015342,4.9219950270196575,,,0.24062499999999998,0.0
row,42,no_threshold,test,full,59,5.431049346923828,12.7953462600708,0.625796123645069,2.021270751953125,0.6271186440677966,8.104092597961426,8.206786155700684,17.79973030090332,0.7553956115617663,3.117377758026123,0.576271186440678,8.76154899597168,0.0,0.8135593220338984,15.815170383362005,0.039194915254237295,0.711864406779661,15.627617976656802,0.04364406779661016,1.17485949210194,1.0363601023156799,0.5548217416715372,0.553886616014027,0.04141949152542373,0.0
row,42,no_threshold,test,common,56,3.7424492835998535,9.243130683898926,-0.34397798154667947,1.4715325832366943,0.6428571428571429,6.697342872619629,5.837498188018799,13.213833808898926,0.19256017187840968,2.2399685382843018,0.6071428571428571,7.038863658905029,0.0,0.8214285714285714,13.069893101597888,0.028348214285714272,0.7142857142857143,12.554932962394977,0.05156250000000001,0.8593428798506282,0.7250550719901937,0.4799043062200957,0.47881066302118935,0.03995535714285714,0.0
row,42,no_threshold,test,tail,3,36.95158767700195,40.311893463134766,-0.7194816221266409,12.283051490783691,0.3333333333333333,34.3634147644043,52.43349075317383,54.513282775878906,-0.10526042743375386,19.49567985534668,0.0,40.91836166381836,0.0,0.6666666666666666,67.06034630962552,0.325,0.6666666666666666,72.98440490954418,0.37500000000000006,3.654562916284063,6.847387335058091,1.0,1.0,0.35000000000000003,0.0
row,42,no_threshold,valid,full,57,3.117093324661255,5.997672080993652,0.8855318666388985,1.0776987075805664,0.7017543859649122,7.168538570404053,4.9389166831970215,8.408365249633789,0.9277031660930437,1.800740361213684,0.5087719298245614,7.639052867889404,0.0,0.8245614035087719,13.98943278604888,0.016447368421052613,0.8245614035087719,13.625466356782711,0.016447368421052613,0.5526460117844445,0.6085007830846737,0.5716230230749287,0.5728545501685248,0.016447368421052613,0.0
row,42,no_threshold,valid,common,55,2.3778276443481445,3.6031653881073,0.8094729788525392,0.8325969576835632,0.7272727272727273,6.278425216674805,3.979918956756592,6.133439540863037,0.8583734636255146,1.4419243335723877,0.5272727272727272,6.586480140686035,0.0,0.8363636363636363,12.252373872751521,0.030681818181818143,0.8363636363636363,11.748035116114604,0.028409090909090867,0.3643972619487248,0.4768980735236723,0.5232323232323234,0.5246031746031747,0.029545454545454507,0.0
row,42,no_threshold,valid,tail,2,23.446895599365234,25.849123001098633,0.19883436894730067,7.81799840927124,0.0,31.64664077758789,31.31134796142578,31.312023162841797,0.43515197606758715,11.668182373046875,0.0,36.584808349609375,0.0,0.5,61.75855290172619,0.38750000000000007,0.5,65.25482547515561,0.325,2.234346474239441,4.227575296012216,,,0.35625000000000007,0.0
row,525,legacy_threshold,test,full,59,4.110398769378662,9.898459434509277,0.7825150607444823,1.627099871635437,0.8135593220338984,9.5740327835083,7.007617950439453,18.142969131469727,0.8042945312699278,2.6521623134613037,0.6271186440677966,8.800874710083008,0.0,0.864406779661017,11.005620431079617,0.07203389830508475,0.864406779661017,15.440670355557872,0.08241525423728813,1.0313755046774262,0.8254361611036954,0.47603740502630043,0.4825248392752777,0.07722457627118644,0.0
row,525,legacy_threshold,test,common,56,2.3428666591644287,4.3681840896606445,0.7888165074675347,0.8869851231575012,0.8392857142857143,8.103296279907227,3.921637773513794,5.76939582824707,0.8831042434833967,1.2405283451080322,0.6428571428571429,7.499633312225342,0.0,0.8928571428571429,9.314967791050476,0.08816964285714285,0.8928571428571429,13.15771175173555,0.0872767857142857,0.3889838020028298,0.46619206484136083,0.3909774436090226,0.39856459330143545,0.08772321428571428,0.0
row,525,legacy_threshold,test,tail,3,37.10433578491211,39.63269805908203,-18.99863257498318,15.442572593688965,0.3333333333333333,37.027774810791016,64.61258697509766,76.500244140625,-1.880845584276404,29.002662658691406,0.3333333333333333,33.09070587158203,0.0,0.3333333333333333,42.56446971162355,0.35416666666666663,0.3333333333333333,58.05589762690786,0.2708333333333333,4.243625630155551,7.53132595800061,-0.5,-0.5,0.3125,0.0
row,525,legacy_threshold,valid,full,57,2.7404093742370605,5.122354984283447,0.8816751599964707,1.0474382638931274,0.7543859649122807,7.656698703765869,4.8760881423950195,8.717706680297852,0.859374750348276,1.7832834720611572,0.5964912280701754,7.397826671600342,0.0,0.7894736842105263,8.801591178739772,0.0057017543859649075,0.8070175438596491,12.979097108815056,0.008991228070175421,0.5138789014770837,0.5623919202133,0.4533964220897071,0.4867124708322531,0.0073464912280701644,0.0
row,525,legacy_threshold,valid,common,55,2.1263926029205322,3.5303478240966797,0.5095039626266739,0.7737628221511841,0.7818181818181819,6.760906219482422,4.2480854988098145,7.461618423461914,0.5398886059752773,1.5311496257781982,0.6181818181818182,6.779780387878418,0.0,0.8181818181818182,7.771853050010199,0.017045454545454516,0.8181818181818182,11.894766997690798,0.017045454545454516,0.3971497977788865,0.4638594583020709,0.39278499278499285,0.42972582972582984,0.017045454545454516,0.0
row,525,legacy_threshold,valid,tail,2,19.625864028930664,20.125995635986328,-1.902893256067859,8.573511123657227,0.0,32.290977478027344,22.146141052246094,25.1966552734375,0.20213196241532405,8.716965675354004,0.0,24.394107818603516,0.0,0.0,37.11938971880305,0.5,0.5,42.79817516473214,0.325,1.751236282799442,3.272034622772099,,,0.4125,0.0
row,525,no_threshold,test,full,59,4.4704909324646,9.246015548706055,0.8102406265534234,1.8683710098266602,0.5932203389830508,10.944580078125,6.633271217346191,17.591970443725586,0.8160011314657378,2.6558761596679688,0.5254237288135594,6.83474588394165,0.0,0.7627118644067796,22.07984664195696,0.045550847457627115,0.864406779661017,21.561352228563493,0.07499999999999998,0.9824657507251233,0.8392938238409919,0.540385739333723,0.5599649327878434,0.060275423728813546,0.0
row,525,no_threshold,test,common,56,2.7903034687042236,4.382208824157715,0.7874582782020633,1.1449685096740723,0.6071428571428571,8.973981857299805,3.452451467514038,5.300026893615723,0.9013506608053079,1.247852087020874,0.5357142857142857,5.754660606384277,0.0,0.7857142857142857,18.10431646539357,0.056026785714285696,0.8928571428571429,18.15404163670295,0.08839285714285713,0.37580332343583384,0.4831722407142546,0.46561859193438143,0.48851674641148324,0.07220982142857141,0.0
row,525,no_threshold,test,tail,3,35.83400344848633,36.37044906616211,-15.841874807305167,15.371882438659668,0.3333333333333333,47.72908020019531,66.00857543945312,74.57907104492188,-1.7379671980678806,28.93899154663086,0.3333333333333333,26.996339797973633,0.0,0.3333333333333333,96.28974327114015,0.2708333333333333,0.3333333333333333,85.16448327662702,0.3125,4.02373553641491,7.486896708873419,-0.5,-0.5,0.29166666666666663,0.0
row,525,no_threshold,valid,full,57,2.5901825428009033,3.742793560028076,0.9368274600872217,1.0734187364578247,0.5964912280701754,8.77456283569336,4.622528076171875,7.939652442932129,0.8833561602188997,1.831629753112793,0.45614035087719296,5.658703327178955,0.0,0.8245614035087719,17.702002675189853,0.016447368421052613,0.8245614035087719,17.851327916883342,0.016447368421052613,0.42190723236441197,0.5323749883663459,0.39681099299974076,0.3940238527352865,0.016447368421052613,0.0
row,525,no_threshold,valid,common,55,2.4288382530212402,3.5159175395965576,0.5135055460526896,0.9583675265312195,0.6181818181818182,7.433566093444824,4.388660907745361,7.770881652832031,0.5009575205273369,1.7419426441192627,0.45454545454545453,5.110067367553711,0.0,0.8545454545454545,14.996645798458605,0.03295454545454542,0.8363636363636363,16.120565854181507,0.021590909090909046,0.4055748935907267,0.5024113958902748,0.33802308802308806,0.3352092352092353,0.027272727272727233,0.0
