record_type,outer_seed,strategy,sample_id,gradient_L2,head_gradient_L2,last2_gradient_L2,transfer_prediction_shift,target_ensemble_uncertainty,quantile_width,latent_distance,target_representativeness,true_standardized_error_after_reveal,gradient_L2_mean,gradient_L2_median,gradient_L2_max,gradient_L2_CV,head_gradient_L2_mean,head_gradient_L2_median,head_gradient_L2_max,head_gradient_L2_CV,last2_gradient_L2_mean,last2_gradient_L2_median,last2_gradient_L2_max,last2_gradient_L2_CV
sample,42,pretrained_quantile_width,d59d233a1606de5b6deb,46327.82454587911,10120.114624868065,45196.381862951974,5.191636605408032,0.29737962250098293,3.0219822727416052,21.929580067169315,-15.046390241008208,1.1423865483306843,,,,,,,,,,,,
sample,525,pretrained_random,fdc873b5607287090ff3,1431.7317050998456,259.5529490070525,1407.635043095742,0.12988262494062924,0.062752436129234,0.5095909076007274,5.51661716433418,-2.703206057041714,0.10297511635659305,,,,,,,,,,,,
sample,525,pretrained_random,6644e934f59d8b816b9f,1851.660481757314,305.5255881776904,1823.7799466086617,0.2795767433863457,0.03268768387094267,0.45805172474443223,3.67969231663303,-2.3651668784655975,0.21665194707259597,,,,,,,,,,,,
sample,525,pretrained_random,0f05b5ba6eb528d54b4b,2751.430919114975,744.2435434016439,2642.628193683236,0.3828022464085752,0.06741708909104974,0.502121919908513,17.097218587540755,-8.958989408962967,0.15353823602085317,,,,,,,,,,,,
sample,525,pretrained_random,8b67a1246fe892b6581d,18254.938426582226,1810.2689633831299,18163.891585893292,1.1138292153100438,0.4531890516203625,0.6810119889674242,4.158611346453209,-3.3224651360980246,0.590352256710132,,,,,,,,,,,,
sample,525,pretrained_random,6dcfe9b1e0958f22523b,3395.8910643367726,386.2249686050224,3373.256037142262,0.03182167736927786,0.21802973092499633,0.4326765417740047,3.8039990320254766,-2.8852374069327196,0.31641992249447115,,,,,,,,,,,,
sample,525,pretrained_random,5048acae682925888d12,17057.54458591182,1777.9917668232467,16964.58313185328,1.2515027228452844,0.0038534278916387815,1.052316196323074,5.2433928483781,-4.079126634143099,0.6408098294464514,,,,,,,,,,,,
sample,525,pretrained_random,bcf8bb13e4fca185fe68,6883.641733129458,1532.4395883161671,6703.510757762265,0.49293048154224367,0.37324695779777195,0.5223146746455831,5.2768238988155085,-4.114377797548128,0.32815418050589407,,,,,,,,,,,,
sample,525,pretrained_random,56f1cecfc0c6c3d224be,4376.043440255888,443.18242824628584,4353.537211646345,0.250697849613313,0.02320206237499677,0.5397903764813593,3.4283398505604055,-3.1970364531736077,0.27936313927047607,,,,,,,,,,,,
sample,525,pretrained_random,41921840a5681261ba98,7261.865139719545,852.3839971832223,7209.330132093813,0.9800209914673834,0.23315964212186174,0.8003779126018746,4.505074830567491,-3.870800799277464,0.17007212081124548,,,,,,,,,,,,
sample,525,pretrained_random,a7f9a08159d001c30f67,3895.5912995316153,451.20483424781605,3868.8224946489495,0.5184002525082767,0.1784330027615804,0.7118601403131307,6.088832846033475,-5.449953695503581,0.0793750045580628,,,,,,,,,,,,
sample,525,pretrained_coverage,07e9bc7a9d27fdd58c2f,413993.6186881889,68771.15277978894,408218.87911074416,3.2570250646596235,3.613862992774843,2.963708038997109,22.8365853331621,-17.4429851361284,6.833579970592999,,,,,,,,,,,,
sample,525,pretrained_coverage,dc9f747c03c55d77bf72,5054.378656700187,1264.4090345100412,4890.868023270924,0.35397104875888596,0.12088324010024235,0.4379865538145035,18.0364429541175,-9.71882317166898,0.31445035089827833,,,,,,,,,,,,
sample,525,pretrained_coverage,f95928e2618ed15e654f,226319.74709048469,55031.67054394239,219429.44089276498,3.5653715905932737,2.0110769807201514,2.9801009461249923,18.996814344998008,-13.792287313780601,5.370077537504409,,,,,,,,,,,,
sample,525,pretrained_coverage,3d5dc8831f4c74f7b7d1,100540.5174071996,34822.53805696474,93914.14282871952,4.334396425929941,2.9585252487137637,3.8208042614593993,16.90355712859159,-13.987344186882419,3.481446047196221,,,,,,,,,,,,
sample,525,pretrained_coverage,bd0519702a5756bc3c94,61745.35046285552,14529.70440625859,59998.110656622746,4.743981449172443,0.29995458289184473,3.7361014811421596,19.57965926131039,-15.603786208776702,1.4165090716926532,,,,,,,,,,,,
sample,525,pretrained_coverage,f5634113e0822bda1c03,258158.39332737713,55758.595073363605,251836.05222763217,3.580891483717733,2.416627207562556,2.951370160114115,15.557054542958578,-10.940761222768776,6.087556330353069,,,,,,,,,,,,
