protocol,outer_seed,inner_fold,arm,column,endpoint,threshold,tail_count,tail_sse,total_sse,tail_rmse,tail_sse_fraction
compound,536279090,5,A1,40g,V2,102.19000000000008,10,18072.86124233582,29750.373967849027,42.51218794926441,0.6074834979172701
compound,536279090,5,A2,4g,V1,9.958333333333334,73,3896.302622166049,6077.12735158308,7.305751742484998,0.6411421707578778
compound,536279090,5,A2,4g,V2,22.503333333333337,75,8456.627987038131,13719.120459429929,10.618617604338857,0.6164118182390776
compound,536279090,5,A2,25g,V1,34.9375,16,2277.2156418178047,3105.928163522299,11.930045163938518,0.7331836159517974
compound,536279090,5,A2,25g,V2,59.7625,15,3018.278812666157,4931.399853014001,14.18515377114669,0.6120531497403173
compound,536279090,5,A2,40g,V1,70.42000000000004,9,5313.479737460052,9720.113482709638,24.297873106417388,0.5466479117668526
compound,536279090,5,A2,40g,V2,102.19000000000008,10,13018.40253538474,21038.405436264955,36.08102345469809,0.6187922642152464
compound,2767143051,1,A1,4g,V1,9.958333333333334,73,4007.781611245917,7402.976332278915,7.409528862368568,0.5413743650335529
compound,2767143051,1,A1,4g,V2,22.503333333333337,75,10137.27041710402,25153.50482436151,11.625988369226372,0.4030162193256638
compound,2767143051,1,A1,25g,V1,34.01,22,1721.1642587505296,4670.577950869189,8.845040363622712,0.3685120507260183
compound,2767143051,1,A1,25g,V2,56.30250000000003,21,3767.7076559618886,10452.61522618305,13.39457540513694,0.3604559791432914
compound,2767143051,1,A1,40g,V1,72.55499999999999,15,16737.737918830477,20137.230510413352,33.40432897976995,0.8311837077186492
compound,2767143051,1,A1,40g,V2,108.365,15,28224.32183582219,35032.10453633822,43.377660791258435,0.8056701762392142
compound,2767143051,1,A2,4g,V1,9.958333333333334,73,3207.7352489233144,5243.060208542743,6.62884445076019,0.6118059151212519
compound,2767143051,1,A2,4g,V2,22.503333333333337,75,5986.886854339432,10711.343412674723,8.934492602149218,0.5589295967539565
compound,2767143051,1,A2,25g,V1,34.01,22,1791.9422175417658,4274.435422865973,9.02507168831202,0.4192231348158451
compound,2767143051,1,A2,25g,V2,56.30250000000003,21,2911.5802809350707,8368.14090445446,11.77483248477562,0.3479363354631376
compound,2767143051,1,A2,40g,V1,72.55499999999999,15,13036.167041187318,15652.876383766648,29.480125555123088,0.8328288502110016
compound,2767143051,1,A2,40g,V2,108.365,15,20196.69966517407,28391.793381051662,36.69395923506944,0.7113569542476701
compound,2767143051,2,A1,4g,V1,9.958333333333334,73,4553.098746686445,9279.865944027324,7.897544916493574,0.4906427284778715
compound,2767143051,2,A1,4g,V2,22.503333333333337,75,22467.57184182256,71612.32919157844,17.30802197126044,0.3137388784229732
compound,2767143051,2,A1,25g,V1,34.01,7,106.85889019965076,4965.740679101673,3.907116039076297,0.0215192248458254
compound,2767143051,2,A1,25g,V2,56.30250000000003,12,5781.163047392401,11125.058238383202,21.949113587630368,0.519652385049678
compound,2767143051,2,A1,40g,V1,72.55499999999999,19,30401.13597124912,34527.0118124921,40.00074734252449,0.8805029562462684
compound,2767143051,2,A1,40g,V2,108.365,17,31899.718443627276,44249.68658811548,43.31805658262755,0.7209026979231726
compound,2767143051,2,A2,4g,V1,9.958333333333334,73,2849.6167387028677,4379.68166982946,6.2478672949780005,0.650644716563117
compound,2767143051,2,A2,4g,V2,22.503333333333337,75,5468.028314341948,9615.285441088648,8.538562185240908,0.5686808101375361
compound,2767143051,2,A2,25g,V1,34.01,7,229.19909773867312,5512.428542261211,5.722126199969892,0.0415786065944457
compound,2767143051,2,A2,25g,V2,56.30250000000003,12,4183.8097404684995,10321.316379117306,18.67219354295869,0.4053562149236534
compound,2767143051,2,A2,40g,V1,72.55499999999999,19,23839.16816831409,29077.23735862911,35.42164679246598,0.8198567103982267
compound,2767143051,2,A2,40g,V2,108.365,17,18636.304362095452,31244.61254880411,33.109714552836614,0.5964645691472579
compound,2767143051,3,A1,4g,V1,9.958333333333334,73,3395.815331611885,6391.976363546601,6.82041188208298,0.5312621853513411
compound,2767143051,3,A1,4g,V2,22.503333333333337,75,4194.255149845545,7671.681175297012,7.478195102960379,0.5467191680685509
compound,2767143051,3,A1,25g,V1,34.01,8,725.2704400735803,1308.281300556339,9.521491742851932,0.5543688805803181
compound,2767143051,3,A1,25g,V2,56.30250000000003,9,1431.932581450189,2687.1086381368486,12.613628350365016,0.5328897243406739
compound,2767143051,3,A1,40g,V1,72.55499999999999,15,13085.22446874038,17871.41525188519,29.535542959560185,0.7321873664907466
compound,2767143051,3,A1,40g,V2,108.365,17,24465.342559055814,35314.745572396176,37.93596970675085,0.6927798052204909
compound,2767143051,3,A2,4g,V1,9.958333333333334,73,3392.063006700925,5302.400447461064,6.816642614230972,0.6397221485459739
compound,2767143051,3,A2,4g,V2,22.503333333333337,75,6112.165100979273,10805.756230825553,9.027487728029524,0.5656397359347342
compound,2767143051,3,A2,25g,V1,34.01,8,628.9266600547087,1367.446576455205,8.866556970258443,0.4599277740597796
compound,2767143051,3,A2,25g,V2,56.30250000000003,9,1258.2063060057624,2311.862507691796,11.8237346328183,0.5442392451192859
compound,2767143051,3,A2,40g,V1,72.55499999999999,15,10120.616144961326,15566.222686150866,25.97513701595088,0.6501651909403526
