protocol,outer_seed,inner_fold,arm,column,inner_train_count,inner_validation_count,inner_train_ids_sha256,inner_validation_ids_sha256,best_epoch,epochs_run
row,1425370602,4,A1,4g,3330,416,5f0fbc143e13c77d15714729b0b2b4438de33b5c0ad776201ee6f4f0b5283d77,9827fcc7b736b9984f545771e97efee5e6503c32214cff5b868697d4c293db3d,469,500
row,1425370602,4,A1,25g,261,66,7941b8565c0c1eca5c18f369ae9e4dd61824daf17773fc89185fc8d75e075226,954beb686615d1cb06814de3cac9a440384652f735b8316c51d5a8d6b3b35208,469,500
row,1425370602,4,A1,40g,284,70,8eb96c03f406a3da5c592f010ef62833ec96f07c6803b461772dc3656639812d,112657dbfafe0f3e5a1f556d280c43823ff1763c96f63a0dc252c3a040f6a2bd,469,500
row,1425370602,4,A2,4g,3330,416,5f0fbc143e13c77d15714729b0b2b4438de33b5c0ad776201ee6f4f0b5283d77,9827fcc7b736b9984f545771e97efee5e6503c32214cff5b868697d4c293db3d,87,167
row,1425370602,4,A2,25g,261,66,7941b8565c0c1eca5c18f369ae9e4dd61824daf17773fc89185fc8d75e075226,954beb686615d1cb06814de3cac9a440384652f735b8316c51d5a8d6b3b35208,87,167
row,1425370602,4,A2,40g,284,70,8eb96c03f406a3da5c592f010ef62833ec96f07c6803b461772dc3656639812d,112657dbfafe0f3e5a1f556d280c43823ff1763c96f63a0dc252c3a040f6a2bd,87,167
row,1425370602,5,A1,4g,3330,416,5f0fbc143e13c77d15714729b0b2b4438de33b5c0ad776201ee6f4f0b5283d77,9827fcc7b736b9984f545771e97efee5e6503c32214cff5b868697d4c293db3d,170,250
row,1425370602,5,A1,25g,258,69,da25de87c0861c57fe473286cb85a6354f2d9193ef3bc282eb59c095be643eff,9f35e5dfbb04269ba0f3d2cd4866ff9f9f90af6f919220c64f27d208321332e9,170,250
row,1425370602,5,A1,40g,287,67,ca205b6f2253d4508e3db05dfa3892fa0be583dfbfbfc53882b44c09bec0520c,c61819d45d85d479833b616e7012fd04dffae971813ace9ccc434a01c6eabd82,170,250
row,1425370602,5,A2,4g,3330,416,5f0fbc143e13c77d15714729b0b2b4438de33b5c0ad776201ee6f4f0b5283d77,9827fcc7b736b9984f545771e97efee5e6503c32214cff5b868697d4c293db3d,52,132
row,1425370602,5,A2,25g,258,69,da25de87c0861c57fe473286cb85a6354f2d9193ef3bc282eb59c095be643eff,9f35e5dfbb04269ba0f3d2cd4866ff9f9f90af6f919220c64f27d208321332e9,52,132
row,1425370602,5,A2,40g,287,67,ca205b6f2253d4508e3db05dfa3892fa0be583dfbfbfc53882b44c09bec0520c,c61819d45d85d479833b616e7012fd04dffae971813ace9ccc434a01c6eabd82,52,132
row,536279090,1,A1,4g,3330,416,5f0fbc143e13c77d15714729b0b2b4438de33b5c0ad776201ee6f4f0b5283d77,9827fcc7b736b9984f545771e97efee5e6503c32214cff5b868697d4c293db3d,498,500
row,536279090,1,A1,25g,265,61,ed9c707914e61560d09fbc0f906fccbd5644a066d55fc27e62e57281936f45c1,1c71c9edc9c0dcd740f257946acad25d5a634a84ab99860cf27ef4373894e094,498,500
