protocol,outer_seed,inner_fold,arm,column,best_epoch,epochs_run,runtime_seconds,per_task_batch_size,steps_per_epoch,trainable_parameters,total_parameters,V1_r2,V1_rmse,V1_mae,V2_r2,V2_rmse,V2_mae,combined_normalized_rmse,all_outputs_finite,Center_rmse,Width_rmse,Center_error_variance,Width_error_variance,Center_Width_error_covariance,inner_train_count,inner_validation_count,inner_train_ids_sha256,inner_validation_ids_sha256,scale_V1,scale_V2
compound,1425370602,3,A2,40g,56,136,195.0232717919862,283,1,139367,469252,0.6363481645688033,17.69903545507332,11.725748939514158,0.7353368833371927,20.93417381777881,15.40980826377869,0.6314452577554078,True,18.31439026361644,12.701315523741687,334.7248325617434,153.58511890534297,60.17772540907645,283,80,11a96622c801ec3194e3082f6996210bdae27e1441cdb87087c18ba1845aa3a1,48b190e06d71214ac079182ccc81dd1aa25c7257ba5394e4fac1f9c0a2b98b94,26.02836075978425,36.165543722893766
compound,1425370602,4,A1,4g,262,342,466.48359008395346,292,1,130615,460500,0.6756100488820813,3.868221989467089,2.6406048668949653,0.8727148222775143,5.344326066933935,3.602287963475936,0.4192285434678815,True,4.0323315175254635,4.6916026121247425,15.958962191183293,19.610617251624348,5.949680891133418,3330,416,5f0fbc143e13c77d15714729b0b2b4438de33b5c0ad776201ee6f4f0b5283d77,9827fcc7b736b9984f545771e97efee5e6503c32214cff5b868697d4c293db3d,7.879659034631744,16.076509553562957
compound,1425370602,4,A1,25g,262,342,466.48359008395346,292,1,130615,460500,0.7818030799456639,4.397386271490196,3.210864425072302,0.802417961840714,7.201004074710815,4.6177403963529144,0.4159349719562734,True,4.988256346789481,6.546153518230552,23.98858814717072,42.282883996892615,16.972145856417256,253,65,5258d3ed2feac136f7fc0730648e0d2d5790f51b9972e76d8457701e91dce725,9d8044636d5069adb7dec88df205a495c2b9d2a96cfeba63670f4218b8b53d04,10.191293585523658,18.012372478351
compound,1425370602,4,A1,40g,262,342,466.48359008395346,292,1,130615,460500,0.785561345822489,11.523031843051267,7.813300694210428,0.7921979766384589,15.599006028828644,11.081547041342292,0.4159224853460687,True,12.340036667106522,11.962963015268333,151.1865451966532,134.08656207064894,52.13782175403448,292,71,5126f1dae52b211d5fc2aba2430b0aca961e260d8f941183b7ef271673dbe4eb,fcfe230609be88e46c5fadef2e524951c141f9731ae04ebc94a88ff0624855a0,27.296265281072944,38.083179170394104
compound,1425370602,4,A2,4g,103,183,229.3600454159896,292,1,139367,469252,0.7725494686083385,3.2390762460602103,1.877594039472632,0.8896460953844074,4.976200641153047,3.001421964382514,0.3638593605113196,True,3.732257397661042,3.8456981639261154,13.68820068407783,14.681737114907811,6.9742213019539046,3330,416,5f0fbc143e13c77d15714729b0b2b4438de33b5c0ad776201ee6f4f0b5283d77,9827fcc7b736b9984f545771e97efee5e6503c32214cff5b868697d4c293db3d,7.879659034631744,16.076509553562957
compound,1425370602,4,A2,25g,103,183,229.3600454159896,292,1,139367,469252,0.8099661402869226,4.10379636852992,2.727970375647911,0.8317334236622366,6.645356056845335,4.267608032226562,0.3861735169565103,True,4.338981495281012,6.833502897318219,18.128925769092017,45.21289770175286,14.677397425558713,253,65,5258d3ed2feac136f7fc0730648e0d2d5790f51b9972e76d8457701e91dce725,9d8044636d5069adb7dec88df205a495c2b9d2a96cfeba63670f4218b8b53d04,10.191293585523658,18.012372478351
compound,1425370602,4,A2,40g,103,183,229.3600454159896,292,1,139367,469252,0.7472805736310988,12.509344103357568,9.20252780108385,0.8064613439641584,15.054138261522857,11.419577176805952,0.4279486429899141,True,12.793207123619176,10.562052042819357,157.4166779336063,110.96569567850452,36.99392881639461,292,71,5126f1dae52b211d5fc2aba2430b0aca961e260d8f941183b7ef271673dbe4eb,fcfe230609be88e46c5fadef2e524951c141f9731ae04ebc94a88ff0624855a0,27.296265281072944,38.083179170394104
compound,1425370602,5,A1,4g,483,500,200.4950251670089,282,1,130615,460500,0.696655553219343,3.74063831270566,2.4997715757038814,0.912531039456118,4.43027835112768,2.8402235202911568,0.3881373813337477,True,3.4831189782881675,4.325622642147515,12.115499453479725,18.51451802677053,2.87463928164524,3330,416,5f0fbc143e13c77d15714729b0b2b4438de33b5c0ad776201ee6f4f0b5283d77,9827fcc7b736b9984f545771e97efee5e6503c32214cff5b868697d4c293db3d,7.879659034631744,16.076509553562957
compound,1425370602,5,A1,25g,483,500,200.4950251670089,282,1,130615,460500,0.7110554172055918,5.591640025900285,4.1945107754794035,0.736778339275451,7.798718056014692,5.870936577536844,0.5009727656244158,True,6.18282870597712,5.591368326545891,36.09294083728056,30.376292086567524,16.152816439043857,263,55,97fd3eacd7a5c8fca53d4ec6da93cec0e0a41f9764584fb2d79aa82cb329a0de,59be06df0f90fdfd4b0bdca604b1b1dd1d97ec964a148788df4a24f58cf8e58f,9.93319561453223,18.12854830251089
compound,1425370602,5,A1,40g,483,500,200.4950251670089,282,1,130615,460500,0.4178082710662307,17.871194595894128,11.406510873488438,0.5720766632046104,20.61869856525818,14.459601348123432,0.5929336121945461,True,18.561032941608996,10.534366529631152,344.3616692849547,107.71392413247855,53.57537990460192,282,81,1cd1f15d883045132e44bae48fa08bd5bf88f1bdaff7992dc8f2ab264c4998a9,4b9416daa6875405a03f82fef4ed8e04f3f73a5986bf9205476a260f6241da02,27.666381299677894,38.562556279718166
compound,1425370602,5,A2,4g,62,142,59.28370262501994,282,1,139367,469252,0.6707588535067837,3.897038945130895,2.203245985611127,0.8464664971268239,5.869560858521374,3.892837695036179,0.4346827729380037,True,4.464023737044342,4.423492141275358,19.73649351442679,19.48738321172701,9.755955364288324,3330,416,5f0fbc143e13c77d15714729b0b2b4438de33b5c0ad776201ee6f4f0b5283d77,9827fcc7b736b9984f545771e97efee5e6503c32214cff5b868697d4c293db3d,7.879659034631744,16.076509553562957
compound,1425370602,5,A2,25g,62,142,59.28370262501994,282,1,139367,469252,0.6953238908627424,5.741840537195996,3.929280177029696,0.6821080748359032,8.570420990000072,6.61793930053711,0.5280327406464987,True,6.535617277877189,6.479546634548957,42.70047810550769,27.774060303343663,20.684770536572913,263,55,97fd3eacd7a5c8fca53d4ec6da93cec0e0a41f9764584fb2d79aa82cb329a0de,59be06df0f90fdfd4b0bdca604b1b1dd1d97ec964a148788df4a24f58cf8e58f,9.93319561453223,18.12854830251089
compound,1425370602,5,A2,40g,62,142,59.28370262501994,282,1,139367,469252,0.4819403387320358,16.85817107907463,10.991674889458553,0.6250488252188722,19.300369483193364,13.54029655456543,0.5575786210987322,True,17.354320812872945,10.426628656176424,297.76644025215666,96.95312553973892,37.823895217991485,282,81,1cd1f15d883045132e44bae48fa08bd5bf88f1bdaff7992dc8f2ab264c4998a9,4b9416daa6875405a03f82fef4ed8e04f3f73a5986bf9205476a260f6241da02,27.666381299677894,38.562556279718166
