protocol,outer_seed,column,method,classification,endpoint,threshold,tail_count,tail_sse,total_sse,tail_rmse,tail_sse_fraction
row,1362771960,25g,P0,DEVELOPMENTAL CONFIRMATION,V1,34.6175,14,1783.0903605875028,2716.276106646028,11.285548156151815,0.6564466536464169
row,1362771960,25g,P0,DEVELOPMENTAL CONFIRMATION,V2,57.205,17,4680.975149784601,6903.256822272382,16.593718070375132,0.678082138662739
row,1362771960,40g,A1,DEVELOPMENTAL CONFIRMATION,V1,68.075,22,15263.91940242925,17936.615825438763,26.34035911471669,0.8509921576611493
row,1362771960,40g,A1,DEVELOPMENTAL CONFIRMATION,V2,99.7,24,24147.896229757418,30022.70911857805,31.720062151681844,0.8043210269393944
row,1362771960,40g,A2,DEVELOPMENTAL CONFIRMATION,V1,68.075,22,17006.98149929278,20029.556282435682,27.803679857245825,0.8490942714595501
row,1362771960,40g,A2,DEVELOPMENTAL CONFIRMATION,V2,99.7,24,21883.522094245873,29704.057938222966,30.19624845230907,0.7367182672400566
row,1362771960,40g,paper_style_current_v2,DEVELOPMENTAL CONFIRMATION,V1,68.075,22,14292.138117034872,17331.84923742283,25.488088231238596,0.8246170342963386
row,1362771960,40g,paper_style_current_v2,DEVELOPMENTAL CONFIRMATION,V2,99.7,24,15427.834578627911,23080.80995149245,25.354022181424448,0.6684269144389501
row,1362771960,40g,HIER_CW_SHARED_LAMBDA_CORRECTED,DEVELOPMENTAL CONFIRMATION,V1,68.075,22,18305.72202306911,22750.592933177657,28.845766999264704,0.8046261509243348
row,1362771960,40g,HIER_CW_SHARED_LAMBDA_CORRECTED,DEVELOPMENTAL CONFIRMATION,V2,99.7,24,18171.67861611939,31589.671794505484,27.5164182929327,0.5752411336948445
row,1362771960,40g,P0,DEVELOPMENTAL CONFIRMATION,V1,68.075,22,15432.982042371897,19250.331620879704,26.48582986700959,0.8016995419254309
row,1362771960,40g,P0,DEVELOPMENTAL CONFIRMATION,V2,99.7,24,17115.41790548379,25466.00628665827,26.70472641178882,0.6720888117604298
