protocol,outer_seed,inner_fold,method,column,endpoint,threshold,tail_count,tail_sse,total_sse,tail_rmse,tail_sse_fraction
compound,536279090,5,A2_PCGRAD,40g,V2,102.19000000000008,10,12198.087478103424,20353.25403241874,34.92576051871087,0.599318785029375
compound,2767143051,1,A2_PCGRAD,4g,V1,9.958333333333334,73,2891.547119838292,4637.5665411678365,6.293666222348685,0.6235052573736527
compound,2767143051,1,A2_PCGRAD,4g,V2,22.503333333333337,75,5284.431476115163,9587.740368211133,8.393991085782863,0.5511654751974813
compound,2767143051,1,A2_PCGRAD,25g,V1,34.01,22,1756.106315015633,4272.757558984552,8.934372631522171,0.4110006923568542
compound,2767143051,1,A2_PCGRAD,25g,V2,56.30250000000003,21,2797.9476525040213,8168.225365628479,11.542772738826296,0.3425404573529101
compound,2767143051,1,A2_PCGRAD,40g,V1,72.55499999999999,15,12939.213027707989,15442.472346226372,29.37029454818591,0.8378977625865655
compound,2767143051,1,A2_PCGRAD,40g,V2,108.365,15,20083.4142002621,28029.001899388822,36.59090433451288,0.7165226315354463
compound,2767143051,2,A2_PCGRAD,4g,V1,9.958333333333334,73,2607.90053134747,3676.96151942718,5.977011361289105,0.7092542354791205
compound,2767143051,2,A2_PCGRAD,4g,V2,22.503333333333337,75,4732.776635881466,8408.226580668832,7.943783008014478,0.5628745360838026
compound,2767143051,2,A2_PCGRAD,25g,V1,34.01,7,250.987510599139,5335.778678816682,5.987934423239775,0.0470385909362343
compound,2767143051,2,A2_PCGRAD,25g,V2,56.30250000000003,12,4470.365370905966,10417.394433080171,19.30104783620561,0.4291250945351972
compound,2767143051,2,A2_PCGRAD,40g,V1,72.55499999999999,19,23224.64348805671,28635.244365109214,34.96211745970405,0.8110509968741498
compound,2767143051,2,A2_PCGRAD,40g,V2,108.365,17,18273.519889844025,30820.696248768694,32.78586486119754,0.5928976990769331
compound,2767143051,3,A2_PCGRAD,4g,V1,9.958333333333334,73,3094.159904277732,4619.6729682082205,6.510434095618631,0.6697789920566235
compound,2767143051,3,A2_PCGRAD,4g,V2,22.503333333333337,75,5209.385277655116,9274.905169242018,8.334174846302115,0.5616645326930979
compound,2767143051,3,A2_PCGRAD,25g,V1,34.01,8,668.32411678502,1394.3523475824948,9.140050032583384,0.4793079152079095
compound,2767143051,3,A2_PCGRAD,25g,V2,56.30250000000003,9,1322.3025347939615,2297.7335864633487,12.12115934496349,0.5754812231426873
compound,2767143051,3,A2_PCGRAD,40g,V1,72.55499999999999,15,11013.40653673275,16260.894943099282,27.096625296314112,0.6772939973643065
compound,2767143051,3,A2_PCGRAD,40g,V2,108.365,17,15681.247094709872,24168.7581789517,30.37147180643072,0.648823037518183
compound,2767143051,4,A2_PCGRAD,4g,V1,9.958333333333334,73,3259.237960869783,4698.066290582068,6.681848198992595,0.6937403091572765
