protocol,outer_seed,inner_fold,method,column,best_epoch,epochs_run,inner_train_ids_sha256,inner_validation_ids_sha256,scale_V1,scale_V2
compound,2767143051,1,A2_PCGRAD,40g,110,190,04297b49c51a803dd65613061bcaa0ed069b4122040b6fd857e0964f410a8c00,78f2b1d7adc7834208865ff1dc37609d7de03ce24cbcce337e99c1f9f6ba108c,25.579135117008388,35.88706680488467
compound,2767143051,2,A2_PCGRAD,4g,76,156,5f0fbc143e13c77d15714729b0b2b4438de33b5c0ad776201ee6f4f0b5283d77,9827fcc7b736b9984f545771e97efee5e6503c32214cff5b868697d4c293db3d,7.879659034631744,16.076509553562957
compound,2767143051,2,A2_PCGRAD,25g,76,156,215c1346b1506c9726e413d5e27ee9fb75926ac279ee499bff234df30266ba9c,cc4e9afb318aeec96186c36fe78bdeb08a525c8ee2cf452a77edf7151ac36d06,10.139833402187676,17.119992400025108
compound,2767143051,2,A2_PCGRAD,40g,76,156,6fb8b879ecfa06a65206454dc63bab297ca39e5e66cfb00729124ba15af8e330,6a2f2917375bb0bc22153d44e3940a2867cfa6fe613092b42a80254b36626d2c,26.158402740690057,37.437957907806506
compound,2767143051,3,A2_PCGRAD,4g,112,192,5f0fbc143e13c77d15714729b0b2b4438de33b5c0ad776201ee6f4f0b5283d77,9827fcc7b736b9984f545771e97efee5e6503c32214cff5b868697d4c293db3d,7.879659034631744,16.076509553562957
compound,2767143051,3,A2_PCGRAD,25g,112,192,957e673fb2fbda02074d0a852dbc382de8e359f0f883254044bde33ca9653368,15f50b212a8fce1e19d45a50d0b0bdd8264754ee59c6619d1b2a59383327309f,10.017443272128665,17.591233777253485
compound,2767143051,3,A2_PCGRAD,40g,112,192,fc46c84016bb6fd7ceadffe33e17bcdda4206df2d235fdccce492cfb25eef263,1b87d5aef08ebe6fc363add9d943c3787fe9ca66f8cbd9b7550df31cd83001e9,28.227515336003865,37.808009885700855
compound,2767143051,4,A2_PCGRAD,4g,72,152,5f0fbc143e13c77d15714729b0b2b4438de33b5c0ad776201ee6f4f0b5283d77,9827fcc7b736b9984f545771e97efee5e6503c32214cff5b868697d4c293db3d,7.879659034631744,16.076509553562957
compound,2767143051,4,A2_PCGRAD,25g,72,152,9ba160050831f3c96b417f672a3a37a90ca93d66fec17f48d80ddfcb479609a1,41c567e4d145517370dab17eb55fa8bbce56212b74d150c9f801b84e36f23bb0,10.06510235516722,17.550599927402057
compound,2767143051,4,A2_PCGRAD,40g,72,152,84ddbc1874577786d1b26ff5a188518e642845420dc159eaa34f3efec8e30068,cc6c32f343fd30a41362c7d9490b93ec3fb9f5d5c5aa0e6ccf15f509ba610968,27.901616645797777,38.50758465335743
compound,2767143051,5,A2_PCGRAD,4g,136,216,5f0fbc143e13c77d15714729b0b2b4438de33b5c0ad776201ee6f4f0b5283d77,9827fcc7b736b9984f545771e97efee5e6503c32214cff5b868697d4c293db3d,7.879659034631744,16.076509553562957
compound,2767143051,5,A2_PCGRAD,25g,136,216,f8b4911387a90ed062cdf76c26fa98e31d10e41ccae760f5e34acdbf0137f523,d051bb2d9cc35d169b25f73f46779800f4fffb37d6aec57ed8ed651d729818c5,9.61622393725673,16.93202363232381
compound,2767143051,5,A2_PCGRAD,40g,136,216,7e2582ca0d1a2368b956219e88d3ab0e8e46c596fad9656ae03086f201eab4d9,47b9682947cd229c7ed5ce6608792df8c9e9169e4aaca7aa95d6f68387a14776,27.222788786944857,36.20087237725291
compound,1362771960,1,A2_PCGRAD,4g,57,137,5f0fbc143e13c77d15714729b0b2b4438de33b5c0ad776201ee6f4f0b5283d77,9827fcc7b736b9984f545771e97efee5e6503c32214cff5b868697d4c293db3d,7.879659034631744,16.076509553562957
