outer_seed,inner_fold,column,combined_normalized_rmse_candidate,V1_rmse_candidate,V1_mae_candidate,V2_rmse_candidate,V2_mae_candidate,combined_normalized_rmse_reference,V1_rmse_reference,V1_mae_reference,V2_rmse_reference,V2_mae_reference,combined_normalized_rmse_relative_gain,V1_rmse_relative_gain,V1_mae_relative_gain,V2_rmse_relative_gain,V2_mae_relative_gain
2767143051,3,25g,0.4712592593199078,5.389713094525717,3.581171902020772,6.918775160242341,4.611916057268778,0.4687941560185076,5.3374591654472425,3.633189809322357,6.94001457084775,4.82357325553894,-0.005258391705085241,-0.009790038192094563,0.014317420787681612,0.003060427379306563,0.043879752013119
2767143051,3,40g,0.4528039809633169,13.367541031202082,8.968965563931308,16.296955213144862,10.54752922477303,0.4403188224770837,13.078891090436684,9.019750326806374,15.729171842175711,10.370379563216323,-0.02835481439561449,-0.02206990935007158,0.005630395635690233,-0.036097473958973,-0.017082273650335322
2767143051,4,25g,0.4379766845103298,4.634357789253426,3.1962285900115965,7.271198935893795,4.808693895339966,0.4514569590082626,4.596188808797787,3.2121008086204528,7.831210539546355,5.152984256744385,0.02985948987816156,-0.00830448487724822,0.004941382464167754,0.07151022192860101,0.0668137809568895
2767143051,4,40g,0.5561201550476155,17.249334982277812,10.752510649582437,18.72052453107759,12.598030313952217,0.5647313618343733,17.558368130973687,10.747821308004443,18.93656862348244,12.723929885338093,0.015248324015133097,0.017600334290219566,-0.0004363062469694423,0.011408830010361193,0.009894708043852951
2767143051,5,25g,0.6941932940474347,7.231810200373864,5.457783209893011,10.68517434859503,7.659605493853169,0.7181605246181545,7.454098135985341,5.598173744447769,11.111308300862415,7.99182096296741,0.03337308268713768,0.029820902751247935,0.025077916649871246,0.03835137507923436,0.04156943338116126
2767143051,5,40g,0.4984346276508952,12.488087903225,9.328383908952985,19.374568372662736,13.36193293782024,0.5181988087299604,13.099638709701733,9.205824012260932,20.00914314825266,13.393190864463907,0.03814015151347938,0.046684555202565314,-0.01331329998583719,0.03171424037942083,0.0023338670343751033
1362771960,1,25g,0.5826229113098506,5.647798892149865,3.966337064107259,9.83157117154662,7.6540663592020675,0.5954500186286371,5.656462588861039,3.9545091406504302,10.232250771698997,8.011734536488852,0.021541870715409916,0.001531645719399899,-0.0029909966157981582,0.03915850081202088,0.04464303898959854
1362771960,1,40g,0.5691974904328757,16.638816658681503,10.44246072511415,19.430679885477083,14.314641808174752,0.5761537445729012,16.734461818608132,10.515268898010254,19.84066595255087,14.51294648453996,0.012073607445148404,0.0057154607637441845,0.006924042894412286,0.020663926707615188,0.013663984537974683
1362771960,2,25g,0.8256320930952434,8.824215273887617,5.543374834927645,11.113373929656468,7.50834929032759,0.7818683017602718,8.305725521784003,5.181453989202326,10.6550291996895,7.190698533491654,-0.05597335412683102,-0.0624255822978661,-0.06984928293863635,-0.043016750247885316,-0.04417522934057594
1362771960,2,40g,0.3755711179487744,10.620015753915434,7.331935109971445,13.747728325741702,9.210113110119783,0.3974588863878205,11.417857523067832,7.898814107194732,14.281453680326589,9.986583149584035,0.05506926424004799,0.06987666184662888,0.07176760834350293,0.037371920711413265,0.07775132173175703
1362771960,3,25g,0.623897350085768,6.302553946975282,4.087229123191228,10.206171696562054,6.62991456531343,0.6179643613997476,6.333731510935299,4.004172685411241,9.9543012596845,6.38479964241149,-0.009600858976044346,0.004922463780819952,-0.020742471492948722,-0.02530267371931405,-0.03839038601520817
1362771960,3,40g,0.7056397499554343,19.72148075201288,12.240346188612392,22.73508412554954,15.630045737682932,0.7103725481813417,19.88287977161855,12.189628944934258,22.837220873291606,15.811027731022362,0.006662417119051134,0.008117487077302421,-0.004160688065834028,0.004472380781740171,0.011446567321131806
1362771960,4,25g,0.554492590132792,5.8206591187280265,4.123816196735088,8.753056663599107,6.252898565439079,0.5517170763180139,5.737298291120034,4.087874342111441,8.817012795094863,6.443971909743088,-0.005030683177872586,-0.014529631087338624,-0.008792309062289672,0.007253718802737397,0.02965148622313396
1362771960,4,40g,0.5468672346166974,14.71903826926918,10.275174428455864,19.23644088688763,13.98337888575312,0.5426613254737953,14.552010249427369,10.002598224469084,19.16763292693324,13.96337262053988,-0.007750523107999063,-0.011478003174742346,-0.027250540096670495,-0.0035897995447160547,-0.0014327674092011744
1362771960,5,25g,0.5315117070151768,6.253587592614114,4.3477625959059765,7.270474522391211,5.394035143010756,0.5327149569411184,6.248838003652642,4.207402751025031,7.334670020959267,5.386242440167595,0.0022587124882895715,-0.0007600755466370401,-0.03336021131962008,0.008752336285697049,-0.0014467790727441532
1362771960,5,40g,0.4283466481937296,11.301227201066917,7.864275473356246,15.98025147728217,11.067746353149412,0.4373164612056375,11.578350368154076,8.010783094167708,16.261248337182707,11.294886589050291,0.020511034474163248,0.023934598476945346,0.01828880136801203,0.01728015304077324,0.02011000589603784
