column,protocol,method,n_seeds,n_train_mean,n_train_sd,n_valid_mean,n_valid_sd,n_test_mean,n_test_sd,V1_rmse_mean,V1_rmse_sd,V1_mae_mean,V1_mae_sd,V1_r2_mean,V1_r2_sd,V2_rmse_mean,V2_rmse_sd,V2_mae_mean,V2_mae_sd,V2_r2_mean,V2_r2_sd,combined_normalized_rmse_mean,combined_normalized_rmse_sd,center_rmse_mean,center_rmse_sd,center_mae_mean,center_mae_sd,width_rmse_mean,width_rmse_sd,width_mae_mean,width_mae_sd
25g,row,paper_style_current_v2,5,321.6,4.929503017546495,6.4,1.3416407864998738,80.0,5.612486080160912,7.408778452536362,1.415340283695535,4.461541322827197,0.30173526477888046,0.3489682704456159,0.3584998162467804,11.111435026814732,2.4986249523801933,6.967134604367944,0.5869047086112988,0.5249340692568047,0.19708581605714637,0.8257145674304758,0.1644702974066369,,,,,,,,
25g,row,scale_only,5,321.6,4.929503017546495,6.4,1.3416407864998738,80.0,5.612486080160912,8.754031122429044,2.195550733546254,5.249917288104161,0.5987543077730616,0.052278505304416065,0.6362729628741995,11.055945781345786,2.243994181885284,7.305867457084027,0.5931847640190558,0.5329953831295663,0.1702675311453121,0.924226011630863,0.2186556324497775,,,,,,,,
40g,compound,ALL_CONTEXT_SHARED_CENTER_WIDTH,5,360.8,4.4944410108488455,7.0,0.0,88.2,4.4944410108488455,18.26284555743755,2.027566169511906,11.414941823411894,1.5534935536708838,0.5601994819903373,0.05187435306916854,22.928691291903355,2.0510634351337984,14.774606534697572,1.602036268829512,0.6230591763232909,0.04195169746600937,1.9246929916685662,0.19850187869905767,20.095102998032505,2.030874162330734,12.692288360884179,1.4867075573380863,10.11069933242542,1.195984494041516,6.758883774404313,0.8578332266013531
40g,compound,M3_CENTER_WIDTH_FULL,5,360.8,4.4944410108488455,7.0,0.0,88.2,4.4944410108488455,15.99360376769738,2.163184583747823,10.400114391233732,1.1323776680046251,0.6623638308133193,0.05727510033405739,21.411090116495146,2.3916406309515943,14.748912402613621,1.8631336238218572,0.6713457614443269,0.04722240253952155,1.7177455294905979,0.20956894905023016,17.686155506667237,2.142331720699683,11.890868215361468,1.3394994764034027,13.32743997954029,1.410437588998921,9.95898141912573,1.298426902430616
40g,compound,MASS_FLOW_SHARED,5,360.8,4.4944410108488455,7.0,0.0,88.2,4.4944410108488455,18.132831215159957,2.028399687511987,11.368700532993937,1.5591176423517363,0.566435547471442,0.05186267113358081,22.678528398723827,2.0744624135299783,14.587184910137754,1.6491144034739862,0.6312090094513205,0.042447083297126036,1.9090222750686068,0.19872193920412345,19.902102302038042,2.040659497403168,12.556101140649506,1.538699433649847,10.044931687267518,1.1714452715578771,6.7362041977240805,0.845662701306375
40g,compound,conditional_EA,5,360.8,4.4944410108488455,7.0,0.0,88.2,4.4944410108488455,16.371567586286186,2.375872634708675,10.476350743277814,0.628422308768598,0.6456537539577905,0.06946424130392173,22.261415682225454,1.8455438068765158,14.917864668906144,0.9770054222025772,0.6451984049011095,0.029504135578427747,1.7665713618940835,0.21795031066191312,,,,,,,,
40g,compound,paper_style_current_v2,5,360.8,4.4944410108488455,7.0,0.0,88.2,4.4944410108488455,16.239652838100447,2.40242515429105,11.001170568230652,0.7938774633965014,0.6502713567455283,0.07441506381999614,22.08333889854968,2.7348591695709583,15.389487642965259,1.5172151086377006,0.6472129736699785,0.07957443554588789,1.7525430013242882,0.23603762654989086,,,,,,,,
40g,compound,scale_only,5,360.8,4.4944410108488455,7.0,0.0,88.2,4.4944410108488455,18.537279743999555,2.384632058021968,12.847500190698614,1.477165018356405,0.5465323041992294,0.07059874387899752,21.144087195597688,2.276341163386894,13.843433729990547,1.9431071137920988,0.6791394852263924,0.04649383966044056,1.9065499858937964,0.22874684796470504,,,,,,,,
40g,row,ALL_CONTEXT_SHARED_CENTER_WIDTH,5,357.2,6.300793600809345,6.8,1.3038404810405297,92.0,5.787918451395113,14.812702846746046,1.8857730035484161,9.896789176740112,0.7611097644744861,0.6470032381375753,0.08121752959453381,17.538162875377463,1.89198205817949,12.7839560846967,1.498209276780323,0.7538518321113346,0.020133088136487773,1.537691737635295,0.18011719664756082,15.507193376432976,1.6664926959486042,10.695584997670554,1.0610734091093137,9.655735609891305,1.3282383553974604,6.485847379925437,0.814525908718314
40g,row,M3_CENTER_WIDTH_FULL,5,357.2,6.300793600809345,6.8,1.3038404810405297,92.0,5.787918451395113,14.296369902887417,2.9247792437435507,8.890472868237447,1.1799869180448799,0.6658031120288994,0.12431391407990373,17.405772256368508,2.3334228860277895,12.526942914810757,1.6854255093595443,0.7573666305565767,0.03447984221884107,1.4957163475730446,0.27014746088669067,15.197274799208142,2.447226663269025,10.351412216510553,1.2969094537879133,9.653940193303322,1.061348685627972,6.499405241521346,0.854016970232685
40g,row,MASS_FLOW_SHARED,5,357.2,6.300793600809345,6.8,1.3038404810405297,92.0,5.787918451395113,14.821141914627304,1.884443355476321,9.917939520999582,0.7634626226704084,0.6466184308097332,0.08115403510109692,17.55406448580646,1.8825832797407058,12.854774178063124,1.5008693620447924,0.7533899972238551,0.01999568189173051,1.5387047339435003,0.17973460384833834,15.52123679107219,1.6630104089141813,10.739104858109382,1.060001294044922,9.649814446077206,1.3092140908991972,6.535529034493746,0.8142978204478576
40g,row,conditional_EA,5,357.2,6.300793600809345,6.8,1.3038404810405297,92.0,5.787918451395113,15.338436898374761,3.37760205391639,9.671110386210092,1.6198455497692283,0.6133317965237592,0.1515942238439367,18.516817048079872,2.3206132672822033,13.195457596346184,1.6653691865645963,0.7268836164841751,0.017469761528951758,1.605990576040464,0.27508584455483337,,,,,,,,
40g,row,paper_style_current_v2,5,357.2,6.300793600809345,6.8,1.3038404810405297,92.0,5.787918451395113,13.109113220539323,2.5318741104342615,7.987240874441571,0.47736826950657435,0.7208965438625763,0.09526228761842102,15.896779294423913,2.1965660558201576,10.642956748434866,0.8495092720608624,0.7971981107993977,0.034594517374202695,1.369921518333949,0.2367854366015019,,,,,,,,
40g,row,scale_only,5,357.2,6.300793600809345,6.8,1.3038404810405297,92.0,5.787918451395113,17.46094750705074,1.745648218214971,12.332099340090798,0.9229943685034278,0.5109055965397764,0.08910079643433373,18.159402795371722,1.5117643503199125,13.020715362046056,1.3380189785692782,0.7349959522044308,0.023761005716229605,1.7597765400371883,0.15625175527825944,,,,,,,,
