column,protocol,seed,method,n_train,n_valid,n_test,V1_rmse,V1_mae,V1_r2,V2_rmse,V2_mae,V2_r2,combined_normalized_rmse,normalized_rmse,nrmse,combined_nrmse,all_outputs_finite,center_rmse,center_mae,width_rmse,width_mae
25g,row,769539383,MASS_FLOW_SHARED,320,5,83,7.56178621456615,4.992580833970298,0.4687612017334635,9.573266457505708,6.871715406338376,0.6418567456634414,0.7986062598176963,0.7986062598176963,0.7775703577415851,0.7775703577415851,True,7.937228692385149,5.5011427433469855,6.7570471051728545,4.556944099144802
25g,row,769539383,ALL_CONTEXT_SHARED_CENTER_WIDTH,320,5,83,7.523602617043226,4.950269773839531,0.47411268717407773,9.51391587081275,6.856805237536819,0.6462836824441553,0.7943184383863275,0.7943184383863275,0.7733015566782998,0.7733015566782998,True,7.89569474896045,5.457135043846087,6.698537213236808,4.6396635353854645
25g,row,1425370602,conditional_EA,327,7,74,9.448845614532237,4.121364139569787,-0.11458546560475447,13.508650762161295,7.5330093365459385,0.3714578215042823,1.0353753743631997,1.0353753743631997,1.0197082935702224,1.0197082935702224,True,,,,
25g,row,1425370602,scale_only,327,7,74,10.804877450362499,5.385633147857933,-0.4574563616840044,13.851414333653178,7.913138822987909,0.3391563532084021,1.145127325582601,1.145127325582601,1.116415031225293,1.116415031225293,True,,,,
25g,row,1425370602,paper_style_current_v2,327,7,74,8.561660804846218,4.4503824324324315,0.08489294125726432,13.862068305909792,7.608212445945947,0.3381393714920742,0.9808366930977654,0.9808366930977654,0.9744041427062262,0.9744041427062262,True,,,,
25g,row,1425370602,M3_CENTER_WIDTH_FULL,327,7,74,10.092911030928192,4.414072331290106,-0.2717119704281381,13.861254583217427,7.503441864670529,0.33821707349054686,1.0918003947799837,1.0918003947799837,1.0715435865217078,1.0715435865217078,True,11.597447279234851,5.564205505774617,7.071020422786856,4.987750015879036
25g,row,1425370602,MASS_FLOW_SHARED,327,7,74,9.905781326030107,4.349338652328802,-0.22499225361592212,13.285017550218775,7.311563096038587,0.39209636079745225,1.0637805807283107,1.0637805807283107,1.0417476520757307,1.0417476520757307,True,11.226045049831525,5.338073847849754,6.718336113511139,4.628414772307399
25g,row,1425370602,ALL_CONTEXT_SHARED_CENTER_WIDTH,327,7,74,10.09657401894775,4.386612403501131,-0.2726352146740234,13.750193616979825,7.467246593334292,0.3487794370403431,1.0893535502842449,1.0893535502842449,1.0683218816417248,1.0683218816417248,True,11.570652942220036,5.531888105109639,6.818887358787073,4.883995399366056
25g,row,536279090,conditional_EA,326,8,74,13.040940703380588,6.175252867636812,-1.348053923158417,16.266213009584114,8.975757992408344,0.005093881486001317,1.3716428888082026,1.3716428888082026,1.3334066827995399,1.3334066827995399,True,,,,
25g,row,536279090,scale_only,326,8,74,11.431547523006685,6.102125572606909,-0.8042648072010021,13.065816798566816,7.703962856128968,0.35807791105968967,1.1758507040868664,1.1758507040868664,1.131746993648219,1.131746993648219,True,,,,
