method,comparator,metric,statistic,n_pairs,directional_wins,ties,mean_difference,median_difference,sample_std_difference,bootstrap_low,bootstrap_high
gradient_maxdet,kernel_ivr,V1_RMSE,endpoint,2,1,0,0.026515650640703603,0.026515650640703603,0.1237647426901224,-0.06099923818729014,0.11403053946869735
gradient_maxdet,lcmd,V1_RMSE,endpoint,2,1,0,0.029510807248373405,0.029510807248373405,0.13296605409471077,-0.06451039126961389,0.1235320057663607
gradient_maxdet,random,V1_RMSE,endpoint,2,2,0,-1.042838313742108,-1.042838313742108,0.3715678646243961,-1.3055764704890236,-0.7801001569951924
gradient_maxdet,u50_gradient_maxdet,V1_RMSE,endpoint,2,1,0,-0.025016946654521366,-0.025016946654521366,0.1478452614563393,-0.129559333596597,0.07952544028755426
hybrid,kernel_ivr,V1_RMSE,endpoint,2,1,0,0.15787623050737598,0.15787623050737598,0.6873669770507221,-0.3281656201288876,0.6439180811436396
hybrid,lcmd,V1_RMSE,endpoint,2,1,0,0.16087138711504578,0.16087138711504578,0.4306361802658889,-0.14363437617523678,0.46537715040532834
hybrid,random,V1_RMSE,endpoint,2,2,0,-0.9114777338754356,-0.9114777338754356,0.9351700989849958,-1.572742852430621,-0.2502126153202502
hybrid,u50_gradient_maxdet,V1_RMSE,endpoint,2,1,0,0.10634363321215101,0.10634363321215101,0.711447495816939,-0.39672571553819447,0.6094129819624965
kernel_ivr,lcmd,V1_RMSE,endpoint,2,1,0,0.002995156607669802,0.002995156607669802,0.2567307967848332,-0.17854093073831123,0.18453124395365084
kernel_ivr,random,V1_RMSE,endpoint,2,2,0,-1.0693539643828116,-1.0693539643828116,0.24780312193427373,-1.2445772323017334,-0.8941306964638898
kernel_ivr,u50_gradient_maxdet,V1_RMSE,endpoint,2,2,0,-0.05153259729522497,-0.05153259729522497,0.0240805187662169,-0.06856009540930685,-0.034505099181143084
lcmd,random,V1_RMSE,endpoint,2,2,0,-1.0723491209904814,-1.0723491209904814,0.5045339187191069,-1.4291084762553843,-0.7155897657255785
u50_gradient_maxdet,lcmd,V1_RMSE,endpoint,2,1,0,0.05452775390289477,0.05452775390289477,0.2808113155510501,-0.14403583155716815,0.2530913393629577
u50_gradient_maxdet,random,V1_RMSE,endpoint,2,2,0,-1.0178213670875866,-1.0178213670875866,0.22372260316805684,-1.1760171368924266,-0.8596255972827467
gradient_maxdet,hybrid,V1_RMSE,gap_closed,2,1,0,0.09545266986134715,0.09545266986134715,0.28629474168127417,-0.1069882833995327,0.297893623122227
gradient_maxdet,kernel_ivr,V1_RMSE,gap_closed,2,1,0,-0.019839255451398752,-0.019839255451398752,0.06260262997509282,-0.06410599962689911,0.02442748872410161
gradient_maxdet,lcmd,V1_RMSE,gap_closed,2,1,0,-0.006601230129813396,-0.006601230129813396,0.06062430589956115,-0.049469087936120704,0.03626662767649391
gradient_maxdet,random,V1_RMSE,gap_closed,2,2,0,0.4806921446735507,0.4806921446735507,0.059585500082994236,0.4385588335044739,0.5228254558426275
gradient_maxdet,u50_gradient_maxdet,V1_RMSE,gap_closed,2,1,0,0.003587468229023616,0.003587468229023616,0.06829986416722375,-0.044707828877740385,0.05188276533578762
hybrid,kernel_ivr,V1_RMSE,gap_closed,2,1,0,-0.1152919253127459,-0.1152919253127459,0.348897371656367,-0.3619996227491261,0.1314157721236343
hybrid,lcmd,V1_RMSE,gap_closed,2,1,0,-0.10205389999116055,-0.10205389999116055,0.22567043578171297,-0.2616269954457331,0.057519195463412
hybrid,random,V1_RMSE,gap_closed,2,2,0,0.38523947481220355,0.38523947481220355,0.34588024176426835,0.14066521038224689,0.6298137392421602
hybrid,u50_gradient_maxdet,V1_RMSE,gap_closed,2,1,0,-0.09186520163232353,-0.09186520163232353,0.3545946058484979,-0.3426014519999674,0.15887104873532032
kernel_ivr,lcmd,V1_RMSE,gap_closed,2,1,0,0.013238025321585356,0.013238025321585356,0.12322693587465397,-0.07389657666022231,0.10037262730339302
kernel_ivr,random,V1_RMSE,gap_closed,2,2,0,0.5005314001249495,0.5005314001249495,0.0030171298920985854,0.4983979671185259,0.502664833131373
kernel_ivr,u50_gradient_maxdet,V1_RMSE,gap_closed,2,2,0,0.023426723680422368,0.023426723680422368,0.005697234192130927,0.019398170749158727,0.027455276611686008
lcmd,random,V1_RMSE,gap_closed,2,2,0,0.4872933748033641,0.4872933748033641,0.12020980598255539,0.40229220582798,0.5722945437787482
u50_gradient_maxdet,lcmd,V1_RMSE,gap_closed,2,1,0,-0.010188698358837012,-0.010188698358837012,0.1289241700667849,-0.10135185327190832,0.0809744565542343
u50_gradient_maxdet,random,V1_RMSE,gap_closed,2,2,0,0.4771046764445271,0.4771046764445271,0.008714364084229513,0.4709426905068399,0.4832666623822143
