method,phase,start_labels,stop_labels,metric,mean,median,std
kernel_ivr,early,333,525,V2_R2,0.6894682372903063,0.6894682372903063,0.08061095295908563
kernel_ivr,early,333,525,V2_RMSE,8.143705178371258,8.143705178371258,0.9406332445135369
kernel_ivr,early,333,525,combined_normalized_RMSE,0.7240379672681627,0.7240379672681627,0.09279124842832047
kernel_ivr,late,653,1005,V1_MAE,1.8167201303014036,1.8167201303014036,0.07411407801374088
kernel_ivr,late,653,1005,V1_R2,0.7521541904394761,0.7521541904394761,0.025203766468665817
kernel_ivr,late,653,1005,V1_RMSE,3.773078787196859,3.773078787196859,0.07912514553046794
kernel_ivr,late,653,1005,V2_MAE,2.8416505744703096,2.8416505744703096,0.17934176945865843
kernel_ivr,late,653,1005,V2_R2,0.8470753638536301,0.8470753638536301,0.0572290089043725
kernel_ivr,late,653,1005,V2_RMSE,5.714680779602691,5.714680779602691,0.9167168957081633
kernel_ivr,late,653,1005,combined_normalized_RMSE,0.5513787522917046,0.5513787522917046,0.07602974597368471
kernel_ivr,middle,525,653,V1_MAE,2.007914460998931,2.007914460998931,0.07208291515389519
kernel_ivr,middle,525,653,V1_R2,0.6969539992156791,0.6969539992156791,0.01255135516759768
kernel_ivr,middle,525,653,V1_RMSE,4.189166968102883,4.189166968102883,0.2214360049695849
kernel_ivr,middle,525,653,V2_MAE,3.293922210661628,3.293922210661628,0.4048761732677951
kernel_ivr,middle,525,653,V2_R2,0.7914539895476834,0.7914539895476834,0.11801257992122272
kernel_ivr,middle,525,653,V2_RMSE,6.607574344884569,6.607574344884569,1.7878511158185957
kernel_ivr,middle,525,653,combined_normalized_RMSE,0.6235544961637081,0.6235544961637081,0.14042261534112543
lcmd,early,333,525,V1_MAE,2.4804283352516636,2.4804283352516636,0.026619997915921907
lcmd,early,333,525,V1_R2,0.5522683219865082,0.5522683219865082,0.004382548054985505
lcmd,early,333,525,V1_RMSE,5.085299879275915,5.085299879275915,0.18430631657824095
lcmd,early,333,525,V2_MAE,4.283300177990008,4.283300177990008,0.2989663328002109
lcmd,early,333,525,V2_R2,0.6502584449521509,0.6502584449521509,0.09501884147602296
lcmd,early,333,525,V2_RMSE,8.678023946469867,8.678023946469867,0.9823788189167978
lcmd,early,333,525,combined_normalized_RMSE,0.7770089658695631,0.7770089658695631,0.12424100747042087
lcmd,late,653,1005,V1_MAE,1.7338045449175812,1.7338045449175812,0.11600087518675385
lcmd,late,653,1005,V1_R2,0.7625900179080836,0.7625900179080836,0.08119439782902188
