outer_seed,method,phase,start_labels,stop_labels,metric,normalized_partial_AULC
157,u50_gradient_maxdet,middle,525,653,combined_normalized_RMSE,0.5298685057850034
157,u50_gradient_maxdet,middle,525,653,V1_RMSE,3.9695982120220217
157,u50_gradient_maxdet,middle,525,653,V2_RMSE,5.715854493677339
157,u50_gradient_maxdet,middle,525,653,V1_MAE,2.0289553829806026
157,u50_gradient_maxdet,middle,525,653,V2_MAE,3.1568919027166116
157,u50_gradient_maxdet,middle,525,653,V1_R2,0.7137557891251636
157,u50_gradient_maxdet,middle,525,653,V2_R2,0.8554978638618929
157,u50_gradient_maxdet,late,653,1005,combined_normalized_RMSE,0.49644314679263013
157,u50_gradient_maxdet,late,653,1005,V1_RMSE,3.8225210518618087
157,u50_gradient_maxdet,late,653,1005,V2_RMSE,5.04748595180211
157,u50_gradient_maxdet,late,653,1005,V1_MAE,1.8798676244256698
157,u50_gradient_maxdet,late,653,1005,V2_MAE,2.8050440154045475
157,u50_gradient_maxdet,late,653,1005,V1_R2,0.7356481604660465
157,u50_gradient_maxdet,late,653,1005,V2_R2,0.8883783244674749
6101,gradient_maxdet,early,333,525,combined_normalized_RMSE,0.8057823140076869
6101,gradient_maxdet,early,333,525,V1_RMSE,4.795922447687854
6101,gradient_maxdet,early,333,525,V2_RMSE,8.909009683096702
6101,gradient_maxdet,early,333,525,V1_MAE,2.2425552880068382
6101,gradient_maxdet,early,333,525,V2_MAE,4.160130502318116
6101,gradient_maxdet,early,333,525,V1_R2,0.6186640618122928
6101,gradient_maxdet,early,333,525,V2_R2,0.6238566084168217
6101,gradient_maxdet,middle,525,653,combined_normalized_RMSE,0.7320079910672544
6101,gradient_maxdet,middle,525,653,V1_RMSE,4.421204400207337
6101,gradient_maxdet,middle,525,653,V2_RMSE,7.916286766420165
6101,gradient_maxdet,middle,525,653,V1_MAE,2.020131195334794
6101,gradient_maxdet,middle,525,653,V2_MAE,3.6345798887080143
6101,gradient_maxdet,middle,525,653,V1_R2,0.6773874776912006
6101,gradient_maxdet,middle,525,653,V2_R2,0.7051708493476261
6101,gradient_maxdet,late,653,1005,combined_normalized_RMSE,0.6357095255947433
6101,gradient_maxdet,late,653,1005,V1_RMSE,3.9160705110249308
6101,gradient_maxdet,late,653,1005,V2_RMSE,6.653172851889454
6101,gradient_maxdet,late,653,1005,V1_MAE,1.8027966216885503
6101,gradient_maxdet,late,653,1005,V2_MAE,3.1351543157636557
6101,gradient_maxdet,late,653,1005,V1_R2,0.7443363922527737
6101,gradient_maxdet,late,653,1005,V2_R2,0.7889800291207056
6101,hybrid,early,333,525,combined_normalized_RMSE,0.8185988448851643
6101,hybrid,early,333,525,V1_RMSE,4.889719511786022
6101,hybrid,early,333,525,V2_RMSE,9.003642048668121
6101,hybrid,early,333,525,V1_MAE,2.2554807210330674
6101,hybrid,early,333,525,V2_MAE,4.155326012608341
6101,hybrid,early,333,525,V1_R2,0.6024672964650569
6101,hybrid,early,333,525,V2_R2,0.6149863249647909
6101,hybrid,middle,525,653,combined_normalized_RMSE,0.639154817874521
6101,hybrid,middle,525,653,V1_RMSE,3.8452473601548407
6101,hybrid,middle,525,653,V2_RMSE,6.954153312330806
6101,hybrid,middle,525,653,V1_MAE,1.7878239608640007
6101,hybrid,middle,525,653,V2_MAE,3.0900577738416564
6101,hybrid,middle,525,653,V1_R2,0.7541794120239019
6101,hybrid,middle,525,653,V2_R2,0.7705974935248048
6101,hybrid,late,653,1005,combined_normalized_RMSE,0.5189743692271719
6101,hybrid,late,653,1005,V1_RMSE,3.108642644997877
6101,hybrid,late,653,1005,V2_RMSE,5.683591578703974
6101,hybrid,late,653,1005,V1_MAE,1.5534171494414715
6101,hybrid,late,653,1005,V2_MAE,2.6382891122411745
6101,hybrid,late,653,1005,V1_R2,0.8404061020768563
6101,hybrid,late,653,1005,V2_R2,0.8478760609914514
6101,kernel_ivr,early,333,525,combined_normalized_RMSE,0.7896512882665937
6101,kernel_ivr,early,333,525,V1_RMSE,4.671160797567464
6101,kernel_ivr,early,333,525,V2_RMSE,8.808833324176284
6101,kernel_ivr,early,333,525,V1_MAE,2.2350231437660235
6101,kernel_ivr,early,333,525,V2_MAE,4.222561793075763
6101,kernel_ivr,early,333,525,V1_R2,0.6373178058786949
6101,kernel_ivr,early,333,525,V2_R2,0.632467685815027
6101,kernel_ivr,middle,525,653,combined_normalized_RMSE,0.722848279703368
6101,kernel_ivr,middle,525,653,V1_RMSE,4.345745868815735
6101,kernel_ivr,middle,525,653,V2_RMSE,7.871775992631834
6101,kernel_ivr,middle,525,653,V1_MAE,1.9569441428859171
6101,kernel_ivr,middle,525,653,V2_MAE,3.5802128983201453
6101,kernel_ivr,middle,525,653,V1_R2,0.68807885086359
6101,kernel_ivr,middle,525,653,V2_R2,0.7080064940200674
6101,kernel_ivr,late,653,1005,combined_normalized_RMSE,0.6051399012415877
6101,kernel_ivr,late,653,1005,V1_RMSE,3.717128860229893
6101,kernel_ivr,late,653,1005,V2_RMSE,6.362897512986215
6101,kernel_ivr,late,653,1005,V1_MAE,1.7643135631564986
6101,kernel_ivr,late,653,1005,V2_MAE,2.9684643558045214
6101,kernel_ivr,late,653,1005,V1_R2,0.7699759446209118
6101,kernel_ivr,late,653,1005,V2_R2,0.806608343576763
6101,lcmd,early,333,525,combined_normalized_RMSE,0.8648606247533462
6101,lcmd,early,333,525,V1_RMSE,5.215624125543904
6101,lcmd,early,333,525,V2_RMSE,9.372670671019966
6101,lcmd,early,333,525,V1_MAE,2.4616051542101434
6101,lcmd,early,333,525,V2_MAE,4.4947012992595115
6101,lcmd,early,333,525,V1_R2,0.549169392537952
6101,lcmd,early,333,525,V2_R2,0.5830699778039655
6101,lcmd,middle,525,653,combined_normalized_RMSE,0.6347753107954038
6101,lcmd,middle,525,653,V1_RMSE,3.792879998709904
6101,lcmd,middle,525,653,V2_RMSE,6.976523996017649
6101,lcmd,middle,525,653,V1_MAE,1.9562835593303616
6101,lcmd,middle,525,653,V2_MAE,3.496183082925902
6101,lcmd,middle,525,653,V1_R2,0.7592894169078939
6101,lcmd,middle,525,653,V2_R2,0.7685629777493059
6101,lcmd,late,653,1005,combined_normalized_RMSE,0.5480313871940041
6101,lcmd,late,653,1005,V1_RMSE,3.3022654935063174
6101,lcmd,late,653,1005,V2_RMSE,5.947436675122346
6101,lcmd,late,653,1005,V1_MAE,1.6517795394494532
6101,lcmd,late,653,1005,V2_MAE,2.769247335833559
6101,lcmd,late,653,1005,V1_R2,0.8200031272073433
6101,lcmd,late,653,1005,V2_R2,0.8335124511240894
6101,random,early,333,525,combined_normalized_RMSE,0.8426713010774733
6101,random,early,333,525,V1_RMSE,4.966190552914468
6101,random,early,333,525,V2_RMSE,9.44972343483526
6101,random,early,333,525,V1_MAE,2.4964151724065236
6101,random,early,333,525,V2_MAE,4.465057347889998
6101,random,early,333,525,V1_R2,0.5915499823507707
6101,random,early,333,525,V2_R2,0.578782312700623
6101,random,middle,525,653,combined_normalized_RMSE,0.8012690649077543
6101,random,middle,525,653,V1_RMSE,4.756621164536155
6101,random,middle,525,653,V2_RMSE,8.892778019827528
6101,random,middle,525,653,V1_MAE,2.4273106041286203
6101,random,middle,525,653,V2_MAE,4.202774420201921
6101,random,middle,525,653,V1_R2,0.6261460998820705
6101,random,middle,525,653,V2_R2,0.6278382203154756
6101,random,late,653,1005,combined_normalized_RMSE,0.753136657680049
6101,random,late,653,1005,V1_RMSE,4.5782298079988895
6101,random,late,653,1005,V2_RMSE,8.050126645563417
6101,random,late,653,1005,V1_MAE,2.11601464824269
6101,random,late,653,1005,V2_MAE,3.557683827649905
6101,random,late,653,1005,V1_R2,0.6536695734982597
6101,random,late,653,1005,V2_R2,0.6944449311798718
6101,u50_gradient_maxdet,early,333,525,combined_normalized_RMSE,0.8090402770285591
6101,u50_gradient_maxdet,early,333,525,V1_RMSE,4.819833530489586
6101,u50_gradient_maxdet,early,333,525,V2_RMSE,8.932209023589005
6101,u50_gradient_maxdet,early,333,525,V1_MAE,2.2706268412603747
6101,u50_gradient_maxdet,early,333,525,V2_MAE,4.196409528966335
6101,u50_gradient_maxdet,early,333,525,V1_R2,0.6151433996736918
6101,u50_gradient_maxdet,early,333,525,V2_R2,0.6221208486178281
6101,u50_gradient_maxdet,middle,525,653,combined_normalized_RMSE,0.7384833796156804
6101,u50_gradient_maxdet,middle,525,653,V1_RMSE,4.535804837810713
6101,u50_gradient_maxdet,middle,525,653,V2_RMSE,7.76639140682964
6101,u50_gradient_maxdet,middle,525,653,V1_MAE,2.060007812808172
6101,u50_gradient_maxdet,middle,525,653,V2_MAE,3.684136963290848
6101,u50_gradient_maxdet,middle,525,653,V1_R2,0.6602024454363572
6101,u50_gradient_maxdet,middle,525,653,V2_R2,0.7162522767442361
6101,u50_gradient_maxdet,late,653,1005,combined_normalized_RMSE,0.6246704732520129
6101,u50_gradient_maxdet,late,653,1005,V1_RMSE,3.843856332006603
6101,u50_gradient_maxdet,late,653,1005,V2_RMSE,6.5498753410237525
6101,u50_gradient_maxdet,late,653,1005,V1_MAE,1.807197630756271
6101,u50_gradient_maxdet,late,653,1005,V2_MAE,3.130834297700362
6101,u50_gradient_maxdet,late,653,1005,V1_R2,0.7536173249885034
6101,u50_gradient_maxdet,late,653,1005,V2_R2,0.7951776934181244
