scope,outer_seed,method,metric,target,threshold,interpolated_labels,first_observed_labels,sustained_labels,status,censor_budget
seed,157.0,gradient_maxdet,V2_MAE,N80,2.621176891418384,967.7931864285354,973.0,973.0,REACHED,1005.0
seed,157.0,gradient_maxdet,V2_MAE,N90,2.357697397227482,,,,CENSORED,1005.0
seed,157.0,gradient_maxdet,V2_MAE,N95,2.225957650132031,,,,CENSORED,1005.0
seed,157.0,hybrid,V2_MAE,Random@1005,3.684403755681978,437.04869601629974,461.0,461.0,REACHED,1005.0
seed,157.0,hybrid,V2_MAE,N80,2.621176891418384,725.9756336997705,749.0,749.0,REACHED,1005.0
seed,157.0,hybrid,V2_MAE,N90,2.357697397227482,,,,CENSORED,1005.0
seed,157.0,hybrid,V2_MAE,N95,2.225957650132031,,,,CENSORED,1005.0
seed,157.0,kernel_ivr,V2_MAE,Random@1005,3.684403755681978,445.61216745230763,461.0,461.0,REACHED,1005.0
seed,157.0,kernel_ivr,V2_MAE,N80,2.621176891418384,841.9780209440515,845.0,1005.0,REACHED,1005.0
seed,157.0,kernel_ivr,V2_MAE,N90,2.357697397227482,,,,CENSORED,1005.0
seed,157.0,kernel_ivr,V2_MAE,N95,2.225957650132031,,,,CENSORED,1005.0
seed,157.0,lcmd,V2_MAE,Random@1005,3.684403755681978,477.9053211169375,493.0,493.0,REACHED,1005.0
seed,157.0,lcmd,V2_MAE,N80,2.621176891418384,699.5109209824599,717.0,717.0,REACHED,1005.0
seed,157.0,lcmd,V2_MAE,N90,2.357697397227482,,,,CENSORED,1005.0
seed,157.0,lcmd,V2_MAE,N95,2.225957650132031,,,,CENSORED,1005.0
seed,157.0,random,V2_MAE,Random@1005,3.684403755681978,922.5105856853061,941.0,941.0,REACHED,1005.0
seed,157.0,random,V2_MAE,N80,2.621176891418384,,,,CENSORED,1005.0
seed,157.0,random,V2_MAE,N90,2.357697397227482,,,,CENSORED,1005.0
seed,157.0,random,V2_MAE,N95,2.225957650132031,,,,CENSORED,1005.0
seed,157.0,u50_gradient_maxdet,V2_MAE,Random@1005,3.684403755681978,421.7956437327839,429.0,429.0,REACHED,1005.0
seed,157.0,u50_gradient_maxdet,V2_MAE,N80,2.621176891418384,949.8737526752919,973.0,973.0,REACHED,1005.0
seed,157.0,u50_gradient_maxdet,V2_MAE,N90,2.357697397227482,,,,CENSORED,1005.0
seed,157.0,u50_gradient_maxdet,V2_MAE,N95,2.225957650132031,,,,CENSORED,1005.0
seed,157.0,gradient_maxdet,V1_R2,Random@1005,0.6208538228838819,416.8818320170375,429.0,429.0,REACHED,1005.0
seed,157.0,gradient_maxdet,V1_R2,N80,0.7300404689374747,554.3500879303377,557.0,1005.0,REACHED,1005.0
seed,157.0,gradient_maxdet,V1_R2,N90,0.7578896433583053,669.9696457515001,685.0,,REACHED,1005.0
seed,157.0,gradient_maxdet,V1_R2,N95,0.7718142305687206,810.7093011145805,813.0,,REACHED,1005.0
seed,157.0,hybrid,V1_R2,Random@1005,0.6208538228838819,415.56182285671895,429.0,621.0,REACHED,1005.0
seed,157.0,hybrid,V1_R2,N80,0.7300404689374747,,,,CENSORED,1005.0
seed,157.0,hybrid,V1_R2,N90,0.7578896433583053,,,,CENSORED,1005.0
seed,157.0,hybrid,V1_R2,N95,0.7718142305687206,,,,CENSORED,1005.0
seed,157.0,kernel_ivr,V1_R2,Random@1005,0.6208538228838819,441.80920400779763,461.0,461.0,REACHED,1005.0
seed,157.0,kernel_ivr,V1_R2,N80,0.7300404689374747,520.0252254637317,525.0,909.0,REACHED,1005.0
seed,157.0,kernel_ivr,V1_R2,N90,0.7578896433583053,742.50150626755,749.0,,REACHED,1005.0
seed,157.0,kernel_ivr,V1_R2,N95,0.7718142305687206,963.6668399548383,973.0,,REACHED,1005.0
seed,157.0,lcmd,V1_R2,Random@1005,0.6208538228838819,500.3364133126845,525.0,525.0,REACHED,1005.0
seed,157.0,lcmd,V1_R2,N80,0.7300404689374747,939.8930225615067,941.0,1005.0,REACHED,1005.0
seed,157.0,lcmd,V1_R2,N90,0.7578896433583053,,,,CENSORED,1005.0
seed,157.0,lcmd,V1_R2,N95,0.7718142305687206,,,,CENSORED,1005.0
seed,157.0,random,V1_R2,Random@1005,0.6208538228838819,899.4861068855372,909.0,973.0,REACHED,1005.0
seed,157.0,random,V1_R2,N80,0.7300404689374747,,,,CENSORED,1005.0
seed,157.0,random,V1_R2,N90,0.7578896433583053,,,,CENSORED,1005.0
seed,157.0,random,V1_R2,N95,0.7718142305687206,,,,CENSORED,1005.0
seed,157.0,u50_gradient_maxdet,V1_R2,Random@1005,0.6208538228838819,416.8818320170375,429.0,429.0,REACHED,1005.0
