outer_seed,method,source_round,active_label_count,pool_size,candidate_pool_size,top50_cutoff,normalization_scale,selected_gradient_norm_mean,selected_gradient_norm_median,nearest_L_t_gradient_distance_mean,gram_effective_rank,within_batch_mean_absolute_normalized_kernel_correlation,overlap_lcmd_count,overlap_lcmd_fraction,overlap_hybrid_count,overlap_hybrid_fraction,gradient_status,gradient_seconds,selector_seconds,member0_pool_inference_seconds,extra_member_measured_repeat_inference_seconds,ensemble_inference_seconds_total,selected_uncertainty_count,selected_uncertainty_mean,selected_uncertainty_median,gate_nonselected_uncertainty_count,gate_nonselected_uncertainty_mean,gate_nonselected_uncertainty_median,rejected_by_gate_uncertainty_count,rejected_by_gate_uncertainty_mean,rejected_by_gate_uncertainty_median
157,u50_gradient_maxdet,12,717,2613,1307,0.11904736679488286,390.0840089210719,393.17595038754445,375.016300215957,165.08583719749123,7.013603888773262,0.29082322799712673,0,0.0,0,0.0,new_extraction,58.38581512507517,0.1080739579629153,1.4093796249944717,3.9512958750128746,5.360675500007346,32.0,0.3464067678792927,0.26594263032216087,1275.0,0.18832254263294085,0.1676202492700708,1306.0,0.07621702927377765,0.07695558931802692
157,u50_gradient_maxdet,13,749,2581,1291,0.11590645625655549,376.4873643817073,374.1751128652906,364.56878553657856,158.65245426867676,10.440075356689391,0.2538954770319808,1,0.03125,0,0.0,new_extraction,67.28176337503828,0.10335479199420661,1.6917423750273883,3.768221291946247,5.4599636669736356,32.0,0.3701382355909214,0.32579548720417373,1259.0,0.1937925527557028,0.1708435076555572,1290.0,0.07479220871611508,0.0766443302133718
157,u50_gradient_maxdet,14,781,2549,1275,0.12007834468131144,406.29839420005203,379.2592883868256,351.595163019598,172.78360858813647,7.257938032812716,0.3826905046803767,2,0.0625,0,0.0,new_extraction,71.27210241602734,0.07406304206233472,1.8820848329924047,3.1459690000629053,5.02805383305531,32.0,0.28464474537153256,0.28618494023363317,1243.0,0.19262611182303688,0.17205176081995985,1274.0,0.07860010143295432,0.08093926188701775
157,u50_gradient_maxdet,15,813,2517,1259,0.13462320831168226,395.06546551234567,325.5871730442959,331.1272512284594,99.17899653249012,10.925618838604667,0.2393378770502544,2,0.0625,0,0.0,new_extraction,66.57830020796973,0.11160479090176523,1.8086043329676613,3.279801916098222,5.0884062490658835,32.0,0.24020232679961767,0.22313063419149032,1227.0,0.2065391421663757,0.1860844297981639,1258.0,0.0897549672092354,0.09154706163630005
157,u50_gradient_maxdet,16,845,2485,1243,0.13099016604327382,383.01791554404565,320.82749146931735,328.3418248856766,141.88123542456435,9.281076795516498,0.21545627717768262,0,0.0,0,0.0,new_extraction,62.45317500003148,0.1590069589437917,1.2044649159070104,3.990894583053887,5.195359498960897,32.0,0.21719486553568162,0.18470117414435244,1211.0,0.2087460049506959,0.18941713050826048,1242.0,0.0854070252436469,0.0877109133017959
157,u50_gradient_maxdet,17,877,2453,1227,0.11393057785621574,355.86220792165875,297.3557815439532,289.032408167853,117.50914585704118,10.456125846007467,0.1980096275247963,0,0.0,1,0.03125,new_extraction,132.65176729194354,0.19234570895787328,2.535679709049873,5.066654541878961,7.602334250928834,32.0,0.2127440438869752,0.19675825206351016,1195.0,0.1861124800980071,0.16602419385548775,1226.0,0.07232259647482168,0.0738753966594834
157,u50_gradient_maxdet,18,909,2421,1211,0.11510274752285346,349.80531319797535,239.7563209306677,219.23833007365545,149.34024020563567,12.565405299316435,0.17979770704642103,0,0.0,0,0.0,resumed_cache,44.51124941604212,0.07007054099813104,0.9940372080309317,2.2689670419786125,3.263004250009544,32.0,0.2399138268789025,0.20727495876488672,1179.0,0.18707678106862627,0.17217688067913062,1210.0,0.07406310068291298,0.07556231422283859
157,u50_gradient_maxdet,19,941,2389,1195,0.09672086003365805,342.12929911768344,229.68778022678723,218.05930279656747,161.05650161583557,13.304439389733659,0.1763339482740586,1,0.03125,0,0.0,resumed_cache,43.240134917083196,0.06921724998392165,0.9785254580201581,2.3137820839183405,3.2923075419384986,32.0,0.23411351755116386,0.20858462407435935,1163.0,0.16791322760754887,0.15288677075836601,1194.0,0.05244224192739566,0.051491882773727
157,u50_gradient_maxdet,20,973,2357,1179,0.09855391522074346,345.15039821138146,294.7143939888301,300.72491015546575,175.07900453848794,11.935859885133258,0.16263946621555622,0,0.0,0,0.0,new_extraction,36.07696758303791,0.07144091697409749,0.9361621250864118,2.8034890001872554,3.7396511252736673,32.0,0.22440562933999297,0.15163334679355542,1147.0,0.167841815163436,0.15030586380556007,1178.0,0.055744981442518125,0.05449657070478399
6101,gradient_maxdet,0,333,2997,2997,,167.37476610445023,467.2666949428559,432.7034907026663,271.4225512978184,7.765614365560211,0.32398547982526177,11,0.34375,7,0.21875,reused_historical_round0,104.41058604198042,0.1049827910028398,3.336925290990621,0.0,3.336925290990621,,,,,,,,,
6101,gradient_maxdet,1,365,2965,2965,,256.72227614234316,582.5601610775288,517.1780323220345,285.86590969256247,6.649875262547818,0.3618252542645833,2,0.0625,2,0.0625,new_extraction,87.23557966703083,0.17859962489455938,3.043955500004813,0.0,3.043955500004813,,,,,,,,,
6101,gradient_maxdet,2,397,2933,2933,,316.3375132252073,625.7232166429925,589.9766596462821,252.7031276185296,7.080624961527495,0.37057746115678697,5,0.15625,2,0.0625,new_extraction,119.70653824997135,0.16828404203988612,3.3620164160383865,0.0,3.3620164160383865,,,,,,,,,
6101,gradient_maxdet,3,429,2901,2901,,403.51378018972525,741.3213539565005,686.020754561594,237.04732475368806,6.503319920721552,0.36754723050577276,0,0.0,2,0.0625,new_extraction,113.48012933402788,0.18242958304472268,3.305580999935046,0.0,3.305580999935046,,,,,,,,,
6101,gradient_maxdet,4,461,2869,2869,,403.77266820286474,690.0114213546092,669.7099306302589,137.6464648850246,7.672209555366809,0.3163319737169966,1,0.03125,2,0.0625,new_extraction,118.14153162506409,0.18925299996044487,3.045943791978061,0.0,3.045943791978061,,,,,,,,,
6101,gradient_maxdet,5,493,2837,2837,,426.1607395136301,669.8195285038458,660.8772396834449,95.61727406341731,8.312274144957108,0.27904572300472513,1,0.03125,0,0.0,new_extraction,105.18287300004158,0.1722621249500662,2.73401908390224,0.0,2.73401908390224,,,,,,,,,
6101,gradient_maxdet,6,525,2805,2805,,476.95055381197704,578.6599108929931,535.0660484193506,150.63489105784817,9.390561781958969,0.23996164151892135,0,0.0,0,0.0,new_extraction,129.66101541602984,0.2030151659855619,3.284054790972732,0.0,3.284054790972732,,,,,,,,,
6101,gradient_maxdet,7,557,2773,2773,,471.0221347649613,561.7279629066302,506.01622085696783,108.41121597377679,9.23110516921756,0.24389239999718557,0,0.0,0,0.0,new_extraction,131.66887812502682,0.20847941702231765,3.4443889999529347,0.0,3.4443889999529347,,,,,,,,,
6101,gradient_maxdet,8,589,2741,2741,,480.78075021568,565.9340045274732,570.5419379495468,168.53764269732568,8.352418795445109,0.2814271381067607,2,0.0625,1,0.03125,new_extraction,138.59474433294963,0.19663725001737475,3.2477630419889465,0.0,3.2477630419889465,,,,,,,,,
6101,gradient_maxdet,9,621,2709,2709,,444.4392544437099,423.80174204884173,406.3110715623667,177.56228599681177,9.447405702567483,0.2942656573904332,1,0.03125,1,0.03125,new_extraction,118.38135199993849,0.22393400000873953,3.1361562500242144,0.0,3.1361562500242144,,,,,,,,,
6101,gradient_maxdet,10,653,2677,2677,,502.94298600759464,543.1258530745281,536.1100161824472,207.25290374760445,6.319589658565991,0.30563783264227884,0,0.0,0,0.0,new_extraction,139.6305837079417,0.23441124998498708,3.2312804590910673,0.0,3.2312804590910673,,,,,,,,,
6101,gradient_maxdet,11,685,2645,2645,,491.49109020682914,398.6699241865037,383.08918728660217,97.53806253832278,10.805492233729755,0.22908031772805468,0,0.0,0,0.0,new_extraction,131.13256120798178,0.21283083397429436,3.018139291089028,0.0,3.018139291089028,,,,,,,,,
