method,active_label_count,combined_normalized_RMSE,V1_RMSE,V2_RMSE,V1_MAE,V2_MAE,V1_R2,V2_R2
gradient_maxdet,909,0.5336206116263386,3.701955232873055,5.409778733195255,1.741461171234826,2.805032938218517,0.7615046147499496,0.8647388417321145
gradient_maxdet,941,0.5367730513856308,3.757118575187502,5.36410073030553,1.8358445678540556,2.81842404475315,0.7531574291135557,0.8676672894189368
gradient_maxdet,973,0.5328546469301849,3.7281854272441883,5.318844469884207,1.811486356835857,2.7940903553288043,0.7575887406582462,0.8697253737439281
gradient_maxdet,1005,0.5095075423390281,3.5667945851888936,5.089433293664922,1.74777650604431,2.6360779466103024,0.7778649210943103,0.8810673578961157
hybrid,333,0.8529759142704674,5.429356303085303,9.919499844208094,2.6507533174052798,4.810769740911983,0.4915396969311431,0.5491565060988396
hybrid,365,0.8211478788441355,5.311280608927079,9.373891469428319,2.584550967319406,4.5575196119807035,0.5127478446632588,0.5979944724510841
hybrid,397,0.7818223773260871,5.143113203740157,8.649624857059571,2.4952284955292297,4.21931404632916,0.5433835411151655,0.6504517878058382
hybrid,429,0.6821501596410227,4.466171859060073,7.578121997904109,2.233197945485012,3.804430000501857,0.6558929717210832,0.7340141116227585
hybrid,461,0.6915661183573353,4.6444112728708475,7.422058231481781,2.2302794679463336,3.6563456235743828,0.6264297892303872,0.7436378739409635
hybrid,493,0.6885652890996149,4.631727138390167,7.364328209048276,2.251120124646514,3.594943987379829,0.6284786122962066,0.7471215493349239
hybrid,525,0.6535866135509797,4.418770890586352,6.960176414030892,2.1038783514242376,3.488857483120559,0.6603849168390061,0.775642366325511
hybrid,557,0.6320600893083135,4.161976884435288,7.002818746106852,1.9691123499287118,3.321217595816231,0.7008806527908967,0.7733576704581175
hybrid,589,0.6157980535236509,4.228018205080349,6.446466417020687,1.9555225378031924,3.0513123099466593,0.6856590398213416,0.8104945953474912
hybrid,621,0.593920574319403,4.069787344027854,6.237120015082741,1.9538073859912313,2.8539860551591687,0.7075443143763066,0.8219781954020884
hybrid,653,0.5561414661874629,3.848189741012302,5.7922254128522805,1.8241857161624826,2.815517510155694,0.7334022805181161,0.8475216015508574
hybrid,685,0.5369598997383171,3.693494261990934,5.64437788378171,1.7961089662510714,2.7974171867187647,0.7538186651695373,0.8548641813949829
hybrid,717,0.5305254492710416,3.681101693778813,5.487636284901326,1.77399012825186,2.6676199321838308,0.7565928964778255,0.8630277283387893
hybrid,749,0.5383289138375519,3.712695544795245,5.579051722723944,1.723274343019481,2.734926180302096,0.7569278936533164,0.857470773310553
hybrid,781,0.5332817964452858,3.6985591169625147,5.495539981890165,1.7620310986356484,2.638556858332609,0.7537553488687027,0.8618620836386677
hybrid,813,0.5377480106182639,3.793807735826279,5.380864316495867,1.812607661139765,2.494051234041758,0.7394019335666959,0.8682769745168251
hybrid,845,0.5431532749108027,3.7495671286388084,5.6340480413997795,1.7379402090891374,2.6139763344963676,0.7484180055873537,0.8544876663895814
hybrid,877,0.5204801878870955,3.5840304776548564,5.4391637726092075,1.6794302457814023,2.456722409890996,0.7708089140976928,0.8649689966566025
hybrid,909,0.5253133826062577,3.63505261973825,5.4649981389050035,1.6879423765255681,2.4638457046710043,0.7614740705325265,0.8640784638833826
hybrid,941,0.5253749642438119,3.6330155652049836,5.46532735791765,1.7449717630299446,2.51713793683681,0.7623900584343095,0.8639464773271024
hybrid,973,0.5192265475064193,3.6645586634128646,5.197405266676664,1.7227562708820372,2.4934033627132717,0.7569885840534051,0.8772333336640533
hybrid,1005,0.5271588513106987,3.698155165055566,5.323830460166622,1.691823138893365,2.4405615752835352,0.753045095343694,0.870766935083024
kernel_ivr,333,0.8529759142704674,5.429356303085303,9.919499844208094,2.6507533174052798,4.810769740911983,0.4915396969311431,0.5491565060988396
kernel_ivr,365,0.8135380106252637,5.209142712340071,9.495099146763973,2.49834817290592,4.556515474113629,0.5285334803099498,0.5905713074514519
kernel_ivr,397,0.7463906060353829,4.876319873806002,8.487904955655253,2.568437543847292,4.530077435701585,0.5844797398237,0.6723495048777671
