outer_seed,strategy,mean_transfer_prediction_shift,median_transfer_prediction_shift,mean_target_ensemble_uncertainty,mean_quantile_width,mean_latent_distance,mean_target_representativeness,mean_pool_knn10_distance,batch_mean_pairwise_distance,batch_min_pairwise_distance,informative_shortlist_mean_distance_to_batch,informative_shortlist_max_distance_to_batch,selected_unique_compounds,compound_hhi,mean_abs_condition_z,max_abs_condition_z,condition_distribution
525,transfer_shift_uncertainty_representative,2.3966416083800426,2.291929936358635,0.7050772169582413,1.899408680849343,9.251970892079767,-6.817006261699381,6.817006261699381,16.062448994512252,6.153935340035786,5.353382923862864,15.354108380701781,8,0.16000000000000003,0.6122526,4.0800023,"{""mean"": [86.30977630615234, 2.710366725921631, 2.793888568878174, 0.0, 0.20611152052879333, 2.378715991973877, 1.7999999523162842, 113.99201965332031, 320.0], ""std"": [0.1786646693944931, 2.418489456176758, 0.18391557037830353, 0.0, 0.18391557037830353, 0.18549731373786926, 0.5999999642372131, 21.0726375579834, 60.0]}"
525,pretrained_random,0.5431464805391373,0.43786636397540946,0.1645971084584435,0.6210112383360124,5.879860272134163,-4.09463602671469,4.09463602671469,10.372169592101553,4.087573244912036,9.427489823426926,32.13897783937048,10,0.10000000000000003,0.91023684,3.8311968,"{""mean"": [86.74708557128906, 8.630043029785156, 2.3437230587005615, 0.0, 0.656277060508728, 1.924679160118103, 1.600000023841858, 116.35099792480469, 320.0], ""std"": [0.7084129452705383, 9.589495658874512, 0.729239284992218, 0.0, 0.729239284992218, 0.7355107665061951, 0.800000011920929, 20.206100463867188, 60.0]}"
525,pretrained_coverage,2.898475544836711,3.1665719358661235,1.3909750984488873,2.44223805253,15.796556726467847,-11.309871507853282,11.309871507853282,21.52467796255988,9.193458416915593,11.88144089039096,16.438080086832837,10,0.10000000000000003,1.0287881,5.744271,"{""mean"": [86.56261444091797, 6.132983207702637, 2.533613443374634, 0.0, 0.466386616230011, 2.1162025928497314, 1.600000023841858, 115.49000549316406, 410.0], ""std"": [0.7495999336242676, 10.147032737731934, 0.7716374397277832, 0.0, 0.7716375589370728, 0.7782736420631409, 0.800000011920929, 12.434490203857422, 211.8961944580078]}"
525,pretrained_ensemble,3.0453930637267654,3.3798540625184312,2.341483749421544,2.4368350285317133,13.427408080989167,-10.205708064821481,10.205708064821481,18.907704042046444,4.743974095053555,6.879954828090167,12.611137765900496,10,0.10000000000000003,0.7280545,4.0800023,"{""mean"": [86.27118682861328, 2.1879830360412598, 2.833613634109497, 0.0, 0.16638655960559845, 2.4187827110290527, 1.7999999523162842, 122.302001953125, 370.0], ""std"": [0.19625160098075867, 2.6565582752227783, 0.202019602060318, 0.0, 0.20201964676380157, 0.20375704765319824, 0.5999999642372131, 26.945575714111328, 155.2417449951172]}"
525,pretrained_hybrid,2.811837351968141,3.1665719358661235,1.5705168133639096,2.3790785151976603,14.840190636508897,-11.113894255318515,11.113894255318515,21.83434042830785,9.419501447484253,10.311990954425577,14.551689247074178,9,0.12000000000000002,0.8578409,3.8311968,"{""mean"": [86.47091674804688, 4.891652584075928, 2.6280112266540527, 0.0, 0.37198883295059204, 2.211411952972412, 1.600000023841858, 119.92201232910156, 320.0], ""std"": [0.5951365232467651, 8.056116104125977, 0.6126323938369751, 0.0, 0.6126323938369751, 0.6179010272026062, 0.800000011920929, 19.85772132873535, 60.0]}"
525,pretrained_quantile_width,3.7876550724577145,3.6263556559721337,1.4928241259973127,3.106455440919905,15.651701138660206,-12.029531103904159,12.029531103904159,14.594460791371896,7.746266312353435,13.509117135409625,22.164688130229187,10,0.10000000000000003,0.52666724,1.4513993,"{""mean"": [86.30435943603516, 2.6370320320129395, 2.7994651794433594, 0.0, 0.20053474605083466, 2.384340763092041, 1.600000023841858, 109.26200103759766, 320.0], ""std"": [0.13482633233070374, 1.825071096420288, 0.1387885957956314, 0.0, 0.13878868520259857, 0.13998238742351532, 0.800000011920929, 6.244885444641113, 60.0]}"
1101,transfer_shift,4.344558428459215,3.8760914345037056,1.2926274956182469,2.8974077849993582,29.40311034342472,-22.47609271022853,22.47609271022853,28.56088004941372,2.037299250305197,21.229620267961483,51.386017795019455,8,0.16000000000000003,0.79106617,12.962422,"{""mean"": [86.25724029541016, 1.9991213083267212, 2.847975730895996, 0.0, 0.15202444791793823, 2.4332680702209473, 1.7999999523162842, 107.64200592041016, 320.0], ""std"": [0.10328347235918045, 1.3980846405029297, 0.10631819069385529, 0.0, 0.10631823539733887, 0.10723266750574112, 0.5999999642372131, 6.3860063552856445, 60.0]}"
1101,transfer_shift_uncertainty,3.85094055389204,3.782920164203405,2.002916481372005,2.6489935491281247,26.216202813553302,-20.556435016595962,20.556435016595962,27.43242259943418,7.193856988096645,17.803877913310473,50.138945081044966,10,0.10000000000000003,0.7983984,12.962422,"{""mean"": [86.23497009277344, 1.6977462768554688, 2.870893955230713, 0.0, 0.12910619378089905, 2.456383466720581, 2.0, 108.8320083618164, 320.0], ""std"": [0.10728233307600021, 1.4522171020507812, 0.11043471097946167, 0.0, 0.11043476313352585, 0.11138460040092468, 0.0, 6.9700798988342285, 60.0]}"
1101,transfer_shift_uncertainty_representative,2.3947190939287166,2.0001502472555126,0.8840259384672748,1.645976947203129,18.317054064643507,-12.659324589455162,12.659324589455162,31.537474173956152,8.110952638079137,8.941210914544351,24.509032952359735,9,0.12000000000000002,1.079472,32.640316,"{""mean"": [86.2580795288086, 2.0105066299438477, 2.8471100330352783, 0.0, 0.15289025008678436, 2.4323949813842773, 1.7999999523162842, 124.91200256347656, 350.0], ""std"": [0.17315265536308289, 2.343876838684082, 0.17824161052703857, 0.0, 0.1782415807247162, 0.17977449297904968, 0.5999999642372131, 28.538494110107422, 150.0]}"
1101,pretrained_random,0.9473482019555204,0.7153012634878217,0.15572249823668438,0.6886089006329328,6.417244496843116,-5.322032122085629,5.322032122085629,12.017433503347148,6.332573544893344,13.4246250394266,62.26648755989001,10,0.10000000000000003,0.7580605,2.7817392,"{""mean"": [86.83879089355469, 9.871373176574707, 2.2493252754211426, 0.0, 0.750674843788147, 1.8294696807861328, 1.0, 107.3800048828125, 300.0], ""std"": [0.7156220078468323, 9.687079429626465, 0.7366600632667542, 0.0, 0.7366600036621094, 0.7429953813552856, 1.0, 21.608552932739258, 0.0]}"
1101,pretrained_coverage,3.3724075094518717,3.782920164203405,1.2710101323493699,2.4127639280867568,33.93136755497756,-23.255977602701478,23.255977602701478,44.06975333992333,17.39137125473283,24.350434023262693,30.616382571648685,9,0.12000000000000002,2.0329027,45.75891,"{""mean"": [86.57646942138672, 6.320505142211914, 2.5193533897399902, 0.0, 0.48064684867858887, 2.1018197536468506, 2.0, 118.72099304199219, 470.0], ""std"": [0.7430543303489685, 10.058430671691895, 0.7648996114730835, 0.0, 0.7648996114730835, 0.7714778184890747, 0.0, 19.103729248046875, 236.85438537597656]}"
1101,pretrained_ensemble,3.071400744790209,2.9402907070310516,2.4798000221160064,2.1070198205833535,21.461914247555214,-15.708272663168136,15.708272663168136,27.44691491688517,7.193856988096645,13.1513210273876,31.722431064306463,10,0.10000000000000003,1.0778073,32.640316,"{""mean"": [86.22655487060547, 1.5838935375213623, 2.879551887512207, 0.0, 0.12044818699359894, 2.465116024017334, 2.0, 121.4800033569336, 350.0], ""std"": [0.10622972249984741, 1.4379706382751465, 0.10935132950544357, 0.0, 0.10935138911008835, 0.11029192060232162, 0.0, 26.738426208496094, 150.0]}"
1101,pretrained_hybrid,3.470258900281273,3.782920164203405,1.296940116157144,2.499219984973471,34.74646402956053,-23.442628321635993,23.442628321635993,42.97683224003043,17.39137125473283,24.368586049328453,32.895404256118454,10,0.10000000000000003,2.0502808,45.75891,"{""mean"": [86.41456604003906, 4.128838539123535, 2.6860201358795166, 0.0, 0.3139801621437073, 2.2699196338653564, 2.0, 120.57099914550781, 480.0], ""std"": [0.5568823218345642, 7.538293361663818, 0.5732542276382446, 0.0, 0.5732542872428894, 0.5781842470169067, 0.0, 23.03751564025879, 248.19346618652344]}"
1101,pretrained_quantile_width,4.298161735498053,3.8760914345037056,1.4315217689580324,2.929075028591498,30.118568643854964,-23.138216090262283,23.138216090262283,28.494496431320993,2.037299250305197,25.821590826551386,51.386017795019455,8,0.16000000000000003,0.79035026,12.962422,"{""mean"": [86.25179290771484, 1.9254518747329712, 2.8535778522491455, 0.0, 0.14642220735549927, 2.438918352127075, 1.7999999523162842, 108.56199645996094, 320.0], ""std"": [0.10739867389202118, 1.4537912607192993, 0.11055441945791245, 0.0, 0.11055448651313782, 0.11150534451007843, 0.5999999642372131, 6.298683166503906, 60.0]}"
