outer_seed,strategy,selection_origin,query_rank,sample_id,canonical_smiles
525,transfer_shift_uncertainty,D43_new,8,28c4b7ec4bf7f486b68c,CCOC(=O)C(Br)C(=O)OCC
525,transfer_shift_uncertainty,D43_new,9,f1afcbd393ce4f5a6316,COc1ccc(CO)cc1
525,transfer_shift_uncertainty,D43_new,10,4c6a8ef1c87748df99f2,CCC(=O)c1cccnc1
525,transfer_shift_uncertainty_representative,D43_new,1,2eda4e5a40a9021016cb,O=C(Cc1ccccc1F)C1CC1
525,transfer_shift_uncertainty_representative,D43_new,2,f191e08b3e95928a5423,CC(=O)c1ccc2c(c1)OCO2
525,transfer_shift_uncertainty_representative,D43_new,3,b36d7c12e6d3072467ee,CCOC(=O)/C=C/c1ccccc1
525,transfer_shift_uncertainty_representative,D43_new,4,e399250d7156727de0fd,COC(=O)c1ccc(C(C)(C)C)cc1
525,transfer_shift_uncertainty_representative,D43_new,5,47404d0982a587f0393e,COCCOC(=O)CC(C)=O
525,transfer_shift_uncertainty_representative,D43_new,6,bcb35848089ca50a1eef,CCOC(=O)CC(C)=O
525,transfer_shift_uncertainty_representative,D43_new,7,226ebdbf914ce9333de8,O=Cc1ccc(Br)cc1O
525,transfer_shift_uncertainty_representative,D43_new,8,ef8527c6b63d54b73966,CCOC(=O)CC(C)=O
525,transfer_shift_uncertainty_representative,D43_new,9,bd0519702a5756bc3c94,CCOC(=O)C(Cc1ccccc1)C(C)=O
525,transfer_shift_uncertainty_representative,D43_new,10,86f385aa0925171d22cc,CCOC(=O)CC(C)=O
525,pretrained_random,historical_E4_round1,1,fdc873b5607287090ff3,CSc1ccc(C=O)cc1
525,pretrained_random,historical_E4_round1,2,6644e934f59d8b816b9f,ClCCCc1ccccc1
525,pretrained_random,historical_E4_round1,3,0f05b5ba6eb528d54b4b,O=C(c1ccccc1)c1cccc(C(=O)c2ccccc2)c1
525,pretrained_random,historical_E4_round1,4,8b67a1246fe892b6581d,CC(C)CCOC(=O)c1ccccc1
525,pretrained_random,historical_E4_round1,5,6dcfe9b1e0958f22523b,O=Cc1ccc(-c2ccccc2)cc1
525,pretrained_random,historical_E4_round1,6,5048acae682925888d12,Cc1ccc(C(=O)c2ccccc2)cc1C
525,pretrained_random,historical_E4_round1,7,bcf8bb13e4fca185fe68,FC(F)(F)c1cc(Br)cc(C(F)(F)F)c1
525,pretrained_random,historical_E4_round1,8,56f1cecfc0c6c3d224be,CCOC(=O)/C=C/c1ccccc1
525,pretrained_random,historical_E4_round1,9,41921840a5681261ba98,CCOC(=O)C(Cc1ccccc1)C(C)=O
525,pretrained_random,historical_E4_round1,10,a7f9a08159d001c30f67,BrC(=C(c1ccccc1)c1ccccc1)c1ccccc1
525,pretrained_coverage,historical_E4_round1,1,07e9bc7a9d27fdd58c2f,O=C(c1ccccc1)c1cccc(C(=O)c2ccccc2)c1
525,pretrained_coverage,historical_E4_round1,2,dc9f747c03c55d77bf72,BrC(=C(c1ccccc1)c1ccccc1)c1ccccc1
525,pretrained_coverage,historical_E4_round1,3,f95928e2618ed15e654f,COc1ccc(C=O)cc1
525,pretrained_coverage,historical_E4_round1,4,3d5dc8831f4c74f7b7d1,COc1ccc(CCO)cc1
525,pretrained_coverage,historical_E4_round1,5,bd0519702a5756bc3c94,CCOC(=O)C(Cc1ccccc1)C(C)=O
525,pretrained_coverage,historical_E4_round1,6,f5634113e0822bda1c03,CC(=O)c1ccc2c(c1)OCO2
