outer_seed,method,round,active_label_count,unlabeled_count,incoming_batch_count,selected_ids_unique,selected_from_previous_U_t,trajectory_transition_pass
2357,lcmd,1,365,2965,32,True,True,True
2357,lcmd,2,397,2933,32,True,True,True
2357,lcmd,3,429,2901,32,True,True,True
2357,lcmd,4,461,2869,32,True,True,True
2357,lcmd,5,493,2837,32,True,True,True
2357,lcmd,6,525,2805,32,True,True,True
2357,lcmd,7,557,2773,32,True,True,True
2357,lcmd,8,589,2741,32,True,True,True
2357,lcmd,9,621,2709,32,True,True,True
2357,lcmd,10,653,2677,32,True,True,True
2357,lcmd,11,685,2645,32,True,True,True
2357,lcmd,12,717,2613,32,True,True,True
2357,lcmd,13,749,2581,32,True,True,True
2357,lcmd,14,781,2549,32,True,True,True
2357,lcmd,15,813,2517,32,True,True,True
2357,lcmd,16,845,2485,32,True,True,True
2357,lcmd,17,877,2453,32,True,True,True
2357,lcmd,18,909,2421,32,True,True,True
2357,lcmd,19,941,2389,32,True,True,True
2357,lcmd,20,973,2357,32,True,True,True
2357,lcmd,21,1005,2325,32,True,True,True
6101,random,0,333,2997,0,True,True,True
6101,random,1,365,2965,32,True,True,True
6101,random,2,397,2933,32,True,True,True
6101,random,3,429,2901,32,True,True,True
6101,random,4,461,2869,32,True,True,True
6101,random,5,493,2837,32,True,True,True
6101,random,6,525,2805,32,True,True,True
6101,random,7,557,2773,32,True,True,True
6101,random,8,589,2741,32,True,True,True
6101,random,9,621,2709,32,True,True,True
6101,random,10,653,2677,32,True,True,True
6101,random,11,685,2645,32,True,True,True
6101,random,12,717,2613,32,True,True,True
6101,random,13,749,2581,32,True,True,True
6101,random,14,781,2549,32,True,True,True
6101,random,15,813,2517,32,True,True,True
6101,random,16,845,2485,32,True,True,True
6101,random,17,877,2453,32,True,True,True
6101,random,18,909,2421,32,True,True,True
6101,random,19,941,2389,32,True,True,True
6101,random,20,973,2357,32,True,True,True
6101,random,21,1005,2325,32,True,True,True
6101,hybrid,0,333,2997,0,True,True,True
6101,hybrid,1,365,2965,32,True,True,True
6101,hybrid,2,397,2933,32,True,True,True
6101,hybrid,3,429,2901,32,True,True,True
6101,hybrid,4,461,2869,32,True,True,True
6101,hybrid,5,493,2837,32,True,True,True
6101,hybrid,6,525,2805,32,True,True,True
6101,hybrid,7,557,2773,32,True,True,True
6101,hybrid,8,589,2741,32,True,True,True
6101,hybrid,9,621,2709,32,True,True,True
6101,hybrid,10,653,2677,32,True,True,True
6101,hybrid,11,685,2645,32,True,True,True
6101,hybrid,12,717,2613,32,True,True,True
6101,hybrid,13,749,2581,32,True,True,True
6101,hybrid,14,781,2549,32,True,True,True
6101,hybrid,15,813,2517,32,True,True,True
6101,hybrid,16,845,2485,32,True,True,True
6101,hybrid,17,877,2453,32,True,True,True
6101,hybrid,18,909,2421,32,True,True,True
6101,hybrid,19,941,2389,32,True,True,True
6101,hybrid,20,973,2357,32,True,True,True
6101,hybrid,21,1005,2325,32,True,True,True
6101,lcmd,0,333,2997,0,True,True,True
6101,lcmd,1,365,2965,32,True,True,True
6101,lcmd,2,397,2933,32,True,True,True
6101,lcmd,3,429,2901,32,True,True,True
6101,lcmd,4,461,2869,32,True,True,True
6101,lcmd,5,493,2837,32,True,True,True
6101,lcmd,6,525,2805,32,True,True,True
6101,lcmd,7,557,2773,32,True,True,True
6101,lcmd,8,589,2741,32,True,True,True
6101,lcmd,9,621,2709,32,True,True,True
6101,lcmd,10,653,2677,32,True,True,True
6101,lcmd,11,685,2645,32,True,True,True
6101,lcmd,12,717,2613,32,True,True,True
6101,lcmd,13,749,2581,32,True,True,True
6101,lcmd,14,781,2549,32,True,True,True
6101,lcmd,15,813,2517,32,True,True,True
6101,lcmd,16,845,2485,32,True,True,True
6101,lcmd,17,877,2453,32,True,True,True
6101,lcmd,18,909,2421,32,True,True,True
6101,lcmd,19,941,2389,32,True,True,True
6101,lcmd,20,973,2357,32,True,True,True
6101,lcmd,21,1005,2325,32,True,True,True
12203,random,0,333,2997,0,True,True,True
12203,random,1,365,2965,32,True,True,True
12203,random,2,397,2933,32,True,True,True
12203,random,3,429,2901,32,True,True,True
12203,random,4,461,2869,32,True,True,True
12203,random,5,493,2837,32,True,True,True
12203,random,6,525,2805,32,True,True,True
12203,random,7,557,2773,32,True,True,True
12203,random,8,589,2741,32,True,True,True
12203,random,9,621,2709,32,True,True,True
12203,random,10,653,2677,32,True,True,True
12203,random,11,685,2645,32,True,True,True
12203,random,12,717,2613,32,True,True,True
12203,random,13,749,2581,32,True,True,True
12203,random,14,781,2549,32,True,True,True
12203,random,15,813,2517,32,True,True,True
12203,random,16,845,2485,32,True,True,True
12203,random,17,877,2453,32,True,True,True
12203,random,18,909,2421,32,True,True,True
12203,random,19,941,2389,32,True,True,True
12203,random,20,973,2357,32,True,True,True
12203,random,21,1005,2325,32,True,True,True
12203,hybrid,0,333,2997,0,True,True,True
12203,hybrid,1,365,2965,32,True,True,True
12203,hybrid,2,397,2933,32,True,True,True
12203,hybrid,3,429,2901,32,True,True,True
12203,hybrid,4,461,2869,32,True,True,True
12203,hybrid,5,493,2837,32,True,True,True
12203,hybrid,6,525,2805,32,True,True,True
12203,hybrid,7,557,2773,32,True,True,True
12203,hybrid,8,589,2741,32,True,True,True
12203,hybrid,9,621,2709,32,True,True,True
12203,hybrid,10,653,2677,32,True,True,True
12203,hybrid,11,685,2645,32,True,True,True
12203,hybrid,12,717,2613,32,True,True,True
12203,hybrid,13,749,2581,32,True,True,True
12203,hybrid,14,781,2549,32,True,True,True
12203,hybrid,15,813,2517,32,True,True,True
12203,hybrid,16,845,2485,32,True,True,True
12203,hybrid,17,877,2453,32,True,True,True
12203,hybrid,18,909,2421,32,True,True,True
12203,hybrid,19,941,2389,32,True,True,True
12203,hybrid,20,973,2357,32,True,True,True
12203,hybrid,21,1005,2325,32,True,True,True
12203,lcmd,0,333,2997,0,True,True,True
12203,lcmd,1,365,2965,32,True,True,True
12203,lcmd,2,397,2933,32,True,True,True
12203,lcmd,3,429,2901,32,True,True,True
12203,lcmd,4,461,2869,32,True,True,True
12203,lcmd,5,493,2837,32,True,True,True
12203,lcmd,6,525,2805,32,True,True,True
12203,lcmd,7,557,2773,32,True,True,True
12203,lcmd,8,589,2741,32,True,True,True
12203,lcmd,9,621,2709,32,True,True,True
12203,lcmd,10,653,2677,32,True,True,True
12203,lcmd,11,685,2645,32,True,True,True
12203,lcmd,12,717,2613,32,True,True,True
12203,lcmd,13,749,2581,32,True,True,True
12203,lcmd,14,781,2549,32,True,True,True
12203,lcmd,15,813,2517,32,True,True,True
12203,lcmd,16,845,2485,32,True,True,True
12203,lcmd,17,877,2453,32,True,True,True
12203,lcmd,18,909,2421,32,True,True,True
12203,lcmd,19,941,2389,32,True,True,True
12203,lcmd,20,973,2357,32,True,True,True
12203,lcmd,21,1005,2325,32,True,True,True
