outer_seed,method,round,active_label_count,V1_RMSE,V2_RMSE,V1_MAE,V2_MAE,V1_R2,V2_R2
887,lcmd,1,365,3.809283698723879,7.3838759042839754,2.0438662114189112,3.7457559205931155,0.6510071334350291,0.6935227153039654
887,lcmd,2,397,3.4994044759862035,6.6755451964413846,1.9051589860047082,3.7248757428688397,0.7054776889828961,0.7495027317469986
887,lcmd,3,429,3.556956193952367,6.524940216378326,1.9752866078337892,3.6356552110301505,0.6957105138166754,0.7606780203422701
887,lcmd,4,461,3.3003836701160827,5.949281196779349,1.7632240391463685,3.3017997661654612,0.7380256491721332,0.8010433287433752
887,lcmd,5,493,3.0634083022964864,5.6609099371395155,1.6714891915698704,2.999178786929563,0.7742957776609869,0.819863382378354
887,lcmd,6,525,3.139140502577665,5.8140654618552965,1.691567455264304,3.220097161025452,0.762998321140089,0.8099843605834434
887,lcmd,7,557,3.0722544169377106,5.666105454170035,1.5809072536244382,2.9073834236291387,0.7729903766186944,0.8195325760749751
887,lcmd,8,589,2.819048811504639,5.3181935499243425,1.4427468636624818,2.817320497773534,0.80886725150603,0.8410143997810355
887,lcmd,9,621,2.8188001523964705,5.1474728824640925,1.4852553494542622,2.813339178510707,0.8089009684125922,0.8510578400594627
887,lcmd,10,653,2.899265572133405,5.157896042437106,1.4305734628681943,2.682222297723345,0.7978350277379322,0.8504540409613184
887,lcmd,11,685,2.9329439038584737,5.071806345129524,1.465722970825305,2.70751229864802,0.7931109873912042,0.8554044797248255
887,lcmd,12,717,2.7239052531452552,5.072640204619628,1.5126840953918383,2.6650397931929115,0.8215510864863398,0.8553569297001212
887,lcmd,13,749,2.75931994099166,4.852149016952848,1.4337686646184762,2.651826087805293,0.8168807366349022,0.8676579756796609
887,lcmd,14,781,2.835877719801961,5.0281417967848006,1.4765220088638562,2.607314338501123,0.8065784252621339,0.8578834860169041
887,lcmd,15,813,2.739503336611531,5.127300290842811,1.3766122956355984,2.5990896019146597,0.8195015066742996,0.8522229407312475
887,lcmd,16,845,2.7041607848935145,4.932043592694312,1.4089864518145006,2.5660118382039974,0.8241287158965304,0.8632638568095621
887,lcmd,17,877,2.768228146592751,5.16012771920875,1.5380981963315457,2.809201351458506,0.815696461325044,0.8503246042918253
887,lcmd,18,909,2.678620211490623,4.790953886156123,1.3480033920251495,2.376304701935473,0.827435206305867,0.8709751109452166
887,lcmd,19,941,2.767605388091394,4.85127313419955,1.3574646479791874,2.2858380836834438,0.8157793762287443,0.8677057506486371
887,lcmd,20,973,2.7303607734803728,4.849968470190898,1.3900808802039788,2.412073470419831,0.8207042540518684,0.8677768974722071
887,lcmd,21,1005,2.710205332822526,4.896134709355479,1.4237293036435719,2.499425110485342,0.8233415951517695,0.8652476867467775
2357,random,0,333,5.195856190207441,9.459342527954279,2.6328683785683245,4.671406845394656,0.4961880110195067,0.5860630511215065
2357,random,1,365,4.944186282958245,8.7523862406954,2.537692374748578,4.557201113346383,0.5438119503897851,0.6456232343894655
2357,random,2,397,4.989246618551788,8.886129748944752,2.471906618534518,4.3217899176142485,0.5354588435184318,0.6347101617799349
2357,random,3,429,4.488445754337106,7.400896447557993,2.270370393634128,3.8842859645541625,0.6240360401790455,0.7466149742431447
2357,random,4,461,4.542131805813063,7.970157302328188,2.4951285029486785,4.215596108699589,0.6149884849281044,0.706136209374805
2357,random,5,493,4.52279934397979,7.7938491300909,2.271736695612077,3.8674650409524673,0.6182589229618969,0.7189935555508965
2357,random,6,525,4.341396040344198,7.1229468009829695,2.2917871503807086,3.6208226114725894,0.6482670414271215,0.7652899466925994
2357,random,7,557,4.457456562059121,7.37673924593836,2.2125953553106004,3.7329009099544095,0.6292095903109514,0.7482664183153938
2357,random,8,589,4.226725097483951,6.783981193403339,2.094878617522242,3.423738241767426,0.66660256158496,0.7870971078101034
2357,random,9,621,4.49133284474941,7.23961028479786,2.2408010719491425,3.599877565598888,0.6235522241339858,0.7575385671993851
2357,random,10,653,4.416038945368891,7.306132302737015,2.1469382290645753,3.6555842461345867,0.6360681684636589,0.7530623247307684
2357,random,11,685,4.228158621519819,7.239993113323208,1.993479798451888,3.438159022113974,0.666376374985322,0.7575129239386849
2357,random,12,717,4.312237600770433,6.868938572536299,2.0449190208380172,3.3580853304417015,0.6529759150754529,0.7817312527825654
2357,random,13,749,4.071405738520318,6.750859424528781,2.0205814666885265,3.2720583325667345,0.6906550559159742,0.7891709655360204
