method,round,active_label_count,active_label_fraction_outer_train,shared_validation_label_count,total_observed_non_test_labels,total_observed_fraction_full_dataset,combined_normalized_RMSE,V1_RMSE,V2_RMSE,V1_MAE,V2_MAE,V1_R2,V2_R2
lcmd,7,557.0,0.16726726726726726,416.0,973.0,0.23372567859716548,0.4831940110855217,3.6902820992724257,6.104106116574885,1.9173730128674769,3.2089547916567867,0.7380261141759916,0.8192753370060375
lcmd,8,589.0,0.17687687687687687,416.0,1005.0,0.24141244294979583,0.45560083655998296,3.532730878227219,5.621858107089885,1.8433536233947716,3.016784630119086,0.7586179953460837,0.8469548172599254
lcmd,9,621.0,0.1864864864864865,416.0,1037.0,0.24909920730242613,0.44758397199080563,3.4869686236002537,5.533785918679131,1.7971006044666828,2.9548859376701517,0.7651495864073601,0.8524567183481822
lcmd,10,653.0,0.1960960960960961,416.0,1069.0,0.25678597165505646,0.4367913643948073,3.4007379508222164,5.426925384797538,1.7304731202068375,2.8330964063283064,0.7760482661914259,0.8573371831556212
lcmd,11,685.0,0.20570570570570573,416.0,1101.0,0.2644727360076868,0.43107539208805373,3.391053814720493,5.258997349443609,1.7291188483615574,2.838923332731215,0.7777164092489215,0.8662722481606782
lcmd,12,717.0,0.21531531531531528,416.0,1133.0,0.27215950036031705,0.4290525441491949,3.4030321273075677,5.187706618774965,1.770406821591677,2.7768355952750006,0.7752435006639069,0.870331530195673
lcmd,13,749.0,0.2249249249249249,416.0,1165.0,0.2798462647129474,0.4180738553739232,3.332846158755218,5.003269905911212,1.6836515698787404,2.641377038292462,0.784948353139586,0.8792343993860128
lcmd,14,781.0,0.23453453453453452,416.0,1197.0,0.2875330290655777,0.4269478414906616,3.3954166474693586,5.121433283629939,1.7176626173426492,2.7045105362395874,0.776513712016527,0.8734011257045754
lcmd,15,813.0,0.24414414414414415,416.0,1229.0,0.29521979341820803,0.4205113953005789,3.3237363890785625,5.095820400032195,1.6708004629583382,2.720521391152764,0.7867091817503334,0.874414921763683
lcmd,16,845.0,0.25375375375375375,416.0,1261.0,0.30290655777083836,0.41431745910549617,3.2933918904828623,4.95135460720474,1.7009761849753289,2.570138699145054,0.7899720078626662,0.8809422007867372
lcmd,17,877.0,0.26336336336336336,416.0,1293.0,0.31059332212346863,0.4212443924698281,3.3171879798043884,5.11553726267252,1.675246207319575,2.638981643054697,0.787962581544055,0.8729407715192912
lcmd,18,909.0,0.27297297297297296,416.0,1325.0,0.31828008647609896,0.4231578294009717,3.37987355603678,5.0131470017113395,1.6702802672946482,2.554131250587299,0.7794345644311413,0.8789235395453975
lcmd,19,941.0,0.28258258258258256,416.0,1357.0,0.3259668508287293,0.4048515273803905,3.2158828371536345,4.831564033390963,1.5908617729763332,2.3977560158827895,0.8000700879511609,0.8863320808592287
lcmd,20,973.0,0.29219219219219217,416.0,1389.0,0.3336536151813596,0.4147840867181949,3.2922660914349478,4.9769942740542366,1.633780772508763,2.5228390526714373,0.7907030086613773,0.8800246796135347
lcmd,21,1005.0,0.30180180180180183,416.0,1421.0,0.34134037953398993,0.4086138896739119,3.241493742650338,4.922502152014511,1.624811945144507,2.503228525349276,0.7971002433287788,0.8827494009528003
random,0,333.0,0.1,416.0,749.0,0.1799183281287533,0.706752581442242,5.184738211156995,9.676954325956611,2.5909743020288665,4.831075662617489,0.48664194340795214,0.5516772802117034
random,1,365.0,0.10960960960960961,416.0,781.0,0.18760509248138363,0.667577610664019,4.969685338882487,8.973439498429409,2.6097061899211482,4.6595837373527695,0.5275827643471543,0.6139685214765803
random,2,397.0,0.11921921921921921,416.0,813.0,0.19529185683401393,0.703284447734656,5.199203317934512,9.6044997757879,2.5767767002256656,4.6456771315430565,0.4789191825325001,0.5595916748701282
random,3,429.0,0.12882882882882882,416.0,845.0,0.20297862118664428,0.6802771848490827,5.030841612902113,9.20149181820636,2.5166615036751727,4.589727767651601,0.5091709222556919,0.5900727569464834
random,4,461.0,0.13843843843843845,416.0,877.0,0.21066538553927455,0.6823768283744339,5.048039617059901,9.264933294772268,2.5761159017503403,4.508874713202461,0.5061852755721669,0.5861166183630967
random,5,493.0,0.14804804804804805,416.0,909.0,0.2183521498919049,0.6734614780061358,4.979037737719476,9.256781939995005,2.534890623572919,4.543504376720182,0.517977556594182,0.5863178150197831
random,6,525.0,0.15765765765765766,416.0,941.0,0.2260389142445352,0.6659587135047629,4.916183104818683,9.224748726220596,2.452575778732483,4.420500941356595,0.5281974634942816,0.5831886242141505
random,7,557.0,0.16726726726726726,416.0,973.0,0.23372567859716548,0.6697002124291106,4.948240712870421,9.127328420127219,2.4204688317484133,4.374195554216417,0.5261455040643812,0.5983359659686733
random,8,589.0,0.17687687687687687,416.0,1005.0,0.24141244294979583,0.6530791527056533,4.875643707636862,8.73900106604373,2.4744647644692472,4.362983412937009,0.5412987290315511,0.6303609138541263
random,9,621.0,0.1864864864864865,416.0,1037.0,0.24909920730242613,0.6271753738778327,4.743355837879606,8.317971120466094,2.3355173499750004,3.9757722433808325,0.5665937584843931,0.667616958969343
random,10,653.0,0.1960960960960961,416.0,1069.0,0.25678597165505646,0.6293617826633385,4.740612623401012,8.36754335982039,2.329196664755293,4.089280545625756,0.567951595580795,0.6640492876889903
random,11,685.0,0.20570570570570573,416.0,1101.0,0.2644727360076868,0.5959127248675093,4.4520178494125116,7.935638540747101,2.1410567831364182,3.70516450685277,0.6167964521678291,0.697349867915108
random,12,717.0,0.21531531531531528,416.0,1133.0,0.27215950036031705,0.6257754935702237,4.682011010692413,8.340056198026588,2.1790557065456033,3.7883195543174835,0.5774101868807611,0.664630698371927
random,13,749.0,0.2249249249249249,416.0,1165.0,0.2798462647129474,0.6130536608343531,4.59499556515965,8.082140323111439,2.2652031864193702,3.797109249627276,0.5933847280955915,0.6849008038563664
random,14,781.0,0.23453453453453452,416.0,1197.0,0.2875330290655777,0.608983043486574,4.555729015853862,8.075816411596952,2.149213252479224,3.7519453124176687,0.600496240926643,0.6859789637648752
random,15,813.0,0.24414414414414415,416.0,1229.0,0.29521979341820803,0.5823406456904026,4.394305963661421,7.627907074717667,2.181640573314054,3.7557942058828524,0.6299935690098531,0.7217323809340991
random,16,845.0,0.25375375375375375,416.0,1261.0,0.30290655777083836,0.5845240665841864,4.36081546772564,7.763239813212591,2.060460697832725,3.6919845711413046,0.6352505640808348,0.711758769758226
random,17,877.0,0.26336336336336336,416.0,1293.0,0.31059332212346863,0.5806761518538238,4.341251016992872,7.549205965855603,2.0376218036496097,3.4435575194781918,0.6393381389198759,0.7237376788353475
random,18,909.0,0.27297297297297296,416.0,1325.0,0.31828008647609896,0.5564586778542028,4.248806497778756,7.095797812047698,2.0331443806632246,3.3779734323350645,0.6558634851588618,0.7593974211124431
random,19,941.0,0.28258258258258256,416.0,1357.0,0.3259668508287293,0.5430129816108427,4.149944496002865,6.912786107602382,1.957323607666601,3.276818979844201,0.6714734307230769,0.7712854585102548
random,20,973.0,0.29219219219219217,416.0,1389.0,0.3336536151813596,0.5414498746107598,4.1881161335348525,6.729568288943807,1.9728146569048473,3.233583793823096,0.6659469064490631,0.7832887860066535
random,21,1005.0,0.30180180180180183,416.0,1421.0,0.34134037953398993,0.5433010055541065,4.146006127161856,6.873136166267011,2.004205467032014,3.3983900305750274,0.6722473165702253,0.7732419753475684
