outer_seed,method,round,training_seconds,epochs_run,best_epoch,acquisition_seconds_included_in_round
887,lcmd,12,446.5790474580135,202,102,604.7723613329581
887,lcmd,13,664.3160131250042,244,144,810.7778749169665
887,lcmd,14,814.2288488330087,256,156,982.3618534160196
887,lcmd,15,871.1950872499729,278,178,1008.5444634999731
887,lcmd,16,734.423759792,237,137,855.194408875017
887,lcmd,17,633.8105364579824,223,123,759.8986541250488
887,lcmd,18,620.3897279999801,233,133,743.9209649999975
887,lcmd,19,945.9807661669911,263,163,1041.8729344169842
887,lcmd,20,608.1971617080271,221,121,753.1256667500129
887,lcmd,21,747.5780384999816,254,154,747.7634022080456
887,full_data_reference,-1,1963.4380562080187,264,164,0.0
2357,random,0,406.8723800840089,234,134,407.3607727079652
2357,random,1,317.544839625014,163,63,317.7211166250054
2357,random,2,342.59331691701664,166,66,342.76753779198043
2357,random,3,632.6534572920064,255,155,632.837638417026
2357,random,4,295.9129737499752,155,55,296.00708729203325
2357,random,5,340.46854358300334,168,68,340.6084499579738
2357,random,6,357.30194929096615,153,53,357.4701720420271
2357,random,7,566.7323726670002,226,126,566.93706883298
2357,random,8,568.1907462920062,170,70,568.4219757089741
2357,random,9,868.1695993330213,219,119,868.4151515830308
2357,random,10,1046.2447673330316,177,77,1046.5750591250253
2357,random,11,722.308523417043,190,90,722.5559935419587
2357,random,12,893.4888693329995,233,133,893.7113257919555
2357,random,13,802.9125335829449,194,94,803.6393023749697
2357,random,14,676.169007541961,213,113,676.3897105409997
2357,random,15,651.2925104999449,198,98,651.4630527080153
2357,random,16,627.0358335829806,172,72,627.2329098329647
2357,random,17,722.336640457972,221,121,722.5179207079927
2357,random,18,734.0756174579728,203,103,734.236621582997
2357,random,19,797.8778197499923,208,108,798.0685252500116
2357,random,20,964.8736687919591,256,156,965.1105504579609
2357,random,21,558.3051723749959,168,68,558.4558972090017
2357,hybrid,0,379.04901641700417,234,134,933.7572575409431
2357,hybrid,1,272.51518737501465,168,68,972.1837460829993
2357,hybrid,2,573.0214420830016,302,202,1260.0821898750146
2357,hybrid,3,460.3334705000161,246,146,1267.146309499978
2357,hybrid,4,345.53189316700445,165,65,1426.0521695829812
2357,hybrid,5,467.27680095797405,229,129,1381.840270207962
2357,hybrid,6,447.35728170897346,221,121,1457.1393859999953
2357,hybrid,7,432.8170475419611,201,101,1697.6776364590041
2357,hybrid,8,527.383483374957,227,127,1668.320008999959
2357,hybrid,9,552.6973534999997,231,131,1775.3809430409456
2357,hybrid,10,496.20184966595843,194,94,1542.3501506670145
2357,hybrid,11,813.8441522920039,274,174,2232.3748241669964
2357,hybrid,12,798.4009767080424,269,169,2460.722649124975
2357,hybrid,13,534.705725583015,187,87,1623.984666000004
2357,hybrid,14,801.0074429579545,264,164,2913.5294932089746
2357,hybrid,15,561.6198525829823,209,109,2024.5242843329906
2357,hybrid,16,696.8330620420165,254,154,1880.201923665998
2357,hybrid,17,476.77329783298774,176,76,2112.5729881669977
2357,hybrid,18,911.9446062080096,290,190,2714.2491292079794
2357,hybrid,19,597.1277743329993,190,90,2032.21001583396
2357,hybrid,20,1002.3193545410177,299,199,2627.732315208006
2357,hybrid,21,566.577349750034,254,154,566.6636808750336
2357,lcmd,0,388.16006741602905,234,134,515.8052906669909
2357,lcmd,1,321.98989995796,188,88,462.3395710409968
2357,lcmd,2,418.31354783294955,176,76,638.1344536250108
2357,lcmd,3,436.4400720410049,204,104,576.4905590410344
2357,lcmd,4,404.09664716699626,189,89,548.7483249169891
2357,lcmd,5,327.1285016249749,178,78,445.0775545000215
2357,lcmd,6,371.0168085419573,213,113,494.6124735000194
2357,lcmd,7,362.8006445420324,199,99,480.921654707985
2357,lcmd,8,348.35189758299384,180,80,468.81525762501406
2357,lcmd,9,341.9767484589829,202,102,423.38152791705215
2357,lcmd,10,464.7290338750463,283,183,559.135807292012
2357,lcmd,11,371.08404204202816,228,128,464.93804375000764
2357,lcmd,12,393.26362404203974,214,114,504.6489647499984
2357,lcmd,13,528.8096753330319,277,177,669.2579055000097
2357,lcmd,14,558.2117622090154,234,134,678.7174615000258
2357,lcmd,15,514.5338824999635,197,97,647.379403333005
2357,lcmd,16,720.5655176250148,241,141,884.3048037089757
2357,lcmd,17,649.896344290988,197,97,851.9010389170144
2357,lcmd,18,932.76297458302,261,161,1075.077261041035
2357,lcmd,19,874.1961281669792,269,169,1002.0650988339912
2357,lcmd,20,722.519453749992,240,140,863.1802376669948
2357,lcmd,21,828.8680334580131,286,186,829.0152303340146
2357,full_data_reference,-1,2999.86401720898,360,260,0.0
6101,random,0,417.02971604198683,236,136,417.5046057080035
6101,random,1,383.1730571250082,195,95,383.3367901670281
6101,random,2,505.9543609999819,233,133,506.1203008330194
6101,random,3,552.5324982500169,243,143,552.7811112499912
6101,random,4,384.57709504198283,197,97,384.71874262497295
6101,random,5,411.23685716697946,186,86,411.7868479170138
6101,random,6,419.9877167089726,177,77,420.18825125001604
6101,random,7,542.553376625001,182,82,542.7214322080254
6101,random,8,475.08901945804246,141,41,475.35202870803187
6101,random,9,929.3663348749978,201,101,929.5910288330051
6101,random,10,863.3838310419815,154,54,863.6778507919516
6101,random,11,703.4304180000327,189,89,703.6473682500073
6101,random,12,759.4841943329666,198,98,759.715730041964
6101,random,13,711.9356995419948,170,70,712.1534124590107
6101,random,14,652.2058770000003,192,92,652.413480459014
6101,random,15,636.3615166249801,202,102,636.5084490420413
6101,random,16,718.7797291669995,196,96,719.0335535409977
6101,random,17,618.0687635000213,193,93,618.2458285829634
6101,random,18,880.6957635420258,243,143,880.887780207966
6101,random,19,1083.2023372919648,283,183,1083.8066828330047
6101,random,20,854.3441783749731,236,136,854.5862359579769
6101,random,21,621.3983490830287,195,95,621.5565446250257
6101,hybrid,0,396.6073220000253,236,136,1026.4962234580307
6101,hybrid,1,359.51775570900645,213,113,1005.6863388330094
6101,hybrid,2,333.030086957966,184,84,1386.0148558340152
6101,hybrid,3,415.3631541659706,222,122,1192.7658089580364
6101,hybrid,4,335.0427874579909,175,75,1144.3659076250042
6101,hybrid,5,334.2498422920471,166,66,1078.4282449580496
6101,hybrid,6,428.36463279201416,213,113,1227.4219719169778
6101,hybrid,7,509.11791287502274,235,135,1819.3282009999966
6101,hybrid,8,715.7768524579587,305,205,1746.3373879999854
6101,hybrid,9,580.5953836250119,241,141,1671.1094725420116
6101,hybrid,10,631.2114275830099,244,144,1848.3637548750266
6101,hybrid,11,624.3965588749852,205,105,2378.643012666027
6101,hybrid,12,798.9118111669668,263,163,2464.73020195798
6101,hybrid,13,672.7988180000102,225,125,1375.0438551660045
6101,hybrid,14,576.7617505420349,191,91,2512.2558370000334
6101,hybrid,15,799.7029517909978,290,190,2171.247925042
6101,hybrid,16,760.0553478329675,274,174,2250.3574359160266
6101,hybrid,17,784.3042816250236,278,178,2279.8578517920105
6101,hybrid,18,1155.4369565420202,381,281,2890.951942957996
6101,hybrid,19,888.332672916993,299,199,2543.685375665955
6101,hybrid,20,585.0644880830077,171,71,2357.6531301669893
6101,hybrid,21,411.4805025839596,193,93,411.6185296670301
6101,lcmd,0,291.06843587500043,236,136,396.1269736670074
6101,lcmd,1,196.9542285000207,182,82,298.75064220803324
6101,lcmd,2,182.4185099999886,154,54,277.29290458303876
6101,lcmd,3,282.8229495419655,219,119,388.8165641250089
6101,lcmd,4,339.53381337499013,224,124,437.3578925830079
6101,lcmd,5,385.8214496250148,244,144,517.3331380839809
6101,lcmd,6,306.73794766596984,164,64,447.44365024997387
6101,lcmd,7,609.442687999981,320,220,747.3670989159727
6101,lcmd,8,428.0117572500021,190,90,610.9195961669902
6101,lcmd,9,363.44228966598166,168,68,542.7852686250117
6101,lcmd,10,716.0349073340185,251,151,891.5930783330114
6101,lcmd,11,538.4069956249441,175,75,666.8803681659629
6101,lcmd,12,700.6019375420292,274,174,869.6644456670037
6101,lcmd,13,488.3639098330168,202,102,621.0774178339634
6101,lcmd,14,707.9719387089717,284,184,827.9499690830125
6101,lcmd,15,517.4527498749667,199,99,662.2641230830341
6101,lcmd,16,689.8676032920484,217,117,789.3975625830353
6101,lcmd,17,845.8481749169878,298,198,968.1314509580261
6101,lcmd,18,595.8553520829882,222,122,724.477719040995
6101,lcmd,19,779.5946750000003,277,177,896.851918875007
6101,lcmd,20,605.3661063750042,222,122,695.981806457974
6101,lcmd,21,450.1869931250112,230,130,450.28807224996854
6101,full_data_reference,-1,1021.1053171660169,181,81,0.0
12203,random,0,269.728343499999,156,56,270.1933169589611
12203,random,1,281.8739814159926,147,47,282.00991562503623
12203,random,2,355.0200731669902,174,74,355.1765181249939
12203,random,3,454.9723351250286,197,97,455.1488820830127
12203,random,4,398.6731696249917,168,68,399.52020870900014
12203,random,5,326.7867011670023,163,63,326.8957981670392
12203,random,6,355.5520216250443,169,69,355.7086772080511
12203,random,7,462.2238743749913,184,84,462.43636854196666
12203,random,8,514.2891107079922,189,89,514.4984011669876
12203,random,9,640.4526774170226,187,87,640.713163666951
12203,random,10,1015.5814418749651,214,114,1015.8408992500044
12203,random,11,1014.2061850420432,197,97,1014.5842052920489
12203,random,12,840.3762522499892,218,118,840.6084915000247
12203,random,13,724.082624749979,180,80,724.3508564159856
12203,random,14,701.2872130420292,164,64,701.5498955409857
12203,random,15,567.4941387499566,192,92,567.7910009580082
12203,random,16,627.5496607079986,181,81,627.7189979589893
12203,random,17,709.5318076669937,198,98,709.7667302499758
12203,random,18,560.3393163750297,166,66,560.520071667037
12203,random,19,767.3058774580131,209,109,767.4741244160105
12203,random,20,824.2915687920176,211,111,824.5077482499764
12203,random,21,774.4828600829933,197,97,774.7047640410019
12203,hybrid,0,282.7672107089893,156,56,845.2679189580376
12203,hybrid,1,351.82230870897183,200,100,935.3182975000236
12203,hybrid,2,316.58295495796483,185,85,1042.8406541669974
12203,hybrid,3,410.12364866700955,210,110,1133.356745875033
12203,hybrid,4,349.08378816599725,194,94,1080.109004750033
12203,hybrid,5,419.4362174170092,205,105,1221.469418249966
12203,hybrid,6,477.6980699590058,226,126,1424.1225510000368
12203,hybrid,7,523.3049144169781,244,144,1510.0999907079968
12203,hybrid,8,497.58291841699975,222,122,1501.525204250007
12203,hybrid,9,409.97268999996595,168,68,1620.7144890840282
12203,hybrid,10,709.5662645410048,286,186,1987.972681416024
12203,hybrid,11,599.9486586250132,224,124,1806.7585275419988
12203,hybrid,12,740.0602371249697,237,137,1923.9466027090093
12203,hybrid,13,568.6925446250243,193,93,2159.0749468749855
12203,hybrid,14,644.8933953329688,224,124,674.1315544169629
12203,hybrid,15,682.774990750011,222,122,2120.838211165974
12203,hybrid,16,921.526705834025,229,129,2323.952340707998
12203,hybrid,17,513.8643279160024,182,82,1793.5675320830196
12203,hybrid,18,671.809710624977,227,127,2016.0008858749643
12203,hybrid,19,561.360605666996,185,85,2050.525155625015
12203,hybrid,20,737.5386760829715,230,130,2341.65874545899
12203,hybrid,21,580.3056680840091,176,76,580.4820851669647
12203,lcmd,0,213.02255095803412,156,56,317.12212050001835
12203,lcmd,1,163.73514083301416,157,57,231.45505787496222
12203,lcmd,2,160.9485931249801,157,57,230.21493283298332
12203,lcmd,3,174.92028987500817,169,69,251.8486245420063
12203,lcmd,4,185.22839891602052,167,67,262.1837405409897
12203,lcmd,5,193.9329381659627,172,72,267.5249419999891
12203,lcmd,6,203.6155303340056,180,80,271.5370131249656
12203,lcmd,7,318.52763133397093,209,109,417.0498734169523
12203,lcmd,8,377.08954324998194,228,128,475.0084165839944
12203,lcmd,9,332.96827658300754,196,96,433.9804511250113
12203,lcmd,10,299.93348333303584,174,74,403.4694953330327
12203,lcmd,11,345.94522116601,181,81,442.20770820899634
12203,lcmd,12,330.5583541250089,166,66,431.2704149160418
12203,lcmd,13,462.6113752499805,221,121,567.6675142499735
12203,lcmd,14,434.0562466250267,196,96,538.6721437089727
12203,lcmd,15,460.2959266669932,200,100,565.380381333991
12203,lcmd,16,521.9618222090066,224,124,623.1204822920263
12203,lcmd,17,619.0805823749979,257,157,724.6101351249963
12203,lcmd,18,549.0488621249679,221,121,650.4518728329567
12203,lcmd,19,594.3802578329924,238,138,708.7112684170133
12203,lcmd,20,596.8331530410214,224,124,707.7661632910022
12203,lcmd,21,632.8354049580521,249,149,632.9672882079612
12203,full_data_reference,-1,3070.931288666965,322,222,0.0
