column,protocol,seed,budget,target,feature,pearson,spearman,n
8g,row,536279090,30,V1,source_prediction,-0.2955072032843794,-0.26240826954943586,115
8g,row,536279090,30,V2,PE_fraction,-0.13485997934976615,-0.1759224095336975,115
8g,row,536279090,30,V2,loading_amount_ul,,,115
8g,row,536279090,30,V2,loading_solvent_volume_ul,0.014123574289783485,-0.021264740539028798,115
8g,row,536279090,30,V2,loading_solvent_code,0.006212846349250264,0.034858657121663604,115
8g,row,536279090,30,V2,source_prediction,-0.2120962485395004,-0.2930166495699519,115
8g,row,536279090,50,V1,PE_fraction,-0.20675142298267235,-0.15586580968580008,115
8g,row,536279090,50,V1,loading_amount_ul,,,115
8g,row,536279090,50,V1,loading_solvent_volume_ul,-0.0015201968994149133,0.025941289055978554,115
8g,row,536279090,50,V1,loading_solvent_code,-0.051232951147587386,0.06418419406528537,115
8g,row,536279090,50,V1,source_prediction,-0.902283874534969,-0.6460112049238539,115
8g,row,536279090,50,V2,PE_fraction,-0.2608509967973102,-0.3415530367409859,115
8g,row,536279090,50,V2,loading_amount_ul,,,115
8g,row,536279090,50,V2,loading_solvent_volume_ul,-0.01532263771546689,-0.04601994844940415,115
8g,row,536279090,50,V2,loading_solvent_code,-0.048197665815080275,-0.0011066240356083685,115
8g,row,536279090,50,V2,source_prediction,-0.5645281135988589,-0.5138009942397223,115
8g,row,536279090,70,V1,PE_fraction,-0.10158065248870217,-0.061131909528434204,115
8g,row,536279090,70,V1,loading_amount_ul,,,115
8g,row,536279090,70,V1,loading_solvent_volume_ul,0.007453203986201697,0.030829637777500314,115
8g,row,536279090,70,V1,loading_solvent_code,-0.02720389319675724,0.0663974421365021,115
8g,row,536279090,70,V1,source_prediction,-0.7402382916317268,-0.5396985717667482,115
8g,row,536279090,70,V2,PE_fraction,-0.017102633178003066,-0.03458006924412572,115
8g,row,536279090,70,V2,loading_amount_ul,,,115
8g,row,536279090,70,V2,loading_solvent_volume_ul,0.036675576321317654,-0.022781230003764318,115
8g,row,536279090,70,V2,loading_solvent_code,0.050049447657177525,0.06307757002967701,115
8g,row,536279090,70,V2,source_prediction,0.09932174182302567,-0.08499171466898131,115
8g,row,536279090,100,V1,PE_fraction,-0.08749603756594238,-0.0546526377224753,115
8g,row,536279090,100,V1,loading_amount_ul,,,115
8g,row,536279090,100,V1,loading_solvent_volume_ul,0.008556862973136209,0.033752480600593916,115
8g,row,536279090,100,V1,loading_solvent_code,-0.023961583536265,0.06584413011869793,115
8g,row,536279090,100,V1,source_prediction,-0.7149857101131813,-0.533417501775428,115
8g,row,536279090,100,V2,PE_fraction,-0.025891721819162845,-0.043482580721198025,115
8g,row,536279090,100,V2,loading_amount_ul,,,115
8g,row,536279090,100,V2,loading_solvent_volume_ul,0.035126046903086836,-0.023747038936612636,115
8g,row,536279090,100,V2,loading_solvent_code,0.046966392131096636,0.06252425801187282,115
8g,row,536279090,100,V2,source_prediction,0.076562069828852,-0.09795628501538706,115
8g,row,2767143051,30,V1,PE_fraction,0.2635218815340851,0.3469671286426208,115
8g,row,2767143051,30,V1,loading_amount_ul,,,115
8g,row,2767143051,30,V1,loading_solvent_volume_ul,-0.07007328270123912,-0.04642938996622874,115
8g,row,2767143051,30,V1,loading_solvent_code,0.1313344211510244,0.0876699800863925,115
8g,row,2767143051,30,V1,source_prediction,0.535860729693593,0.1331494775301998,115
8g,row,2767143051,30,V2,PE_fraction,0.05719479415837027,0.027081977786275312,115
8g,row,2767143051,30,V2,loading_amount_ul,,,115
8g,row,2767143051,30,V2,loading_solvent_volume_ul,-0.08449337209210779,-0.03751315301901659,115
8g,row,2767143051,30,V2,loading_solvent_code,0.07760571989736151,0.1463063953389797,115
8g,row,2767143051,30,V2,source_prediction,0.32055154370234135,0.009240135011725964,115
8g,row,2767143051,50,V1,PE_fraction,0.25695466762012387,0.334230653758614,115
8g,row,2767143051,50,V1,loading_amount_ul,,,115
8g,row,2767143051,50,V1,loading_solvent_volume_ul,-0.07590090301281417,-0.044557985507230176,115
8g,row,2767143051,50,V1,loading_solvent_code,0.12983946820225098,0.08880855125634565,115
8g,row,2767143051,50,V1,source_prediction,0.49931431974677765,0.1171035214701274,115
8g,row,2767143051,50,V2,PE_fraction,0.055877159876132586,0.026215578084134408,115
8g,row,2767143051,50,V2,loading_amount_ul,,,115
8g,row,2767143051,50,V2,loading_solvent_volume_ul,-0.08518259664696479,-0.03751315301901659,115
8g,row,2767143051,50,V2,loading_solvent_code,0.07690442087214414,0.14516782416902654,115
8g,row,2767143051,50,V2,source_prediction,0.31664519241204586,0.006809766451852696,115
8g,row,2767143051,70,V1,PE_fraction,0.25294259679014774,0.3281698484689832,115
8g,row,2767143051,70,V1,loading_amount_ul,,,115
8g,row,2767143051,70,V1,loading_solvent_volume_ul,-0.07920806049890512,-0.04625926228813796,115
8g,row,2767143051,70,V1,loading_solvent_code,0.12886675345997323,0.08823926567136908,115
8g,row,2767143051,70,V1,source_prediction,0.47776218321708247,0.10258443656698839,115
8g,row,2767143051,70,V2,PE_fraction,0.09795847638057012,0.06812217381533678,115
8g,row,2767143051,70,V2,loading_amount_ul,,,115
8g,row,2767143051,70,V2,loading_solvent_volume_ul,-0.06218388964305442,-0.04407853477806526,115
8g,row,2767143051,70,V2,loading_solvent_code,0.0988949764906807,0.1593999637934409,115
8g,row,2767143051,70,V2,source_prediction,0.4400999762931574,0.10526336554775778,115
8g,row,2767143051,100,V1,PE_fraction,0.20112251971598652,0.25344387231566917,115
8g,row,2767143051,100,V1,loading_amount_ul,,,115
8g,row,2767143051,100,V1,loading_solvent_volume_ul,-0.11107882185840368,-0.05725569675382371,115
8g,row,2767143051,100,V1,loading_solvent_code,0.11375728304586265,0.08140783865165019,115
8g,row,2767143051,100,V1,source_prediction,0.2326014533365582,-0.046390054426931636,115
8g,row,2767143051,100,V2,PE_fraction,0.036719508564814304,0.006424134196980241,115
8g,row,2767143051,100,V2,loading_amount_ul,,,115
8g,row,2767143051,100,V2,loading_solvent_volume_ul,-0.09498619101288808,-0.038417922943408456,115
8g,row,2767143051,100,V2,loading_solvent_code,0.06661833819099655,0.13776711156433108,115
8g,row,2767143051,100,V2,source_prediction,0.2595622508021862,-0.029018442788746573,115
8g,row,1362771960,30,V1,PE_fraction,-0.10388085464594125,-0.07609081348285204,115
8g,row,1362771960,30,V1,loading_amount_ul,,,115
8g,row,1362771960,30,V1,loading_solvent_volume_ul,0.15849596275754868,0.22393122203228633,115
8g,row,1362771960,30,V1,loading_solvent_code,-0.04165243425090633,0.04688921292039736,115
8g,row,1362771960,30,V1,source_prediction,-0.6669688540131558,-0.5819616507535706,115
8g,row,1362771960,30,V2,PE_fraction,-0.23762726566149678,-0.42868429299593797,115
8g,row,1362771960,30,V2,loading_amount_ul,,,115
8g,row,1362771960,30,V2,loading_solvent_volume_ul,0.0652282521754424,-0.008768577547811214,115
8g,row,1362771960,30,V2,loading_solvent_code,-0.1216612924476155,-0.1536025940495776,115
8g,row,1362771960,30,V2,source_prediction,-0.6816803578794893,-0.6641126805018543,115
8g,row,1362771960,50,V1,PE_fraction,-0.05382579668576246,-0.03981338273916564,115
8g,row,1362771960,50,V1,loading_amount_ul,,,115
8g,row,1362771960,50,V1,loading_solvent_volume_ul,0.16049913859070564,0.215054390440675,115
8g,row,1362771960,50,V1,loading_solvent_code,-0.018434867825784605,0.06197999409018043,115
8g,row,1362771960,50,V1,source_prediction,-0.5493480284926554,-0.5173991951392725,115
8g,row,1362771960,50,V2,PE_fraction,-0.20728768986660245,-0.3961144236560893,115
8g,row,1362771960,50,V2,loading_amount_ul,,,115
8g,row,1362771960,50,V2,loading_solvent_volume_ul,0.0706022788917355,0.0020877565590026697,115
8g,row,1362771960,50,V2,loading_solvent_code,-0.09788706325138463,-0.12395998818036086,115
8g,row,1362771960,50,V2,source_prediction,-0.5921879166199605,-0.6044740787500986,115
8g,row,1362771960,70,V1,PE_fraction,-0.027552443648620615,-0.017687741810343032,115
8g,row,1362771960,70,V1,loading_amount_ul,,,115
8g,row,1362771960,70,V1,loading_solvent_volume_ul,0.16015252389415113,0.2157580417253759,115
8g,row,1362771960,70,V1,loading_solvent_code,-0.006304363237028383,0.08030451408205985,115
8g,row,1362771960,70,V1,source_prediction,-0.48397545970121264,-0.4696046713485363,115
8g,row,1362771960,70,V2,PE_fraction,-0.1901939273173027,-0.37590841355099747,115
8g,row,1362771960,70,V2,loading_amount_ul,,,115
8g,row,1362771960,70,V2,loading_solvent_volume_ul,0.07304825360027468,0.003201226723804093,115
8g,row,1362771960,70,V2,loading_solvent_code,-0.08484224201559211,-0.11156398936232476,115
8g,row,1362771960,70,V2,source_prediction,-0.541870909733996,-0.5697545963860176,115
8g,row,1362771960,100,V1,PE_fraction,0.009115796522546469,0.02462794555767754,115
8g,row,1362771960,100,V1,loading_amount_ul,,,115
8g,row,1362771960,100,V1,loading_solvent_volume_ul,0.1581272907392322,0.21464457156057448,115
8g,row,1362771960,100,V1,loading_solvent_code,0.01056359747879043,0.11102503289197536,115
8g,row,1362771960,100,V1,source_prediction,-0.3887310909523959,-0.371932454825219,115
8g,row,1362771960,100,V2,PE_fraction,-0.11173101824628241,-0.28872684318841996,115
8g,row,1362771960,100,V2,loading_amount_ul,,,115
8g,row,1362771960,100,V2,loading_solvent_volume_ul,0.08023919561871529,0.0096964693518124,115
8g,row,1362771960,100,V2,loading_solvent_code,-0.027392200954889336,-0.0544346035052889,115
8g,row,1362771960,100,V2,source_prediction,-0.3116322927134762,-0.3839816933638444,115
8g,compound,769539383,30,V1,PE_fraction,-0.2853930673276523,-0.321719118463863,114
8g,compound,769539383,30,V1,loading_amount_ul,,,114
8g,compound,769539383,30,V1,loading_solvent_volume_ul,0.10021051532301009,0.16459941557133326,114
8g,compound,769539383,30,V1,loading_solvent_code,-0.05195130113909792,0.042833999749380555,114
8g,compound,769539383,30,V1,source_prediction,-0.9775298700529356,-0.9140074117575587,114
8g,compound,769539383,30,V2,PE_fraction,-0.311846029485244,-0.45581923809127656,114
8g,compound,769539383,30,V2,loading_amount_ul,,,114
8g,compound,769539383,30,V2,loading_solvent_volume_ul,0.0347030245012906,-0.09633267169418402,114
8g,compound,769539383,30,V2,loading_solvent_code,-0.15877091418083802,-0.18481522968788672,114
8g,compound,769539383,30,V2,source_prediction,-0.929733168488331,-0.8775237439501024,114
8g,compound,769539383,50,V1,PE_fraction,-0.2038630559346562,-0.1195189472438595,114
8g,compound,769539383,50,V1,loading_amount_ul,,,114
8g,compound,769539383,50,V1,loading_solvent_volume_ul,0.08457058367143967,0.1919757803189019,114
8g,compound,769539383,50,V1,loading_solvent_code,-0.032074901442208634,0.08716569179769051,114
8g,compound,769539383,50,V1,source_prediction,-0.8323662744213679,-0.7153318077803205,114
8g,compound,769539383,50,V2,PE_fraction,0.0240181884884439,-0.002967813020234892,114
8g,compound,769539383,50,V2,loading_amount_ul,,,114
8g,compound,769539383,50,V2,loading_solvent_volume_ul,0.07824896601853702,0.12358107628453215,114
8g,compound,769539383,50,V2,loading_solvent_code,-0.030938358252277726,-0.07518415340625538,114
8g,compound,769539383,50,V2,source_prediction,0.0591251190996997,-0.14647333994856324,114
8g,compound,769539383,70,V1,PE_fraction,-0.21934689876116115,-0.14389594936178887,114
8g,compound,769539383,70,V1,loading_amount_ul,,,114
8g,compound,769539383,70,V1,loading_solvent_volume_ul,0.0879807048219424,0.19270088787648487,114
8g,compound,769539383,70,V1,loading_solvent_code,-0.035679223180404826,0.08237307644111645,114
8g,compound,769539383,70,V1,source_prediction,-0.8644763957630416,-0.7425244527247322,114
8g,compound,769539383,70,V2,PE_fraction,-0.18567404305040905,-0.2813732355294697,114
8g,compound,769539383,70,V2,loading_amount_ul,,,114
8g,compound,769539383,70,V2,loading_solvent_volume_ul,0.0686339786819484,0.07415291110929331,114
8g,compound,769539383,70,V2,loading_solvent_code,-0.12012262316199179,-0.12910107616771344,114
8g,compound,769539383,70,V2,source_prediction,-0.5609655986359248,-0.5766225876349204,114
8g,compound,769539383,100,V1,PE_fraction,-0.21781569159751946,-0.14049422161031963,114
8g,compound,769539383,100,V1,loading_amount_ul,,,114
8g,compound,769539383,100,V1,loading_solvent_volume_ul,0.08765013589789761,0.1936605890556388,114
8g,compound,769539383,100,V1,loading_solvent_code,-0.03532020746867897,0.08237307644111645,114
8g,compound,769539383,100,V1,source_prediction,-0.8613697682314848,-0.7390575322492458,114
8g,compound,769539383,100,V2,PE_fraction,-0.18435278814562284,-0.2782744293828245,114
8g,compound,769539383,100,V2,loading_amount_ul,,,114
8g,compound,769539383,100,V2,loading_solvent_volume_ul,0.06881656592772048,0.07653439181311972,114
8g,compound,769539383,100,V2,loading_solvent_code,-0.11962576145691073,-0.12910107616771344,114
8g,compound,769539383,100,V2,source_prediction,-0.5570772732490998,-0.5731232660334947,114
8g,compound,1425370602,30,V1,PE_fraction,0.2951817718332404,0.4412113175180143,117
8g,compound,1425370602,30,V1,loading_amount_ul,,,117
8g,compound,1425370602,30,V1,loading_solvent_volume_ul,-0.10802520307848477,-0.048098264730078756,117
8g,compound,1425370602,30,V1,loading_solvent_code,0.22722601908382786,0.21577392298970716,117
8g,compound,1425370602,30,V1,source_prediction,0.7080194182519259,0.2718683031365673,117
8g,compound,1425370602,30,V2,PE_fraction,0.17501492062627672,0.18998680793032335,117
8g,compound,1425370602,30,V2,loading_amount_ul,,,117
8g,compound,1425370602,30,V2,loading_solvent_volume_ul,-0.005674732302515786,0.17377094315092612,117
8g,compound,1425370602,30,V2,loading_solvent_code,0.2518394620465704,0.3773462624532918,117
8g,compound,1425370602,30,V2,source_prediction,0.8264866686015424,0.4332299300154355,117
8g,compound,1425370602,50,V1,PE_fraction,0.29150609383109904,0.42577884120075016,117
8g,compound,1425370602,50,V1,loading_amount_ul,,,117
8g,compound,1425370602,50,V1,loading_solvent_volume_ul,-0.10667957345130405,-0.03958529752121526,117
8g,compound,1425370602,50,V1,loading_solvent_code,0.22880657221874134,0.2333249119410231,117
8g,compound,1425370602,50,V1,source_prediction,0.6889363309709079,0.2507905108723344,117
8g,compound,1425370602,50,V2,PE_fraction,0.16352231639072112,0.16515702881142777,117
8g,compound,1425370602,50,V2,loading_amount_ul,,,117
8g,compound,1425370602,50,V2,loading_solvent_volume_ul,-0.005647149064053918,0.16908881118605124,117
8g,compound,1425370602,50,V2,loading_solvent_code,0.2526936645416655,0.3783786735680751,117
8g,compound,1425370602,50,V2,source_prediction,0.8102253647051221,0.40438190292076903,117
8g,compound,1425370602,70,V1,PE_fraction,0.2895019076306893,0.4171084852717671,117
8g,compound,1425370602,70,V1,loading_amount_ul,,,117
8g,compound,1425370602,70,V1,loading_solvent_volume_ul,-0.10594587130331194,-0.03748365874152708,117
8g,compound,1425370602,70,V1,loading_solvent_code,0.22956812033765178,0.2395193786297228,117
8g,compound,1425370602,70,V1,source_prediction,0.6787645630140619,0.2382772108078946,117
8g,compound,1425370602,70,V2,PE_fraction,0.16291697741548627,0.16298754673836782,117
8g,compound,1425370602,70,V2,loading_amount_ul,,,117
8g,compound,1425370602,70,V2,loading_solvent_volume_ul,-0.005645580254888002,0.16982039430556292,117
8g,compound,1425370602,70,V2,loading_solvent_code,0.25273281331988023,0.37992729024024996,117
8g,compound,1425370602,70,V2,source_prediction,0.8093560763085542,0.40112245050877426,117
8g,compound,1425370602,100,V1,PE_fraction,0.27278134902123613,0.3513993031112864,117
8g,compound,1425370602,100,V1,loading_amount_ul,,,117
8g,compound,1425370602,100,V1,loading_solvent_volume_ul,-0.09982495201691395,-0.0029795385231022238,117
8g,compound,1425370602,100,V1,loading_solvent_code,0.23383621923978784,0.2477786675479891,117
8g,compound,1425370602,100,V1,source_prediction,0.598758126302506,0.14399286666966388,117
8g,compound,1425370602,100,V2,PE_fraction,0.134851332303391,0.09956900446305512,117
8g,compound,1425370602,100,V2,loading_amount_ul,,,117
8g,compound,1425370602,100,V2,loading_solvent_volume_ul,-0.005560578766124056,0.1658698454601997,117
8g,compound,1425370602,100,V2,loading_solvent_code,0.25392965592958605,0.3721842068793753,117
8g,compound,1425370602,100,V2,source_prediction,0.7677015967332617,0.3255406195207481,117
8g,compound,536279090,30,V1,PE_fraction,0.3447501980709581,0.5993322402802218,121
8g,compound,536279090,30,V1,loading_amount_ul,,,121
8g,compound,536279090,30,V1,loading_solvent_volume_ul,-0.12563414291555314,-0.2199269102318279,121
8g,compound,536279090,30,V1,loading_solvent_code,0.14090307383755907,0.1481165274495365,121
8g,compound,536279090,30,V1,source_prediction,0.8983097101514522,0.7302518489927561,121
8g,compound,536279090,30,V2,PE_fraction,0.1857756035668777,0.3129119298632954,121
8g,compound,536279090,30,V2,loading_amount_ul,,,121
8g,compound,536279090,30,V2,loading_solvent_volume_ul,-0.08113329283764484,-0.13580740078831768,121
8g,compound,536279090,30,V2,loading_solvent_code,0.21092502166895483,0.30072143451875594,121
8g,compound,536279090,30,V2,source_prediction,0.7087595983301963,0.498966083158253,121
8g,compound,536279090,50,V1,PE_fraction,-0.024875040409847015,0.038541044494982475,121
8g,compound,536279090,50,V1,loading_amount_ul,,,121
8g,compound,536279090,50,V1,loading_solvent_volume_ul,0.05058026965174738,0.06182277200065208,121
8g,compound,536279090,50,V1,loading_solvent_code,0.04426762587865121,0.05498265034111582,121
8g,compound,536279090,50,V1,source_prediction,-0.46633072657083624,-0.38391933249433857,121
8g,compound,536279090,50,V2,PE_fraction,0.08545643387729311,0.04745145739314745,121
8g,compound,536279090,50,V2,loading_amount_ul,,,121
8g,compound,536279090,50,V2,loading_solvent_volume_ul,-0.09339064020452324,-0.13682088885390215,121
8g,compound,536279090,50,V2,loading_solvent_code,0.19427095157176152,0.23507888258089313,121
8g,compound,536279090,50,V2,source_prediction,0.4325081354093974,0.0856194948855452,121
8g,compound,536279090,70,V1,PE_fraction,-0.05453990303241242,0.024184428400128893,121
8g,compound,536279090,70,V1,loading_amount_ul,,,121
8g,compound,536279090,70,V1,loading_solvent_volume_ul,0.06112665831648925,0.077025092984419,121
8g,compound,536279090,70,V1,loading_solvent_code,0.031796990699424856,0.0471279860066707,121
8g,compound,536279090,70,V1,source_prediction,-0.5410736737198438,-0.4242158405508831,121
8g,compound,536279090,70,V2,PE_fraction,0.06799221516635512,0.016650114612629427,121
8g,compound,536279090,70,V2,loading_amount_ul,,,121
8g,compound,536279090,70,V2,loading_solvent_volume_ul,-0.09438538571742076,-0.13682088885390215,121
8g,compound,536279090,70,V2,loading_solvent_code,0.18939607913169632,0.22329688607922546,121
8g,compound,536279090,70,V2,source_prediction,0.382253247248917,0.034900833740828294,121
8g,compound,536279090,100,V1,PE_fraction,0.08018265259395986,0.13487482850580018,121
8g,compound,536279090,100,V1,loading_amount_ul,,,121
8g,compound,536279090,100,V1,loading_solvent_volume_ul,0.010737300344177303,0.017229297114935826,121
8g,compound,536279090,100,V1,loading_solvent_code,0.08516330650487246,0.11052634813469199,121
8g,compound,536279090,100,V1,source_prediction,-0.17751783621765033,-0.1923136197725882,121
8g,compound,536279090,100,V2,PE_fraction,-0.004764742878921467,-0.10072908564786875,121
8g,compound,536279090,100,V2,loading_amount_ul,,,121
8g,compound,536279090,100,V2,loading_solvent_volume_ul,-0.09546467974368128,-0.127699496263642,121
8g,compound,536279090,100,V2,loading_solvent_code,0.16377141578341206,0.1492386223544572,121
8g,compound,536279090,100,V2,source_prediction,0.1670680199122804,-0.18159340055774723,121
8g,compound,2767143051,30,V1,PE_fraction,-0.10558966713629446,-0.1481967596876925,109
8g,compound,2767143051,30,V1,loading_amount_ul,,,109
8g,compound,2767143051,30,V1,loading_solvent_volume_ul,0.22478749340829818,0.2972787171441602,109
8g,compound,2767143051,30,V1,loading_solvent_code,-0.09399688637680352,-0.1936453424638428,109
8g,compound,2767143051,30,V1,source_prediction,-0.6310125315208878,-0.5497544249837828,109
8g,compound,2767143051,30,V2,PE_fraction,0.029933033695775203,-0.08532711090052067,109
8g,compound,2767143051,30,V2,loading_amount_ul,,,109
8g,compound,2767143051,30,V2,loading_solvent_volume_ul,0.2552192026564451,0.2653431239899533,109
8g,compound,2767143051,30,V2,loading_solvent_code,0.042751277884206976,-0.04250751419938012,109
8g,compound,2767143051,30,V2,source_prediction,-0.06972056530212414,-0.07951997034565843,109
8g,compound,2767143051,50,V1,PE_fraction,-0.10012149319044976,-0.14371276401849267,109
8g,compound,2767143051,50,V1,loading_amount_ul,,,109
8g,compound,2767143051,50,V1,loading_solvent_volume_ul,0.2252062912946084,0.29621419737235327,109
8g,compound,2767143051,50,V1,loading_solvent_code,-0.09136633511102744,-0.19541648888881694,109
8g,compound,2767143051,50,V1,source_prediction,-0.6185857158476045,-0.543545547215272,109
8g,compound,2767143051,50,V2,PE_fraction,-0.0439364428456221,-0.25739165944809195,109
8g,compound,2767143051,50,V2,loading_amount_ul,,,109
8g,compound,2767143051,50,V2,loading_solvent_volume_ul,0.2566506866693956,0.2723319277092073,109
