column,protocol,seed,planned_budget,target,slope,intercept
8g,compound,1362771960,100,V2,1.7615675757602582,-0.34871638195491433
25g,row,769539383,30,V1,6.1320732510108185,-7.065178387787995
25g,row,769539383,30,V2,4.905501542924097,-16.20377562439336
25g,row,769539383,50,V1,8.994210127607637,-23.50203018114938
25g,row,769539383,50,V2,5.765299809363942,-28.487854655786883
25g,row,769539383,70,V1,7.246970051506519,-11.800178167701542
25g,row,769539383,70,V2,5.662139833694547,-26.784401666476512
25g,row,769539383,100,V1,6.439533665077419,-7.081144161469475
25g,row,769539383,100,V2,5.370207426395684,-22.92113914789206
25g,row,1425370602,30,V1,9.050617913873209,-21.303061898970924
25g,row,1425370602,30,V2,5.679853815382595,-22.783758514898405
25g,row,1425370602,50,V1,9.092115906263398,-21.127642827095826
25g,row,1425370602,50,V2,6.305548795639528,-28.794536841542563
25g,row,1425370602,70,V1,8.691000829383182,-19.159554234144444
25g,row,1425370602,70,V2,6.058213807860498,-26.42783063506985
25g,row,1425370602,100,V1,6.523008978749025,-7.765222375847233
25g,row,1425370602,100,V2,5.364405564729769,-19.7236477242989
25g,row,536279090,30,V1,6.568800315966597,-8.256482301941285
25g,row,536279090,30,V2,4.620683047457651,-14.863262916335206
25g,row,536279090,50,V1,6.2751819902329595,-7.160337365153999
25g,row,536279090,50,V2,4.483648654607274,-12.68550189080083
25g,row,536279090,70,V1,6.1387205246250875,-4.783498661176209
25g,row,536279090,70,V2,4.348416723679748,-9.265974505519491
25g,row,536279090,100,V1,6.398064650007098,-7.115809689719975
25g,row,536279090,100,V2,4.533707849743388,-12.34304680450674
25g,row,2767143051,30,V1,6.5752842737455275,-6.524924475275188
25g,row,2767143051,30,V2,4.505567064598294,-9.108089881097902
25g,row,2767143051,50,V1,6.608777980799203,-7.777920774470691
25g,row,2767143051,50,V2,4.534034590123114,-7.8155492129247035
25g,row,2767143051,70,V1,6.564661209933781,-10.447801271496475
25g,row,2767143051,70,V2,4.607310114747742,-12.501135098363271
25g,row,2767143051,100,V1,6.501924426918645,-9.493557256765568
25g,row,2767143051,100,V2,4.8988553546355575,-16.988878720937162
25g,row,1362771960,30,V1,5.934538571033695,-6.002666980942759
25g,row,1362771960,30,V2,4.137676849169554,-8.685434640572597
25g,row,1362771960,50,V1,7.0125292033864755,-13.491597073499541
25g,row,1362771960,50,V2,5.005131363630534,-21.18679599847305
25g,row,1362771960,70,V1,6.552774610443106,-11.28090015980314
25g,row,1362771960,70,V2,4.783149553164455,-18.37646311368766
25g,row,1362771960,100,V1,6.154684055541905,-6.9909854679330214
25g,row,1362771960,100,V2,4.650979997566554,-15.359841660123871
25g,compound,769539383,30,V1,8.35095632954802,-22.951843113535414
25g,compound,769539383,30,V2,6.078647265580743,-36.766663573558624
25g,compound,769539383,50,V1,8.093498293908787,-15.194735134941705
25g,compound,769539383,50,V2,5.93558307438248,-30.3950535110356
25g,compound,769539383,70,V1,6.670399200300554,-10.004283901397681
25g,compound,769539383,70,V2,5.341246413469309,-22.496454345914508
25g,compound,769539383,100,V1,6.323938717048696,-7.379782411143578
25g,compound,769539383,100,V2,4.723074927937826,-11.985244475138387
25g,compound,1425370602,30,V1,6.280349457968832,-11.210347916139877
25g,compound,1425370602,30,V2,4.6562302935972255,-13.845555591829562
25g,compound,1425370602,50,V1,6.224395894614574,-9.38160054626101
25g,compound,1425370602,50,V2,4.592792810572552,-12.829044272159274
25g,compound,1425370602,70,V1,6.196325563653691,-7.228016709657647
25g,compound,1425370602,70,V2,4.731064958376059,-15.053902531260581
25g,compound,1425370602,100,V1,6.582128633927411,-7.859125506168652
25g,compound,1425370602,100,V2,4.871834516561307,-15.303992944851396
25g,compound,536279090,30,V1,6.7245418098529495,-6.886125278661482
25g,compound,536279090,30,V2,4.873209377674496,-16.339990398819374
25g,compound,536279090,50,V1,4.864392408402151,1.364563793590992
25g,compound,536279090,50,V2,4.018606476243137,-4.739967161589472
25g,compound,536279090,70,V1,6.356875198110462,-7.542793318590899
25g,compound,536279090,70,V2,4.975404695529213,-16.171436268431982
25g,compound,536279090,100,V1,6.766766713137454,-10.5256954156128
25g,compound,536279090,100,V2,5.104186714569054,-19.89570162038792
25g,compound,2767143051,30,V1,7.052378037842127,-12.182961222800733
