active_label_count,candidate_pool_size,raw_gradient_norm_mean,raw_gradient_norm_std,raw_gradient_norm_p50,raw_gradient_norm_p90,raw_gradient_norm_p95,raw_gradient_norm_max,raw_gradient_effective_rank_participation_ratio,raw_gradient_coverage_nearest_distance_mean,raw_gradient_coverage_nearest_distance_median,raw_gradient_coverage_nearest_distance_p90,raw_gradient_coverage_nearest_distance_max,cw_gradient_norm_mean,cw_gradient_norm_std,cw_gradient_norm_p50,cw_gradient_norm_p90,cw_gradient_norm_p95,cw_gradient_norm_max,cw_gradient_effective_rank_participation_ratio,cw_gradient_coverage_nearest_distance_mean,cw_gradient_coverage_nearest_distance_median,cw_gradient_coverage_nearest_distance_p90,cw_gradient_coverage_nearest_distance_max,recent_validation_nrmse,recent_validation_last_step_delta,recent_validation_2step_linear_slope_per_label,recent_validation_3step_linear_slope_per_label,seed,source_trajectory,anchor_budget,state_kind,raw_gradient_bank_hash,cw_gradient_bank_hash,ivr_integrated_variance_before,ivr_predicted_total_reduction_B32,ivr_predicted_relative_reduction_B32,maxdet_total_marginal_logdet_gain_B32,cw_lcmd_largest_cluster_score_first,strategy,rollout_step,gradient_extraction_seconds,current_validation_nrmse
461,2869,182.85069198290049,173.05006326243526,116.0359575733242,405.54888001744774,581.8776199697887,1597.9493999113124,5.214051668610717,67.56429337473801,58.3259153129268,145.66431543409234,549.2831657934972,160.58022832312005,142.71652942727965,106.76003178681913,345.43803647293566,450.1763251978497,1245.2836771469829,6.725030039630916,60.93511550663975,53.82328309881137,131.7710532264316,390.2464176137888,0.7219060610531823,-0.07458173798906043,-0.0028299774901153585,-0.0019180799555845209,6101,center_width_lcmd,429,branch_after_1,8a440450a3adc0875f5c0968847c9b231f79732fd5e32fed81de0cab233cf049,d7da4f13b775fa1c5b839031ded2d89cb593300d5f1ab1fa78de63cbd2b3fa48,0.11797284168520482,,0.10349562528708404,13.343652477519848,,center_width_lcmd,1.0,89.19105162500637,0.7219060610531823
461,2869,185.5705281907427,167.14354500429803,123.99578943545612,401.4933888273792,551.1674169183269,1463.6968498128117,6.945736960031832,72.99447854364732,66.90451545572935,152.98573778566106,555.0570683442138,167.14941095276728,141.0240694976199,116.5051452554741,327.1354684666424,464.35526867225957,1173.567553489165,8.131906746872113,66.83201652648839,63.1978596608104,140.98273699854903,406.66935758680154,0.7417642242681924,-0.05472357477405032,-0.0025196936898808264,-0.0017319096754438035,6101,center_width_lcmd,429,branch_after_1,1f6accfe67dc4d8db85e3bb8b7e7432fa0dd5c61b5c193fab167b9668e6dca51,d03865d18f9ccb2d85465fa7ede78113073a646091d8385ce6f1ee0c565d1717,0.12647831200792453,,0.09310083078791521,12.389910903670843,,kernel_ivr,1.0,85.32055641603074,0.7417642242681924
461,2869,168.4863415708969,176.346515059494,105.18652586422243,372.5447171133896,547.0972999467957,1798.0362539352072,4.441469445373755,60.031417675360245,50.51627028701031,127.38473791613067,489.12000265432283,153.79970532561,151.6814172065504,98.9667535567192,331.1896585370991,501.42591941070805,1502.1951140200488,5.2668996034078255,56.125478151667956,49.04427380649733,118.66277147073592,462.50140710285444,0.7514746027895844,-0.045013196252658316,-0.00236796902548407,-0.0016408748768057524,6101,center_width_lcmd,429,branch_after_1,e6f883fb623706c172ed240758fbb479d7a7a72d85a8aa1a3c4b21e1ed2dac1a,0212e577230c71b623c602357bb9d549a8540269c49eee93f557e86f078bb8ca,0.1032733836732232,,0.10020376246608956,10.855594363076198,,gradient_maxdet,1.0,97.31241241600947,0.7514746027895844
685,2645,227.60510084239394,209.07208972485017,148.7257594433962,497.7742032901243,706.8453570229066,2006.5597192439923,7.4056515402723075,55.67577999566871,58.749776746527175,121.28517387654341,383.5172445812884,203.189773451538,175.72026776561108,138.83746316941398,415.51012218863593,595.7176385229365,1596.9249922464726,9.576405929899135,50.302600320908596,55.45817127029435,109.0074431678936,349.9153234406046,0.4648614669281218,0.003292148842013509,-0.0003682139292563119,-0.00029506177154644387,6101,center_width_lcmd,653,branch_after_1,4f997700ae7c512e83587527b3efea1af860b94d78a59f930fa99bb161631f31,de0b92762b7f20a11ccae5e3cd16b2d2660fb51860f11050195aea705181a47d,0.1038758515212743,,0.06232905047836102,10.512922317425849,,center_width_lcmd,1.0,170.98231916700024,0.4648614669281218
685,2645,205.5960852097599,218.2283105537925,116.13751446271061,511.02051169250376,677.6484716180624,1766.409772632762,5.978840102878636,46.86081922989703,48.40429092862861,100.40593720528058,344.45242838107663,188.2616509725879,182.05198703029586,115.25975596010248,428.03468025889185,611.7922582223456,1442.0911577500221,7.386560638353143,44.52697056585562,45.324707475053515,99.06558522457007,284.85045770021975,0.4512195100343418,-0.010349808051766496,-0.0005813695057216252,-0.0004229551174256314,6101,center_width_lcmd,653,branch_after_1,89e819d7cc13a0c68c71f11f3bb6c3f46f91be8dd0cb47d11075e6e0e2dff1b9,6681398b0b210f020e3c3821b7337765c06d547c76ebbaa1dcbb63290c2ea43e,0.08568124651714923,,0.05860347764611116,8.282684213609125,,kernel_ivr,1.0,171.290107082983,0.4512195100343418
685,2645,200.89373134837476,197.5381906073172,124.68703848851528,445.67708332267716,638.8786491747287,1652.6270434998437,7.521036290713473,51.09655387918501,54.25237293451783,112.47505249506207,326.1951387051111,183.25098452027052,162.51661166431012,124.73674425013353,390.0057826555115,530.6336312855735,1380.4271465286836,9.118277180424839,48.73639942233947,51.521011960833626,107.16456554148998,263.4310918453663,0.4491402869470612,-0.012429031139047086,-0.0006138573664603839,-0.000442447833868886,6101,center_width_lcmd,653,branch_after_1,917ba5f29917a10e12411195723c199c6fe190d69d998e83f74205a4945fd06b,f49b80e41bad33f3cb0fff3fe087415dc433d8b9a1e60d99384c7a214166be9f,0.0956891312320545,,0.05528568260750051,8.00119158697162,,gradient_maxdet,1.0,176.5412835010211,0.4491402869470612
461,2869,184.43131784360986,174.03906303672855,118.32034281537426,376.7763193395955,537.2757401582923,1624.2256507937525,6.850342225498315,78.39393538833627,65.51028891511827,177.274432969505,490.01089425467563,168.5867737799429,148.5495288086703,112.86926680450173,338.7076112338346,480.13860590287703,1323.0198773197496,8.287502001293351,71.99732923551603,62.31061126977009,158.38477638796314,386.38562885620286,0.6291814573839467,-0.04736232094391579,-0.003357838713946088,-0.003865037076758996,6101,hybrid,429,branch_after_1,13297290c75685b4a892bf86a8a5b5536b629e8c9408c90e3fdef19bbe2a9558,25cc48c247566badc27ba90b82d056e03e60862a2896ad798d265228e8fb9a1e,0.13294301775352851,,0.10659407496158994,12.144324637486577,,center_width_lcmd,1.0,199.12658570698113,0.6291814573839467
461,2869,180.60849507644286,172.91332483646306,111.47315736309376,382.29643001916025,556.6077663795264,1403.757196082322,6.52964618438801,73.52997124856675,59.56816762339592,162.37873252765004,444.7119091023697,166.55665740864043,149.78616261579242,109.35106752721799,349.8617617526965,483.5218988379584,1426.6833027475425,7.944722786342661,67.86866994130452,55.96090541410343,151.3875100093388,356.58758306104795,0.6234294826188758,-0.053114295708986736,-0.0034477133196503178,-0.003918961840181537,6101,hybrid,429,branch_after_1,ea3a4582d28df659ef52857cfe43e72c4a621441c79b371b5c878ac97dbd5a73,c778b89d347ffc4fce79aef9e7a5bcac4b33c01ae9e49232a6a50b91384740da,0.12268672137832107,,0.0929528352282513,11.054387502531307,,kernel_ivr,1.0,187.92980491599883,0.6234294826188758
461,2869,168.02869565976783,144.1884952889989,115.63790818053263,344.70109321023745,473.3997173654269,1481.6131071044133,7.911533246256952,73.81052374893117,63.718199759855445,160.12089390308572,347.6195878755845,157.441141748303,130.183990974347,111.24212979393315,309.1710867421804,435.9383912110722,1318.5398325334313,8.816199386782358,68.47318007458102,60.92474959428817,147.41237907316767,294.2745608046999,0.6407572690935737,-0.03578650923428883,-0.0031769666559831647,-0.003756513841981244,6101,hybrid,429,branch_after_1,504bd8cd16620c27da425a108883b0f3a4c28a42670723004fe869368b518448,bd1dd72b3ab2b40b5e09f5408d99d753adf9d90656b24321b4b7f6e6a0720eaa,0.13182193245538937,,0.08713832239431951,8.690117492612394,,gradient_maxdet,1.0,85.26343212500797,0.6407572690935737
685,2645,207.49463513457866,201.98243268669668,130.76188381494808,452.1587864623219,651.1285325553025,1723.6478439015534,7.931795426166962,51.58971239073309,51.3293115507999,117.78105667477615,288.657795963129,191.10270749204548,171.64531202288688,127.27133960082503,406.36371360082904,587.9418409596975,1403.2760373615254,9.957111124354837,49.051395501205704,49.108199397979234,111.4978887934484,232.31319032422383,0.4533354551571542,-0.006131141297136045,-0.0002877555426702029,-0.0006044884607386379,6101,hybrid,653,branch_after_1,5fdf62d9302de463803ffaf4fd50f630b46897118e44aa81d84bcce29d1dc737,3dd769ad5aafd126db263291a87fa67f1e6534e8aea93de2dc79cadcfa2e850d,0.09869867406800902,,0.06356004019077338,10.299479190022044,,center_width_lcmd,1.0,87.12407083399012,0.4533354551571542
