outer_seed,method,round,active_label_count,combined_normalized_RMSE,V1_RMSE,V1_MAE,V1_R2,V2_RMSE,V2_MAE,V2_R2
157,center_width_lcmd,10,653,0.4948091475830988,3.660337702757752,1.7001027723582245,0.7579617210923575,5.470630823772009,2.815811572315024,0.8689616130682841
6101,center_width_lcmd,7,557,0.6543838950019837,4.073195336174659,1.8542212273577137,0.7262246726703576,6.722806304887222,3.1312594036404175,0.7874452389675305
6101,center_width_lcmd,8,589,0.6711414670316,4.173468896609808,1.899147666615548,0.7125792001418941,6.907273901738598,3.2163894445204333,0.7756205931474598
6101,center_width_lcmd,9,621,0.6560474450777624,4.124385649149099,1.8595458672201033,0.7193000305694637,6.6132963876018165,2.9569264178653416,0.7943135827016715
6101,center_width_lcmd,10,653,0.6073721606650027,3.8555651143465255,1.8071978269435232,0.7546986629725118,6.003932049163232,2.8524888356526694,0.8304721022360788
157,center_width_lcmd,11,685,0.499700429091064,3.687841449444181,1.815168536252541,0.7543107084137586,5.548407724996008,2.917994434027363,0.8652091358825745
157,center_width_lcmd,12,717,0.4862152339196813,3.615032187720456,1.7157499532905414,0.7639162566887802,5.325207690760137,2.7434417795506025,0.8758356775018463
157,center_width_lcmd,13,749,0.4868905031457549,3.5747136238061867,1.66224621182723,0.7691529885471481,5.456398157516859,2.739034548651972,0.8696425581424168
157,center_width_lcmd,14,781,0.4745935524848985,3.5201975660790885,1.6426630774847897,0.7761403490701282,5.221265023349642,2.5674682635483412,0.8806354959771333
157,center_width_lcmd,15,813,0.4802875968063884,3.548335815932625,1.693984662886146,0.7725472586980361,5.322601671126344,2.7053877226740335,0.8759571734157994
157,center_width_lcmd,16,845,0.4712771897564287,3.4814945117553147,1.6334584388229774,0.7810357694605669,5.223492296609755,2.5287008605700887,0.8805336378752405
157,center_width_lcmd,17,877,0.4686345197411388,3.488175718620653,1.61724966321346,0.7801945508072414,5.121919710680583,2.4376017515607873,0.885134593265702
157,center_width_lcmd,18,909,0.471153303439046,3.5108473538349925,1.6404270531176377,0.7773279843420193,5.138490123825519,2.4459655439253334,0.8843901668645876
157,center_width_lcmd,19,941,0.466516627821373,3.4708256316155564,1.6174519570897237,0.7823757248631864,5.103191910453342,2.398438160939754,0.8859730459272918
157,center_width_lcmd,20,973,0.4580829460888914,3.379614879636031,1.557422095923115,0.793663446246523,5.08926126886493,2.418610599115312,0.886594735475188
157,center_width_lcmd,21,1005,0.4693390967723412,3.537422242044516,1.58477280465819,0.7739442543615643,5.004628337230416,2.3856290804682305,0.8903351665601862
6101,center_width_lcmd,11,685,0.6269624216632372,3.907893116734104,1.767144155159271,0.7479949840090909,6.424613011033529,2.8793570257776935,0.8058829933974917
6101,center_width_lcmd,12,717,0.5470819032803859,3.5302475463592877,1.749456915638144,0.7943474253807813,5.217134758005415,2.5734261517330324,0.871992991266282
6101,center_width_lcmd,13,749,0.5729892515896652,3.541533093758622,1.610554050770309,0.7930304573241203,5.962311937784026,2.6787610625763305,0.8328143386666103
6101,center_width_lcmd,14,781,0.5345331499230144,3.240442820514435,1.6220204315597204,0.826726337110199,5.747192475427498,2.7382867067552015,0.8446607786413675
6101,center_width_lcmd,15,813,0.53054622951153,3.2510488456107645,1.6031692942841165,0.8255902255326768,5.604015412557943,2.542782733194548,0.8523041536215392
6101,center_width_lcmd,16,845,0.5371662076803969,3.2797189020108943,1.568107120710597,0.8225005233630327,5.70857766667812,2.633743195796756,0.8467411833068583
6101,center_width_lcmd,17,877,0.5444929849169148,3.367520131038795,1.5567411781786729,0.8128696488865986,5.659443162739514,2.3758503390158965,0.8493680684014988
6101,center_width_lcmd,18,909,0.5391079847734168,3.3302705845725464,1.5792680369864265,0.8169866064809447,5.615291575735945,2.4958278189460152,0.8517091809427553
6101,center_width_lcmd,19,941,0.5541801428363494,3.5082720899874382,1.5802282863955417,0.7968997920273058,5.509193556918997,2.4396334963736774,0.8572599969765887
6101,center_width_lcmd,20,973,0.5475940427244108,3.468292358615367,1.5976055972010113,0.8015024140748033,5.438210894252604,2.349455966080407,0.8609145400885285
6101,center_width_lcmd,21,1005,0.5146311856570522,3.1728556443566873,1.5869748100674124,0.8338790301026846,5.378877292213541,2.4168053187912317,0.8639329674188667
157,gradient_maxdet,0,333,0.7552330820189761,5.222683805149919,2.613402478128886,0.5072470735708294,9.264808762812883,4.7290128449456015,0.6241655027553434
157,gradient_maxdet,1,365,0.7268037396879269,5.171224795163223,2.6232162013614206,0.5169094080142635,8.569488071143521,4.385953741965534,0.6784611314610383
157,gradient_maxdet,2,397,0.6486881067517913,4.653831547387686,2.353411883187237,0.6087421499817254,7.552578109680394,4.038859714421151,0.7502450105562086
157,gradient_maxdet,3,429,0.613015314441579,4.536415137537742,2.30644160266117,0.6282360040962196,6.772999504658401,3.5814168344584587,0.79914353743371
157,gradient_maxdet,4,461,0.6141550622166827,4.542031490005256,2.2779516001685347,0.6273149022656255,6.793313289366015,3.56214679631112,0.7979369011134612
157,gradient_maxdet,5,493,0.5880406112453459,4.353963982498378,2.166994128581717,0.657538771918918,6.490569560839492,3.306600126431143,0.8155454640638558
157,gradient_maxdet,6,525,0.6153901377580829,4.49670583799279,2.2044199547893424,0.63471595623959,6.953589700560366,3.304698602758723,0.7882897695919582
157,gradient_maxdet,7,557,0.5056982972931714,3.803582990273007,1.9851319143812147,0.7386469704693386,5.415064086219506,3.131212998351319,0.8716100813703823
157,gradient_maxdet,8,589,0.496865314950881,3.753682649381462,1.991479430553153,0.7454595242866617,5.272600944150038,3.028726979125318,0.8782767531570297
157,gradient_maxdet,9,621,0.5059880049848041,3.817907766860505,1.92802214736847,0.7366746861122204,5.383066252151523,3.0358229804096175,0.8731229209189557
157,gradient_maxdet,10,653,0.4847085633763891,3.6696559672455487,1.876472668682071,0.7567278199156676,5.120743784216364,2.882280368027355,0.8851873304321137
157,gradient_maxdet,11,685,0.4827470310132076,3.653094402675529,1.8969695459452751,0.7589186935914555,5.105038012730752,2.893314534239918,0.8858905314936086
157,gradient_maxdet,12,717,0.4793238117241036,3.6342774685910664,1.7766953618120518,0.7613958962709493,5.048008395358379,2.782635229096996,0.8884257800910517
157,gradient_maxdet,13,749,0.4815132641011012,3.668837921738224,1.8565386462268785,0.7568362690641405,5.017714741708593,2.818836719297962,0.8897609002659911
157,gradient_maxdet,14,781,0.4777787978263942,3.637744260916528,1.8399181729026264,0.760940463014828,4.986691194989292,2.7436978170911757,0.891119859639839
157,gradient_maxdet,15,813,0.4709856152801385,3.547513737773271,1.7369935638327108,0.7726526389553718,5.02888820736355,2.778239657267106,0.8892693919623047
157,gradient_maxdet,16,845,0.4922538890399663,3.8243613517610098,1.8455365201552136,0.7357837119693649,4.901815180605414,2.654856892798444,0.8947947077859754
157,gradient_maxdet,17,877,0.5034253747509494,3.8830765398205407,1.844510195066603,0.7276084395072254,5.1016453651424145,2.811317050485588,0.886042148219633
157,gradient_maxdet,18,909,0.4964815784422677,3.8848127065913625,1.804840606465328,0.7273648064526629,4.85460595289212,2.6463525381019646,0.8968114071264134
157,gradient_maxdet,19,941,0.511621418138842,4.028817339654713,1.9562141081983808,0.7067777642855737,4.9179782663562985,2.680842662600876,0.8940997629183914
157,gradient_maxdet,20,973,0.5026276850139876,3.952980688441496,1.919915311913982,0.7177128357833804,4.8483054710170785,2.609581833548969,0.897079077037953
157,gradient_maxdet,21,1005,0.4844563384713157,3.801133766060531,1.834227217758874,0.7389834458806978,4.702727975969987,2.521175588063485,0.9031669885339728
6101,gradient_maxdet,0,333,0.9507187465219588,5.636028801020688,2.688104156681674,0.4758323202914568,10.574190925603304,4.8925266368783635,0.4741475094423357
6101,gradient_maxdet,1,365,0.8663494462427554,5.074010862018011,2.398437904225265,0.5751588102377813,9.799715090254113,4.576856305559191,0.5483556945049052
6101,gradient_maxdet,2,397,0.7929806529990068,4.721827548803453,2.2620510243111664,0.6320878971992563,8.76329314083015,4.1024399838573355,0.6388361126564074
6101,gradient_maxdet,3,429,0.7939608685196798,4.72209592244612,2.2690052105654344,0.6320460741059037,8.789236365972021,4.109180323511577,0.6366945375194119
6101,gradient_maxdet,4,461,0.8063289766982487,4.798354703592482,2.1717110229053085,0.6200656774862678,8.918833349513362,4.1977931601252205,0.6259016970914622
6101,gradient_maxdet,5,493,0.739132137136741,4.467739789905148,2.0526518089879904,0.6706182191971761,7.983890213528764,3.733572102279114,0.7002226939503162
6101,gradient_maxdet,6,525,0.7211648583774197,4.3469829177031345,1.914845357410056,0.6881830650032865,7.82398895136029,3.5893556402741575,0.7121103201145181
6101,gradient_maxdet,7,557,0.7263764880274914,4.374571293059295,1.988813903977831,0.6842125774218457,7.891239585274209,3.666062034291329,0.7071399729581884
6101,gradient_maxdet,8,589,0.7337492851602437,4.46491611602889,2.0454759077488376,0.6710344353896658,7.841150371772722,3.510050373397571,0.7108459997530053
6101,gradient_maxdet,9,621,0.7480142093249272,4.49190809218661,2.110376470666423,0.6670449896424717,8.162455136067095,3.827619644663603,0.6866633078675253
6101,gradient_maxdet,10,653,0.7186191051352911,4.359861281405971,1.956871640482109,0.6863327516183513,7.7166149937729855,3.479819364684949,0.7199579135090528
6101,gradient_maxdet,11,685,0.7202979527882128,4.430154903588256,1.9393665307431485,0.6761367609631836,7.560210164354293,3.3599870942479413,0.7311949788696164
6101,gradient_maxdet,12,717,0.7060559239868275,4.287271731558639,1.917206819680669,0.6966906125067738,7.571350791571307,3.428212115518767,0.7304021800154166
6101,gradient_maxdet,13,749,0.7060720874924608,4.327649321551313,1.9003288763032544,0.6909505644696584,7.455050631546046,3.400492375417293,0.738620914281353
6101,gradient_maxdet,14,781,0.6814380493424128,4.1941485376583225,1.8893162575271203,0.7097237890416745,7.143465074461604,3.215217817887414,0.7600131246077613
6101,gradient_maxdet,15,813,0.6627435391871048,4.092803118125526,1.8070487695918096,0.7235824975833636,6.906685181475091,3.032043072817137,0.7756588400958155
6101,gradient_maxdet,16,845,0.6436624326482424,3.991529423707753,1.7842617972577504,0.7370927870415451,6.658043934141054,3.177904812837962,0.7915206938382199
6101,gradient_maxdet,17,877,0.5501799321366877,3.399152506300889,1.6875209047925843,0.8093375666892888,5.729160614163692,2.859122707403535,0.8456340055287235
6101,gradient_maxdet,18,909,0.5707596448104094,3.519097759154747,1.678081736004324,0.7956444230472361,5.964951513498389,2.963713338335069,0.8326662763378155
6101,gradient_maxdet,19,941,0.5619246846324196,3.4854198107202903,1.7154750275097306,0.7995370939415376,5.810223194254762,2.956005426905424,0.841234815919482
6101,gradient_maxdet,20,973,0.5630816088463823,3.50339016604688,1.703057401757732,0.797464645533112,5.789383468751334,2.97859887710864,0.8423716704499032
6101,gradient_maxdet,21,1005,0.5345587462067403,3.332455404317256,1.661325794329746,0.8167463963079228,5.476138611359858,2.7509803051571193,0.8589677272582583
157,hybrid,0,333,0.7552330820189761,5.222683805149919,2.613402478128886,0.5072470735708294,9.264808762812883,4.7290128449456015,0.6241655027553434
157,hybrid,1,365,0.7440182050208847,5.271126932187659,2.669768691920548,0.4980635965819655,8.827951058025024,4.373794054813522,0.6587728682603684
157,hybrid,2,397,0.6804924988361001,5.058704464336235,2.56176975076433,0.5377037593066657,7.455193215413821,3.867971619256109,0.756644296593236
157,hybrid,3,429,0.5831309518047568,4.201836649426148,2.318982483957597,0.6810518590601213,6.742808522676657,3.745181515920077,0.8009302017992896
157,hybrid,4,461,0.6214042737687554,4.731061129443885,2.364677462360556,0.5956486804892145,6.486426707945376,3.503541339215615,0.8157808591616902
