column,protocol,seed,method,projection_frequency,center_error_variance,width_error_variance,center_width_error_covariance,center_width_error_correlation,V1_error_variance,V2_error_variance,V1_variance_identity_max_abs,V2_variance_identity_max_abs,V1_error_identity_max_abs,V2_error_identity_max_abs
40g,compound,1425370602,CENTER_MAGNITUDE,0.0,272.46694152637036,110.82285275939707,68.68765856301663,0.39528209370874146,231.48499615320304,368.8603132792363,0.0,5.684341886080802e-14,2.1316282072803006e-14,2.1316282072803006e-14
40g,compound,1425370602,CENTER_CONDITIONED_WIDTH,0.0,266.60432930806377,109.3362977785335,64.08698479753751,0.3753652444426191,229.85141895515955,358.0253885502346,5.684341886080802e-14,5.684341886080802e-14,2.1316282072803006e-14,2.1316282072803006e-14
40g,compound,536279090,M3_CENTER_WIDTH,0.0,223.5532927178628,113.52597429432281,71.61208625219811,0.4495191229122595,180.32270003924546,323.54687254364165,5.684341886080802e-14,5.684341886080802e-14,2.1316282072803006e-14,2.1316282072803006e-14
40g,compound,536279090,CENTER_MAGNITUDE,0.0,230.81316018472947,113.52597429432281,72.55500184539586,0.4482181668027098,186.6396519129143,331.749655603706,0.0,0.0,2.1316282072803006e-14,2.1316282072803006e-14
40g,compound,536279090,CENTER_CONDITIONED_WIDTH,0.0,226.84791787079976,118.11602243279852,72.43833050489349,0.44253398340207606,183.93859297410577,328.8152539838928,1.4210854715202004e-13,1.1368683772161603e-13,2.1316282072803006e-14,2.1316282072803006e-14
40g,compound,2767143051,M3_CENTER_WIDTH,0.0,259.90032617994586,118.13804210468514,65.78779427419362,0.3754456085142092,223.6470424319235,355.22263098031067,2.842170943040401e-14,1.1368683772161603e-13,1.4210854715202004e-14,1.4210854715202004e-14
40g,compound,2767143051,CENTER_MAGNITUDE,0.0,266.74364605475654,118.13804210468511,66.87242233791083,0.37670824783074136,229.40573424301695,363.15057891883873,2.842170943040401e-14,5.684341886080802e-14,1.4210854715202004e-14,1.4210854715202004e-14
40g,compound,2767143051,CENTER_CONDITIONED_WIDTH,0.0,263.52873350278196,118.87229447302275,67.41708233889615,0.3809040962529672,225.82972478214143,360.66388945993384,8.526512829121202e-14,5.684341886080802e-14,2.1316282072803006e-14,2.1316282072803006e-14
40g,compound,1362771960,M3_CENTER_WIDTH,0.0,257.38193718989527,106.83670147888247,64.2118387609139,0.3872271844057999,219.87927379870203,348.30295132052987,2.842170943040401e-14,5.684341886080802e-14,2.1316282072803006e-14,2.1316282072803006e-14
40g,compound,1362771960,CENTER_MAGNITUDE,0.0,260.3977153637167,105.28052530558527,64.58424499099836,0.3900623029377671,222.1336016991147,351.30209168111134,0.0,5.684341886080802e-14,2.1316282072803006e-14,2.1316282072803006e-14
40g,compound,1362771960,CENTER_CONDITIONED_WIDTH,0.0,257.5787172597608,106.93703450543224,63.37697211921806,0.38186726468530713,220.93600376690085,347.68994800533704,5.684341886080802e-14,1.1368683772161603e-13,1.4210854715202004e-14,1.4210854715202004e-14
40g,row,769539383,M3_CENTER_WIDTH,0.0,256.5660861047759,111.96821526219169,84.45051340028319,0.4982591601998129,200.10762652004055,369.00865332060704,8.526512829121202e-14,5.684341886080802e-14,2.1316282072803006e-14,2.1316282072803006e-14
40g,row,769539383,CENTER_MAGNITUDE,0.0,257.0215467156036,111.96821526219172,84.26871092634332,0.49674580274965346,200.74488960480832,369.28231145749476,8.526512829121202e-14,1.1368683772161603e-13,2.1316282072803006e-14,2.1316282072803006e-14
40g,row,769539383,CENTER_CONDITIONED_WIDTH,0.0,256.5660861047759,112.71672163300781,81.65221740422746,0.4801469608261606,203.09304910880027,366.3974839172554,1.1368683772161603e-13,1.1368683772161603e-13,1.4210854715202004e-14,1.4210854715202004e-14
40g,row,1425370602,M3_CENTER_WIDTH,0.0,233.20456334951356,103.06807002420202,65.45458313348067,0.4221914822454222,193.51699772208337,324.42616398904465,2.842170943040401e-14,1.1368683772161603e-13,2.1316282072803006e-14,2.1316282072803006e-14
40g,row,1425370602,CENTER_MAGNITUDE,0.0,238.77703864673234,104.11607765447633,65.42346652881447,0.41493337807635283,199.38259153153695,330.2295245891659,0.0,5.684341886080802e-14,2.1316282072803006e-14,2.1316282072803006e-14
40g,row,1425370602,CENTER_CONDITIONED_WIDTH,0.0,233.20456334951356,105.32702656238757,65.93505553633759,0.4207052601440062,193.60126445377284,325.47137552644796,0.0,5.684341886080802e-14,1.4210854715202004e-14,1.4210854715202004e-14
40g,row,536279090,M3_CENTER_WIDTH,0.0,292.8567514425418,120.22294846253511,76.19256358204314,0.4060609987010422,246.71992497613243,399.10505214021873,2.842170943040401e-14,0.0,1.4210854715202004e-14,1.4210854715202004e-14
40g,row,536279090,CENTER_MAGNITUDE,0.0,288.66150283506533,117.5123435359018,75.89255428749222,0.4120624041604642,242.1470344315486,393.932143006533,0.0,0.0,2.1316282072803006e-14,2.1316282072803006e-14
40g,row,536279090,CENTER_CONDITIONED_WIDTH,0.0,290.4155018419036,116.36876303438795,76.58496395658945,0.41659629775099594,242.9227286439112,396.0926565570901,2.842170943040401e-14,5.684341886080802e-14,2.1316282072803006e-14,2.1316282072803006e-14
40g,row,2767143051,M3_CENTER_WIDTH,0.0,281.71132503236623,111.03775773124298,76.35199631121365,0.4317008481666621,233.11876815396332,385.8227607763905,2.842170943040401e-14,1.1368683772161603e-13,2.1316282072803006e-14,2.1316282072803006e-14
40g,row,2767143051,CENTER_MAGNITUDE,0.0,287.14291667358975,111.03775773124296,77.49570027950409,0.4340034799006355,237.40665582689635,392.3980563859047,2.842170943040401e-14,1.1368683772161603e-13,2.1316282072803006e-14,2.1316282072803006e-14
40g,row,2767143051,CENTER_CONDITIONED_WIDTH,0.0,286.17198949167863,111.18161573198988,78.25583502400714,0.4387192371893614,235.71155840066888,392.2232284486833,1.1368683772161603e-13,5.684341886080802e-14,1.4210854715202004e-14,1.4210854715202004e-14
40g,row,1362771960,M3_CENTER_WIDTH,0.0,251.8640859577993,100.83076634954634,75.38289200084294,0.47303485075832813,201.6888855443429,352.45466954602887,0.0,5.684341886080802e-14,2.1316282072803006e-14,2.1316282072803006e-14
40g,row,1362771960,CENTER_MAGNITUDE,0.0,253.6260110086428,99.6749225574009,73.40026209831588,0.4616446018912705,205.14447954967713,351.9450037463089,2.842170943040401e-14,0.0,2.1316282072803006e-14,2.1316282072803006e-14
