column,protocol,seed,fold,method,selected_penalty,free_coefficients,fit_center_scale,fit_width_scale,fit_center_scale_expected,projection_frequency,raw_v2_lt_v1_rate,extra_coefficient,extra_coefficient_std,extra_coefficient_positive_fraction
25g,compound,1362771960,3,CENTER_CONDITIONED_WIDTH,0.0,7,2.881640455558639,2.853965204674305,2.881640455558639,0.0,0.0,0.031011655753590866,,
25g,compound,1362771960,4,M3_CENTER_WIDTH,0.0,6,2.886964927135312,3.305867149157362,2.886964927135312,0.0,0.0,,,
25g,compound,1362771960,4,CENTER_MAGNITUDE,0.0,7,2.886964927135312,3.305867149157362,2.886964927135312,0.0,0.0,-0.20220281049732752,,
25g,compound,1362771960,4,CENTER_CONDITIONED_WIDTH,0.0,7,2.886964927135312,3.305867149157362,2.886964927135312,0.0,0.0,0.018392684546242984,,
25g,row,769539383,0,M3_CENTER_WIDTH,0.0,6,3.0545250436931566,3.5979862542663645,3.0545250436931566,0.0,0.0,,,
25g,row,769539383,0,CENTER_MAGNITUDE,0.1,7,3.0545250436931566,3.5979862542663645,3.0545250436931566,0.0,0.0,-0.06647138175796025,,
25g,row,769539383,0,CENTER_CONDITIONED_WIDTH,0.0,7,3.0545250436931566,3.5979862542663645,3.0545250436931566,0.0,0.0,0.023588732885241364,,
25g,row,769539383,1,M3_CENTER_WIDTH,0.1,6,3.0292217305690428,3.714151354777594,3.0292217305690428,0.0,0.0,,,
25g,row,769539383,1,CENTER_MAGNITUDE,0.1,7,3.0292217305690428,3.714151354777594,3.0292217305690428,0.0,0.0,-0.06718325493520691,,
25g,row,769539383,1,CENTER_CONDITIONED_WIDTH,0.0,7,3.0292217305690428,3.714151354777594,3.0292217305690428,0.0,0.0,0.015679283780892516,,
25g,row,769539383,2,M3_CENTER_WIDTH,0.0,6,2.7264090771338685,3.5616083906968674,2.7264090771338685,0.0,0.0,,,
25g,row,769539383,2,CENTER_MAGNITUDE,0.1,7,2.7264090771338685,3.5616083906968674,2.7264090771338685,0.0,0.0,-0.013575813708687932,,
25g,row,769539383,2,CENTER_CONDITIONED_WIDTH,0.0,7,2.7264090771338685,3.5616083906968674,2.7264090771338685,0.0,0.0,0.02411922710465375,,
25g,row,769539383,3,M3_CENTER_WIDTH,0.0,6,2.968685513513969,3.429068146446092,2.968685513513969,0.0,0.0,,,
25g,row,769539383,3,CENTER_MAGNITUDE,0.1,7,2.968685513513969,3.429068146446092,2.968685513513969,0.0,0.0,-0.06166504184123432,,
25g,row,769539383,3,CENTER_CONDITIONED_WIDTH,0.0,7,2.968685513513969,3.429068146446092,2.968685513513969,0.0,0.0,0.03577914759970772,,
25g,row,769539383,4,M3_CENTER_WIDTH,0.0,6,2.917812508270677,3.3883001473105336,2.917812508270677,0.0,0.0,,,
25g,row,769539383,4,CENTER_MAGNITUDE,0.0,7,2.917812508270677,3.3883001473105336,2.917812508270677,0.0,0.0,-0.17746626288995793,,
25g,row,769539383,4,CENTER_CONDITIONED_WIDTH,0.0,7,2.917812508270677,3.3883001473105336,2.917812508270677,0.0,0.0,0.020521940630648924,,
25g,row,1425370602,0,M3_CENTER_WIDTH,0.1,6,2.631397723389322,3.3124301162698426,2.631397723389322,0.0,0.0,,,
25g,row,1425370602,0,CENTER_MAGNITUDE,0.1,7,2.631397723389322,3.3124301162698426,2.631397723389322,0.0,0.0,-0.013738237707649472,,
25g,row,1425370602,0,CENTER_CONDITIONED_WIDTH,0.1,7,2.631397723389322,3.3124301162698426,2.631397723389322,0.0,0.0,0.02043575080309687,,
25g,row,1425370602,1,M3_CENTER_WIDTH,0.1,6,2.6218214253762393,3.282339887294088,2.6218214253762393,0.0,0.0,,,
25g,row,1425370602,1,CENTER_MAGNITUDE,0.1,7,2.6218214253762393,3.282339887294088,2.6218214253762393,0.0,0.0,-0.007981380303253174,,
25g,row,1425370602,1,CENTER_CONDITIONED_WIDTH,0.1,7,2.6218214253762393,3.282339887294088,2.6218214253762393,0.0,0.0,0.03556307279097787,,
25g,row,1425370602,2,M3_CENTER_WIDTH,0.1,6,2.555796912590382,3.321436732514589,2.555796912590382,0.0,0.0,,,
25g,row,1425370602,2,CENTER_MAGNITUDE,0.0,7,2.555796912590382,3.321436732514589,2.555796912590382,0.0,0.0,0.04573703002723394,,
25g,row,1425370602,2,CENTER_CONDITIONED_WIDTH,0.1,7,2.555796912590382,3.321436732514589,2.555796912590382,0.0,0.0,-0.012683069053486267,,
25g,row,1425370602,3,M3_CENTER_WIDTH,0.0,6,2.6447570385459858,3.2904672744755055,2.6447570385459858,0.0,0.0,,,
25g,row,1425370602,3,CENTER_MAGNITUDE,0.1,7,2.6447570385459858,3.2904672744755055,2.6447570385459858,0.0,0.0,-0.018945732404847666,,
25g,row,1425370602,3,CENTER_CONDITIONED_WIDTH,0.0,7,2.6447570385459858,3.2904672744755055,2.6447570385459858,0.0,0.0,0.0705545661984657,,
25g,row,1425370602,4,M3_CENTER_WIDTH,0.0,6,2.602603652427001,3.2675295549970285,2.602603652427001,0.0,0.0,,,
25g,row,1425370602,4,CENTER_MAGNITUDE,0.1,7,2.602603652427001,3.2675295549970285,2.602603652427001,0.0,0.0,-0.015529793600918319,,
25g,row,1425370602,4,CENTER_CONDITIONED_WIDTH,0.0,7,2.602603652427001,3.2675295549970285,2.602603652427001,0.0,0.0,0.06959182955038941,,
25g,row,536279090,0,M3_CENTER_WIDTH,0.0,6,2.8060448175682438,3.6106081141091,2.8060448175682438,0.0,0.0,,,
25g,row,536279090,0,CENTER_MAGNITUDE,0.1,7,2.8060448175682438,3.6106081141091,2.8060448175682438,0.0,0.0,-0.021513183207711867,,
25g,row,536279090,0,CENTER_CONDITIONED_WIDTH,0.0,7,2.8060448175682438,3.6106081141091,2.8060448175682438,0.0,0.0,0.01899895555303635,,
25g,row,536279090,1,M3_CENTER_WIDTH,0.0,6,2.792246124211854,3.3757651570779013,2.792246124211854,0.0,0.0,,,
25g,row,536279090,1,CENTER_MAGNITUDE,0.1,7,2.792246124211854,3.3757651570779013,2.792246124211854,0.0,0.0,-0.02034099235909711,,
25g,row,536279090,1,CENTER_CONDITIONED_WIDTH,0.0,7,2.792246124211854,3.3757651570779013,2.792246124211854,0.0,0.0,0.05258562974579663,,
25g,row,536279090,2,M3_CENTER_WIDTH,0.0,6,2.8253414189333883,3.465212919741254,2.8253414189333883,0.0,0.0,,,
25g,row,536279090,2,CENTER_MAGNITUDE,0.1,7,2.8253414189333883,3.465212919741254,2.8253414189333883,0.0,0.0,-0.01910701194454838,,
25g,row,536279090,2,CENTER_CONDITIONED_WIDTH,0.0,7,2.8253414189333883,3.465212919741254,2.8253414189333883,0.0,0.0,0.06370587195048094,,
