seed,method,round,source,selected_rows,new_molecule_rows,known_molecule_rows,distinct_molecules,within_source_same_molecule_pairs,selected_distinct_PE_EA,MW_min,MW_max,MW_mean,LogP_min,LogP_max,LogP_mean,TPSA_min,TPSA_max,TPSA_mean
157,cw16_llm16_full_pool,1,LLM,16,0,16,15,1,7,107.156,229.07299999999998,159.84974999999997,0.41200000000000003,2.7892800000000006,1.5941525000000003,12.89,69.67,35.323125000000005
157,cw16_llm16_full_pool,2,CW,16,3,13,15,1,6,122.16699999999999,329.906,179.62499999999997,0.5286,3.5440000000000014,2.040753750000001,0.0,43.370000000000005,25.1225
157,cw16_llm16_full_pool,2,LLM,16,1,15,13,3,7,118.13899999999998,262.046,162.03443749999997,0.5286,2.9262000000000015,1.8789237500000004,12.89,60.209999999999994,34.278125
157,cw16_llm16_full_pool,3,CW,16,3,13,15,1,5,116.116,235.07999999999996,180.84337499999998,0.13849999999999985,3.4148000000000014,2.2639637500000007,0.0,43.370000000000005,24.2225
157,cw16_llm16_full_pool,3,LLM,16,2,14,14,2,6,121.11399999999998,220.268,162.33675,0.5286,3.1953000000000014,1.9948875000000001,12.03,60.209999999999994,28.4925
157,cw16_llm16_full_pool,4,CW,16,2,14,15,1,4,106.146,212.248,160.66275000000002,0.08919999999999989,3.0436000000000014,1.8839412499999997,17.07,52.32,29.690625000000004
157,cw16_llm16_full_pool,4,LLM,16,2,14,14,2,4,121.11399999999998,239.06499999999994,165.40793749999997,0.8761,3.0424000000000015,1.83513,17.07,60.209999999999994,31.130625000000006
157,cw16_llm16_full_pool,5,CW,16,3,13,16,0,5,116.16299999999997,222.06799999999998,171.81212499999998,1.3329,3.0424000000000015,2.3551875000000004,0.0,43.370000000000005,19.551250000000003
157,cw16_llm16_full_pool,5,LLM,16,0,16,16,0,6,120.15099999999995,288.006,173.66575000000003,0.41200000000000003,3.982300000000003,1.9238312500000005,9.23,52.32,31.715625000000006
6101,cw16_random16_full_pool,0,CW,16,5,11,16,0,4,129.159,286.33,180.758125,-0.6642000000000001,4.336400000000003,2.1929387500000006,17.07,60.209999999999994,32.32875
6101,cw16_random16_full_pool,0,random,16,4,12,15,1,6,118.13899999999998,335.2440000000001,197.0606875,0.5027,5.998100000000004,2.7537625000000014,0.0,60.209999999999994,23.699375
6101,cw16_random16_full_pool,1,CW,16,3,13,16,0,5,107.156,260.255,175.01362499999996,0.5027,3.7048000000000023,2.3648625000000005,12.89,52.60000000000001,25.834374999999994
6101,cw16_random16_full_pool,1,random,16,3,13,16,0,6,120.57900000000001,293.00399999999996,191.80931249999998,-0.6642000000000001,4.486700000000001,2.5331212500000007,0.0,60.209999999999994,21.291249999999994
6101,cw16_random16_full_pool,2,CW,16,3,13,16,0,5,118.13899999999998,222.06799999999998,164.58737499999998,0.3619999999999999,2.6523000000000003,1.7194362499999998,12.89,52.32,30.31125
6101,cw16_random16_full_pool,2,random,16,0,16,16,0,6,118.13899999999998,288.006,186.9514375,-0.6642000000000001,4.116100000000002,2.3546512500000008,0.0,52.60000000000001,23.493125000000003
6101,cw16_random16_full_pool,3,CW,16,2,14,14,2,5,121.11399999999998,286.33,184.56,1.2778999999999998,4.148600000000003,2.13961125,12.89,60.209999999999994,36.224374999999995
6101,cw16_random16_full_pool,3,random,16,2,14,16,0,7,134.134,266.218,191.477125,0.5286,4.116100000000002,2.505877500000001,0.0,52.32,23.129375
6101,cw16_random16_full_pool,4,CW,16,2,14,14,2,4,106.16799999999999,246.04699999999997,166.05406250000001,0.5027,3.4604000000000026,1.9752025,0.0,69.67,29.606250000000003
