column,protocol,seed,fold,method,selected_penalty,free_coefficients,projection_frequency,raw_v2_lt_v1_rate,V1_rmse,V1_mae,V1_r2,V2_rmse,V2_mae,V2_r2,combined_normalized_rmse,normalized_rmse,nrmse,combined_nrmse,all_outputs_finite
40g,row,2767143051,0,M2_MAG,0.0,8,,,12.769999659001467,8.968026815825244,0.8170997178927598,16.329237253326816,11.303946376639853,0.8354817424796961,1.3524282495499247,1.3524282495499247,1.3181743828078083,1.3181743828078083,True
40g,row,2767143051,0,M3_CENTER_WIDTH,0.1,6,0.0,0.0,11.805069765581479,7.852270503095872,0.8436961339647675,15.300654295103511,11.270261324978257,0.8555550681310226,1.255054263486842,1.255054263486842,1.2249549723748663,1.2249549723748663,True
40g,row,2767143051,1,M1_conditional_EA,0.0,6,,,16.386593348650734,10.8843127504833,0.643915301765664,23.178035888469157,16.469583597073193,0.6543425520533117,1.7893237835534372,1.7893237835534372,1.7606700011144807,1.7606700011144807,True
40g,row,2767143051,1,M2_MAG,0.0,8,,,16.26728405054684,10.884776653301689,0.6490816658358569,23.21645300255548,16.55286254237213,0.6531957623387667,1.7815033246189524,1.7815033246189524,1.7542941079584162,1.7542941079584162,True
40g,row,2767143051,1,M3_CENTER_WIDTH,0.1,6,0.0,0.0,15.669273692655846,10.55337358969189,0.6744080254539009,22.705805650902885,15.89181375666092,0.668283946679591,1.7246998610734174,1.7246998610734174,1.700465860893245,1.700465860893245,True
40g,row,2767143051,2,M1_conditional_EA,0.0,6,,,12.741273670102231,9.713840683511412,0.7542788577694632,18.302393014702524,14.098983721202702,0.7411462002483176,1.3983409540983824,1.3983409540983824,1.377719255648235,1.377719255648235,True
40g,row,2767143051,2,M2_MAG,0.1,8,,,12.852438415602213,9.743890573050827,0.7499724297201499,19.21945205130368,15.221233572944126,0.7145560818453683,1.429978113247942,1.429978113247942,1.4132948699165704,1.4132948699165704,True
40g,row,2767143051,2,M3_CENTER_WIDTH,0.1,6,0.0,0.0,13.418298714829673,9.885571361649527,0.7274716109806201,17.836575442369625,13.749543665124085,0.7541547957699781,1.437154728577854,1.437154728577854,1.406192034432336,1.406192034432336,True
40g,row,2767143051,3,M1_conditional_EA,0.0,6,,,18.339708601289182,12.534555041292323,0.6233062933889602,20.915056483452076,14.913964883921356,0.7664406556895783,1.8854259881340885,1.8854259881340885,1.8142224439011572,1.8142224439011572,True
40g,row,2767143051,3,M2_MAG,0.0,8,,,18.12228716000963,12.263644684902244,0.6321849305718357,20.931074592150516,15.00735405405954,0.7660827688642109,1.868766210642795,1.868766210642795,1.8009242538637822,1.8009242538637822,True
40g,row,2767143051,3,M3_CENTER_WIDTH,0.1,6,0.0,0.0,16.330242617400224,10.48001723040457,0.7013319428367412,19.369035759253872,14.095031038243498,0.7996934431749191,1.695084561963394,1.695084561963394,1.638629518777078,1.638629518777078,True
40g,row,2767143051,4,M1_conditional_EA,0.0,6,,,18.199156256689804,10.90232589753343,0.3441553646020683,22.056272394221587,14.846870737416047,0.4345611616597441,1.8995644604065738,1.8995644604065738,1.840797035818424,1.840797035818424,True
40g,row,2767143051,4,M2_MAG,0.0,8,,,18.099430372832487,11.170164978912167,0.3513233328362133,22.27072102997918,14.740375387099375,0.42351241627807246,1.8967298251736682,1.8967298251736682,1.8411386042286124,1.8411386042286124,True
40g,row,2767143051,4,M3_CENTER_WIDTH,0.1,6,0.0,0.0,18.31415024678967,10.29885652319236,0.335841082247896,22.100775658282842,14.795437057359251,0.43227707119862346,1.9094396217642629,1.9094396217642629,1.8494780329357563,1.8494780329357563,True
40g,row,1362771960,0,M1_conditional_EA,0.0,6,,,15.208782201207173,10.3037110014641,0.6554329148771374,21.082522715758675,13.691334285628729,0.6473329852062453,1.6500219692922795,1.6500219692922795,1.620759418720048,1.620759418720048,True
40g,row,1362771960,0,M2_MAG,0.0,8,,,15.204679935015887,10.425525869859047,0.6556187700301266,21.0866282937196,13.640037233838203,0.6471956161708505,1.6498189933516039,1.6498189933516039,1.6206268001018238,1.6206268001018238,True
40g,row,1362771960,0,M3_CENTER_WIDTH,0.1,6,0.0,0.0,14.47636855697394,9.293156578953186,0.6878206510507796,21.46719700497437,13.84589339643244,0.63434596394618,1.6059736934767537,1.6059736934767537,1.5862483229710231,1.5862483229710231,True
