column,protocol,outer_seed,planned_budget,actual_budget,sample_id,canonical_smiles,role
8g,row,769539383,30,30,77577e6f6f0aa6789972,CCOC(=O)C(C)Br,pool
8g,row,769539383,30,30,298017c801a97653f57d,CCOC(=O)C(C)Br,pool
8g,row,769539383,30,30,849796401ee485c617a5,CCOC(=O)C(C)Br,pool
8g,row,769539383,30,30,67cc8304e3e618d7416a,CCOC(=O)C(C)Br,pool
8g,row,769539383,30,30,c7bc53c45a1962a88ec3,CCOC(=O)C(C)Br,pool
8g,row,769539383,30,30,76b9db19f45b8222d962,CCOC(=O)C(C)Br,pool
8g,row,769539383,30,30,0279fb0f7dba4b54a816,CCOC(=O)CC(=O)c1ccccc1,pool
8g,row,769539383,30,30,ca203ccf20ce8e74d86d,CCOC(=O)CC(=O)c1ccccc1,test
8g,row,769539383,30,30,029d48fc98a886c9fec4,CCOC(=O)CC(=O)c1ccccc1,pool
8g,row,769539383,30,30,1e578360bd7749f6b397,CCOC(=O)CC(=O)c1ccccc1,test
8g,row,769539383,30,30,05c14d26f4aa6f7c48b0,CCOC(=O)CC(=O)c1ccccc1,pool
8g,row,769539383,30,30,53d046afde1259a727f9,CCOC(=O)CC(=O)c1ccccc1,pool
8g,row,769539383,30,30,35ba50ab027f5f170aba,CCOC(=O)CC(=O)c1ccccc1,pool
8g,row,769539383,30,30,130d76d2d46a287c5dea,CC(=O)c1ccccc1C,test
8g,row,769539383,30,30,3ef4b1ab56fe40940b42,CC(=O)c1ccccc1C,pool
8g,row,769539383,30,30,a340148c4096f80cc125,CC(=O)c1ccccc1C,pool
8g,row,769539383,30,30,57af4b867d9cd419ebb9,CC(=O)c1ccccc1C,gradient_train
8g,row,769539383,30,30,ff8745125a0eeb17c1e5,CC(=O)c1ccccc1C,test
8g,row,769539383,30,30,41a468134f078d2de17d,CC(=O)c1ccccc1C,pool
8g,row,769539383,30,30,b4899d5d03e44fbf885c,CC(=O)c1ccccc1C,pool
8g,row,769539383,30,30,bd93eaa60288fd0d5e89,CC(=O)c1ccc(C)cc1,test
8g,row,769539383,30,30,2797757b00a9f254ef2e,CC(=O)c1ccc(C)cc1,pool
8g,row,769539383,30,30,fad37552a4a2eae19961,CC(=O)c1ccc(C)cc1,pool
8g,row,769539383,30,30,6936556d392803de12ed,CC(=O)c1ccc(C)cc1,pool
8g,row,769539383,30,30,fd3f8b6ec11d13a8412d,CC(=O)c1ccc(C)cc1,pool
8g,row,769539383,30,30,b71b23379d73c3637a76,CC(=O)c1ccc(C)cc1,pool
8g,row,769539383,30,30,2a9d111386ac232bbf79,CC(=O)c1ccc(C)cc1,pool
8g,row,769539383,30,30,ca00dd1990fd356443cb,COC(=O)c1ccccc1O,pool
8g,row,769539383,30,30,924106530353757625ba,COC(=O)c1ccccc1O,pool
8g,row,769539383,30,30,f0d3ae15346c6cb6928d,COC(=O)c1ccccc1O,pool
8g,row,769539383,30,30,0b6fe9b9da26ddc80e99,COC(=O)c1ccccc1O,pool
8g,row,769539383,30,30,a9a4b1ef530ce6f46a1c,COC(=O)c1ccccc1O,pool
8g,row,769539383,30,30,f0245d145e2758fc9ff8,COC(=O)c1ccccc1O,pool
8g,row,769539383,30,30,f33380e15f0fd8b62027,COC(=O)c1ccccc1O,test
8g,row,769539383,30,30,1773be1aaa4102ae19f0,CC(=O)CC(=O)OC(C)(C)C,pool
8g,row,769539383,30,30,1895e2147dd146c4e564,CC(=O)CC(=O)OC(C)(C)C,pool
8g,row,769539383,30,30,e7c8cd496e2795b23cb3,CC(=O)CC(=O)OC(C)(C)C,pool
8g,row,769539383,30,30,60f64adee75a0999c5d5,CC(=O)CC(=O)OC(C)(C)C,pool
8g,row,769539383,30,30,851993fe56d61c8bf074,CC(=O)CC(=O)OC(C)(C)C,test
8g,row,769539383,30,30,4e6d2ab0e823ac1d4b58,CC(=O)CC(=O)OC(C)(C)C,pool
8g,row,769539383,30,30,452aebfcddc0b031c20d,CCOC(=O)Cc1ccccc1,pool
8g,row,769539383,30,30,a67ee30ac22b3511e0af,CCOC(=O)Cc1ccccc1,pool
8g,row,769539383,30,30,4c52102f0b5a693d59bc,CCOC(=O)Cc1ccccc1,pool
8g,row,769539383,30,30,f21e8077ac7b6ec1d038,CCOC(=O)Cc1ccccc1,pool
8g,row,769539383,30,30,982611df66af1cf7c2f5,CCOC(=O)Cc1ccccc1,pool
8g,row,769539383,30,30,d9e344f199dc9a567b5f,CCOC(=O)Cc1ccccc1,pool
8g,row,769539383,30,30,74706f7e5d10b9245796,CCOC(=O)Cc1ccccc1,pool
8g,row,769539383,30,30,f5d7ae6c2608335325ff,COC(=O)c1ccccc1N,pool
8g,row,769539383,30,30,f66e095007d9d0923ce2,COC(=O)c1ccccc1N,pool
8g,row,769539383,30,30,c9a57e8accca7da9758b,COC(=O)c1ccccc1N,test
8g,row,769539383,30,30,f7b1b9737459397f9ace,COC(=O)c1ccccc1N,pool
8g,row,769539383,30,30,68feec66f657364ebeaa,COC(=O)c1ccccc1N,pool
8g,row,769539383,30,30,96ccc1b8240fc2e9c1f3,COC(=O)c1ccccc1N,test
8g,row,769539383,30,30,16eec4a03ec235274042,CCOC(=O)/C=C/c1ccccc1,pool
8g,row,769539383,30,30,92e4f80b3943134ebe86,CCOC(=O)/C=C/c1ccccc1,pool
8g,row,769539383,30,30,e15e8a4f329d3a08aff9,CCOC(=O)/C=C/c1ccccc1,test
8g,row,769539383,30,30,6cec450baf7517436df6,CCOC(=O)/C=C/c1ccccc1,pool
8g,row,769539383,30,30,48b79e49508df9f5fd6d,CCOC(=O)/C=C/c1ccccc1,pool
8g,row,769539383,30,30,404dc3e2801a9a9d52aa,CCOC(=O)/C=C/c1ccccc1,pool
8g,row,769539383,30,30,c72867f0f2e38c70aa8c,CCOC(=O)/C=C/c1ccccc1,pool
8g,row,769539383,30,30,d9d3d24a75ff511e108a,COC(=O)c1ccc(C(C)(C)C)cc1,pool
8g,row,769539383,30,30,f40ca479a9e86b5d5458,COC(=O)c1ccc(C(C)(C)C)cc1,pool
8g,row,769539383,30,30,b7770c04c72527e1d9f6,COC(=O)c1ccc(C(C)(C)C)cc1,pool
8g,row,769539383,30,30,a433dc0f6a13e9ace41d,COC(=O)c1ccc(C(C)(C)C)cc1,test
8g,row,769539383,30,30,e399250d7156727de0fd,COC(=O)c1ccc(C(C)(C)C)cc1,test
8g,row,769539383,30,30,3122a2210bde68deb81e,COC(=O)c1ccc(C(C)(C)C)cc1,gradient_train
8g,row,769539383,30,30,c9460286f85a5ec0f4fc,COC(=O)c1ccc(C(C)(C)C)cc1,pool
8g,row,769539383,30,30,13b0b7952199157a8399,CCOC(=O)/C=C(/C)N,pool
8g,row,769539383,30,30,759d5133ee82740013bf,CCOC(=O)/C=C(/C)N,test
8g,row,769539383,30,30,c9bf385316b464cd2e8d,CCOC(=O)/C=C(/C)N,pool
8g,row,769539383,30,30,f248b9b89d62a22b03c3,CCOC(=O)/C=C(/C)N,test
8g,row,769539383,30,30,10d51839b15b94f0ae56,CCOC(=O)/C=C(/C)N,test
8g,row,769539383,30,30,e66b24ec1e4dfa9a9a57,CCOC(=O)/C=C(/C)N,test
8g,row,769539383,30,30,506597d02ff322a77a8d,CCOC(=O)/C=C(/C)N,pool
8g,row,769539383,30,30,d2951bd3bb1608688f0d,CCOC(=O)/C=C(/C)N,test
8g,row,769539383,30,30,7d3c6ef279245ca08a2f,CCOC(=O)/C=C(/C)N,pool
8g,row,769539383,30,30,e6886d2fb3090517172b,CCOC(=O)/C=C(/C)N,pool
8g,row,769539383,30,30,d31d42caff135d7154c4,CCOC(=O)/C=C(/C)N,test
8g,row,769539383,30,30,3d7aa38258001eb6ba67,CC(C)COC(=O)c1ccccc1,pool
8g,row,769539383,30,30,b3409bbbf3b06d73afca,CC(C)COC(=O)c1ccccc1,pool
8g,row,769539383,30,30,5ce75d3f6df6d318cb8a,CC(C)COC(=O)c1ccccc1,pool
8g,row,769539383,30,30,28f4ab2563d03e831cf0,CC(C)COC(=O)c1ccccc1,pool
8g,row,769539383,30,30,b95bbdf393e00f41a6df,CC(C)COC(=O)c1ccccc1,pool
8g,row,769539383,30,30,1e73138aa057a5e2b67f,CC(C)COC(=O)c1ccccc1,test
8g,row,769539383,30,30,1319bf7018ee9b9a5b9f,CCOC(=O)c1ccccc1,pool
8g,row,769539383,30,30,99398d649f02f80651f1,CCOC(=O)c1ccccc1,pool
8g,row,769539383,30,30,240787bdbf2abc17e093,CCOC(=O)c1ccccc1,validation
8g,row,769539383,30,30,4afc7ef2732850bea176,CCOC(=O)c1ccccc1,pool
8g,row,769539383,30,30,181f6c7852b17df8f194,CCOC(=O)c1ccccc1,pool
8g,row,769539383,30,30,474238f822b0c38795c6,CCOC(=O)c1ccccc1,pool
8g,row,769539383,30,30,5eb80e21463443b22d14,CCOC(=O)c1ccccc1,pool
8g,row,769539383,30,30,f6e991e3dc3a3d3c5d89,COc1ccc(CCO)cc1,pool
8g,row,769539383,30,30,9991421da8e18008fc91,COc1ccc(CCO)cc1,pool
8g,row,769539383,30,30,9e93bad2014e7ab1a680,COc1ccc(CCO)cc1,test
8g,row,769539383,30,30,3d5dc8831f4c74f7b7d1,COc1ccc(CCO)cc1,pool
8g,row,769539383,30,30,d5a7e1d47a58e1323805,Cc1ccc(C(C)C)cc1,test
8g,row,769539383,30,30,5c32bb6f3bbf72dcb37e,Cc1ccc(C(C)C)cc1,pool
8g,row,769539383,30,30,e545485bf1a51a3ea557,Cc1ccc(C(C)C)cc1,pool
8g,row,769539383,30,30,8ea9d90b217f4096f42f,Cc1ccc(C(C)C)cc1,pool
8g,row,769539383,30,30,9ed80c28328fabe87261,Cc1ccc(C(C)C)cc1,test
8g,row,769539383,30,30,f1ea027f4cb80b10d15b,Cc1ccc(C(C)C)cc1,pool
8g,row,769539383,30,30,dcfc9eaebf799d451fdb,Cc1ccc(C(C)C)cc1,pool
8g,row,769539383,30,30,6c1f19a34a40cbf98728,CC(C)(O)CCc1ccccc1,pool
8g,row,769539383,30,30,cf45ee02778c0243ad50,CC(C)(O)CCc1ccccc1,test
8g,row,769539383,30,30,88581d99a415bf271788,CC(C)(O)CCc1ccccc1,pool
8g,row,769539383,30,30,8753ab545dd1cf036a3a,CC(C)(O)CCc1ccccc1,pool
8g,row,769539383,30,30,d59d233a1606de5b6deb,CC(C)(O)CCc1ccccc1,pool
8g,row,769539383,30,30,964a62fb7d677de0f711,CC(C)CCOC(=O)c1ccccc1,pool
8g,row,769539383,30,30,f35f8782c107387233ed,CC(C)CCOC(=O)c1ccccc1,test
8g,row,769539383,30,30,4d602abaaf336ac523e4,CC(C)CCOC(=O)c1ccccc1,test
8g,row,769539383,30,30,4768b747981033fbdf34,CC(C)CCOC(=O)c1ccccc1,pool
8g,row,769539383,30,30,3df34ab1c0d58c86999e,CC(C)CCOC(=O)c1ccccc1,pool
8g,row,769539383,30,30,8b67a1246fe892b6581d,CC(C)CCOC(=O)c1ccccc1,pool
8g,row,769539383,30,30,2bafcbea1bb66eb60a71,CC(C)CCOC(=O)c1ccccc1,pool
8g,row,769539383,30,30,2beadb75e05408973f02,CCOC(=O)/C=C/c1ccccc1,pool
8g,row,769539383,30,30,dd7cae2667a1348a2caf,CCOC(=O)/C=C/c1ccccc1,pool
8g,row,769539383,30,30,56f1cecfc0c6c3d224be,CCOC(=O)/C=C/c1ccccc1,pool
8g,row,769539383,30,30,6278b7d64a22dbe3844e,CCOC(=O)/C=C/c1ccccc1,pool
8g,row,769539383,30,30,a75e421e756083edea35,CCOC(=O)/C=C/c1ccccc1,pool
8g,row,769539383,30,30,c9f7ab78e90454873661,CCOC(=O)/C=C/c1ccccc1,test
8g,row,769539383,30,30,b36d7c12e6d3072467ee,CCOC(=O)/C=C/c1ccccc1,pool
8g,row,769539383,30,30,5dc7d31c57624ac47575,COc1ccc(C)cc1OC,pool
8g,row,769539383,30,30,7dea14d96460814919d3,COc1ccc(C)cc1OC,pool
8g,row,769539383,30,30,83a16763654b3b743265,COc1ccc(C)cc1OC,pool
8g,row,769539383,30,30,ee96bcc328a38cb12519,COc1ccc(C)cc1OC,pool
8g,row,769539383,30,30,62763fd48ebc7554402f,COc1ccc(C)cc1OC,pool
8g,row,769539383,30,30,dd29d0f859e11f70f4ec,COc1ccc(C)cc1OC,pool
8g,row,769539383,30,30,826e9f40c328ce2478ec,COc1ccc(C)cc1OC,pool
8g,row,769539383,30,30,2e684264400b651dae88,C1=Cc2ccccc2C1,test
8g,row,769539383,30,30,e4f37e6e6def0eec724a,C1=Cc2ccccc2C1,pool
8g,row,769539383,30,30,fda6d7aa920e5400a222,C1=Cc2ccccc2C1,pool
8g,row,769539383,30,30,ee0eba88726c692c7f0c,C1=Cc2ccccc2C1,test
8g,row,769539383,30,30,c438c37de3a60de0e84a,C1=Cc2ccccc2C1,pool
8g,row,769539383,30,30,f51bc35441c8ba7713b6,C1=Cc2ccccc2C1,test
8g,row,769539383,30,30,cb1bb21d54890633943c,C1=Cc2ccccc2C1,pool
8g,row,769539383,30,30,2e561b136ec088ba3eff,Cc1ccc(C)cc1,pool
8g,row,769539383,30,30,0d6f66d7971473a2cef9,Cc1ccc(C)cc1,test
8g,row,769539383,30,30,6950f8ebe95298defec5,Cc1ccc(C)cc1,pool
8g,row,769539383,30,30,1837a52df085e2fc70d1,Cc1ccc(C)cc1,test
8g,row,769539383,30,30,8067767b73f132489d46,Cc1ccc(C)cc1,pool
8g,row,769539383,30,30,bc3f10fed296515e66e5,Cc1ccc(C)cc1,pool
8g,row,769539383,30,30,369517a8e4fab7d4e0e5,Cc1ccc(C)cc1,gradient_train
8g,row,769539383,30,30,acc1a540efdb60e4fa76,ClCCc1ccccc1,pool
8g,row,769539383,30,30,b849b02cc7a096ff6f6a,ClCCc1ccccc1,pool
8g,row,769539383,30,30,75b105d94d176eec90ba,ClCCc1ccccc1,test
8g,row,769539383,30,30,4699975b36aa2351be18,ClCCc1ccccc1,pool
8g,row,769539383,30,30,a2ecd7c05da585c2a35e,ClCCc1ccccc1,pool
8g,row,769539383,30,30,82843c7e3b9005c1abb0,ClCCc1ccccc1,pool
8g,row,769539383,30,30,216e9e13c0587f197c0b,ClCCc1ccccc1,pool
8g,row,769539383,30,30,31162ac7e21c9688cbdc,CC(O)c1ccccc1,pool
8g,row,769539383,30,30,82ffe9abc3d02f4b970f,CC(O)c1ccccc1,pool
8g,row,769539383,30,30,35eae227e68fe7434e68,CC(O)c1ccccc1,pool
8g,row,769539383,30,30,82b6a0a8f122317d79d4,CC(O)c1ccccc1,test
8g,row,769539383,30,30,9b28c23ad1d4dda9fe1a,CC(O)c1ccccc1,pool
8g,row,769539383,30,30,4455212440cbaf6d51e2,COc1ccccc1,pool
8g,row,769539383,30,30,fcea8574ae051fe11483,COc1ccccc1,pool
8g,row,769539383,30,30,04d4a16ff682bc7c55c8,COc1ccccc1,pool
8g,row,769539383,30,30,62ca5eadee5ef28e9aeb,COc1ccccc1,pool
8g,row,769539383,30,30,42f031acb8211bfbf67f,COc1ccccc1,pool
8g,row,769539383,30,30,472b8f06caf25ffe6c7a,COc1ccccc1,pool
8g,row,769539383,30,30,d532e4ccbab971232d40,COc1ccccc1,test
8g,row,769539383,30,30,bae9f1ce7c04e7ccf16b,CCOC(=O)C(Br)C(=O)OCC,pool
8g,row,769539383,30,30,fc58ac30a03fcb0ec051,CCOC(=O)C(Br)C(=O)OCC,test
8g,row,769539383,30,30,c4b569d1149e4ec87b12,CCOC(=O)C(Br)C(=O)OCC,test
8g,row,769539383,30,30,53d7fb31d852cbb33059,CCOC(=O)C(Br)C(=O)OCC,pool
8g,row,769539383,30,30,265addbdd355a85c628d,CCOC(=O)C(Br)C(=O)OCC,pool
8g,row,769539383,30,30,b07e3b186c5f9a698624,CCOC(=O)C(Br)C(=O)OCC,pool
8g,row,769539383,30,30,28c4b7ec4bf7f486b68c,CCOC(=O)C(Br)C(=O)OCC,test
8g,row,769539383,30,30,c9d7d885160197c7f67c,c1ccc(COCc2ccccc2)cc1,pool
8g,row,769539383,30,30,e2869f5cf5635b6ae9c1,c1ccc(COCc2ccccc2)cc1,pool
8g,row,769539383,30,30,49865eda3c0e936157be,c1ccc(COCc2ccccc2)cc1,pool
8g,row,769539383,30,30,d26cffd9ef4da9800470,c1ccc(COCc2ccccc2)cc1,pool
8g,row,769539383,30,30,ce9ac115ce41ab41f01d,c1ccc(COCc2ccccc2)cc1,test
8g,row,769539383,30,30,b2b5155e06ff9134c6a4,c1ccc(COCc2ccccc2)cc1,pool
8g,row,769539383,30,30,f1aabb6243aed53011cb,c1ccc(COCc2ccccc2)cc1,pool
8g,row,769539383,30,30,ebc9c107c2207e99cf79,CCOC(=O)CC(C)=O,pool
8g,row,769539383,30,30,f373e0ffa24cb51dd13a,CCOC(=O)CC(C)=O,pool
8g,row,769539383,30,30,bcb35848089ca50a1eef,CCOC(=O)CC(C)=O,pool
8g,row,769539383,30,30,ef8527c6b63d54b73966,CCOC(=O)CC(C)=O,pool
8g,row,769539383,30,30,86f385aa0925171d22cc,CCOC(=O)CC(C)=O,pool
8g,row,769539383,30,30,9c7a6ce4172638d2abc7,CCOC(=O)CC(C)=O,pool
8g,row,769539383,30,30,982585c1a4e89f10713f,O=CCCc1ccccc1,pool
8g,row,769539383,30,30,36af0c588eb2e094a55e,O=CCCc1ccccc1,pool
8g,row,769539383,30,30,afcb9ffea06f12f9e0f5,O=CCCc1ccccc1,test
8g,row,769539383,30,30,e584c52185ccefd22a26,O=CCCc1ccccc1,gradient_train
8g,row,769539383,30,30,39e40f336da135e6a7b5,O=CCCc1ccccc1,pool
8g,row,769539383,30,30,e3c9408f01aa7642870f,O=CCCc1ccccc1,pool
8g,row,769539383,30,30,155ad3f702726e253c4d,O=CCCc1ccccc1,pool
8g,row,769539383,30,30,f84aa17604ca7f927b8c,C=CC(=O)OCCOc1ccccc1,pool
8g,row,769539383,30,30,6b8023df74ccc51e5c76,C=CC(=O)OCCOc1ccccc1,pool
8g,row,769539383,30,30,b056b793f5b571e6cdee,C=CC(=O)OCCOc1ccccc1,pool
8g,row,769539383,30,30,934f00061cc32bab10e8,C=CC(=O)OCCOc1ccccc1,pool
8g,row,769539383,30,30,b983d4c3094d909b570e,C=CC(=O)OCCOc1ccccc1,pool
8g,row,769539383,30,30,b6f53d16978daf702470,C=CC(=O)OCCOc1ccccc1,pool
8g,row,769539383,30,30,9563dde5c28fb62e4f7e,C=CC(=O)OCCOc1ccccc1,pool
8g,row,769539383,30,30,de2563a5f711307823f1,C=CC(=O)OC1CCCCC1,test
8g,row,769539383,30,30,e2e681b0653ec64f7c14,C=CC(=O)OC1CCCCC1,pool
8g,row,769539383,30,30,fbf392edaddff6347b58,C=CC(=O)OC1CCCCC1,pool
8g,row,769539383,30,30,3955ae590ac179d279b6,C=CC(=O)OC1CCCCC1,pool
8g,row,769539383,30,30,db51f6df02555cb9c264,C=CC(=O)OC1CCCCC1,test
8g,row,769539383,30,30,2195290d04210cdb253f,C=CC(=O)OC1CCCCC1,pool
8g,row,769539383,30,30,8063e3de9de70b75def1,C=CC(=O)OC1CCCCC1,pool
8g,row,769539383,30,30,88771c5c64ed839a4436,C=CC(=O)OCc1ccccc1,pool
8g,row,769539383,30,30,b5365d56777fde5c4dfc,C=CC(=O)OCc1ccccc1,pool
8g,row,769539383,30,30,4513e318c9d037303b13,C=CC(=O)OCc1ccccc1,pool
8g,row,769539383,30,30,efca00a284b2cadc5737,C=CC(=O)OCc1ccccc1,pool
8g,row,769539383,30,30,b473ef06a415d0f114b0,C=CC(=O)OCc1ccccc1,pool
8g,row,769539383,30,30,df02863943321996441f,C=CC(=O)OCc1ccccc1,pool
8g,row,769539383,30,30,194278dd9ee3d2407ed5,C=CC(=O)OCc1ccccc1,pool
8g,row,769539383,30,30,cc31b914acbab022eb9a,COC(=O)C(C)(C)Br,pool
8g,row,769539383,30,30,a9eea85ddeee2da33706,COC(=O)C(C)(C)Br,pool
8g,row,769539383,30,30,640353c89b3ce64ee98b,COC(=O)C(C)(C)Br,test
8g,row,769539383,30,30,b11bb6293c307f7f7282,COC(=O)C(C)(C)Br,test
8g,row,769539383,30,30,77b0577e6b0adb649e63,COC(=O)C(C)(C)Br,test
8g,row,769539383,30,30,543561ac99bc28db6f2f,COC(=O)C(C)(C)Br,gradient_train
8g,row,769539383,30,30,056255620b7acc9c630f,COC(=O)C(C)(C)Br,pool
8g,row,769539383,30,30,7b1589ae321d27608509,COC(=O)CS,test
8g,row,769539383,30,30,0fee19a828ef997229fd,COC(=O)CS,validation
8g,row,769539383,30,30,222dede783147d5efa63,COC(=O)CS,pool
8g,row,769539383,30,30,d9a40ac35b79fbcf214a,COC(=O)CS,pool
8g,row,769539383,30,30,aaf22f8324aad12a55fa,COC(=O)CS,pool
8g,row,769539383,30,30,a9bfabe931467745353e,COC(=O)CS,pool
8g,row,769539383,30,30,be7d68067464e72d0b8d,COC(=O)CS,pool
8g,row,769539383,30,30,b418a712463f5abf8b81,CC(=O)CCCCl,pool
8g,row,769539383,30,30,850a69ce73ac04035aa3,CC(=O)CCCCl,test
8g,row,769539383,30,30,7c4153fe9561da818ae1,CC(=O)CCCCl,pool
8g,row,769539383,30,30,a67016d937c499be9d64,CC(C)=CCBr,test
8g,row,769539383,30,30,4559d83db38cc3c39d13,CC(C)=CCBr,pool
8g,row,769539383,30,30,bf8409f12dae2388c6a0,CC(C)=CCBr,pool
8g,row,769539383,30,30,832899abb44b8d2246cd,CC(C)=CCBr,pool
8g,row,769539383,30,30,5729cc87eb48a75655ad,CC(C)=CCBr,pool
8g,row,769539383,30,30,adb6d48eec0fb576d7fc,CC(C)=CCBr,pool
8g,row,769539383,30,30,bc789871fe39d967a9e0,CC(C)=CCBr,pool
8g,row,769539383,30,30,fff65bc451d163b1b106,C=CC(=O)OCCCCCCCCCCCC,pool
8g,row,769539383,30,30,c761659793c5929e2214,C=CC(=O)OCCCCCCCCCCCC,pool
8g,row,769539383,30,30,4c7d7c5f8b0c317c5548,C=CC(=O)OCCCCCCCCCCCC,pool
8g,row,769539383,30,30,a9656ffd805f80fcf143,C=CC(=O)OCCCCCCCCCCCC,pool
8g,row,769539383,30,30,da10d2f67a989e8b16b5,C=CC(=O)OCCCCCCCCCCCC,pool
8g,row,769539383,30,30,7ca22b2f4d23a7afb10e,C=CC(=O)OCCCCCCCCCCCC,pool
8g,row,769539383,30,30,38f57a9d08efd5f070d0,C=CC(=O)OCCCCCCCCCCCC,pool
8g,row,769539383,30,30,1619a0c8b233772ba0c0,C=CC(=O)O[C@@H]1C[C@H]2CC[C@]1(C)C2(C)C,pool
