method,comparator,metric,statistic,n_pairs,directional_wins,ties,mean_difference,median_difference,sample_std_difference,bootstrap_low,bootstrap_high
kernel_ivr,random,V2_R2,aulc,5,5,0,0.13646656904443072,0.1099810161692798,0.07417958637275304,0.0870797573711077,0.1999953527803277
lcmd,random,V2_R2,aulc,5,5,0,0.15548282843217667,0.15599842171283107,0.05540356974904502,0.11419059601520727,0.19822703446619439
hybrid,kernel_ivr,V2_R2,endpoint,5,2,0,-0.007846908051893541,-0.010630488005093142,0.01537789005306452,-0.019657623710026974,0.004194288245611477
hybrid,lcmd,V2_R2,endpoint,5,4,0,0.004798337175502576,0.007137568469235411,0.0076306946029086956,-0.002167939387652229,0.009113316813604699
hybrid,random,V2_R2,endpoint,5,5,0,0.11430576278073434,0.13166711585696977,0.06557196451036008,0.058177071521046606,0.16060148550883738
kernel_ivr,lcmd,V2_R2,endpoint,5,4,0,0.012645245227396119,0.01879441725245068,0.010832575575739231,0.0038991611686027385,0.020702957090342023
kernel_ivr,random,V2_R2,endpoint,5,5,0,0.12215267083262789,0.12184480896726857,0.05655690848999891,0.07375914801022668,0.1673639226266796
lcmd,random,V2_R2,endpoint,5,5,0,0.10950742560523177,0.12366320362901717,0.05831296975939313,0.06015450622087189,0.15133213587957275
hybrid,kernel_ivr,V2_R2,gap_closed,5,2,0,-0.023080670530839908,-0.027726250080098547,0.04483031497748191,-0.05837764821443856,0.011505285262264686
hybrid,lcmd,V2_R2,gap_closed,5,4,0,0.013674586658197208,0.017618514849462974,0.023112271198186315,-0.007169403425771459,0.028644758594967047
hybrid,random,V2_R2,gap_closed,5,5,0,0.32960092212577924,0.33269525385108667,0.22443368366020985,0.14923081280519165,0.5168083344814864
kernel_ivr,lcmd,V2_R2,gap_closed,5,4,0,0.03675525718903712,0.044375155392406995,0.03359995019233558,0.010588261857009762,0.06292225252106447
kernel_ivr,random,V2_R2,gap_closed,5,5,0,0.3526815926566192,0.32467893976241347,0.2076054473949723,0.19866803679187423,0.5386186741093865
