canonical_smiles,source_smiles,status,graph_origin,conformer_method,error,seconds
Cc1ccc(C)cc1,CC1=CC=C(C=C1)C,success,4g,reused_4g_cache,,0.0
Cc1ccc(C=O)c(C)c1,CC1=CC(=C(C=C1)C=O)C,success,4g,reused_4g_cache,,0.0
Cc1ccc(Cl)cc1Br,CC1=C(C=C(C=C1)Cl)Br,success,4g,reused_4g_cache,,0.0
Cc1ccccc1C=O,CC1=CC=CC=C1C=O,success,4g,reused_4g_cache,,0.0
ClCCCc1ccccc1,C1=CC=C(C=C1)CCCCl,success,4g,reused_4g_cache,,0.0
ClCCc1ccccc1,C1=CC=C(C=C1)CCCl,success,4g,reused_4g_cache,,0.0
FC(F)(F)c1cc(Br)cc(C(F)(F)F)c1,C1=C(C=C(C=C1C(F)(F)F)Br)C(F)(F)F,success,4g,reused_4g_cache,,0.0
N#Cc1ccccc1Br,C1=CC=C(C(=C1)C#N)Br,success,4g,reused_4g_cache,,0.0
O=C(/C=C/c1ccccc1)/C=C/c1ccccc1,C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2,success,4g,reused_4g_cache,,0.0
O=C(/C=C/c1ccccc1)c1ccccc1,C1=CC=C(C=C1)/C=C/C(=O)C2=CC=CC=C2,success,4g,reused_4g_cache,,0.0
O=C(CCCCl)c1ccc(F)cc1,C1=CC(=CC=C1C(=O)CCCCl)F,success,4g,reused_4g_cache,,0.0
O=C(Cc1ccccc1)c1ccccc1,C1=CC=C(C=C1)CC(=O)C2=CC=CC=C2,success,4g,reused_4g_cache,,0.0
O=C(Cc1ccccc1F)C1CC1,C1CC1C(=O)CC2=CC=CC=C2F,success,4g,reused_4g_cache,,0.0
O=C(c1ccccc1)c1ccc(Cl)cc1,C1=CC=C(C=C1)C(=O)C2=CC=C(C=C2)Cl,success,4g,reused_4g_cache,,0.0
O=C(c1ccccc1)c1cccc(C(=O)c2ccccc2)c1,C1=CC=C(C=C1)C(=O)C2=CC(=CC=C2)C(=O)C3=CC=CC=C3,success,4g,reused_4g_cache,,0.0
O=C1CCCc2ccccc21,C1CC2=CC=CC=C2C(=O)C1,success,4g,reused_4g_cache,,0.0
O=CCCc1ccccc1,C1=CC=C(C=C1)CCC=O,success,4g,reused_4g_cache,,0.0
O=Cc1cc(Br)ccc1O,C1=CC(=C(C=C1Br)C=O)O,success,4g,reused_4g_cache,,0.0
O=Cc1ccc(-c2ccccc2)cc1,C1=CC=C(C=C1)C2=CC=C(C=C2)C=O,success,4g,reused_4g_cache,,0.0
O=Cc1ccc(Br)cc1O,C1=CC(=C(C=C1Br)O)C=O,success,4g,reused_4g_cache,,0.0
O=Cc1ccc(Cl)cc1Br,C1=CC(=C(C=C1Cl)Br)C=O,success,4g,reused_4g_cache,,0.0
O=Cc1ccc2c(c1)CCO2,C1COC2=C1C=C(C=C2)C=O,success,4g,reused_4g_cache,,0.0
O=Cc1ccc2ccccc2c1Br,C1=CC=C2C(=C1)C=CC(=C2Br)C=O,success,4g,reused_4g_cache,,0.0
OCCCc1ccccc1,C1=CC=C(C=C1)CCCO,success,4g,reused_4g_cache,,0.0
OCc1cccc(Br)c1,C1=CC(=CC(=C1)Br)CO,success,4g,reused_4g_cache,,0.0
c1ccc(COCc2ccccc2)cc1,C1=CC=C(C=C1)COCC2=CC=CC=C2,success,4g,reused_4g_cache,,0.0
