split_mode,slice,signal,outer_seeds,n_samples_mean,spearman_mean,spearman_seed_ci_low,spearman_seed_ci_high,hard_error_auroc_mean,hard_error_auroc_seed_ci_low,hard_error_auroc_seed_ci_high,enrichment_mean,enrichment_seed_ci_low,enrichment_seed_ci_high,ause_mean,ause_seed_ci_low,ause_seed_ci_high,mean_error_mean,mean_error_seed_ci_low,mean_error_seed_ci_high,mean_signal_mean,mean_signal_seed_ci_low,mean_signal_seed_ci_high
compound,tail,quantile_width,3,2.0,,,,1.0,1.0,1.0,10.0,10.0,10.0,0.0,0.0,0.0,0.9469655450829917,-0.4917427489894688,2.3856738391554524,1.6562798619270325,0.2977809266350151,3.0147787972190496
compound,tail,random,3,2.0,,,,0.3333333333333333,-1.1010000000000002,1.7676666666666667,3.3333333333333335,-11.01,17.676666666666666,0.14847618455254089,-0.19233897913012862,0.48929134823521037,0.9469655450829917,-0.4917427489894688,2.3856738391554524,0.6045927515898477,-0.30859045759666204,1.5177759607763575
row,common,ensemble,3,56.0,0.5091592617908408,0.43579137963695513,0.5825271439447265,0.8788888888888889,0.6881830779660094,1.0695946998117685,5.555555555555556,-0.7692599397282978,11.880371050839411,0.028599630507640434,0.01443063577716902,0.04276862523811185,0.18596631981554135,0.08986453581019277,0.2820681038208899,0.02384657078376189,0.014957129984411587,0.03273601158311219
row,common,latent_distance,3,56.0,0.4872636135794031,0.38550299484737827,0.589024232311428,0.8844444444444445,0.7598600275731499,1.0090288613157392,3.888888888888889,-0.8922222222222236,8.670000000000002,0.027579913048153975,0.021209796918580624,0.033950029177727326,0.18596631981554135,0.08986453581019277,0.2820681038208899,4.5221776713425585,2.951594767749131,6.092760574935986
row,common,quantile_width,3,56.0,0.34556846662109825,-0.19088941517721664,0.8820263484194131,0.7266666666666666,0.21611652762273525,1.2372168057105979,3.3333333333333326,-0.8072303472049343,7.4738970138716,0.058227654444387746,-0.05128759479283513,0.16774290368161063,0.18596631981554135,0.08986453581019277,0.2820681038208899,0.252355976506979,-0.1288624902175522,0.6335744432315102
row,common,random,3,56.0,0.0901116427432217,-0.13684011060978307,0.31706339609622647,0.45444444444444443,0.35090275235263746,0.5579861365362514,1.6666666666666667,-2.473897013871599,5.807230347204933,0.09701989768210602,0.017543289735335976,0.17649650562887606,0.18596631981554135,0.08986453581019277,0.2820681038208899,0.5018390876389739,0.39134482039412555,0.6123333548838222
row,full,ensemble,3,59.0,0.5706993960646796,0.5285826237621845,0.6128161683671747,0.9046121593291404,0.6442905096717977,1.1649338089864831,6.666666666666667,-0.5049999999999999,13.838333333333335,0.03211651542050816,0.005185032798669189,0.05904799804234713,0.2646327770122341,0.17810412521083913,0.35116142881362905,0.03456630276279752,0.014155643595386784,0.054976961930208255
row,full,latent_distance,3,59.0,0.5575297097214106,0.4750702270678349,0.6399891923749863,0.9486373165618449,0.8197132488301958,1.077561384293494,7.777777777777776,2.9966666666666635,12.558888888888887,0.02721422297653533,0.02252246597395654,0.031905979979114124,0.2646327770122341,0.17810412521083913,0.35116142881362905,5.285284756892989,3.7044513815333593,6.866118132252619
row,full,quantile_width,3,59.0,0.37691408533021636,-0.3481781171965777,1.1020062878570105,0.7578616352201258,0.10437074819249414,1.4113525222477574,6.111111111111111,-4.309078974475289,16.531301196697513,0.07101006876235394,-0.09601643046414887,0.23803656798885675,0.2646327770122341,0.17810412521083913,0.35116142881362905,0.30098362782664895,-0.18805802651918702,0.7900252821724849
row,full,random,3,59.0,0.10798753165789987,-0.033166781462587225,0.24914184477838697,0.550314465408805,0.42828112146920166,0.6723478093484084,1.6666666666666667,-2.473897013871599,5.807230347204933,0.13342591831515474,0.0685881780548806,0.19826365857542888,0.2646327770122341,0.17810412521083913,0.35116142881362905,0.5056587136604387,0.4025972089325448,0.6087202183883326
