coverage,risk,oracle_risk,excess_risk,signal,slice,split_mode,outer_seed
0.2033898305084746,0.05745964066191039,0.031003367437155694,0.026456273224754693,latent_distance,full,row,1101
0.2542372881355932,0.06418936782127674,0.03742254211522218,0.026766825706054556,latent_distance,full,row,1101
0.3050847457627119,0.07520287605609886,0.042706682968442856,0.03249619308765601,latent_distance,full,row,1101
0.3559322033898305,0.0887307109400328,0.047208339894379614,0.04152237104565319,latent_distance,full,row,1101
0.4067796610169492,0.09583250561910957,0.05159585818137574,0.044236647437733825,latent_distance,full,row,1101
0.4576271186440678,0.08942044660820116,0.055420779932465296,0.03399966667573586,latent_distance,full,row,1101
0.5084745762711864,0.09890282341350157,0.05880704280537762,0.040095780608123945,latent_distance,full,row,1101
0.559322033898305,0.10075424320116423,0.06250945976624851,0.03824478343491572,latent_distance,full,row,1101
0.6101694915254238,0.10639132734298126,0.06785907271324586,0.038532254629735405,latent_distance,full,row,1101
0.6610169491525424,0.1092604352891836,0.07347362515700731,0.035786810132176286,latent_distance,full,row,1101
0.711864406779661,0.11353235800714473,0.07966025543607473,0.03387210257107,latent_distance,full,row,1101
0.7627118644067796,0.1139700799140105,0.09125887265872039,0.022711207255290106,latent_distance,full,row,1101
0.8135593220338984,0.13856355332567324,0.10352327557580397,0.03504027774986927,latent_distance,full,row,1101
0.864406779661017,0.16196314194781425,0.11839440146999224,0.04356874047782201,latent_distance,full,row,1101
0.9152542372881356,0.18572574620070187,0.14367490959949564,0.04205083660120623,latent_distance,full,row,1101
0.9661016949152542,0.20407080295728613,0.19626277191344266,0.0078080310438434775,latent_distance,full,row,1101
1.0,0.24235541984165243,0.24235541984165243,0.0,latent_distance,full,row,1101
0.10714285714285714,0.053860259341750906,0.020024882388369327,0.03383537695338158,latent_distance,common,row,1101
0.16071428571428573,0.04247899386729887,0.024268926401096156,0.018210067466202715,latent_distance,common,row,1101
0.21428571428571427,0.05745964066191039,0.031003367437155694,0.026456273224754693,latent_distance,common,row,1101
0.25,0.061101170950612786,0.03540665122001312,0.025694519730599663,latent_distance,common,row,1101
0.30357142857142855,0.07566720568143745,0.041092001485110434,0.034575204196327015,latent_distance,common,row,1101
0.35714285714285715,0.08615075551088325,0.04559501883946559,0.04055573667141766,latent_distance,common,row,1101
0.4107142857142857,0.0993564508554062,0.0501663026577483,0.0491901481976579,latent_distance,common,row,1101
0.4642857142857143,0.09050323599792824,0.05420123391570165,0.036302002082226593,latent_distance,common,row,1101
0.5,0.09636608241725515,0.056587453186683644,0.03977862923057151,latent_distance,common,row,1101
0.5535714285714286,0.10014138443106484,0.059924630589965014,0.04021675384109982,latent_distance,common,row,1101
0.6071428571428571,0.1012830029952177,0.06416306613191713,0.03711993686330056,latent_distance,common,row,1101
0.6607142857142857,0.11050253270277771,0.06980137182103449,0.04070116088174322,latent_distance,common,row,1101
0.7142857142857143,0.10851579343177054,0.07525554054028709,0.03326025289148345,latent_distance,common,row,1101
0.75,0.11353235800714473,0.07966025543607473,0.03387210257107,latent_distance,common,row,1101
0.8035714285714286,0.1139700799140105,0.09149279092368688,0.022477288990323613,latent_distance,common,row,1101
0.8571428571428571,0.13856355332567324,0.10494232093292577,0.033621232392747474,latent_distance,common,row,1101
0.9107142857142857,0.16196314194781425,0.12071871425304458,0.04124442769476967,latent_distance,common,row,1101
0.9642857142857143,0.20153210708518063,0.1630718961371832,0.038460210947997425,latent_distance,common,row,1101
1.0,0.20291427597816306,0.20291427597816308,-2.7755575615628914e-17,latent_distance,common,row,1101
0.3333333333333333,0.2688363137881768,0.2688363137881768,0.0,latent_distance,tail,row,1101
0.6666666666666666,0.5967007583872359,0.5967007583872359,0.0,latent_distance,tail,row,1101
1.0,0.9785901052934536,0.9785901052934536,0.0,latent_distance,tail,row,1101
0.1016949152542373,0.09671108938863109,0.020024882388369327,0.07668620700026176,random,full,row,1101
0.15254237288135594,0.07796123858226153,0.024268926401096156,0.05369231218116538,random,full,row,1101
0.2033898305084746,0.08404377898606828,0.031003367437155694,0.05304041154891259,random,full,row,1101
0.2542372881355932,0.10439058520028106,0.03742254211522218,0.06696804308505888,random,full,row,1101
0.3050847457627119,0.18501110875794902,0.042706682968442856,0.14230442578950617,random,full,row,1101
0.3559322033898305,0.25880362409725166,0.047208339894379614,0.21159528420287205,random,full,row,1101
0.4067796610169492,0.2513456821959852,0.05159585818137574,0.19974982401460945,random,full,row,1101
0.4576271186440678,0.23265844642893543,0.055420779932465296,0.17723766649647013,random,full,row,1101
0.5084745762711864,0.22476624338233464,0.05880704280537762,0.165959200576957,random,full,row,1101
0.559322033898305,0.22355611431261832,0.06250945976624851,0.1610466545463698,random,full,row,1101
0.6101694915254238,0.21140649089076285,0.06785907271324586,0.14354741817751698,random,full,row,1101
0.6610169491525424,0.2000196981195814,0.07347362515700731,0.12654607296257409,random,full,row,1101
0.711864406779661,0.19200486881023412,0.07966025543607473,0.1123446133741594,random,full,row,1101
0.7627118644067796,0.18639344479374417,0.09125887265872039,0.09513457213502378,random,full,row,1101
0.8135593220338984,0.17867610308057327,0.10352327557580397,0.0751528275047693,random,full,row,1101
0.864406779661017,0.19484458948767902,0.11839440146999224,0.07645018801768678,random,full,row,1101
0.9152542372881356,0.24871927016508372,0.14367490959949564,0.10504436056558808,random,full,row,1101
0.9661016949152542,0.2424478679913243,0.19626277191344266,0.046185096077881654,random,full,row,1101
1.0,0.24235541984165246,0.24235541984165243,2.7755575615628914e-17,random,full,row,1101
0.10714285714285714,0.05502569255338171,0.020024882388369327,0.035000810165012386,random,common,row,1101
0.16071428571428573,0.06617675531830075,0.024268926401096156,0.0419078289172046,random,common,row,1101
0.21428571428571427,0.07153509252030206,0.031003367437155694,0.04053172508314637,random,common,row,1101
0.25,0.09264446172971709,0.03540665122001312,0.05723781050970397,random,common,row,1101
0.30357142857142855,0.18008021434440621,0.041092001485110434,0.13898821285929577,random,common,row,1101
0.35714285714285715,0.22958732961085881,0.04559501883946559,0.18399231077139322,random,common,row,1101
0.4107142857142857,0.21635622047335376,0.0501663026577483,0.16618991781560546,random,common,row,1101
0.4642857142857143,0.19847896285735175,0.05420123391570165,0.1442777289416501,random,common,row,1101
0.5,0.19819949231055603,0.056587453186683644,0.14161203912387238,random,common,row,1101
0.5535714285714286,0.19948226630780422,0.059924630589965014,0.1395576357178392,random,common,row,1101
0.6071428571428571,0.18874212221449968,0.06416306613191713,0.12457905608258255,random,common,row,1101
0.6607142857142857,0.17857747864565407,0.06980137182103449,0.10877610682461958,random,common,row,1101
0.7142857142857143,0.17177007433138408,0.07525554054028709,0.09651453379109699,random,common,row,1101
0.75,0.16718024658697364,0.07966025543607473,0.08751999115089891,random,common,row,1101
0.8035714285714286,0.16270630019150556,0.09149279092368688,0.07121350926781868,random,common,row,1101
0.8571428571428571,0.15741621783777693,0.10494232093292577,0.05247389690485116,random,common,row,1101
0.9107142857142857,0.2057856916281208,0.12071871425304458,0.08506697737507622,random,common,row,1101
0.9642857142857143,0.20155107703009492,0.1630718961371832,0.03847918089291172,random,common,row,1101
1.0,0.2029142759781631,0.20291427597816308,2.7755575615628914e-17,random,common,row,1101
0.3333333333333333,0.2688363137881768,0.2688363137881768,0.0,random,tail,row,1101
0.6666666666666666,0.5967007583872359,0.5967007583872359,0.0,random,tail,row,1101
1.0,0.9785901052934536,0.9785901052934536,0.0,random,tail,row,1101
0.10344827586206896,0.07872901556849553,0.02384242608455038,0.05488658948394515,quantile_width,full,compound,42
0.15517241379310345,0.06394054993294955,0.02936515743480033,0.03457539249814922,quantile_width,full,compound,42
0.20689655172413793,0.06422496910691637,0.03505944216728923,0.029165526939627144,quantile_width,full,compound,42
0.25862068965517243,0.06613714368672587,0.03946891588952217,0.026668227797203695,quantile_width,full,compound,42
0.3103448275862069,0.06649116038488688,0.043469923035912156,0.023021237348974724,quantile_width,full,compound,42
0.3620689655172414,0.06214348157389404,0.046957354177399685,0.015186127396494352,quantile_width,full,compound,42
0.41379310344827586,0.06756831500262882,0.05034544998815935,0.017222865014469464,quantile_width,full,compound,42
0.46551724137931033,0.06749838596885943,0.05492872992530632,0.012569656043553111,quantile_width,full,compound,42
0.5,0.07944746500477928,0.0594221395382281,0.020025325466551183,quantile_width,full,compound,42
0.5517241379310345,0.08967213347178829,0.06609051368619112,0.02358161978559717,quantile_width,full,compound,42
0.603448275862069,0.11722363006614676,0.07301002042679615,0.044213609639350615,quantile_width,full,compound,42
0.6551724137931034,0.11969296646731531,0.0799174138001851,0.039775552667130204,quantile_width,full,compound,42
0.7068965517241379,0.11775644198874764,0.08720802058681822,0.030548421401929426,quantile_width,full,compound,42
0.7586206896551724,0.12264487306200077,0.094915752349119,0.027729120712881763,quantile_width,full,compound,42
0.8103448275862069,0.12813098639786868,0.10358285107809737,0.02454813531977132,quantile_width,full,compound,42
0.8620689655172413,0.14115121467476244,0.11357679563359652,0.02757441904116592,quantile_width,full,compound,42
0.9137931034482759,0.1450129338090074,0.12516721938275718,0.019845714426250216,quantile_width,full,compound,42
0.9655172413793104,0.15127399824456036,0.14015597816672395,0.01111802007783641,quantile_width,full,compound,42
1.0,0.15788601731572052,0.1578860173157205,2.7755575615628914e-17,quantile_width,full,compound,42
0.10714285714285714,0.07872901556849553,0.02384242608455038,0.05488658948394515,quantile_width,common,compound,42
0.16071428571428573,0.06394054993294955,0.02936515743480033,0.03457539249814922,quantile_width,common,compound,42
0.21428571428571427,0.06422496910691637,0.03505944216728923,0.029165526939627144,quantile_width,common,compound,42
0.25,0.05967037895264803,0.03803112745131838,0.02163925150132965,quantile_width,common,compound,42
0.30357142857142855,0.06689664311197581,0.04218928722404939,0.02470735588792642,quantile_width,common,compound,42
0.35714285714285715,0.06271082393762509,0.04576564425858741,0.016945179679037678,quantile_width,common,compound,42
0.4107142857142857,0.06109837482214016,0.04924401597401633,0.01185435884812383,quantile_width,common,compound,42
0.4642857142857143,0.06714432376688283,0.0532003730756804,0.013943950691202425,quantile_width,common,compound,42
0.5,0.06672892071021844,0.05711868048281188,0.009610240227406558,quantile_width,common,compound,42
0.5535714285714286,0.08706388636328913,0.06390559789160467,0.023158288471684454,quantile_width,common,compound,42
0.6071428571428571,0.11673541614696369,0.0707059915604531,0.04602942458651059,quantile_width,common,compound,42
0.6607142857142857,0.11890394277543177,0.07746848461004789,0.04143545816538388,quantile_width,common,compound,42
0.7142857142857143,0.11824498061267597,0.08476302092325146,0.03348195968942451,quantile_width,common,compound,42
0.75,0.11920047306351285,0.08958502228307169,0.029615450780441158,quantile_width,common,compound,42
0.8035714285714286,0.12381395066938157,0.09761488983366898,0.026199060835712593,quantile_width,common,compound,42
0.8571428571428571,0.1317651646727683,0.10682747233754815,0.024937692335220155,quantile_width,common,compound,42
0.9107142857142857,0.14400651047799679,0.11728257500535047,0.026723935472646315,quantile_width,common,compound,42
0.9642857142857143,0.1461937244521965,0.13264240138370617,0.013551323068490329,quantile_width,common,compound,42
1.0,0.15127399824456036,0.15127399824456036,0.0,quantile_width,common,compound,42
0.5,0.3322754372127907,0.3322754372127907,0.0,quantile_width,tail,compound,42
1.0,0.34302255130820414,0.34302255130820414,0.0,quantile_width,tail,compound,42
0.10344827586206896,0.07364453585765399,0.02384242608455038,0.049802109773103606,ensemble,full,compound,42
0.15517241379310345,0.08331738272956814,0.02936515743480033,0.05395222529476781,ensemble,full,compound,42
